SPECIES	ABUNDANCE	LATIN	COMMON	SP_CODE
15378	1	Microspathodon chrysurus	Yellowtail damselfish	451    Microspathodon chrysurus
18683	1		Sea fans	118    Sea fans
34537	2	Clinidae	Blenny	645    Clinidae
56948	2	Amphiroa sp.	Red algae - calcified	219    Amphiroa sp.
57048	3	Spirobranchus gigante	Christmas tree worm	600    Spirobranchus gigante
72698	2		Sponges - encrusting	40     Sponges - encrusting
72708	1	Ocyurus chrysurus	Yellowtail snapper	438    Ocyurus chrysurus
1086	5	Carangidae	Jacks	175    Carangidae
4036	2		Sponges - branching	124    Sponges - branching
12994	1		Sea fans	118    Sea fans
13094	1	Pomacanthus paru	French angelfish	153    Pomacanthus paru
13104	1	Sphoeroides spengleri	Bandtail puffer	567    Sphoeroides spengleri
13249	1	Cypeaster subdepressus	Sand Dollar	621    Cypeaster subdepressus
13250	1	Stegastes variabilis	Cocoa damselfish	453    Stegastes variabilis
16549	3	Penicillus capitatus	Green algae - brush like	195    Penicillus capitatus
16550	1	Cladocephalus luteofuscus	Green algae - blade like	200    Cladocephalus luteofuscus
29138	1	Microspathodon chrysurus	Yellowtail damselfish	451    Microspathodon chrysurus
30138	1	Madracis mirabillis	Yellow pencil coral	401    Madracis mirabillis
41792	2	Agaricia tenuifolia	Ribbon coral	107    Agaricia tenuifolia
41802	2	Chaetodon capistratus	Foureye butterflyfish	604    Chaetodon capistratus
3936	2	Pomacanthus arcuatus	Gray angelfish	152    Pomacanthus arcuatus
71698	2	Porites astreoides	Mustard hill coral	116    Porites astreoides
71708	1	Palythoa caribaeorum	False coral	45     Palythoa caribaeorum
72145	4	Montrastraea cavernosa	Cavernous star coral	113    Montrastraea cavernosa
5283	2	Diploria strigosa	Smooth brain coral	103    Diploria strigosa
8815	1	Palythoa caribaeorum	False coral	45     Palythoa caribaeorum
15856	2	Penicillus dumetosus	Green algae - brush like	196    Penicillus dumetosus
39482	5	Lobophora variegata	Brown algae - blade like	227    Lobophora variegata
40482	1	Udotea occidentalis	Green algae - blade like	203    Udotea occidentalis
48218	2		Sponges - branching	124    Sponges - branching
52855	1	Chromis cyanea	Blue chromis	658    Chromis cyanea
61441	1		Sponges - encrusting	40     Sponges - encrusting
68874	2	Penicillus pyriformis	Green algae - brush like	197    Penicillus pyriformis
719	2	Dendrogyra cylindrus	Pillar coral	110    Dendrogyra cylindrus
720	2	Montrastraea cavernosa	Cavernous star coral	113    Montrastraea cavernosa
26234	3	Chromis cyanea	Blue chromis	658    Chromis cyanea
35375	2	Thalassoma bifasciatum	Bluehead wrasse	489    Thalassoma bifasciatum
41576	2	Millepora sp	Fire 'coral'	117    Millepora sp
338	3	Agaricia agaricites	Leaf coral	398    Agaricia agaricites
8826	1	Pomacanthus arcuatus	Gray angelfish	152    Pomacanthus arcuatus
65444	3	Halimeda discoidea	Green algae - calcified	66     Halimeda discoidea
8321	2	Colpophyllia natans	Giant brain coral	104    Colpophyllia natans
28163	1	Diploria strigosa	Smooth brain coral	103    Diploria strigosa
31231	1	Scarus taeniopterus	Princess parrotfish	480    Scarus taeniopterus
9237	2		Sea fans	118    Sea fans
36958	1	Udotea cyathiformis	Green algae - cup like	205    Udotea cyathiformis
37058	2	Caulerpa paspaloides	Green algae - brush like	193    Caulerpa paspaloides
38534	1	Diploria strigosa	Smooth brain coral	103    Diploria strigosa
44966	2	Ocyurus chrysurus	Yellowtail snapper	438    Ocyurus chrysurus
45066	1	Epinephelus striatus	Nassau grouper	464    Epinephelus striatus
45268	3	Penicillus dumetosus	Green algae - brush like	196    Penicillus dumetosus
