"TBLID","PROFLN","STUB","est1","cme1","est2","cme2","est3","cme3","est4","cme4","est5","cme5","est6","cme6"
"S0804",0.0,,,,,,,,,,,,,
"S0804",0.5,,"Total","Margin of Error","Car, truck, or van","Margin of Error","Car, truck, or van","Margin of Error","Public transportat","Margin of Error",,,,
"S0804",1.0,"Workers 16 years and over","93,163","+/-4,392","79,049","+/-3,842","7,426","+/-1,532","979","+/-550",,,,
"S0804",1.5,"AGE",,,,,,,,,,,,
"S0804",2.0,"16 to 19 years","5.8","+/-1.1","5.7","+/-1.3","10.5","+/-5.2","0.0","+/-15.5",,,,
"S0804",3.0,"20 to 24 years","9.0","+/-1.5","9.3","+/-1.5","10.2","+/-6.0","17.0","+/-29.3",,,,
"S0804",4.0,"25 to 44 years","46.8","+/-2.4","46.6","+/-2.5","53.0","+/-10.1","51.6","+/-37.7",,,,
"S0804",5.0,"45 to 54 years","21.6","+/-2.1","21.6","+/-2.1","13.5","+/-6.0","26.0","+/-29.3",,,,
"S0804",6.0,"55 to 59 years","8.6","+/-1.3","8.8","+/-1.3","7.4","+/-4.9","0.0","+/-15.5",,,,
"S0804",7.0,"60 years and over","8.2","+/-1.3","8.0","+/-1.3","5.4","+/-3.6","5.4","+/-10.0",,,,
"S0804",7.3,,,,,,,,,,,,,
"S0804",8.0,"Median age (years)","40.4","+/-1.0","40.6","+/-0.9","34.2","+/-4.1","39.3","+/-11.1",,,,
"S0804",8.3,,,,,,,,,,,,,
"S0804",8.5,"SEX",,,,,,,,,,,,
"S0804",9.0,"Male","55.6","+/-2.3","55.9","+/-2.5","53.3","+/-8.0","44.8","+/-39.0",,,,
"S0804",10.0,"Female","44.4","+/-2.3","44.1","+/-2.5","46.7","+/-8.0","55.2","+/-39.0",,,,
"S0804",10.3,,,,,,,,,,,,,
"S0804",10.5,"RACE AND HISPANIC OR LATINO ORIGIN",,,,,,,,,,,,
"S0804",11.0,"One race","N","N","N","N","N","N","N","N",,,,
"S0804",12.0,"White","90.4","+/-1.5","91.3","+/-1.6","89.4","+/-7.1","64.9","+/-36.6",,,,
"S0804",13.0,"Black or African American","N","N","N","N","N","N","N","N",,,,
"S0804",14.0,"American Indian and Alaska Native","N","N","N","N","N","N","N","N",,,,
"S0804",15.0,"Asian","N","N","N","N","N","N","N","N",,,,
"S0804",16.0,"Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N",,,,
"S0804",17.0,"Some other race","N","N","N","N","N","N","N","N",,,,
"S0804",18.0,"Two or more races","N","N","N","N","N","N","N","N",,,,
"S0804",18.3,,,,,,,,,,,,,
"S0804",19.0,"Hispanic or Latino origin (of any race)","N","N","N","N","N","N","N","N",,,,
"S0804",20.0,"White alone, not Hispanic or Latino origin","87.2","+/-1.7","87.9","+/-1.8","86.4","+/-7.3","64.9","+/-36.6",,,,
"S0804",20.3,,,,,,,,,,,,,
"S0804",20.5,"CITIZENSHIP STATUS",,,,,,,,,,,,
