-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    ECMWF_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
GALB        49718.000    1995     1     1     0
GALB        52274.750    2001    12    31    18
GALB       475545.708 -4925638.937  4010732.975
GALB           39.213      -84.485      142.597
GALB     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.196986    -0.123207    -1.939576
49718.25     0.066983    -0.336606    -1.047495
49718.50    -0.058803    -0.477358    -0.767096
49718.75    -0.114366    -0.680117    -1.270136
49719.00    -0.131527    -0.731240    -1.049661
49719.25    -0.255317    -0.869628    -1.478478
49719.50    -0.317050    -0.803311    -2.293572
49719.75    -0.287438    -0.769901    -3.145620
49720.00    -0.206682    -0.594618    -3.221518
49720.25    -0.231137    -0.519355    -3.482382
49720.50    -0.252061    -0.555789    -3.354495
49720.75    -0.250460    -0.626009    -3.545807
49721.00    -0.231962    -0.627952    -3.200397
49721.25    -0.302231    -0.727581    -3.287396
49721.50    -0.390100    -0.748447    -3.710450
49721.75    -0.551990    -0.806040    -4.440350
49722.00    -0.685197    -0.664193    -4.491808
49722.25    -0.945138    -0.456713    -4.514994
49722.50    -1.146586    -0.180313    -4.196829
49722.75    -1.244371     0.047040    -3.311677
49723.00    -1.141555     0.333942    -1.306950
49723.25    -0.998924     0.433822     0.799130
49723.50    -0.902263     0.491921     2.583456
49723.75    -0.732112     0.452970     4.597294
49724.00    -0.572113     0.263799     7.011011
49724.25    -0.638697    -0.276048     7.059234
49724.50    -0.682131    -0.475295     5.365338
49724.75    -0.761545    -0.475936     2.660492
49725.00    -0.745617    -0.228524     1.382546
49725.25    -0.743087    -0.199129     0.358645
49725.50    -0.717845    -0.140698    -0.408319
49725.75    -0.594643    -0.267804    -1.340792
49726.00    -0.363505    -0.198777    -1.632310
49726.25    -0.234105    -0.278678    -1.721623
49726.50    -0.124627    -0.277008    -2.104070
49726.75    -0.000739    -0.273095    -3.344965
49727.00     0.098875    -0.015919    -3.303803
49727.25     0.132333     0.132467    -3.417528
49727.50     0.149755     0.351169    -3.156754
49727.75     0.134236     0.493114    -2.808075
49728.00     0.153898     0.692745    -1.698394
49728.25     0.059005     0.782302    -1.002580
49728.50     0.007698     0.921981    -0.163151
49728.75    -0.068195     0.943638     0.307368
49729.00    -0.083635     1.043188     1.345289
49729.25    -0.182956     0.943869     1.876716
49729.50    -0.282585     0.888543     2.629169
49729.75    -0.336438     0.674155     2.431946
49730.00    -0.196668     0.598119     2.537822
49730.25    -0.090133     0.544013     2.139637
49730.50     0.054229     0.538339     1.980342
49730.75     0.266711     0.528282     1.776589
49731.00     0.453107     0.592655     2.440009
49731.25     0.476588     0.603364     3.229837
49731.50     0.436079     0.582832     4.486731
49731.75     0.343938     0.412955     4.732257
49732.00     0.293679     0.325603     4.777112
49732.25     0.186960     0.109168     4.872078
49732.50     0.180589     0.016302     4.755177
49732.75     0.185905    -0.137971     3.907886
49733.00     0.187745    -0.076852     3.868075
49733.25     0.150498    -0.085157     2.810527
49733.50     0.202728     0.059313     1.996468
49733.75     0.216333     0.176216     0.733077
49734.00     0.258756     0.389594     0.836232
49734.25     0.200153     0.458570     0.676084
49734.50     0.096403     0.530763     0.873044
49734.75    -0.012525     0.531148     0.606069
49735.00     0.004831     0.569782     0.976540
49735.25     0.006237     0.462533     0.538898
49735.50     0.053869     0.376376     0.398391
49735.75     0.104456     0.291910    -0.201707
49736.00     0.258983     0.360181     0.797212
49736.25     0.268379     0.310808     2.114470
49736.50     0.277978     0.337429     4.102615
49736.75     0.240466     0.114633     5.224584
49737.00     0.225809    -0.151321     5.984205
49737.25     0.150649    -0.523752     6.345010
49737.50     0.063567    -0.750688     7.028395
49737.75    -0.054552    -0.990647     6.434559
49738.00    -0.055738    -0.905061     5.650199
49738.25    -0.130344    -0.824582     5.212745
49738.50    -0.162781    -0.731993     5.034943
49738.75    -0.240765    -0.717231     4.341267
49739.00    -0.215148    -0.548032     3.816574
49739.25    -0.257521    -0.470858     3.504113
49739.50    -0.267208    -0.381891     3.284288
49739.75    -0.245229    -0.404168     2.647046
49740.00    -0.104022    -0.330035     2.334453
49740.25    -0.120373    -0.361788     2.038597
49740.50    -0.041630    -0.333070     2.148618
49740.75    -0.039426    -0.445550     1.626681
49741.00    -0.001285    -0.470503     1.012949
49741.25    -0.109394    -0.516328     0.346390
49741.50    -0.136467    -0.519673    -0.175145
49741.75    -0.088237    -0.581723    -1.897722
49742.00    -0.028862    -0.413316    -2.390760
49742.25    -0.077170    -0.372332    -2.622460
49742.50    -0.092633    -0.278190    -2.399397
49742.75    -0.042895    -0.364935    -2.367262
49743.00     0.014398    -0.328215    -1.811690
49743.25    -0.094096    -0.364000    -2.105528
49743.50    -0.168471    -0.291140    -1.996891
49743.75    -0.189603    -0.234700    -2.399367
49744.00    -0.116396    -0.014832    -1.236398
49744.25    -0.057582     0.083899    -0.603348
49744.50     0.025514     0.243612     0.722490
49744.75     0.152072     0.284832     0.967989
49745.00     0.366175     0.366879     1.856428
49745.25     0.556933     0.289899     2.267955
49745.50     0.725551     0.228120     2.838400
49745.75     0.783740    -0.090179     2.091482
