"SiteIDF","Basin","HUC14Code","StreamName","StrahlerOrder.x","StatusB","Comments","BiologicalSampleDate","QHEI.Score","QHEI.Status","IBI.Score","IBI.Status","SiteName","County","RF3RCHID","MAP24K","MAP100K","MAP250K","Long.dd","Lat.dd","Stratum","MDCaty","Weight","StrahlerOrder.y","OECO_96","xmarinus","ymarinus","final.wt"
"INRB98-001","Upper Wabash",5.120103e+12,"Mud Cr",1,"LD","Access Denied","",NA,"NS",NA,"NS","Mud Creek","RANDOLPH","5120103  26 3.43","Maxville","MUNCIE","MUNCIE",85.00357,40.21902,3,21,368.52653,1,55, 76.967818,-58.3624920,180.49965
"INRB98-002","Upper Wabash",5.120101e+12,"Loon Cr",1,"TS","","07/08/1998",48,"Impaired",50,"Not Impaired","Loon Creek","HUNTINGTON","5120101 542 0.00","Andrews","WABASH","MUNCIE",85.60551,40.85739,3,21,368.52653,1,55, 26.257646, 12.6204574,180.49965
"INRB98-003","Upper Wabash",5.120101e+12,"Eightmile Cr",2,"TS","","07/08/1998",65,"Not Impaired",22,"Impaired","EIGHTMILE CR","WELLS","5120101  17 9.63","Ossian","WABASH","MUNCIE",85.17342,40.87987,3,22,117.81714,2,55, 62.658784, 15.1200081, 57.70535
"INRB98-004","Upper Wabash",5.120102e+12,"Salamonie River",4,"LD","Access Denied","",NA,"NS",NA,"NS","SALAMONIE R","JAY","5120102   147.04","Pennville","MUNCIE","MUNCIE",85.14647,40.48114,3,24, 53.90157,4,55, 64.929695,-29.2170785, 26.40031
"INRB98-005","Upper Wabash",5.120106e+12,"Hoaglund Ditch",3,"TS","","07/28/1998",31,"Impaired",38,"Not Impaired","HOAGLUND DITCH","WHITE","5120106  29 0.00","Monon","LOGANSPORT","DANVILLE",86.96295,40.78734,3,23, 60.42005,3,54,-88.100558,  4.8314752, 29.59298
"INRB98-006","Upper Wabash",5.120107e+12,"Walnut Fk Honey Cr",2,"PB","Physical Barriers","",NA,"NS",NA,"NS","West Honey Creek","HOWARD","5120107 145 0.00","Russiaville","LA FAYETTE","DANVILLE",86.27908,40.43969,3,22,117.81714,2,55,-30.487341,-33.8251075, 57.70535
"INRB98-007","Upper Wabash",5.120105e+12,"Bridge Cr",1,"TS","","07/16/1998",49,"Impaired",34,"Not Impaired","Bridge Creek","CARROLL","5120105  12 0.64","Delphi","LOGANSPORT","DANVILLE",86.63316,40.54491,3,21,368.52653,1,55,-60.317359,-22.1255109,180.49965
"INRB98-008","Upper Wabash",5.120104e+12,"Trib of Tick Cr",1,"TS","","07/15/1998",60,"Not Impaired",38,"Not Impaired"," ","CASS","5120104 160 0.00","Logansport","LOGANSPORT","DANVILLE",86.32255,40.77944,3,21,368.52653,1,56,-34.149392,  3.9532576,180.49965
"INRB98-009","Upper Wabash",5.120104e+12,"Eel River",4,"LD","Access Denied","",NA,"NS",NA,"NS","EEL R","CASS","5120104   2 2.23","Twelve Mile","LOGANSPORT","DANVILLE",86.18221,40.81585,3,24, 53.90157,4,55,-22.326516,  8.0018649, 26.40031
"INRB98-010","Upper Wabash",5.120106e+12,"Tippecanoe River",4,"TS","","09/15/1998",61,"Not Impaired",52,"Not Impaired","TIPPECANOE R","MARSHALL","5120106  19 5.35","Mentone","KNOX","CHICAGO",86.09641,41.22948,3,24, 53.90157,4,56,-15.098369, 53.9953112, 26.40031
