V_TRI_FORM_R_EZ.CHEM_NAME,V_TRI_FORM_R_EZ.FACILITY_NAME,V_TRI_FORM_R_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_EZ.OFF_SITE_TOTAL_TRANSFERS,V_TRI_FORM_R_EZ.OTH_DISP_TOT_REL,V_TRI_FORM_R_EZ.POTW_TOT_TRANSFER,V_TRI_FORM_R_EZ.TOTAL_OFF_SITE_RELEASE,V_TRI_FORM_R_EZ.TOTAL_ON_OFF_SITE_RELEASE,V_TRI_FORM_R_EZ.TOTAL_ON_SITE_RELEASE,V_TRI_FORM_R_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_EZ.WATER_TOTAL_RELEASE
CERTAIN GLYCOL ETHERS,HEXCEL CORP,0,0,0,0,0,308,308,84044HRCLS6800W,0
N N-DIMETHYLFORMAMIDE,HEXCEL CORP,0,70428,0,0,0,2331,2331,84044HRCLS6800W,0
BARIUM,ENERGYSOLUTIONS LLC,76004,0,0,0,0,76004,76004,84029NVRCRUSINT,0
NITROGLYCERIN,US AIR FORCE UTTR DEMILITARIZATION ACTIVITIES,0,0,0,0,0,0,0,84029SDDTH22MIL,0
CHROMIUM,CLEAN HARBORS GRASSY MOUNTAIN LLC,20615,0,0,0,0,20616,20616,84074PPMNCI80,0
ASBESTOS (FRIABLE),CLEAN HARBORS GRASSY MOUNTAIN LLC,84817,0,0,0,0,84817,84817,84074PPMNCI80,0
VANADIUM COMPOUNDS,CLEAN HARBORS GRASSY MOUNTAIN LLC,101376,0,0,0,0,101378,101378,84074PPMNCI80,0
ACETONITRILE,CLEAN HARBORS GRASSY MOUNTAIN LLC,22533,0,0,0,0,22562,22562,84074PPMNCI80,0
HYDROGEN FLUORIDE,FAIRCHILD SEMICONDUCTOR,0,1250,0,0,0,11247,11247,84088NTNLS3333W,0
ETHYLENE GLYCOL,U.S. AIR FORCE OGDEN AIR LOGISTICS CENTER,0,2122,0,0,0,7231,7231,84056SRFRC7274W,0
ASBESTOS (FRIABLE),GENEVA NITROGEN LLC,0,250,0,0,250,250,0,84057LRCHN1165N,0
NITRIC ACID,GENEVA NITROGEN LLC,0,0,0,0,0,500,500,84057LRCHN1165N,0
TOLUENE,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,260,0,0,5,5210,5205,84116CHVRN2351N,5
TETRACHLOROETHYLENE,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,750,0,0,0,15,15,84116CHVRN2351N,5
PROPYLENE,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,0,0,0,0,1000,1000,84116CHVRN2351N,0
LEAD COMPOUNDS,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,14786.1,0,0,216,228.1,12.1,84116CHVRN2351N,7.4
ETHYLENE,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,0,0,0,0,1550,1550,84116CHVRN2351N,0
DIOXIN AND DIOXIN-LIKE COMPOUNDS,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,0,0,0,0,.1,.1,84116CHVRN2351N,0
BENZO(G H I)PERYLENE,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,0,0,0,0,7.51,7.51,84116CHVRN2351N,7.4
ZINC COMPOUNDS,RUBBER ENGINEERING,0,575,0,0,575,790,215,84119RBBRN3459S,21
TOLUENE,RUBBER ENGINEERING,0,775,0,0,25,23925,23900,84119RBBRN3459S,0
AMMONIA,SCHREIBER FOODS INC,0,0,0,0,0,60,60,84321SCHRB885N6,0
ZINC COMPOUNDS,NUCOR CORP NUCOR STEEL DIV,2,6492064,0,0,6492047,6495631,3584,84330NCRST7285W,25
LEAD COMPOUNDS,UNITED STATES GYPSUM CO SIGURD UTAH,6.45,0,0,0,0,6.648576,6.648576,84657SGYPSHWY24,0
ZINC (FUME OR DUST),MURPHY-BROWN LLC CIRCLE 4 FEED MILL,0,6,0,0,6,10.1,4.1,84751MRPHY585E6,0
LEAD,MATERIALS PACKAGING CORP,0,0,0,0,0,.84,.84,84020MTRLS15567,0
LEAD,KAYSVILLE READY MIX CONCRETE,33.11,0,0,0,0,33.1149,33.1149,84037KYSVL376N6,0
TOLUENE,HAYCOCK PETROLEUM SAINT GEORGE BULK PLANT,0,0,,0,0,0,0,84770HYCCK845NI,
XYLENE (MIXED ISOMERS),PACIFIC STATES CAST IRON PIPE CO,0,0,0,0,0,13900,13900,84601PCFCS2550S,0
PHENOL,PACIFIC STATES CAST IRON PIPE CO,7600,0,0,0,0,21605,21605,84601PCFCS2550S,0
NICKEL,PACIFIC STATES CAST IRON PIPE CO,2390,0,0,0,0,2640,2640,84601PCFCS2550S,0
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),NESTLE USA - PREPARED FOODS DIV INC.,0,0,0,0,0,58500,58500,84663STFFR815WE,0
SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),KENNECOTT UTAH COPPER SMELTER & REFINERY,0,0,0,0,0,32872,32872,84006KNNCT8362W,0
NITRATE COMPOUNDS,KENNECOTT UTAH COPPER SMELTER & REFINERY,71601,0,0,0,0,71851,71851,84006KNNCT8362W,250
ANTIMONY COMPOUNDS,KENNECOTT UTAH COPPER SMELTER & REFINERY,602000,810,0,0,810,603165,602355,84006KNNCT8362W,250
NICKEL,SHAW NAPTECH INC.,0,41431.7,0,0,0,5.61,5.61,84015NPTCH851SF,0
DIETHANOLAMINE,BIG WEST OIL LLC,0,0,0,0,0,0,0,84054BGWST333WE,0
BENZENE,BIG WEST OIL LLC,0,2142,0,2142,0,2055,2055,84054BGWST333WE,0
XYLENE (MIXED ISOMERS),GLOBAL COATINGS.INC.,0,0,0,0,0,17605,17605,84062GLBLC200WE,0
POLYCHLORINATED BIPHENYLS,US MAGNESIUM LLC,138.351,23.62,0,0,3,141.525858,138.525858,84074MXMGNROWLE,0
OCTACHLOROSTYRENE,US MAGNESIUM LLC,159.4,.721,0,0,0,159.4,159.4,84074MXMGNROWLE,0
COPPER,U.S. ARMY TOOELE ARMY DEPOT MUNITION TREATMENT,605,79,605,0,0,621,621,84074TLRMYSDSTE,0
XYLENE (MIXED ISOMERS),BRENNTAG PACIFIC INC.,0,0,,0,0,0,0,84078QDRCH1575S,
NITRATE COMPOUNDS,O.C. TANNER MANUFACTURING CO.,0,24569.1,0,0,0,0,0,84115CTNNR1930S,0
NITRIC ACID,RECOT  INC. (DBA  FRITO-LAY INC.),0,0,0,0,0,0,0,84118RCTNC6301W,0
POLYCYCLIC AROMATIC COMPOUNDS,JARDINE PETROLEUM-LOGAN,0,0,,0,0,0,0,84321JRDNP1070W,
TOLUENE,JARDINE PETROLEUM-LOGAN,0,0,,0,0,0,0,84321JRDNP1070W,
DIOXIN AND DIOXIN-LIKE COMPOUNDS,PACIFICORP CARBON PLANT,0,0,0,0,0,.1,.1,84526PCFCRINTER,0
COPPER,LISBON VALLEY MINING CO LLC,0,0,0,0,0,0,0,84530LSBNV92SCU,0
LEAD COMPOUNDS,LISBON VALLEY MINING CO LLC,49,0,49,0,0,49,49,84530LSBNV92SCU,0
LEAD,SUNNYSIDE COGENERATION ASSOCIA TES,17349,408,0,0,408,17768,17360,84539SNNYSONEPO,0
1 1-DICHLORO-1-FLUOROETHANE,UTILITY TRAILER MANUFACTURING,0,0,0,0,0,65865,65865,84016TLTYT1111S,0
LEAD COMPOUNDS,CHEMICAL LIME GRANTSVILLE PLANT & QUARRY,113,0,113,0,0,113.17,113.17,84029CHMCLOLDHW,0
1 2 4-TRIMETHYLBENZENE,SILVER EAGLE REFINING WOODS CROSS,0,21.38,0,21.38,0,86.71,86.71,84087CRYSN2355S,0
ETHYLBENZENE,SILVER EAGLE REFINING WOODS CROSS,0,6.85,0,1.98,4,173.4,169.4,84087CRYSN2355S,0
XYLENE (MIXED ISOMERS),HOLLY REFINING & MARKETING CO WOODS CROSS REFINERY,0,921.5,0,760,2,5852,5850,84087PHLLP393SO,0
PROPYLENE,HOLLY REFINING & MARKETING CO WOODS CROSS REFINERY,0,0,0,0,0,5100,5100,84087PHLLP393SO,0
BENZENE,HOLLY REFINING & MARKETING CO WOODS CROSS REFINERY,0,626.6,0,610,0,9500,9500,84087PHLLP393SO,0
1 2 4-TRIMETHYLBENZENE,HOLLY REFINING & MARKETING CO WOODS CROSS REFINERY,0,380,0,380,0,91,91,84087PHLLP393SO,0
FORMALDEHYDE,OWENS CORNING INSULATING SYSTE M LLC - SALT LAKE CITY,0,6,0,0,6,8061,8055,84104WSTRN4340W,0
CHLORINE,JOHNSON MATTHEY INC,0,0,0,0,0,610,610,84120JHNSN4601W,0
MANGANESE,NUCOR CORP. - VULCRAFT DIV,0,4087.52,0,0,4087,4631.1,544.1,84302VLCRF1875W,0
LEAD COMPOUNDS,CERRO WIRE INC,0,17521,0,0,45,45.7,.7,84404CRRWR1160W,.7
POLYCYCLIC AROMATIC COMPOUNDS,PACIFICORP HUNTINGTON PLANT,0,0,0,0,0,2.6,2.6,84528PCFCR10MIL,0
VANADIUM COMPOUNDS,PACIFICORP HUNTINGTON PLANT,35100,0,0,0,0,35281,35281,84528PCFCR10MIL,0
COPPER COMPOUNDS,PACIFICORP HUNTINGTON PLANT,36200,0,0,0,0,36433,36433,84528PCFCR10MIL,0
SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),BRUSH RESOURCES INC MILL,0,0,0,0,0,6450,6450,84624BRSHW10MIL,0
MERCURY,SPANISH FORK READY-MIX CONCRETE,.5706,0,0,0,0,.5706,.5706,84660SPNSH7434D,0
SODIUM AZIDE,AMERICAN PACIFIC CORP UTAH OPERATIONS,0,29177,0,0,0,0,0,84720MRCNZ10622,0
2 2-DICHLORO-1 1 1-TRIFLUOROETHANE,AMERICAN PACIFIC CORP UTAH OPERATIONS,0,0,0,0,0,280.3,280.3,84720MRCNZ10622,0
MERCURY COMPOUNDS,KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,16305.9,0,16275,0,0,16375.92,16375.92,84006KNNCT12300,2.4
PROPYLENE,UTAH STAMPING CO,0,0,,0,0,0,0,84016THSTMF5SEC,
DIETHANOLAMINE,UTAH STAMPING CO,0,0,,0,0,0,0,84016THSTMF5SEC,
LEAD COMPOUNDS,WOLF ELECTRONIX,0,1553,0,0,0,0,0,84058WLFLC1176S,0
MANGANESE,AMERICAN WELDING & TANK LLC,0,6533,0,0,6533,7288,755,84088MRCNW5520W,0
NICKEL,STAR FOUNDRY & MACHINE,0,0,,0,0,0,0,84104STRBR976PI,
NITRIC ACID,EASTON TECHNICAL PRODUCTS,0,0,0,0,0,1902.3,1902.3,84116STNLM5040W,0
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),PACIFICORP HUNTER PLANT,52200,0,0,0,0,52498,52498,84513PCFCR3MILE,0
MERCURY COMPOUNDS,GRAYMONT WESTERN U.S. INC. CRICKET MOUNTAIN,9.3,0,0,0,0,21.4,21.4,84624GRYMN32MIL,0
DIOXIN AND DIOXIN-LIKE COMPOUNDS,GRAYMONT WESTERN U.S. INC. CRICKET MOUNTAIN,0,0,0,0,0,.245,.245,84624GRYMN32MIL,0
