Polar Fall 2001 Eclipse Season - enter/exit times for penumbra and umbra

    enter penumbra  enter umbra     exit umbra      exit penumbra   duration
doy yearmndd hhmmss yearmndd hhmmss yearmndd hhmmss yearmndd hhmmss  minutes
261 20010918.031535 20010918.032925 20010918.041310 20010918.042755   72.33   
261 20010918.212905 20010918.213840 20010918.225145 20010918.230220   93.25   
262 20010919.154500 20010919.155300 20010919.172505 20010919.173400  109.00   
263 20010920.100225 20010920.100930 20010920.115555 20010920.120355  121.50   
264 20010921.042100 20010921.042735 20010921.062515 20010921.063240  131.67   
264 20010921.224030 20010921.224645 20010922.005315 20010922.010020  139.83   
265 20010922.170050 20010922.170645 20010922.192010 20010922.192700  146.17   
266 20010923.112150 20010923.112740 20010923.134610 20010923.135250  151.00   
267 20010924.054330 20010924.054915 20010924.081120 20010924.081755  154.42   
268 20010925.000550 20010925.001140 20010925.023535 20010925.024210  156.33   
268 20010925.182855 20010925.183445 20010925.205855 20010925.210535  156.67   
269 20010926.125235 20010926.125835 20010926.152125 20010926.152810  155.58   
270 20010927.071705 20010927.072320 20010927.094255 20010927.094955  152.83   
271 20010928.014230 20010928.014900 20010928.040325 20010928.041040  148.17   
271 20010928.200850 20010928.201550 20010928.222235 20010928.223020  141.50   
272 20010929.143625 20010929.144405 20010929.164015 20010929.164840  132.25   
273 20010930.090530 20010930.091420 20010930.105550 20010930.110520  119.83   
274 20011001.033655 20011001.034750 20011001.050815 20011001.051950  102.92   
274 20011001.221200 20011001.222825 20011001.231410 20011001.233110   79.17   
