Table with row headers in column A and column headers in rows 8 through 9,,,,,,,,,
,,,,,,,,,
"Table 14a. All Students: Postsecondary Students Receiving Aid and the Percent of Total Costs Covered by Institutional Control, Level, Accreditation Status, Admissions Requirements, Enrollment, and Percent Minority, 2001-2002 ",,,,,,,,,
"Internet Release Date: August 24, 2006",,,,,,,,,
,,,,,,,,,
(Numbers in thousands),,,,,,,,,
,,,,,,,,,
"Number of recipients and
percent of total costs covered",Control,,,Level,,Accreditation status,,Admissions requirements2,
,Public ,"Private,
nonprofit","Private,
for profit","2-year
or less ","4-year
or more",Accredited,Not accredited, Open  ,"Not open, or does not admit first year undergraduates"
(leading dots indicate sub-parts),,,,,,,,,
All students/1,"15,123","3,404","1,192","7,868","11,849","17,631","2,087","7,949","11,769"
,,,,,,,,,
 .Students receiving aid,"7,926","2,136",731,"3,673","7,120","9,704","1,089","3,798","6,996"
,,,,,,,,,
Percent of students with:,,,,,,,,,
 .No costs covered,48,37,39,53,40,45,48,52,48
 .Up to 25 percent of total costs covered,9,15,12,7,12,10,8,7,9
 .26 to 49 percent of total costs covered,8,11,6,5,11,9,7,6,7
 .50 to 75 percent of total costs covered,9,11,8,7,11,9,8,7,8
 .76 to 99 percent of total costs covered,7,10,10,6,9,8,8,7,7
 .100 percent or more of total costs covered,20,16,25,22,18,19,21,22,21
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Number of recipients and
percent of total costs covered",Enrollment,,,,Percent minority3,,,,
,"1 to 5,000"," 5,001 to
10,000","10,001 to
20,000","20,001 to
60,000",0 to 5,6 to 10,11 to 20,21 to 100,
(leading dots indicate sub-parts),,,,,,,,,
All students/1,"11,769","5,796","3,863","5,044","5,014","1,624","3,173","5,032",
,,,,,,,,,
 .Students receiving aid,"3,560","1,951","2,645","2,637","1,078","1,897","2,686","5,133",
,,,,,,,,,
Percent of students with:,,,,,,,,,
 .No costs covered,41,39,49,48,47,34,40,47,
 .Up to 25 percent of total costs covered,12,11,9,10,10,10,13,10,
 .26 to 49 percent of total costs covered,11,8,8,7,11,12,11,9,
 .50 to 75 percent of total costs covered,10,10,7,9,9,12,11,9,
 .76 to 99 percent of total costs covered,8,9,8,7,6,11,8,8,
 .100 percent or more of total costs covered,18,22,18,19,16,22,17,17,
Footnotes:,,,,,,,,,
"/1.  Excluded from this total are students attending schools classified as out-of-universe, including schools outside of the U.S. 
 The number classified as attending such schools increased in the 2001 panel due to changes in coding and merging procedures.  ",,,,,,,,,
2.  Classification as an open-admissions school was based on a new coding scheme in 2001.  Direct comparison with 1996 data is not possible.,,,,,,,,,
" 3.  Race other than white, and/or Hispanic (of any race).",,,,,,,,,
"National Center for Education Statistics, Integrated Postsecondary Education Data System2001, Institutional Characteristics Survey.",,,,,,,,,
