"Table with row headers in column A and column headers in rows 5 through 7, 43 through 45, 81 through 83, 119 through 121, 157 through 159, 195 through 197, 233 through 235, and 271 through 273.",,,,,,,,,,,,
"Table 3.  Nursery and Primary School Enrollment of People 3 to 6 Years Old, by Control of School, Attendance Status, Age, Race, Hispanic Origin, Mother's Labor Force Status and Education, and Family Income:  October 2007",,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population),,,,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,,,
Selected Characteristics, Total , Not enrolled , Enrolled in nursery school ,,,,,,,,,
,,, Total ,,, Public ,,, Private ,,,
,,, Total , Part-day , Full-day , Total , Part-day , Full-day , Total , Part-day , Full-day ,
3 to 6 Years Old,,,,,,,,,,,,
Total,"16,466","4,183","4,628","2,454","2,174","2,570","1,336","1,234","2,058","1,118",940,
.Race,,,,,,,,,,,,
..White alone,"12,552","3,212","3,545","1,998","1,548","1,880","1,025",855,"1,665",972,693,
..White alone non-Hispanic,"9,054","2,206","2,711","1,560","1,151","1,225",689,536,"1,486",871,615,
..Black alone,"2,469",568,700,258,442,485,197,288,215,61,154,
..Asian alone,659,188,171,80,91,77,40,38,94,41,53,
..Hispanic,"3,765","1,096",905,484,421,711,375,336,194,109,86,
.Labor force status of mother,,,,,,,,,,,,
..Children not living with mother,"1,221",371,263,128,135,188,97,92,75,32,43,
..Mother employed part-time,"2,543",586,809,537,273,364,235,129,445,301,143,
..Mother employed full-time,"6,705","1,472","1,989",780,"1,209","1,104",443,661,884,337,547,
..Mother unemployed,553,169,129,72,58,98,57,41,32,15,17,
..Mother not in the labor force,"5,443","1,585","1,438",938,500,815,504,311,622,433,189,
.Education of mother,,,,,,,,,,,,
..Children not living with mother,"1,221",371,263,128,135,188,97,92,75,32,43,
..Elementary: 0 to 8 years,745,284,123,57,67,114,55,60,9,2,7,
..High School: 9 to 11 years,"1,421",452,319,184,135,288,165,124,31,19,12,
..High school graduate,"4,116","1,218",981,466,515,739,356,383,242,110,132,
..Some college or associate's degree,"4,349",999,"1,315",689,626,652,334,318,663,355,308,
..Bachelor's degree or more,"4,614",858,"1,627",930,696,589,330,258,"1,038",600,438,
.Family income,,,,,,,,,,,,
"..Less than $20,000","2,486",713,618,263,355,511,217,294,107,46,61,
"..$20,000 to $29,999","1,691",514,411,202,209,337,173,164,74,29,45,
"..$30,000 to $39,999","1,619",452,413,225,187,303,168,135,110,57,52,
"..$40,000 to $49,999","1,124",306,308,199,109,187,111,76,121,88,33,
"..$50,000 to $74,999","2,508",625,736,408,328,354,197,157,382,211,171,
"..$75,000 and over","4,355",845,"1,455",819,636,494,277,217,961,542,419,
..Not reported,"2,683",727,687,337,350,384,193,191,303,144,159,
,,,,,,,,,,,,
(Continued),,,,,,,,,,,,
,,,,,,,,,,,,
"Table 3.  Nursery and Primary School Enrollment of People 3 to 6 Years Old, by Control of School, Attendance Status, Age, Race, Hispanic Origin, Mother's Labor Force Status and Education, and Family Income:  October 2007",,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population),,,,,,,,,,,,
,,,,,,,,,,,,
Selected Characteristics, Enrolled in kindergarten ,,,,,,,,, Enrolled in elementary school ,,
, Total ,,, Public ,,, Private ,,, Total , Public , Private 
, Total , Part-day , Full-day , Total , Part-day , Full-day , Total , Part-day , Full-day ,,,
3 to 6 Years Old,,,,,,,,,,,,
Total,"4,064","1,182","2,882","3,589","1,043","2,545",475,139,337,"3,591","3,198",393
.Race,,,,,,,,,,,,
..White alone,"3,172",954,"2,218","2,786",829,"1,958",386,125,261,"2,622","2,330",293
..White alone non-Hispanic,"2,265",715,"1,550","1,915",599,"1,316",350,115,235,"1,872","1,608",263
..Black alone,588,119,469,531,113,419,56,6,50,613,545,68
..Asian alone,137,51,86,112,44,68,25,7,18,163,146,17
..Hispanic,954,249,705,918,239,679,36,10,27,810,776,34
.Labor force status of mother,,,,,,,,,,,,
..Children not living with mother,294,70,224,275,68,207,19,2,17,292,281,11
..Mother employed part-time,604,217,386,504,176,329,100,42,58,544,479,65
..Mother employed full-time,"1,681",435,"1,246","1,485",387,"1,099",196,48,148,"1,564","1,417",147
..Mother unemployed,131,27,104,119,27,92,12,    -,12,123,112,11
..Mother not in the labor force,"1,353",432,921,"1,205",386,819,148,47,102,"1,067",910,158
.Education of mother,,,,,,,,,,,,
..Children not living with mother,294,70,224,275,68,207,19,2,17,292,281,11
..Elementary: 0 to 8 years,212,54,158,212,54,158,    -,    -,    -,125,117,8
..High School: 9 to 11 years,359,101,258,342,101,241,17,    -,17,291,283,8
..High school graduate,"1,004",267,737,923,242,681,81,25,56,913,850,63
..Some college or associate's degree,"1,071",321,750,956,289,667,116,33,83,964,870,94
..Bachelor's degree or more,"1,124",369,755,882,290,591,242,78,164,"1,005",796,209
.Family income,,,,,,,,,,,,
"..Less than $20,000",588,121,467,568,121,447,20,    -,20,568,538,30
"..$20,000 to $29,999",435,88,347,417,84,333,18,4,14,331,316,15
"..$30,000 to $39,999",414,127,287,373,115,258,40,12,28,341,310,31
"..$40,000 to $49,999",258,98,160,231,85,145,27,12,15,251,237,14
"..$50,000 to $74,999",650,188,462,587,168,419,63,20,43,497,445,52
"..$75,000 and over","1,040",357,683,814,285,529,226,72,153,"1,014",823,191
..Not reported,680,203,477,598,185,414,82,18,63,589,529,60
,,,,,,,,,,,,
(Continued),,,,,,,,,,,,
,,,,,,,,,,,,
"Table 3.  Nursery and Primary School Enrollment of People 3 to 6 Years Old, by Control of School, Attendance Status, Age, Race, Hispanic Origin, Mother's Labor Force Status and Education, and Family Income:  October 2007",,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population),,,,,,,,,,,,
,,,,,,,,,,,,
All Races, Total , Not enrolled , Enrolled in nursery school ,,,,,,,,,
,,, Total ,,, Public ,,, Private ,,,
,,, Total , Part-day , Full-day , Total , Part-day , Full-day , Total , Part-day , Full-day ,
3 and 4 Years Old,,,,,,,,,,,,
Total,"8,234","3,743","4,008","2,139","1,869","2,183","1,144","1,039","1,825",996,829,
.Race,,,,,,,,,,,,
..White alone,"6,295","2,889","3,059","1,734","1,326","1,584",868,717,"1,475",866,609,
..White alone non-Hispanic,"4,526","1,979","2,350","1,373",977,"1,038",592,446,"1,313",781,531,
..Black alone,"1,184",491,609,228,381,423,173,249,186,54,132,
..Asian alone,367,171,159,77,82,68,36,32,91,41,50,
..Hispanic,"1,914",991,772,403,369,596,311,285,176,92,84,
.Labor force status of mother,,,,,,,,,,,,
..Children not living with mother,598,321,229,109,120,165,77,88,64,32,32,
..Mother employed part-time,"1,327",549,720,474,246,319,201,118,401,274,128,
..Mother employed full-time,"3,221","1,318","1,724",692,"1,032",921,385,535,804,307,497,
..Mother unemployed,286,153,111,61,49,85,50,35,26,11,15,
..Mother not in the labor force,"2,802","1,402","1,224",802,421,693,430,263,531,373,158,
.Education of mother,,,,,,,,,,,,
..Children not living with mother,598,321,229,109,120,165,77,88,64,32,32,
..Elementary: 0 to 8 years,362,233,91,38,53,82,36,46,9,2,7,
..High School: 9 to 11 years,701,395,257,140,118,238,132,106,20,8,12,
..High school graduate,"2,119","1,115",856,412,444,637,315,322,220,97,123,
..Some college or associate's degree,"2,111",898,"1,135",593,542,553,288,265,582,305,277,
..Bachelor's degree or more,"2,344",782,"1,439",847,592,508,295,213,931,552,380,
.Family income,,,,,,,,,,,,
"..Less than $20,000","1,217",610,525,225,300,433,188,245,92,37,55,
"..$20,000 to $29,999",886,461,358,181,177,292,155,137,66,26,40,
"..$30,000 to $39,999",816,407,359,193,166,258,136,122,101,57,44,
"..$40,000 to $49,999",568,282,256,173,82,147,94,53,109,79,30,
"..$50,000 to $74,999","1,245",553,635,350,285,293,163,130,342,187,155,
