-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
SCH2        49718.000    1995     1     1     0
SCH2        52274.750    2001    12    31    18
SCH2      1448636.903 -3385243.649  5191046.936
SCH2           54.832      -66.833      498.158
SCH2     NORTH_Offset  EAST_Offset    UP_Offset
49718.00    -0.307615    -0.848681    -2.067873
49718.25    -0.129967    -0.715687    -1.401200
49718.50     0.021479    -0.356132    -0.266219
49718.75    -0.136285    -0.476524     0.176097
49719.00     0.238394    -0.416899     0.872588
49719.25     0.484178    -0.229653     1.742049
49719.50     0.426928     0.052803     2.363237
49719.75     0.188246    -0.097476     2.557616
49720.00     0.295217    -0.166947     2.777971
49720.25     0.101110    -0.140574     3.596068
49720.50    -0.063645     0.082641     3.995631
49720.75    -0.396567    -0.199180     4.206468
49721.00    -0.308911    -0.392988     3.388127
49721.25    -0.402029    -0.389722     3.542559
49721.50    -0.243433    -0.075977     4.044327
49721.75    -0.301791    -0.218082     4.594835
49722.00     0.225998    -0.261079     5.289911
49722.25     0.601212    -0.226217     6.169755
49722.50     0.931218     0.112404     7.752252
49722.75     0.993196    -0.058360     8.260660
49723.00     1.377641     0.008747     9.026628
49723.25     1.505989     0.030022    10.020859
49723.50     1.419296     0.127047    10.268744
49723.75     0.951137    -0.259794     9.763443
49724.00     0.913205    -0.589774     8.606640
49724.25     0.705958    -0.614293     7.130956
49724.50     0.497494    -0.451684     5.851465
49724.75     0.327655    -0.647639     4.894343
49725.00     0.287847    -0.919682     3.343113
49725.25    -0.019223    -0.732968     1.457743
49725.50    -0.128359    -0.377358     0.129523
49725.75    -0.327823    -0.343282     0.012094
49726.00     0.004940    -0.301927     0.640918
49726.25    -0.008844    -0.193193     2.072561
49726.50    -0.141171    -0.127770     2.343134
49726.75    -0.580535    -0.430638     1.457363
49727.00    -0.411261    -0.645091    -0.071332
49727.25    -0.514577    -0.563089    -1.145933
49727.50    -0.595032    -0.357865    -1.811045
49727.75    -0.823835    -0.540046    -2.742294
49728.00    -0.598411    -0.597283    -3.631265
49728.25    -0.484051    -0.560072    -4.059225
49728.50    -0.422775    -0.355945    -4.481231
49728.75    -0.542948    -0.510576    -5.657135
49729.00    -0.249485    -0.539317    -6.360093
49729.25    -0.312814    -0.418707    -6.969307
49729.50    -0.191851    -0.089374    -6.767336
49729.75    -0.382246    -0.227737    -6.778322
49730.00    -0.180481    -0.193324    -6.090216
49730.25    -0.232644    -0.194788    -5.710968
49730.50    -0.198250    -0.045115    -4.980944
49730.75    -0.631823    -0.480564    -5.566873
49731.00    -0.652748    -0.757527    -6.619942
49731.25    -0.651972    -0.804204    -7.155414
49731.50    -0.693172    -0.542945    -7.186982
49731.75    -0.966232    -0.708804    -7.540506
49732.00    -0.677716    -0.739048    -6.837418
49732.25    -0.576195    -0.552795    -5.519555
49732.50    -0.360680    -0.275084    -3.150243
49732.75    -0.385388    -0.660266    -0.762954
49733.00    -0.172116    -1.112439    -1.390120
49733.25    -0.573694    -1.237926    -4.498806
49733.50    -0.779333    -0.970811    -6.077347
49733.75    -1.184748    -1.132656    -7.661302
49734.00    -1.027588    -1.239547    -8.292723
49734.25    -0.935136    -1.145255    -8.459577
49734.50    -0.768326    -0.863652    -7.808714
49734.75    -0.934076    -0.972049    -8.052850
49735.00    -0.721506    -1.009657    -7.899029
49735.25    -0.669191    -0.751412    -8.174752
49735.50    -0.814336    -0.320735    -7.721088
49735.75    -1.073201    -0.343209    -6.410253
49736.00    -0.761209    -0.515946    -4.842222
49736.25    -0.629153    -0.546928    -2.558528
49736.50    -0.463724    -0.469682    -1.879071
49736.75    -0.614422    -0.602689    -1.504760
49737.00    -0.243688    -0.753190    -1.524799
49737.25    -0.136745    -0.724396    -1.808184
49737.50    -0.121332    -0.532277    -2.865974
49737.75    -0.319158    -0.714594    -4.315085
49738.00    -0.163164    -0.804726    -5.474530
49738.25    -0.123906    -0.669592    -5.908676
49738.50    -0.165180    -0.407835    -5.504637
49738.75    -0.485471    -0.608919    -5.391918
49739.00    -0.401738    -0.713320    -5.060763
49739.25    -0.359095    -0.664664    -5.002485
49739.50    -0.429326    -0.403346    -4.273807
49739.75    -0.595725    -0.536778    -4.062950
49740.00    -0.352665    -0.540009    -3.475417
49740.25    -0.326931    -0.487183    -3.065079
49740.50    -0.365796    -0.224245    -2.762940
49740.75    -0.619434    -0.355094    -2.501330
49741.00    -0.638765    -0.403006    -2.668504
49741.25    -0.678698    -0.404234    -2.231863
49741.50    -0.771086    -0.137805    -1.530896
49741.75    -1.116431    -0.412151    -1.155317
49742.00    -1.108071    -0.599199    -0.425097
49742.25    -1.099907    -0.677414     0.794587
49742.50    -1.188567    -0.529657     1.425552
49742.75    -1.397935    -0.824675     1.783627
49743.00    -1.120007    -0.945935     1.818574
49743.25    -1.104913    -0.913278     2.361160
49743.50    -1.177043    -0.640576     2.879452
49743.75    -1.393907    -0.923755     3.098787
49744.00    -1.164243    -1.148595     2.772823
49744.25    -1.247041    -1.231721     3.434255
49744.50    -1.159309    -1.138844     3.982064
49744.75    -1.108844    -1.368051     3.760169
49745.00    -0.910302    -1.673055     2.108052
49745.25    -1.039338    -1.707571     0.580359
49745.50    -1.072033    -1.536039    -0.159605
49745.75    -1.514071    -1.695697    -0.838905
49746.00    -1.341405    -1.733628    -1.285080
49746.25    -1.425790    -1.627822    -1.271035
49746.50    -1.480072    -1.239566    -0.667060
49746.75    -1.784970    -1.235708     0.496141
49747.00    -1.620488    -1.146134     1.873652
49747.25    -1.538308    -1.022658     3.741526
49747.50    -1.539351    -0.864063     4.729700
49747.75    -1.542760    -1.053627     5.289115
49748.00    -1.496674    -1.263910     4.974839
49748.25    -1.433773    -1.201120     5.413146
49748.50    -1.378796    -0.892572     5.527779
49748.75    -1.447068    -1.098734     5.904169
49749.00    -1.127169    -1.199840     6.272379
49749.25    -0.959165    -1.116994     7.028377
49749.50    -0.814171    -0.837772     7.303446
49749.75    -0.921527    -1.106238     6.417321
49750.00    -0.677764    -1.246476     4.758212
49750.25    -0.725337    -1.121543     3.914174
49750.50    -0.885713    -0.829864     3.211340
49750.75    -1.228060    -0.991015     1.602464
49751.00    -1.027503    -0.996375     0.577882
49751.25    -1.029349    -0.820895    -0.021176
49751.50    -1.007200    -0.439612     0.024740
49751.75    -1.108753    -0.460817     0.357295
49752.00    -0.795876    -0.328114     1.630674
49752.25    -0.639006    -0.113018     3.035283
49752.50    -0.458647     0.057193     3.605019
49752.75    -0.309666    -0.166981     3.457261
49753.00     0.197296    -0.391437     2.592595
49753.25     0.618908    -0.292028     2.930408
49753.50     1.169853    -0.048708     4.063624
49753.75     1.445186    -0.228168     6.843582
49754.00     1.838722    -0.373041     9.300600
49754.25     1.861311    -0.227103    11.392271
49754.50     1.804420     0.238296    12.538218
49754.75     1.427981     0.211682    12.286098
49755.00     1.710250     0.182250    11.158235
49755.25     1.731842     0.088631    10.778542
49755.50     1.599751     0.032470    11.753445
49755.75     1.074515    -0.028110    13.293424
49756.00     1.174762     0.118628    13.353072
49756.25     1.125337     0.313711    12.742916
49756.50     1.316646     0.681626    11.817923
49756.75     1.063636     0.474947    10.873400
49757.00     1.215462     0.249605     9.869265
49757.25     1.133163     0.243445    10.138247
49757.50     1.041841     0.630346    11.654637
49757.75     0.629403     0.428898    11.825223
49758.00     0.791045     0.280194    11.593757
49758.25     0.568277     0.136753    10.686052
49758.50     0.439321     0.270006     9.095255
49758.75     0.039788    -0.030636     7.472907
49759.00     0.174981    -0.166422     5.901434
49759.25     0.067298    -0.125838     5.585762
49759.50    -0.017638     0.159944     6.010865
49759.75    -0.431654    -0.093779     6.343588
49760.00    -0.412185    -0.317340     6.596748
49760.25    -0.678799    -0.369309     7.253170
49760.50    -0.828696    -0.205070     7.946782
49760.75    -1.241042    -0.669946     7.809358
49761.00    -1.280400    -0.952250     7.381226
49761.25    -1.393412    -0.931092     6.822516
49761.50    -1.320410    -0.469836     6.445928
49761.75    -1.536266    -0.505594     5.428088
49762.00    -1.261108    -0.446704     4.825956
49762.25    -1.246403    -0.316931     4.367579
49762.50    -1.189316     0.054200     4.327823
49762.75    -1.441571    -0.188228     3.380578
49763.00    -1.174959    -0.278083     2.541374
49763.25    -1.278581    -0.265859     1.835081
49763.50    -1.150014     0.033267     1.414452
49763.75    -1.176616    -0.146649     1.816388
49764.00    -0.614110    -0.232632     2.865803
49764.25    -0.385658    -0.198518     4.091321
49764.50    -0.160099    -0.148958     5.157233
49764.75    -0.608199    -0.555258     4.722673
49765.00    -0.632007    -0.677506     2.717167
49765.25    -0.669641    -0.560772     1.382973
49765.50    -0.658554    -0.224657     0.780352
49765.75    -1.137603    -0.362993    -0.160710
49766.00    -0.870372    -0.490777    -0.224133
49766.25    -1.172071    -0.537836    -0.947864
49766.50    -1.310688    -0.414777    -2.071763
49766.75    -1.801609    -0.722408    -4.099069
49767.00    -1.618160    -0.666917    -4.044754
49767.25    -1.691608    -0.493072    -2.967060
49767.50    -1.447513    -0.033211     0.671791
49767.75    -1.607607    -0.524224     4.646795
49768.00    -1.447190    -1.285459     3.831725
49768.25    -1.616075    -1.242982     1.125754
49768.50    -1.354012    -0.711238     0.059942
49768.75    -1.356635    -0.784366    -0.583646
49769.00    -0.826507    -0.839283    -0.896161
49769.25    -0.675157    -0.628950    -1.586691
49769.50    -0.482826    -0.239718    -1.884550
49769.75    -0.721965    -0.354403    -2.279715
49770.00    -0.298345    -0.462311    -1.545337
49770.25    -0.395164    -0.356455    -0.887666
49770.50    -0.534280    -0.062746    -0.824618
49770.75    -0.899573    -0.215417    -0.996554
49771.00    -0.631159    -0.182453    -0.760348
49771.25    -0.827996    -0.081444    -0.676712
49771.50    -0.737684     0.275700     0.022326
49771.75    -0.925081    -0.036113     0.773713
49772.00    -0.667571    -0.272239     0.652175
49772.25    -0.661331    -0.327584     0.231037
49772.50    -0.346242     0.012732     0.085806
49772.75    -0.381470    -0.163672     0.112420
49773.00     0.279811    -0.303412     1.458501
49773.25     0.539673    -0.526446     4.416438
49773.50     0.539164    -0.570690     6.404267
49773.75    -0.222888    -0.888835     4.567632
49774.00    -0.171922    -0.956937     2.100954
49774.25    -0.493693    -0.868274    -0.188978
49774.50    -0.594600    -0.394732    -2.160616
49774.75    -1.227096    -0.628010    -4.239407
49775.00    -1.159261    -0.664939    -5.557238
49775.25    -1.371795    -0.642076    -6.621495
49775.50    -1.282969    -0.244579    -6.407987
49775.75    -1.456516    -0.452406    -6.625776
49776.00    -1.128276    -0.550095    -6.731486
49776.25    -1.129518    -0.568945    -7.049062
49776.50    -0.777564    -0.249120    -6.390358
49776.75    -1.139990    -0.548576    -7.684551
49777.00    -0.923511    -0.636444    -7.755175
49777.25    -0.923076    -0.529050    -7.373912
49777.50    -0.853710    -0.081740    -6.706542
49777.75    -1.260513    -0.137985    -5.754934
49778.00    -1.024318    -0.193610    -3.773749
49778.25    -1.224108    -0.383044    -2.191836
49778.50    -1.260218    -0.271503    -1.398582
49778.75    -1.536206    -0.694334    -2.357900
49779.00    -1.129477    -0.715410    -3.615628
49779.25    -1.151563    -0.450612    -4.558385
49779.50    -0.973306     0.069847    -3.757656
49779.75    -1.116181    -0.066201    -3.053974
49780.00    -0.698467    -0.256234    -3.706215
49780.25    -0.733792    -0.132668    -3.929077
49780.50    -0.741763     0.015104    -3.706653
49780.75    -1.096397    -0.514047    -4.694277
49781.00    -0.945299    -0.854347    -6.772655
49781.25    -0.990479    -0.863905    -8.286503
49781.50    -0.906032    -0.549954    -9.385165
49781.75    -1.289581    -0.679857   -11.724338
49782.00    -0.837046    -0.558777   -12.262884
49782.25    -0.775369    -0.320240   -12.778206
49782.50    -0.614538     0.059553   -11.876967
49782.75    -0.953679    -0.062910   -11.014447
49783.00    -0.840437    -0.334797   -10.058120
49783.25    -1.151724    -0.461197    -9.729531
49783.50    -1.291936    -0.198976    -9.471482
49783.75    -1.792565    -0.371789    -9.344123
49784.00    -1.387990    -0.394666    -7.784416
49784.25    -1.320064    -0.375459    -5.729035
49784.50    -1.047909    -0.273514    -3.889369
49784.75    -1.382392    -0.822097    -4.278542
49785.00    -1.012630    -0.999361    -5.109732
49785.25    -1.073037    -0.919248    -6.800964
49785.50    -0.779835    -0.553720    -7.421873
49785.75    -1.000081    -0.721487    -8.286506
49786.00    -0.588806    -0.773051    -8.080286
49786.25    -0.741545    -0.771529    -7.683945
49786.50    -0.706787    -0.461957    -7.257482
49786.75    -1.200717    -0.664548    -7.298368
49787.00    -0.985937    -0.712163    -7.262782
49787.25    -1.241240    -0.713390    -7.412592
49787.50    -1.127111    -0.291930    -7.402865
49787.75    -1.581362    -0.394596    -7.728203
49788.00    -1.299957    -0.362740    -7.230943
49788.25    -1.473667    -0.243683    -6.852672
49788.50    -1.557954     0.128054    -5.796337
49788.75    -2.117997    -0.232083    -5.341322
49789.00    -1.914134    -0.433786    -4.991533
49789.25    -2.163772    -0.549683    -5.922506
49789.50    -2.243687    -0.244314    -6.434208
49789.75    -2.746716    -0.515811    -7.014862
49790.00    -2.636163    -0.834829    -6.979575
49790.25    -2.754672    -1.014719    -7.832427
49790.50    -2.455815    -0.831726    -8.690594
49790.75    -2.579606    -0.889625    -9.863131
49791.00    -2.103334    -0.879323    -9.697766
49791.25    -1.882049    -0.720348    -8.085714
49791.50    -1.523379    -0.389503    -6.771446
49791.75    -1.545615    -0.556646    -6.349619
49792.00    -0.999471    -0.470460    -5.738247
49792.25    -0.834965    -0.413356    -5.341822
49792.50    -0.724076    -0.088760    -5.372379
49792.75    -0.872563    -0.284553    -5.967995
49793.00    -0.568513    -0.391198    -5.838669
49793.25    -0.542369    -0.464814    -5.976053
49793.50    -0.385808    -0.169272    -5.094642
49793.75    -0.418414    -0.480442    -4.233172
49794.00     0.124652    -0.722515    -3.796005
49794.25     0.361408    -0.831911    -3.778706
49794.50     0.733937    -0.346254    -4.121339
49794.75     0.466392    -0.405830    -4.160415
49795.00     0.631978    -0.479510    -3.169831
49795.25     0.712250    -0.344005    -1.531466
49795.50     0.837528    -0.093170    -0.363824
49795.75     0.545811    -0.272084     0.232077
49796.00     0.779553    -0.306089     1.431196
49796.25     0.727122    -0.192948     2.528632
49796.50     0.694329     0.118162     3.733041
49796.75     0.450460    -0.043476     4.711724
49797.00     0.724683    -0.107999     6.140763
49797.25     0.422106    -0.182629     6.519990
49797.50     0.526120     0.129196     6.571569
49797.75     0.157958    -0.028480     5.564132
49798.00     0.301024    -0.130712     5.366977
49798.25     0.165958    -0.193962     4.760776
49798.50     0.213436     0.010237     4.499918
49798.75    -0.333992    -0.281585     3.307963
49799.00    -0.235761    -0.460691     2.279109
49799.25    -0.252770    -0.562325     1.343850
49799.50    -0.253200    -0.342227     0.029983
49799.75    -0.745125    -0.616315    -2.082353
49800.00    -0.347243    -0.650005    -2.925832
49800.25    -0.344612    -0.670432    -3.604978
49800.50    -0.107811    -0.489408    -3.576231
49800.75    -0.099572    -0.796949    -3.584546
49801.00     0.475019    -0.795310    -3.390265
49801.25     0.575238    -0.739314    -3.717698
49801.50     0.981324    -0.168612    -3.639612
49801.75     0.934193    -0.319132    -4.143646
49802.00     1.214766    -0.290391    -4.114577
49802.25     1.129314    -0.338088    -4.387346
49802.50     1.311164     0.003931    -4.225693
49802.75     0.799061    -0.200072    -4.980099
49803.00     0.916165    -0.307976    -5.278592
49803.25     0.574304    -0.329718    -5.578523
49803.50     0.496206    -0.005912    -6.032947
49803.75    -0.003599    -0.310058    -6.794013
49804.00     0.178522    -0.392867    -6.677600
49804.25     0.033916    -0.530570    -6.348847
49804.50     0.175766    -0.312879    -5.363656
49804.75    -0.107644    -0.541048    -4.793590
49805.00     0.138673    -0.618692    -3.430832
49805.25    -0.060040    -0.587308    -2.880684
49805.50    -0.039166    -0.182159    -1.705456
49805.75    -0.591218    -0.425612    -2.167929
49806.00    -0.699032    -0.363209    -1.313496
49806.25    -1.032397    -0.379612    -0.359586
49806.50    -0.944916    -0.068963     0.703225
49806.75    -1.333620    -0.393821     0.292239
49807.00    -0.866143    -0.495377    -0.151727
49807.25    -0.858074    -0.538038     0.022465
49807.50    -0.543024    -0.264144     0.292932
49807.75    -0.671932    -0.478221     0.312196
49808.00    -0.105309    -0.434264     0.934923
49808.25     0.061705    -0.417418     1.010840
49808.50     0.391920    -0.038242     1.475381
49808.75     0.216453    -0.161723     1.229051
49809.00     0.600070    -0.235817     0.964479
49809.25     0.636065    -0.134189     0.302376
49809.50     0.863964     0.296985     0.097497
49809.75     0.515542     0.070700    -0.763521
49810.00     0.769143     0.032775    -0.781429
49810.25     0.584480     0.046385    -1.145787
49810.50     0.593665     0.392235    -0.982245
49810.75     0.217072     0.255735    -0.405745
49811.00     0.551562     0.118851     0.662743
49811.25     0.476506     0.029369     1.180877
49811.50     0.574301     0.367361     2.585883
49811.75     0.322767     0.229854     3.803660
49812.00     0.525509    -0.036492     4.003669
49812.25     0.511782    -0.227830     4.231758
49812.50     0.689457    -0.111234     4.285986
49812.75     0.487010    -0.541110     4.265399
49813.00     0.731407    -0.778909     3.324790
49813.25     0.627129    -0.831015     2.456068
49813.50     0.714471    -0.420859     1.577650
49813.75     0.357534    -0.489996     0.745456
49814.00     0.624020    -0.374120    -0.136524
49814.25     0.445678    -0.275105    -0.282307
49814.50     0.376403     0.010990    -0.627461
49814.75     0.054590    -0.103589    -0.276722
49815.00     0.167481    -0.137706     0.010417
49815.25    -0.003929    -0.147409     0.413997
49815.50    -0.093680     0.193672     0.679631
49815.75    -0.376123    -0.060318     1.090900
49816.00    -0.192696    -0.064088     1.565053
49816.25    -0.348422    -0.089380     1.840636
49816.50    -0.180931     0.154044     2.294116
49816.75    -0.505479    -0.254813     2.537896
49817.00    -0.296327    -0.636808     2.178660
