s o   pedestal     gain      rms      dped     dgain     drms
1 1 1777.256836 17.399822 1.395443 -0.727783 0.456160 0.064802
1 2 1782.204102 21.723673 1.565129 -0.661133 0.025764 -0.016634
1 3 1812.903198 16.806955 1.704733 -0.622070 0.039467 -0.187430
1 4 1778.891602 16.777266 1.286219 -1.686768 -0.053322 -0.032641
1 5 1802.399414 16.069847 1.325722 -0.362427 0.018398 -0.019021
1 6 1787.219971 20.780373 1.655143 -0.457886 0.026770 0.038035
1 7 1798.264648 16.619368 1.180748 -0.248291 0.036110 0.017020
1 8 1802.691772 21.257088 1.934989 -0.072510 0.017479 0.174168
2 1 1796.304443 8.414031 1.829707 -0.291748 0.017703 -0.121956
2 2 1800.224609 8.563685 1.530667 -0.335938 0.032743 -0.026151
2 3 1805.606323 8.431214 2.311268 -0.469116 0.037055 0.041750
2 4 1794.243652 7.294612 1.885203 -0.338501 0.036016 -0.016230
2 5 1781.613159 7.587265 1.560566 -0.111694 0.039826 0.078420
2 6 1788.410522 8.557210 1.362432 -0.155273 0.040151 -0.027564
2 7 1794.891357 8.508658 1.813075 0.067261 0.033492 -0.022801
2 8 1797.468018 8.445440 1.529770 0.166626 0.062470 -0.025783
3 1 1765.370728 10.940687 2.288858 -0.125488 0.036876 -0.059368
3 2 1799.623901 10.772851 1.958403 -0.508545 0.040802 -0.054949
3 3 1788.326538 10.621866 2.689178 -0.446045 0.029339 0.024486
3 4 1793.025635 10.775779 2.090221 -0.414551 0.043077 -0.165764
3 5 1789.462524 11.016502 2.288336 0.207275 0.010869 -0.065970
3 6 1778.143799 18.172146 2.322982 0.169800 0.024113 -0.129314
3 7 1801.219360 18.416300 1.910542 -0.580444 0.023643 0.007100
3 8 1798.585571 10.582970 2.080907 0.199341 0.038272 0.024520
