# StationID,Lat(deg.NAD27),Lon(deg.NAD27),Elev(m.NGVD29),Obs_grav(mGal),Free_air_anom(mGal),Inner_terr_corr(mGal),Total_terr_corr(mGal),Complete_Bouguer_anom(mGal),Isostatic_anom(mGal) -- see USGS OFR2006-1396 for more info
04L104,37.3280,-114.8837,1422.1,979474.54,-20.07,0.02,0.65,-179.91,-25.78
04L105,37.3303,-114.9020,1403.1,979477.79,-22.88,0.02,0.55,-180.68,-26.44
04L106,37.3170,-114.9295,1381.4,979481.93,-24.25,0.01,0.51,-179.66,-26.22
04L107,37.3267,-114.9518,1384.6,979484.48,-21.55,0.02,0.43,-177.40,-23.44
04L108,37.3125,-114.9372,1384.9,979482.29,-22.44,0.01,0.50,-178.25,-25.06
04L109,37.3258,-114.9345,1382.8,979480.02,-26.51,0.00,0.43,-182.15,-28.22
04C013,37.2465,-114.9693,1297.8,979507.52,-18.31,2.43,3.76,-161.07,-11.59
04C014,37.2542,-114.9627,1342.1,979497.28,-15.55,1.01,2.21,-164.84,-14.96
04C015,37.2605,-114.9570,1425.2,979478.49,-9.28,0.29,1.31,-168.81,-18.66
04C016,37.2690,-114.9528,1408.4,979480.71,-12.98,0.12,1.02,-170.91,-20.27
04C017,37.2873,-114.9440,1394.0,979483.44,-16.27,0.04,0.73,-172.88,-21.16
04C018,37.2960,-114.9498,1386.6,979486.14,-16.61,0.03,0.60,-172.51,-20.26
04C019,37.3063,-114.9545,1383.8,979484.24,-20.29,0.01,0.50,-175.98,-23.17
04C020,37.3123,-114.9518,1384.2,979483.80,-21.11,0.01,0.47,-176.88,-23.73
04C021,37.3100,-114.9610,1382.5,979485.44,-19.79,0.04,0.50,-175.33,-22.31
04C022,37.3155,-114.9647,1383.5,979486.55,-18.86,0.11,0.55,-174.46,-21.14
04C040,37.3287,-114.7980,2039.9,979345.96,41.82,7.45,13.71,-174.25,-20.47
04C041,37.3010,-114.8002,1692.3,979421.12,12.20,0.95,2.82,-175.81,-23.39
04C042,37.3223,-114.8387,1596.9,979440.90,0.71,1.84,3.06,-176.35,-22.64
04C043,37.3050,-114.8522,1725.1,979414.14,14.99,3.58,5.91,-173.61,-21.08
04C044,37.2913,-114.8607,1780.9,979404.53,23.77,4.80,7.73,-169.26,-17.62
04C045,37.2968,-114.8825,1671.5,979430.41,15.44,3.64,5.55,-167.51,-15.46
04C047,37.2858,-114.9313,1413.5,979482.09,-11.47,0.07,0.97,-170.04,-18.40
04C048,37.2692,-114.9397,1414.2,979480.95,-10.97,0.18,1.24,-169.33,-18.71
04C049,37.2420,-114.9483,1769.3,979401.07,21.04,3.61,8.40,-170.02,-21.25
04C050,37.2420,-114.9790,1520.0,979455.74,-1.17,4.52,6.46,-166.20,-17.12
04C052,37.2708,-114.9883,1678.6,979418.68,8.17,3.88,7.48,-173.63,-23.08
04C053,37.2818,-114.9738,1592.5,979440.72,2.69,1.65,3.65,-173.29,-22.02
04C054,37.2942,-114.9893,1542.3,979452.50,-2.08,1.27,2.84,-173.23,-21.21
04C057,37.3298,-114.9868,1527.7,979452.44,-9.77,2.41,3.64,-178.47,-24.51
04C104,37.2963,-114.8287,1522.9,979454.73,-6.02,0.06,1.31,-176.53,-24.30
04C105,37.2862,-114.7880,1690.3,979421.92,13.69,1.33,3.42,-173.50,-22.05
04C106,37.2862,-114.7980,1636.1,979433.90,8.94,0.71,2.61,-172.97,-21.44
