BR Tag,Requirement text,Name,Rule Number [1 - Flt:Y Srt:A],Error Category,Severity [3 - Flt:Y Srt:N],1065x-v3.1 [6 - Flt:Y Srt:N]
BR9.32 ,"If Form 1065-B, Item G(4), checkbox is checked, then Form 8082 must be present in the return.",,F1065B-001,Missing Document,Reject,
BR9.33 ,"If Form 1065-B, Item G(4), checkbox is checked,  then there must be no more than one Form 8082 present in the return.",,F1065B-002,Multiple Documents,Reject,
BR9.34 ,"If Form 1065-B, Item J checkbox is checked, then Schedule M-3 (Form 1065) must be present in the return.",,F1065B-003,Missing Document,Reject,
BR9.35 ,"If Form 1065-B, Part I, Line 2 has a non-zero value, then it must equal Schedule A, Line 8.",,F1065B-004,Data Mismatch,Reject,
BR9.37 ,"If Form 1065-B, Part I, Line 4 has a non-zero value, then there must be no more than one Form 8825 present in the return.",,F1065B-006,Multiple Documents,Reject,
BR9.38 ,"If Form 1065-B, Part I, Line 7 has a non-zero value, then one or more Schedules F (1040) must be present in the return.",,F1065B-007,Missing Document,Reject,
BR9.39 ,"If Form 1065-B, Part I, Line 8 has a non-zero value, then it must equal Schedule D, Line 14.",,F1065B-008,Data Mismatch,Reject,
BR9.43 ,"If Form 1065-B, Part 1, Line 26a checkbox is checked, then Form 4255 must present in the return.",,F1065B-012,Missing Document,Reject,
BR9.44 ,"If Form 1065-B, Part 1, Line 26a checkbox is checked, then no more than one Form 4255 must be present in the return.",,F1065B-013,Multiple Documents,Reject,
BR9.45 ,"If Form 1065-B, Part 1, Line 26b checkbox is checked, then Form 8611 must be present in the return.",,F1065B-014,Missing Document,Reject,
BR9.48 ,"If Form1065-B, Part II, Line 4 has a non-zero value, then it must equal Schedule D, Line 17.",,F1065B-017,Data Mismatch,Reject,
BR9.49 ,"If Form 1065-B, Schedule A, Line 9c checkbox is checked, then Form 970 must be present in the return.",,F1065B-018,Missing Document,Reject,
BR9.50 ,"If Form 1065-B, Schedule A, Line 9c checkbox is checked, then no more than one Form 970 must  be present in the return.",,F1065B-019,Multiple Documents,Reject,
BR9.51 ,"If Form 1065-B, Schedule B, Line 9 has a non-zero value, then one or more Forms 8865 must be present in the return.",,F1065B-020,Missing Document,Reject,
BR9.52 ,"If Form1065-B, Schedule K, Line 2 has a non-zero value, then it must equal Form1065-B, Part II, Line 13.",,F1065B-021,Data Mismatch,Reject,
BR9.53 ,"If Form1065-B, Schedule K, Line 3 has a non-zero value, then it must equal Form1065-B, Part II, Line 2b.",,F1065B-022,Data Mismatch,Reject,
BR9.54 ,"If Form1065-B, Schedule K, Line 4a has a non-zero value, then it must equal Schedule D, Line 16.",,F1065B-023,Data Mismatch,Reject,
BR9.55 ,"If Form 1065-B, Schedule K, Line 4b has a non-zero value, then it must equal Schedule D, Line 18.",,F1065B-024,Data Mismatch,Reject,
BR9.56 ,"If Form 1065-B, Schedule K, Line 11 has a non-zero value, then one or more Forms 8586 must be present in the return.",,F1065B-025,Missing Document,Reject,
BR9.79 ,"If Form 1065-B, Schedule K, Line 10 has a non-zero value, then one or more distinct forms and/or schedule/statement from the following must be attached: Form 3468, 5884, 5884-A, 6478, 6765, 8820, 8826, 8834, 8835, 8844, 8845, 8846, 8847, 8861, 8864, 8874, 8881, 8882, 8896, 8900, 8906, 8907, 8908, 8909, 8910, 8911, 8912, 8923, ""Other Credits Statement"" [OtherCreditsStatement].",,F1065B-030,Missing Document,Reject,
BR9.81 ,"If Form 1065-B, Part 1, Line 27b checkbox is checked, then Form 4136 must be attached to Form 1065-B.",,F1065B-031,Missing Document,Reject,
BR9.82 ,"If Form 1065-B, Part 1, Line 27b checkbox is checked, then there must be no more than one Form 4136 attached to Form 1065-B.",,F1065B-032,Multiple Documents,Reject,
BR9.91 ,"If Form 1065-B, Part I, Line 4 has a non-zero value, then Form 8825 must be attached to Form 1065B.",,F1065B-033,Missing Document,Reject,Verbiage Change
BR9.92 ,"If Form 1065-B, Line 9, has a non-zero value, then Form 4684 or Form 4797 must be attached to Form 1065B.",,F1065B-034,Missing Document,Reject,Verbiage Change
BR9.93 ,"If Form 1065-B, Schedule K, Line 12 has a non-zero value, then either Form 3468 or Form 8586 must be attached to the Form 1065B.",,F1065B-035,Missing Document,Reject,Verbiage Change
BR1.182 ,"If Form 5471, Item B, checkbox ""3"" is checked, then one or more ""Category 3 Filer Statements"" [Category3FilerStatement] must be attached.",,F5471-002,Missing Document,Reject,
BR1.183 ,"If Form 5471, Schedule C, Line 8, Columns ""Functional Currency"" or ""US Dollars"" has a non-zero value, then ""Other Income Statement"" [OtherIncomeForm5471Statement] must be attached.",,F5471-003,Missing Document,Reject,
BR1.185 ,"If Form 5471, Schedule C, Line 16, Columns ""Functional Currency"" or ""US Dollars"" has a non-zero value, then ""Itemized Other Deductions Schedule"" [ItemizedOtherDeductionsSchedule2] must be attached.",,F5471-005,Missing Document,Reject,
BR1.202 ,"If Form 5471, Schedule H, Line 2h, Columns ""Net Additions"" or ""Net Subtractions"" has a non-zero value, then ""Earnings and Profits Other Adjustments Statement"" [EarningsAndProfitsOtherAdjStmt] must be attached.",,F5471-010,Missing Document,Reject,
BR1.189 ,"If Form 5471, Schedule F, Line 6, Column (a) or Column (b) has a non-zero value, then ""Investment In Subsidiaries Statement"" [InvestmentInSubsidiariesStmt] must be attached.",,F5471-014,Missing Document,Reject,
BR1.220 ,"If Form 5471, Schedule G, Line 1, checkbox 'Yes' is checked,  then one or more ""Owns Foreign Partnership Statement"" [OwnsForeignPartnershipStmt] must be attached.",,F5471-026,Missing Document,Reject,
BR1.1135 ,"If Form 5471, Schedule F, Line 4, Column (a) or Column (b) has a non-zero value, then ""Itemized Other Current Assets Schedule"" [ItemizedOtherCurrentAssetsSchedule] must be attached.",,F5471-029,Missing Document,Reject
BR1.1136 ,"If Form 5471, Schedule F, Line 7, Column (a) or Column (b) has a non-zero value, then ""Itemized Other Investments Schedule"" [ItemizedOtherInvestmentsSchedule] must be attached.",,F5471-030,Missing Document,Reject
BR1.1137 ,"If Form 5471, Schedule F, Line 12, Column (a) or Column (b) has a non-zero value, then ""Itemized Other Assets Schedule"" [ItemizedOtherAssetsSchedule] must be attached.",,F5471-031,Missing Document,Reject
BR1.1138 ,"If Form 5471, Schedule F, Line 15, Column (a) or Column (b) has a non-zero value, then ""Itemized Other Current Liabilities Schedule"" [ItemizedOtherCurrentLiabilitiesSchedule] must be attached.",,F5471-032,Missing Document,Reject
BR1.1139 ,"If Form 5471, Schedule F, Line 17, Column (a) or Column (b) has a non-zero value, then ""Itemized Other Liabilities Schedule"" [ItemizedOtherLiabilitiesSchedule] must be attached.",,F5471-033,Missing Document,Reject
BR1.1078 ,"If Form 6478, Line 1(a) has a value, then the value must be greater than or equal to 0 (zero) and less than or equal to 15000000 (fifteen million).",,F6478-002,Incorrect Data,Reject
BR1.1318 ,"If Form 6765, Line 10 has a value, the value must be greater than or equal to 0 (zero) and less than or equal to 16% (0.16000).",,F6765-003,Incorrect Data,Reject
BR1.1270 ,"If Form 8586, Line 3 has a non-zero value, then one or more Forms 8609-A must be present in the return.",,F8586-006,Missing Document,Reject
BR1.1271 ,"If Form 8586, Line 1 has a non-zero value, a matching number of Forms 8609-A must be present in the return.",,F8586-007,Incorrect Data,Reject
BR1.1272 ,"Form 8609-A, Part I, Item A ""Building Identification Number"" must have a value.",,F8609A-001,Missing Data,Reject
BR1.612 ,"If Form 8825 is attached, and Line 2 ""Gross rents"" has a non-zero value for any Rental Real Estate property, then ""Total Gross Rents"" must have a value greater than zero.",,F8825-001,Missing Data,Reject
BR1.176 ,"If Form 8865, Line G2 check box ""Form 1065 or 1065-B"" is checked, then Line F2 must have a value.",,F8865-003,Missing Data,Reject
BR1.271 ,"If Form 8865, Schedule K, Line 2 has a non-zero value, then Form 8825 must be attached.",,F8865-011,Missing Document,Reject
BR1.234 ,"If Form 8865, Schedule A, checkbox b ""Owns a constructive interest"" is checked, then data for at least one row in Schedule A must be provided. For each row of data provided, ""Name"" and ""Address"" must have a value.",,F8865-028,Missing Data,Reject
BR1.237 ,"If Form 8865, Schedule B, Line 5 has a non-zero value, then Schedule F (Form 1040) must be attached.",,F8865-029,Missing Document,Reject
BR1.772 ,There can be no more than one Form 8825 attached to Form 8865.,,F8865-097,Multiple Documents,Reject
BR1.1381 ,"If Form 8865, Schedule K, Line 15f has a non-zero value, then one or more distinct forms and/or schedule/statement from the following list must be attached : Form 4255, 5884, 6478, 6765, 8820, 8826, 8834, 8835, 8844, 8845, 8846, 8847, 8860, 8861, 8864, 8874, 8881, 8882, 8896, 8900, 8586, 8271, 4797, 3468, 8906, 8907, 8908, 8910, 8911, 8912, 5884-A  Non Conventional Fuel Source Credit Schedule"" [""NonconventionalSourceFuelCreditSchedule""], ""Itemized Other Credits Schedule"" [""ItemizedOtherCreditsSchedule""].",,F8865-178,Missing Document,Reject
BR1.1436 ,"If Form 8865, Schedule K, Line 15f has a non-zero value, then one or more distinct forms and/or schedule/statement from the following list must be attached : Form 4255, 5884, 6478, 6765, 8820, 8826, 8834, 8835, 8844, 8845, 8846, 8847, 8860, 8861, 8864, 8874, 8881, 8882, 8896, 8900, 8586, 8271, 4797, 3468, 8906, 8907, 8908, 8909, 8910, 8911, 8912, 8923, 5884-A  Non Conventional Fuel Source Credit Schedule"" [""NonconventionalSourceFuelCreditSchedule""], ""Itemized Other Credits Schedule"" [""ItemizedOtherCreditsSchedule""].",,F8865-186,Missing Document,Reject
BR1.155 ,"If Form 982, Line 1c is checked and Line 1a, Line 1b and Line 1d are not checked, then Line 10 must have a non-zero value.",,F982-001,Missing Data,Reject
BR1.157 ,"If Form 982, Line 1d is checked, Line 4 must have a non-zero value.",,F982-003,Missing Data,Reject
BR1.1277 ,Tax payer's Day Time Phone Number in IRS Payment Record cannot equal all zeros.,,FPYMT-018,Incorrect Data,Reject
BR9.75 ,"If the timestamp (in the GTX key or Response to Send Submissions Request) is on or before the due date of the return (three and one half months after the ""TaxPeriodEndDate"" in the Return Header), then the ""RequestedPaymentDate"" in the IRS Payment Record  must be on the due date or before the due date but not more than 5 days prior to the received date.",,FPYMT-027,Incorrect Data,Reject
BR9.76 ,"If the timestamp (in the GTX key or Response to Send Submissions Request) is after the due date of the return (three and one half months after the ""TaxPeriodEndDate""  in the Return Header), then the ""RequestedPaymentDate"" in the IRS Payment Record must not be later than the date the return was received and must not be prior to five days before the date the return was received by the IRS.",,FPYMT-028,Incorrect Data,Reject
BR9.84 ,"""Payment Amount"" in the IRS Payment Record must not be greater than 200% of Form 1065-B, Line 28.",,FPYMT-039,Incorrect Data,Reject
BR1.603 ,The return type must be specified for each return in the return header.,,R0000-002,Missing Data,Reject And Stop
BR1.602 ,The return version (attribute 'returnVersion' of the Return element) must be specified for each return in the return header.,,R0000-003,Missing Data,Reject And Stop
BR1.599 ,The return type (specified in the Return Header) and the return version (specified by the 'returnVersion' attribute of the 'Return' element) of the return must match the return type and the version supported by the Modernized e-File system.,,R0000-004,Data Mismatch,Reject And Stop
