-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    ECMWF_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
NANO        49718.000    1995     1     1     0
NANO        52274.750    2001    12    31    18
NANO     -2335726.738 -3451608.345  4812009.996
NANO           49.295     -124.086        6.587
NANO     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.417340     0.504470    -3.565418
49718.25     0.406386     0.496933    -3.514484
49718.50     0.419467     0.482004    -3.279110
49718.75     0.398203     0.568330    -3.797687
49719.00     0.493263     0.518403    -3.661920
49719.25     0.576306     0.544672    -3.849565
49719.50     0.615334     0.547304    -3.422456
49719.75     0.553248     0.612712    -3.421373
49720.00     0.501095     0.510908    -2.664706
49720.25     0.421525     0.470522    -2.196230
49720.50     0.368502     0.458056    -1.659210
49720.75     0.202144     0.442451    -1.550350
49721.00     0.126863     0.305166    -0.825832
49721.25    -0.021070     0.227922    -0.494425
49721.50    -0.181888     0.067329     0.548125
49721.75    -0.367541    -0.122859     1.274010
49722.00    -0.398571    -0.423997     2.949991
49722.25    -0.431592    -0.715871     4.099499
49722.50    -0.451852    -0.888023     4.992203
49722.75    -0.466243    -0.929504     4.461723
49723.00    -0.476556    -1.003711     4.468710
49723.25    -0.518893    -0.919707     3.774769
49723.50    -0.590576    -0.879526     3.509215
49723.75    -0.709903    -0.826320     3.074668
49724.00    -0.692233    -0.878331     3.483582
49724.25    -0.587259    -0.844922     4.107606
49724.50    -0.589465    -0.812528     5.363122
49724.75    -0.717216    -0.729240     5.322191
49725.00    -0.748491    -0.709535     5.692722
49725.25    -0.742415    -0.496666     5.178398
49725.50    -0.649470    -0.358447     5.589912
49725.75    -0.803143    -0.157690     5.457471
49726.00    -0.796461    -0.167349     4.830901
49726.25    -0.594406    -0.107647     4.313856
49726.50    -0.529447    -0.121853     5.557796
49726.75    -0.634825    -0.090566     5.640800
49727.00    -0.551088    -0.213541     6.216382
49727.25    -0.631204    -0.210414     6.603148
49727.50    -0.593905    -0.295593     6.783614
49727.75    -0.651251    -0.406757     6.672722
49728.00    -0.603754    -0.556539     6.810661
49728.25    -0.536049    -0.598052     6.974392
49728.50    -0.573146    -0.641719     7.169425
49728.75    -0.656853    -0.552625     6.001858
49729.00    -0.541106    -0.571664     5.403865
49729.25    -0.395785    -0.471926     4.738130
49729.50    -0.282775    -0.453431     4.683607
49729.75    -0.282916    -0.412108     4.191992
49730.00    -0.286821    -0.392749     4.088462
49730.25    -0.262611    -0.263021     3.375599
49730.50    -0.145565    -0.212748     3.704619
49730.75    -0.198100    -0.129986     4.004320
49731.00    -0.284828    -0.209711     4.815053
49731.25    -0.275664    -0.270515     4.983835
49731.50    -0.228572    -0.398661     5.713199
49731.75    -0.306393    -0.424580     5.985045
49732.00    -0.371618    -0.577372     6.715075
49732.25    -0.428486    -0.589429     6.454114
49732.50    -0.371918    -0.633189     6.112296
49732.75    -0.341721    -0.552443     5.186747
49733.00    -0.221003    -0.581151     4.709324
49733.25    -0.145642    -0.483538     4.049246
49733.50    -0.098073    -0.467582     3.859038
49733.75    -0.191335    -0.326022     3.029487
49734.00    -0.249524    -0.346895     3.049490
49734.25    -0.358510    -0.295134     3.018232
49734.50    -0.486578    -0.326574     3.684332
49734.75    -0.635155    -0.281733     3.879186
49735.00    -0.654229    -0.347292     4.506594
49735.25    -0.751021    -0.299097     5.029769
49735.50    -0.822123    -0.183196     5.308252
49735.75    -0.843259    -0.072519     4.337236
49736.00    -0.704683    -0.088376     3.197068
49736.25    -0.479480     0.062669     1.431671
49736.50    -0.264103     0.166154     0.496130
49736.75    -0.037643     0.291122    -0.771925
49737.00     0.186319     0.290734    -0.628242
49737.25     0.256021     0.338319    -0.496390
49737.50     0.310590     0.340698    -0.035523
49737.75     0.271636     0.309257    -0.073629
49738.00     0.315983     0.241642     0.246672
49738.25     0.264890     0.197185     0.303582
49738.50     0.268715     0.151849     0.406279
