"Table 9.  PAD District 2--Supply, Disposition, and Ending Stocks of Crude Oil and Petroleum Products, June 2008",,,,,,,,,,,,
,,        (Thousand Barrels),,,,,,,,,,
Commodity,,,Supply,,,,,Disposition,,,,Ending Stocks
,,,Field Production,Refinery and Blender Net Production,Imports (PADD of Entry)a,Net Receipts,Adjust-mentsb,Stock Changec,Refinery and Blender Net Inputs,Exports,Products Suppliedd,
Crude Oil,,,"15,487",-,"33,579","49,611","1,954",-545,"100,779",397,0,"64,780"
,"Cushing, Oklahoma",,-,-,-,-,-,-269,-,-,-,"20,888"
Natural Gas Liquids and LRGs,,,"9,652","5,667","1,779",22,-,"5,751","2,658","1,206","7,505","36,910"
,Pentanes Plus,,"1,122",-,33,"1,189",-,406,978,862,98,"3,483"
,Liquefied Petroleum Gases,,"8,530","5,667","1,746","-1,167",-,"5,345","1,680",344,"7,407","33,427"
,,Ethane/Ethylene,"4,006",0,12,"-2,311",-,-410,0,0,"2,117","3,041"
,,Propane/Propylene,"3,002","3,167","1,455",361,-,"3,097",0,43,"4,845","17,827"
,,Normal Butane/Butylene,868,"2,431",114,224,-,"2,501",16,301,819,"10,414"
,,Isobutane/Isobutylene,654,69,165,559,-,157,"1,664",0,-374,"2,145"
Other Liquids,,,-,-,22,"5,056","1,681","-1,390","9,906",216,"-1,973","35,194"
,Other Hydrocarbons/Oxygenates,,-,-,8,0,"6,480",482,"5,840",166,0,"5,128"
,Unfinished Oils,,-,-,14,441,-,"-1,684","4,112",0,"-1,973","12,453"
,Motor Gasoline Blend. Comp. (MGBC),,-,-,0,"4,615","-4,798",-188,-46,51,0,"17,613"
,,Reformulated,-,-,0,"2,303",-374,-22,"1,951",0,0,"6,666"
,,Conventional,-,-,0,"2,312","-4,424",-166,"-1,997",51,0,"10,947"
,Aviation Gasoline Blend. Comp.,,-,-,0,0,-,0,0,0,0,0
Finished Petroleum Products,,,-,"113,479",575,"24,894","6,835",-321,-,"2,455","143,649","89,883"
,Finished Motor Gasoline,,-,"56,300",6,"15,548","6,835",605,-,531,"77,553","33,638"
,,Reformulated,-,"11,242",0,0,416,-2,-,128,"11,532",7
,,Conventional,-,"45,058",6,"15,548","6,419",607,-,403,"66,021","33,631"
,Finished Aviation Gasoline,,-,116,3,55,-,38,-,0,136,326
,Kerosene-Type Jet Fuel,,-,"6,654",0,"2,130",-,-261,-,106,"8,939","7,500"
,Kerosene,,-,-26,0,0,-,-25,-,0,-1,112
,Distillate Fuel Oil,,-,"31,706",81,"6,973",0,469,-,203,"38,088","30,258"
,,15 ppm sulfur and undere,-,"27,923",49,"5,070",-106,525,-,0,"32,411","23,868"
,,Greater than 15 ppm to 500 ppm sulfure,-,"2,279",28,"1,400",106,71,-,62,"3,680","3,956"
,,Greater than 500 ppm sulfur,-,"1,504",4,503,-,-127,-,141,"1,997","2,434"
,Residual Fuel Oilf,,-,"1,548",112,-402,-,-290,-,65,"1,483","1,320"
,,Less than 0.31 percent sulfur,-,0,0,0,-,-14,-,-,-,43
,,0.31 to 1.00 percent sulfur,-,101,78,0,-,-29,-,-,-,82
,,Greater than 1.00 percent sulfur,-,"1,447",34,-402,-,-247,-,-,-,"1,195"
,Petrochemical Feedstocks,,-,"1,217",108,79,-,15,-,-,"1,389",508
,,Naphtha for Petro. Feed. Use,-,952,68,-9,-,9,-,-,"1,002",391
,,Other Oils for Petro. Feed. Use,-,265,40,88,-,6,-,-,387,117
,Special Naphthas,,-,166,28,41,-,16,-,0,219,232
,Lubricants,,-,448,86,582,-,2,-,234,880,"1,089"
,Waxes,,-,83,3,-9,-,3,-,71,3,50
,Petroleum Coke,,-,"4,586",42,-,-,198,-,671,"3,759","1,458"
,,Marketable,-,"3,315",42,-,-,198,-,671,"2,488","1,458"
,,Catalyst,-,"1,271",-,-,-,-,-,-,"1,271",-
,Asphalt and Road Oil,,-,"6,071",100,-106,-,"-1,110",-,574,"6,601","13,136"
,Still Gas,,-,"4,197",-,-,-,-,-,-,"4,197",-
,Miscellaneous Products,,-,413,6,3,-,19,-,1,402,256
Total,,,"25,139","119,146","35,955","79,583","10,471","3,495","113,343","4,274","149,181","226,767"
