"C3. Living Arrangements of Children Under 18 Years/1 and Marital Status of Parents, by Age, Sex, Race, and Hispanic Origin/2 and Selected Characteristics of the Child for All Children: 2004",,,,,,,,,,,,,,,,

(Numbers in thousands),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
All remaining single races and all race combinations,,,,Total,Living with both parents,Living with mother only,,,,,Living with father only,,,,,Living with neither parent
,,,,,Married spouse present,Married spouse absent,Widowed,Divorced,Separated,Never married,Married spouse absent,Widowed,Divorced,Separated,Never married,No parent present
ALL CHILDREN,,,,"3,126","1,794",45,32,277,111,460,8,4,90,29,92,185
MALE,,,,"1,592",919,26,16,130,43,232,7,2,54,17,51,96
FEMALE,,,,"1,534",875,19,16,147,68,227,1,1,36,12,41,90
BOTH SEXES,TOTAL,,,"3,126","1,794",45,32,277,111,460,8,4,90,29,92,185
,AGE OF CHILD,Under 1 year,,156,81,9,-,5,6,35,-,0,1,1,10,8
,,1-2 years,,391,237,5,-,14,6,89,2,-,4,2,18,15
,,3-5 years,,538,286,15,2,33,13,119,-,0,16,5,21,26
,,6-8 years,,537,303,4,9,53,28,73,0,-,12,3,18,32
,,9-11 years,,547,327,3,6,65,22,58,2,-,19,6,12,27
,,12-14 years,,501,310,3,3,51,23,37,3,3,20,9,6,34
,,15-17 years,,456,250,6,11,55,11,49,1,1,18,4,7,43
,PRESENCE OF SIBLINGS,None,,695,265,7,4,78,23,176,5,3,32,12,30,60
,,One sibling,,"1,101",676,27,22,94,34,146,2,-,29,3,36,32
,,Two siblings,,781,509,4,6,57,44,75,1,1,23,9,6,48
,,Three siblings,,346,229,8,-,35,5,28,-,-,6,5,10,19
,,Four siblings,,132,82,0,-,5,2,19,1,-,-,-,10,13
,,Five or more siblings,,72,33,-,-,8,2,16,-,-,-,1,-,13
,NATIVITY OF CHILD AND PARENTS,Native child and parent,,"2,267","1,234",43,30,244,89,431,5,4,84,25,79,-
,,Native child and foreign born parent,,585,488,3,2,33,19,24,3,-,4,4,6,-
,,Foreign-born child and parent,,83,66,-,1,1,3,6,-,-,1,-,7,-
,,Foreign-born child and native born parent,,6,6,-,-,-,-,-,-,-,-,-,-,-
,,"Native child, no parents present",,182,-,-,-,-,-,-,-,-,-,-,-,182
,,"Foreign-born child, no parents present",,3,-,-,-,-,-,-,-,-,-,-,-,3
,PRESENCE OF GRANDPARENTS,Grandparent is not householder,Grandmother and grandfather,15,8,1,-,-,3,3,-,-,-,-,-,-
,,,Grandmother only,54,30,2,1,5,3,10,-,-,3,0,-,-
,,,Grandfather only,21,15,-,0,2,0,4,-,-,-,-,-,-
,,Grandparent is householder,Grandmother and grandfather,118,17,1,1,12,4,31,-,0,7,-,5,40
,,,Grandmother only,111,9,6,-,15,6,41,-,-,6,4,1,23
,,,Grandfather only,27,3,-,-,3,-,8,-,-,-,-,2,13
,,No grandparents present,No grandparents,"2,781","1,713",35,30,241,95,363,8,4,74,24,85,110
,PRESENCE OF ADULTS OTHER THAN PARENTS,Other relatives only,,712,326,25,8,77,23,108,4,1,16,7,9,108
,,Non relatives only,,346,20,2,4,41,21,99,2,2,25,10,62,60
,,Both relatives and non relatives,,83,12,1,0,11,-,22,-,-,6,0,13,17
,,No other relatives or non relatives,,"1,985","1,436",18,20,149,66,231,2,0,42,12,8,-
,COHABITING HOUSEHOLDER POSSLQ DEF.,Not a POSSLQ household,,"2,455","1,544",39,21,193,84,333,4,3,50,17,32,135
,,POSSLQ household,,215,-,-,-,29,16,78,2,-,21,8,53,7
,,Child 15 to 17 years old,,456,250,6,11,55,11,49,1,1,18,4,7,43
,HOUSEHOLDER HAS OPP. SEX UNMARR. PART.,No unmarried partner of householder,Parent is not householder or partner,"2,865","1,794",45,32,239,93,368,6,2,68,18,23,176
,,Householder has unmarried partner,Parent is not householder or partner,13,-,-,-,-,-,4,-,-,-,0,0,9
,,,Parent is householder,228,-,-,-,34,6,86,2,1,20,10,69,-
