table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,
"Table 2: Annual Estimates of the Population by Sex and Age for Missouri: April 1, 2000 to July 1, 2004",,,,,,,
Sex and age,Population estimates,,,,,"April 1, 2000",
,"July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates base,Census
BOTH SEXES,"5,754,618","5,719,204","5,679,770","5,642,575","5,606,246","5,596,683","5,595,211"
.Under 5 years,"371,469","369,776","369,287","365,761","369,028","369,899","369,898"
.5 to 9 years,"366,904","373,071","379,672","385,224","396,310","398,900","398,898"
.10 to 14 years,"401,073","408,555","411,853","408,953","411,939","412,086","412,080"
.15 to 19 years,"413,921","412,964","413,144","413,234","413,650","413,315","413,296"
.20 to 24 years,"420,484","414,844","404,278","392,375","374,132","369,640","369,498"
.25 to 29 years,"371,581","359,393","352,958","353,750","360,832","362,499","362,305"
.30 to 34 years,"379,492","382,897","383,044","382,112","377,481","376,718","376,428"
.35 to 39 years,"389,528","399,982","413,485","428,951","441,325","443,562","443,250"
.40 to 44 years,"455,714","456,216","455,446","454,500","446,534","444,548","444,319"
.45 to 49 years,"440,608","432,629","421,139","410,288","398,731","395,733","395,616"
.50 to 54 years,"385,776","375,755","368,900","369,264","350,825","346,943","346,846"
.55 to 59 years,"328,888","315,656","304,914","285,221","280,157","279,100","279,073"
.60 to 64 years,"263,488","254,861","242,753","235,137","229,478","228,358","228,325"
.65 to 69 years,"207,698","204,757","203,931","204,977","204,972","205,381","205,372"
.70 to 74 years,"184,076","185,418","184,974","186,373","187,589","187,853","187,854"
.75 to 79 years,"156,868","158,047","158,464","157,734","157,421","157,208","157,207"
.80 to 84 years,"116,671","114,235","112,335","109,017","106,848","106,371","106,375"
.85 years or more,"100,379","100,148","99,193","99,704","98,994","98,569","98,571"
,,,,,,,
.Under 18 years,"1,384,542","1,397,469","1,408,587","1,406,876","1,424,430","1,427,701","1,427,692"
.Under 5 years,"371,469","369,776","369,287","365,761","369,028","369,899","369,898"
.5 to 13 years,"684,295","699,736","710,264","713,734","725,560","727,567","727,559"
.14 to 17 years,"328,778","327,957","329,036","327,381","329,842","330,235","330,235"
.18 to 64 years,"3,604,384","3,559,130","3,512,286","3,477,894","3,425,992","3,413,600","3,412,140"
.18 to 24 years,"589,309","581,741","569,647","558,671","540,629","536,139","535,978"
.25 to 44 years,"1,596,315","1,598,488","1,604,933","1,619,313","1,626,172","1,627,327","1,626,302"
.45 to 64 years,"1,418,760","1,378,901","1,337,706","1,299,910","1,259,191","1,250,134","1,249,860"
.65 years and over,"765,692","762,605","758,897","757,805","755,824","755,382","755,379"
,,,,,,,
.16 years and over,"4,533,757","4,486,790","4,438,019","4,400,561","4,345,899","4,333,400","4,331,937"
.18 years and over,"4,370,076","4,321,735","4,271,183","4,235,699","4,181,816","4,168,982","4,167,519"
.15 to 44 years,"2,430,720","2,426,296","2,422,355","2,424,922","2,413,954","2,410,282","2,409,096"
,,,,,,,
.Median age (years),37.0,36.9,36.7,36.5,36.2,36.1,36.1
MALE,"2,810,852","2,790,649","2,768,523","2,747,528","2,727,135","2,721,663","2,720,177"
.Under 5 years,"190,316","189,516","189,263","187,251","188,786","189,250","189,250"
.5 to 9 years,"187,760","190,933","194,217","197,113","202,716","204,039","204,037"
.10 to 14 years,"204,994","208,851","210,642","209,265","211,271","211,386","211,383"
.15 to 19 years,"212,370","211,912","212,199","211,952","211,145","210,854","210,835"
.20 to 24 years,"213,564","209,775","203,347","196,622","187,213","184,827","184,685"
.25 to 29 years,"186,104","179,526","175,943","176,313","179,748","180,477","180,285"
.30 to 34 years,"189,157","191,035","191,181","190,547","188,163","187,734","187,446"
.35 to 39 years,"193,924","198,747","205,637","213,454","219,236","220,250","219,939"
.40 to 44 years,"225,923","226,246","225,495","224,489","220,677","219,685","219,458"
.45 to 49 years,"216,788","212,456","206,683","201,526","195,283","193,788","193,673"
.50 to 54 years,"187,574","182,653","179,406","179,566","170,658","168,775","168,679"
.55 to 59 years,"158,708","152,258","146,800","137,296","135,017","134,479","134,452"
.60 to 64 years,"125,208","121,171","115,450","111,828","109,426","108,853","108,820"
.65 to 69 years,"97,473","95,745","95,228","95,649","94,871","94,902","94,889"
.70 to 74 years,"81,614","82,311","81,889","82,345","83,067","83,213","83,198"
.75 to 79 years,"65,862","65,856","65,585","64,884","64,359","64,162","64,159"
.80 to 84 years,"44,619","43,162","41,605","39,743","38,349","38,046","38,046"
.85 years or more,"28,894","28,496","27,953","27,685","27,150","26,943","26,943"
,,,,,,,
.Under 18 years,"708,711","715,566","721,294","720,602","729,835","731,622","731,617"
.Under 5 years,"190,316","189,516","189,263","187,251","188,786","189,250","189,250"
.5 to 13 years,"349,919","357,717","363,222","365,240","371,391","372,417","372,412"
.14 to 17 years,"168,476","168,333","168,809","168,111","169,658","169,955","169,955"
.18 to 64 years,"1,783,679","1,759,513","1,734,969","1,716,620","1,689,504","1,682,775","1,681,325"
.18 to 24 years,"300,293","295,421","288,374","281,601","271,296","268,734","268,573"
.25 to 44 years,"795,108","795,554","798,256","804,803","807,824","808,146","807,128"
.45 to 64 years,"688,278","668,538","648,339","630,216","610,384","605,895","605,624"
.65 years and over,"318,462","315,570","312,260","310,306","307,796","307,266","307,235"
,,,,,,,
.16 years and over,"2,185,958","2,159,838","2,133,008","2,111,617","2,081,762","2,074,713","2,073,232"
.18 years and over,"2,102,141","2,075,083","2,047,229","2,026,926","1,997,300","1,990,041","1,988,560"
.15 to 44 years,"1,221,042","1,217,241","1,213,802","1,213,377","1,206,182","1,203,827","1,202,648"
,,,,,,,
.Median age (years),35.6,35.4,35.2,35.1,34.9,34.8,34.8
FEMALE,"2,943,766","2,928,555","2,911,247","2,895,047","2,879,111","2,875,020","2,875,034"
.Under 5 years,"181,153","180,260","180,024","178,510","180,242","180,649","180,648"
.5 to 9 years,"179,144","182,138","185,455","188,111","193,594","194,861","194,861"
.10 to 14 years,"196,079","199,704","201,211","199,688","200,668","200,700","200,697"
.15 to 19 years,"201,551","201,052","200,945","201,282","202,505","202,461","202,461"
.20 to 24 years,"206,920","205,069","200,931","195,753","186,919","184,813","184,813"
.25 to 29 years,"185,477","179,867","177,015","177,437","181,084","182,022","182,020"
.30 to 34 years,"190,335","191,862","191,863","191,565","189,318","188,984","188,982"
.35 to 39 years,"195,604","201,235","207,848","215,497","222,089","223,312","223,311"
.40 to 44 years,"229,791","229,970","229,951","230,011","225,857","224,863","224,861"
.45 to 49 years,"223,820","220,173","214,456","208,762","203,448","201,945","201,943"
.50 to 54 years,"198,202","193,102","189,494","189,698","180,167","178,168","178,167"
.55 to 59 years,"170,180","163,398","158,114","147,925","145,140","144,621","144,621"
.60 to 64 years,"138,280","133,690","127,303","123,309","120,052","119,505","119,505"
.65 to 69 years,"110,225","109,012","108,703","109,328","110,101","110,479","110,483"
.70 to 74 years,"102,462","103,107","103,085","104,028","104,522","104,640","104,656"
.75 to 79 years,"91,006","92,191","92,879","92,850","93,062","93,046","93,048"
.80 to 84 years,"72,052","71,073","70,730","69,274","68,499","68,325","68,329"
.85 years or more,"71,485","71,652","71,240","72,019","71,844","71,626","71,628"
,,,,,,,
.Under 18 years,"675,831","681,903","687,293","686,274","694,595","696,079","696,075"
.Under 5 years,"181,153","180,260","180,024","178,510","180,242","180,649","180,648"
.5 to 13 years,"334,376","342,019","347,042","348,494","354,169","355,150","355,147"
.14 to 17 years,"160,302","159,624","160,227","159,270","160,184","160,280","160,280"
.18 to 64 years,"1,820,705","1,799,617","1,777,317","1,761,274","1,736,488","1,730,825","1,730,815"
.18 to 24 years,"289,016","286,320","281,273","277,070","269,333","267,405","267,405"
.25 to 44 years,"801,207","802,934","806,677","814,510","818,348","819,181","819,174"
.45 to 64 years,"730,482","710,363","689,367","669,694","648,807","644,239","644,236"
.65 years and over,"447,230","447,035","446,637","447,499","448,028","448,116","448,144"
,,,,,,,
.16 years and over,"2,347,799","2,326,952","2,305,011","2,288,944","2,264,137","2,258,687","2,258,705"
.18 years and over,"2,267,935","2,246,652","2,223,954","2,208,773","2,184,516","2,178,941","2,178,959"
.15 to 44 years,"1,209,678","1,209,055","1,208,553","1,211,545","1,207,772","1,206,455","1,206,448"
,,,,,,,
.Median age (years),38.5,38.2,38.0,37.8,37.4,37.4,37.4
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Dash (-) represents zero or rounds to zero.  (X) Not applicable",,,,,,,
Suggested Citation:,,,,,,,
"Table 2: Annual Estimates of the Population by Sex and Age for Missouri: April 1, 2000 to July 1, 2004 (SC-EST2004-02-29)",,,,,,,
"Source: Population Division, U.S. Census Bureau",,,,,,,
Release Date: March 2005,,,,,,,
