Table 1-63:  Annual Person-Hours of Highway Traffic Delay Per Person,,,,,,,,,,,,,,,,,,,,,,,
Population group,Urban area ,1982,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,Percent changea,,,,,
,,,,,,,,,,,,,,,,,,Short-term                1998-2003,,Long-term              1982-2003,,,
,,,,,,,,,,,,,,,,,,Percent,Rank,Percent,Rank,,
Medium,"Akron, OH",1,1,3,3,4,(R) 4,5,4,6,8,9,9,8,(R) 7,6,6,-33,82,500,29,,
Medium,"Albany-Schenectady-Troy, NY",(R) 1,1,4,3,4,4,4,4,4,4,5,6,6,6,6,7,40,12,600,20,,
Medium,"Albuquerque, NM",2,4,8,8,10,11,14,18,20,23,25,(R) 24,(R) 18,(R) 17,15,16,-36,85,700,15,,
Medium,"Allentown-Bethlehem, PA-NJ",3,4,6,6,6,7,7,7,(R) 8,8,8,(R) 8,(R) 8,(R) 9,(R) 9,9,13,48,200,70,,
Small,"Anchorage, AK",2,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,50,10,50,83,,
Very large,"Atlanta, GA",6,10,11,11,12,17,23,26,30,31,33,29,31,(R) 31,32,34,3,58,467,39,,
Medium,"Austin, TX",4,8,9,11,9,11,14,17,20,24,20,24,25,26,26,27,35,19,575,24,,
Small,"Bakersfield, CA",1,1,2,2,3,2,2,3,3,3,3,3,4,4,4,4,33,20,300,59,,
Large,"Baltimore, MD",4,6,15,15,13,14,16,17,18,19,18,18,19,21,26,27,50,10,575,24,,
Small,"Beaumont, TX",2,3,3,3,3,4,3,3,3,4,6,6,6,6,8,8,33,20,300,59,,
Medium,"Birmingham, AL",3,4,5,5,5,6,8,9,10,11,13,13,13,13,14,14,8,55,367,52,,
Very large,"Boston, MA-NH-RI",(R) 6,(R) 10,(R) 15,(R) 16,19,(R) 18,(R) 18,(R) 16,(R) 17,(R) 19,(R) 20,(R) 19,(R) 20,(R) 21,(R) 24,25,25,33,317,58,,
Small,"Boulder, CO",1,2,2,2,2,3,3,3,3,4,4,4,5,5,5,5,25,33,400,44
Medium,"Bridgeport-Stamford, CT-NY",2,4,(R) 6,6,8,8,9,10,10,11,13,16,16,16,(R) 18,17,31,26,750,13
Small,"Brownsville, TX",1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,2,0,60,100,78
Large,"Buffalo, NY",1,1,2,2,2,2,2,2,2,3,3,4,5,5,5,6,100,1,500,29
Small,"Cape Coral, FL",1,2,3,4,4,5,5,6,6,7,7,7,7,7,8,8,14,46,700,15
Small,"Charleston-North Charleston, SC",5,6,10,10,11,10,9,9,9,10,11,12,12,11,12,14,27,31,180,72
Medium,"Charlotte, NC-SC",4,7,11,12,14,13,12,12,14,17,18,19,21,21,24,23,28,30,475,38
Very large,"Chicago, IL-IN",6,11,17,18,18,18,17,20,26,24,26,26,25,26,29,31,19,41,417,43
Large,"Cincinnati, OH-KY-IN",2,3,7,7,8,9,12,(R) 11,(R) 13,(R) 16,(R) 15,(R) 15,(R) 16,(R) 16,(R) 17,17,13,47,750,13
Large,"Cleveland, OH",1,1,3,3,4,5,6,9,10,12,9,10,8,7,6,6,-33,82,500,29
Small,"Colorado Springs, CO",1,2,2,2,3,4,4,6,6,8,(R) 11,(R) 13,(R) 15,(R) 16,(R) 15,14,27,31,"1,300",4
Small,"Columbia, SC",1,2,3,3,3,3,3,3,3,3,3,4,(R) 4,4,4,5,67,8,400,44
Large,"Columbus, OH",2,2,8,8,10,11,(R) 13,(R) 14,(R) 16,19,(R) 18,(R) 19,(R) 16,(R) 15,15,16,-11,79,700,15
Small,"Corpus Christi, TX",2,2,2,3,3,2,2,2,2,2,2,3,3,4,3,4,100,1,100,78
Very large,"Dallas-Fort Worth-Arlington, TX",6,12,17,18,21,23,22,24,23,24,27,(R) 33,(R) 33,(R) 34,(R) 35,35,30,29,483,36
Medium,"Dayton, OH",1,2,3,4,4,5,(R) 5,(R) 8,(R) 9,(R) 10,(R) 9,(R) 10,(R) 9,(R) 8,(R) 7,6,-33,82,500,29
