quart,origincty,origin,destcty,destination,current_fare,last_year_fare,current_passengers,last_year_passengers,amt_fare_chg,amt_pax_chg,pct_fare_chg,pct_pax_chg
20082,12200,"Boston, Massachusetts, USA",69880,"Philadelphia, Pennsylvania, USA",315.80442487,141.51753872,80590,153660,174.28688614,-73070,123.1556793,-47.55303918
20082,12200,"Boston, Massachusetts, USA",24260,"Detroit, Michigan, USA",307.63294026,149.40121944,57920,103080,158.23172082,-45160,105.91059525,-43.81063252
20082,20570,"Columbus, Ohio, USA",63760,"New York, New York, USA",220.44684137,109.65336004,100360,142290,110.79348133,-41930,101.03975044,-29.46798791
20082,12200,"Boston, Massachusetts, USA",20570,"Columbus, Ohio, USA",216.58992802,126.86740057,20840,41740,89.722527448,-20900,70.721499015,-50.0718735
20082,63760,"New York, New York, USA",86840,"Syracuse, New York, USA",156.49793251,95.176883707,44450,33020,61.321048802,11430,64.428510804,34.615384615
20082,62860,"Nashville, Tennessee, USA",63760,"New York, New York, USA",240.41178906,147.52661855,97090,109450,92.885170514,-12360,62.961634605,-11.29282778
20082,33460,"Greensboro/High Point, Nc, USA",63760,"New York, New York, USA",225.75778689,140.72439277,40260,29890,85.033394112,10370,60.425483057,34.693877551
20082,73020,"Providence, Rhode Island, USA",96460,"Washington, D.C., USA",353.08771349,240.60598976,25060,29300,112.48172373,-4240,46.749344785,-14.47098976
20082,12200,"Boston, Massachusetts, USA",19770,"Cleveland, Ohio, USA",247.10074582,170.19998596,36470,42730,76.90075986,-6260,45.182588839,-14.65012872
20082,18500,"Chicago, Illinois, USA",57970,"Minneapolis/St.Paul, Minnesota, USA",167.53912328,115.75650178,279450,312530,51.782621502,-33080,44.734093297,-10.58458388
20082,96460,"Washington, D.C., USA",97160,"West Palm Beach, Florida, USA",203.59024241,142.11511036,35890,64790,61.475132051,-28900,43.257280592,-44.60564902
20082,35510,"Hartford, Ct/Springfield, Ma, USA",96460,"Washington, D.C., USA",258.62983137,180.56716142,35580,43860,78.062669943,-8280,43.231930617,-18.87824897
20082,70470,"Pittsburgh, Pennsylvania, USA",96460,"Washington, D.C., USA",234.16153434,164.06182053,20530,19390,70.099713814,1140,42.727621569,5.8793192367
20082,48880,"Las Vegas, Nevada, USA",57180,"Memphis, Tennessee, USA",251.4779126,177.0215382,21510,29320,74.4563744,-7810,42.060630111,-26.63710778
20082,63760,"New York, New York, USA",75820,"Richmond, Virginia, USA",152.69021799,108.92731616,87620,69490,43.762901826,18130,40.176241707,26.090084904
20082,63760,"New York, New York, USA",76620,"Rochester, New York, USA",132.15345922,95.570638089,81290,81650,36.582821131,-360,38.278305829,-0.440906307
20082,37550,"Huntsville, Alabama, USA",96460,"Washington, D.C., USA",338.34792139,245.88988729,28240,25730,92.458034097,2510,37.601397567,9.7551496308
20082,57970,"Minneapolis/St.Paul, Minnesota, USA",96460,"Washington, D.C., USA",263.08610869,191.62419751,128260,131840,71.461911173,-3580,37.292738653,-2.715412621
20082,63760,"New York, New York, USA",91940,"Tucson, Arizona, USA",256.91731542,187.79331843,36840,46980,69.123996985,-10140,36.808549719,-21.58365262
20082,18500,"Chicago, Illinois, USA",63760,"New York, New York, USA",203.51700285,148.99522392,814440,952330,54.521778924,-137890,36.592970894,-14.47922464
20082,51410,"Los Angeles, California, USA",69880,"Philadelphia, Pennsylvania, USA",300.54761662,224.00049977,129690,173080,76.547116855,-43390,34.172743782,-25.0693321
20082,24090,"Denver, Colorado, USA",57970,"Minneapolis/St.Paul, Minnesota, USA",167.84033471,125.60723125,137730,167440,42.233103466,-29710,33.623146571,-17.74366937
20082,62860,"Nashville, Tennessee, USA",96460,"Washington, D.C., USA",291.49606114,219.20925269,28460,41750,72.286808444,-13290,32.976166633,-31.83233533
20082,63760,"New York, New York, USA",71760,"Portland, Maine, USA",147.93337355,111.49226184,43100,35900,36.441111711,7200,32.684879749,20.055710306
20082,12200,"Boston, Massachusetts, USA",37320,"Houston, Texas, USA",305.0552423,230.5280597,74700,81070,74.527182601,-6370,32.328898572,-7.857407179
20082,17960,"Charlotte, North Carolina, USA",35510,"Hartford, Ct/Springfield, Ma, USA",283.47178557,214.35965749,23970,28320,69.112128079,-4350,32.241201022,-15.36016949
20082,18500,"Chicago, Illinois, USA",96460,"Washington, D.C., USA",189.15050147,143.09581492,356150,395190,46.05468655,-39040,32.18450978,-9.87879248
20082,07220,"Baltimore, Maryland, USA",23210,"Dallas/Ft.Worth, Texas, USA",213.10297368,161.39961839,107510,127880,51.703355285,-20370,32.034372695,-15.92899593
20082,23680,"Dayton, Ohio, USA",63760,"New York, New York, USA",202.30245334,154.3273268,48220,27570,47.975126534,20650,31.086605028,74.900253899
20082,63760,"New York, New York, USA",64500,"Norfolk, Virginia, USA",208.77190643,159.81221088,34200,17640,48.959695548,16560,30.635766364,93.87755102
20082,14210,"Burlington, Vermont, USA",63760,"New York, New York, USA",129.87280899,99.607208158,34710,28440,30.265600831,6270,30.384950438,22.046413502
