Start_freq           5.4
Stop_freq            7.9
Npoin                126
                        P Gain 1       1                P Gain 2       1
                        Gain 1          Gain 1          Gain 2          Gain 2
Freq                    Real            Imag            Real            Imag
     5.4                       0               0        -0.00018         3.32688E-13
    5.42                       0               0        3.36E-05         -3.7594E-14
    5.44                       0               0        3.36E-05         -3.7594E-14
    5.46                       0               0        0.000263        -4.32294E-13
    5.48                       0               0        0.000424        -6.87295E-13
     5.5                       0               0         0.00045        -7.17112E-13
    5.52                       0               0        0.000317        -4.92271E-13
    5.54                       0               0         5.4E-05         -7.7986E-14
    5.56                       0               0        -0.00026         4.08916E-13
    5.58                       0               0        -0.00052         7.94908E-13
     5.6                       0               0        -0.00062         9.34973E-13
    5.62                       0               0        -0.00051         7.50275E-13
    5.64                       0               0         -0.0002         2.90344E-13
    5.66                       0               0        0.000224        -3.15053E-13
    5.68                       0               0        0.000624        -8.63356E-13
     5.7                       0               0        0.000851         -1.1594E-12
    5.72                       0               0        0.000799        -1.05682E-12
    5.74                       0               0        0.000445        -5.56542E-13
    5.76                       0               0        -0.00013          2.0724E-13
    5.78                       0               0        -0.00074         9.75094E-13
     5.8                       0               0        -0.00118         1.49934E-12
    5.82                       0               0        -0.00125         1.54317E-12
    5.84                       0               0        -0.00087         1.02934E-12
    5.86                       0               0        -8.7E-05         6.30889E-14
    5.88                       0               0        0.000869        -1.05231E-12
     5.9                       0               0        0.001679        -1.93824E-12
    5.92                 0.00043        -5.7E-13        0.002008        -2.23355E-12
    5.94                0.000454        -5.8E-13        0.001636        -1.74098E-12
    5.96                0.000371        -4.5E-13        0.000551        -4.96097E-13
    5.98                 0.00019          -2E-13        -0.00099         1.16379E-12
       6                -5.5E-05        1.19E-13        -0.00251          2.6967E-12
    6.02                -0.00031        4.28E-13        -0.00341         3.49426E-12
    6.04                -0.00051        6.68E-13        -0.00319         3.11549E-12
    6.06                -0.00061        7.69E-13        -0.00161         1.43226E-12
    6.08                -0.00058        6.96E-13         0.00108        -1.22047E-12
     6.1                -0.00039         4.4E-13        0.004162        -4.07671E-12
    6.12                -9.2E-05        7.66E-14        0.006516         -6.0433E-12
    6.14                0.000262        -3.3E-13        0.006912        -6.08646E-12
    6.16                0.000592        -6.9E-13        0.004417        -3.54385E-12
    6.18                0.000813        -9.2E-13        -0.00114         1.49058E-12
     6.2                0.000861        -9.3E-13        -0.00878         7.94723E-12
    6.22                0.000701        -7.2E-13        -0.01615          1.3688E-11
    6.24                0.000349        -3.1E-13         -0.0196         1.57288E-11
    6.26                -0.00013        2.09E-13        -0.01453         1.06545E-11
    6.28                -0.00064        7.39E-13        0.003924        -4.73818E-12
     6.3                -0.00106        1.15E-12        0.040029        -3.28386E-11
    6.32                -0.00127        1.32E-12        0.096595        -7.45863E-11
    6.34                -0.00119        1.18E-12        0.174232        -1.29112E-10
    6.36                 -0.0008        7.54E-13        0.270947        -1.93661E-10
    6.38                -0.00015        9.77E-14        0.382175        -2.63805E-10
     6.4                 0.00063        -6.5E-13        0.501274        -3.34001E-10
    6.42                0.001371        -1.4E-12        0.620421        -3.97137E-10
    6.44                 0.00188        -1.8E-12        0.731743        -4.49879E-10
    6.46                0.001992        -1.8E-12        0.828477        -4.86944E-10
    6.48                0.001613        -1.4E-12        0.905932         -5.0568E-10
     6.5                0.000752        -5.6E-13        0.962065        -5.05248E-10
    6.52                -0.00046        5.23E-13        0.997567        -4.86984E-10
    6.54                -0.00178        1.64E-12         1.01545        -4.53434E-10
    6.56                -0.00288        2.51E-12         1.02028        -4.08162E-10
    6.58                -0.00345        2.87E-12         1.01714        -3.55393E-10
     6.6                -0.00323        2.57E-12          1.0107        -2.98901E-10
    6.62                -0.00209        1.54E-12         1.00443        -2.42208E-10
    6.64                -0.00012        -9.4E-14         1.00026        -1.87302E-10
    6.66                0.002361          -2E-12        0.998616         -1.3553E-10
    6.68                0.004821        -3.8E-12         0.99879        -8.75405E-11
     6.7                0.006596          -5E-12        0.999596        -4.22366E-11
    6.72                0.007008        -5.1E-12               1         1.28943E-12
    6.74                0.005519        -3.8E-12        0.999597         4.52097E-11
    6.76                0.001912        -9.7E-13        0.998791         9.03115E-11
    6.78                -0.00355        2.97E-12        0.998617         1.38448E-10
     6.8                -0.01002        7.36E-12         1.00026         1.89909E-10
    6.82                  -0.016        1.11E-11         1.00443         2.44927E-10
    6.84                -0.01943        1.29E-11          1.0107          3.0164E-10
    6.86                 -0.0178        1.12E-11         1.01714         3.58168E-10
    6.88                 -0.0084        4.36E-12         1.02028         4.11039E-10
     6.9                0.011362        -8.8E-12         1.01545          4.5626E-10
    6.92                0.043641        -2.9E-11        0.997566         4.89868E-10
    6.94                0.089825        -5.7E-11        0.962065         5.07948E-10
    6.96                0.150278        -9.2E-11        0.905933         5.08191E-10
    6.98                0.224186        -1.3E-10        0.828478         4.89237E-10
       7                0.309529        -1.8E-10        0.731745         4.51944E-10
    7.02                0.403208        -2.3E-10        0.620423          3.9881E-10
    7.04                0.501298        -2.7E-10        0.501275         3.34427E-10
    7.06                0.599424        -3.2E-10        0.382174         2.64179E-10
    7.08                0.693183        -3.5E-10        0.270946         1.93968E-10
     7.1                0.778592        -3.8E-10         0.17423         1.29357E-10
    7.12                0.852473        -4.1E-10        0.096593         7.47511E-11
    7.14                0.912745        -4.2E-10        0.040028         3.29578E-11
    7.16                0.958574        -4.2E-10        0.003924          4.8132E-12
    7.18                0.990369          -4E-10        -0.01453         -1.0619E-11
     7.2                 1.00963        -3.9E-10         -0.0196        -1.57156E-11
    7.22                 1.01865        -3.6E-10        -0.01615        -1.37105E-11
    7.24                 1.02019        -3.3E-10        -0.00878        -7.97857E-12
    7.26                 1.01706        -2.9E-10        -0.00114        -1.51595E-12
    7.28                  1.0118        -2.5E-10        0.004417         3.54703E-12
     7.3                  1.0064        -2.1E-10         0.00691         6.11174E-12
    7.32                 1.00213        -1.8E-10        0.006514         6.09796E-12
    7.34                0.999563        -1.4E-10        0.004161          4.1499E-12
    7.36                0.998622        -1.1E-10        0.001079         1.31284E-12
    7.38                0.998822        -7.4E-11        -0.00161        -1.36761E-12
     7.4                0.999487        -4.3E-11        -0.00319        -3.07659E-12
    7.42                       1        -1.4E-11               0                   0
    7.44                       1        1.57E-11               0                   0
    7.46                0.999487        4.53E-11               0                   0
    7.48                0.998823         7.6E-11               0                   0
     7.5                0.998623        1.08E-10               0                   0
    7.52                0.999563        1.42E-10               0                   0
    7.54                 1.00213        1.79E-10               0                   0
    7.56                  1.0064        2.16E-10               0                   0
    7.58                  1.0118        2.55E-10               0                   0
     7.6                 1.01706        2.92E-10               0                   0
    7.62                 1.02019        3.28E-10               0                   0
    7.64                 1.01865        3.61E-10               0                   0
    7.66                 1.00963        3.87E-10               0                   0
    7.68                 0.99037        4.06E-10               0                   0
     7.7                0.958576        4.16E-10               0                   0
    7.72                0.912747        4.16E-10               0                   0
    7.74                0.852475        4.06E-10               0                   0
    7.76                0.778593        3.86E-10               0                   0
    7.78                0.693182        3.56E-10               0                   0
     7.8                0.599422        3.18E-10               0                   0
    7.82                0.501295        2.74E-10               0                   0
    7.84                0.403204        2.27E-10               0                   0
    7.86                0.309527        1.79E-10               0                   0
    7.88                0.224185        1.33E-10               0                   0
     7.9                0.150279        9.21E-11               0                   0
    7.92                       0               0               0                   0
    7.94                       0               0               0                   0
    7.96                       0               0               0                   0
    7.98                       0               0               0                   0
       8                       0               0               0                   0
