-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
CIC1        49718.000    1995     1     1     0
CIC1        52274.750    2001    12    31    18
CIC1     -2433176.853 -4845045.125  3348295.738
CIC1           31.871     -116.666       64.354
CIC1     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.669640     0.650320    -2.148655
49718.25     0.481499     0.725888    -2.579937
49718.50     0.965514     0.328751    -2.016912
49718.75     0.977051     0.706114    -3.226793
49719.00     1.123637     0.431904    -1.916355
49719.25     0.850473     0.289530    -1.628085
49719.50     0.837612    -0.040998    -1.250976
49719.75     0.573096     0.321542    -2.158180
49720.00     0.463878     0.274780    -1.260447
49720.25     0.004516     0.368971    -1.604458
49720.50     0.100089     0.145067    -1.572612
49720.75     0.013850     0.529551    -2.364312
49721.00     0.059770     0.518280    -1.566179
49721.25    -0.144270     0.585515    -1.701957
49721.50     0.267614     0.326597    -1.014437
49721.75     0.171292     0.778180    -1.436216
49722.00     0.127343     0.704073     0.426813
49722.25    -0.344985     0.545578     1.736354
49722.50     0.141487     0.068366     2.936221
49722.75     0.205543     0.375531     2.107671
49723.00     0.529722     0.334854     2.604113
49723.25     0.437135     0.347472     2.253448
49723.50     0.637040     0.192625     2.136078
49723.75     0.404928     0.753753     0.619785
49724.00     0.244639     0.908161     1.137132
49724.25    -0.303449     1.165389     0.410830
49724.50    -0.554529     0.961783     0.750315
49724.75    -0.613636     1.370101    -0.672790
49725.00    -0.884928     1.255956     0.172646
49725.25    -1.311963     1.263479    -0.837748
49725.50    -1.073849     0.879020    -0.339369
49725.75    -0.942594     1.247381    -2.082666
49726.00    -0.756032     1.037766    -1.035019
49726.25    -0.952570     0.985293    -1.494471
49726.50    -0.754823     0.587450    -0.760353
49726.75    -0.811253     0.854057    -1.797230
49727.00    -0.705374     0.700466    -0.420346
49727.25    -0.909704     0.610524    -0.577475
49727.50    -0.738168     0.317694     0.093090
49727.75    -0.713520     0.622554    -0.685389
49728.00    -0.501418     0.458265     0.675755
49728.25    -0.718634     0.448424     0.648808
49728.50    -0.260137    -0.002419     1.326671
49728.75    -0.247445     0.342117     0.192966
49729.00    -0.286439     0.220061     1.282394
49729.25    -0.688846     0.322992     0.451581
49729.50    -0.532702    -0.050605     1.017138
49729.75    -0.714257     0.422367    -0.398088
49730.00    -0.878846     0.295640     0.401951
49730.25    -1.295138     0.391561    -0.455656
49730.50    -1.177505     0.095854    -0.070216
49730.75    -1.302011     0.555543    -1.489719
49731.00    -1.605949     0.510673    -0.283681
49731.25    -1.956017     0.632092    -0.538990
49731.50    -1.937543     0.317161     0.245955
49731.75    -2.096742     0.700303    -0.682559
49732.00    -2.275145     0.604605     0.890963
49732.25    -2.698645     0.758854     0.489058
49732.50    -2.499426     0.452311     1.188115
49732.75    -2.437570     0.776093     0.318172
49733.00    -2.428273     0.700823     1.182649
49733.25    -2.912096     0.766773     0.769098
49733.50    -2.673806     0.436106     1.155353
49733.75    -2.575976     0.773550     0.039189
49734.00    -2.626684     0.746378     0.802405
