"Table FG2. Married Couple Family Groups, by Family Income, Labor Force Status of Both Spouses, and Race and Hispanic Origin/1 of the Reference Person: 2005",,,,,,,,,,,

(Numbers in thousands.),,,,,,,,,,,

"Black only, All Married Couple Family Groups",,All Married Couples,Both in Labor Force,,,,Only Husband in Labor Force,,Only Wife in Labor Force,,Neither in Labor
,,,,,,,,,,,Force
,,,Both Employed,Only Husband Employed,Only Wife Employed,Both Unemployed,Husband Employed,Husband Unemployed,Wife Employed,Wife Unemployed,Not Employed
MARRIED COUPLE FAMILY GROUPS,TOTAL,"4,268","2,204",82,135,17,728,46,406,10,641
,".Family Income Under $10,000",188,17,3,2,2,41,8,17,1,99
,".$10,000 to $14,999",158,23,3,5,2,18,4,11,3,88
,".$15,000 to $19,999",188,24,5,6,2,38,7,27,1,78
,".$20,000 to $24,999",270,33,0,9,-,78,6,40,1,103
,".$25,000 to $29,999",220,55,2,8,-,70,4,37,-,44
,".$30,000 to $39,999",491,198,13,12,2,110,5,81,2,67
,".$40,000 to $49,999",461,254,15,9,2,80,9,44,-,46
,".$50,000 to $74,999","1,018",657,22,43,1,149,3,85,-,58
,".$75,000 to $99,999",620,452,9,27,4,65,-,42,-,21
,".$100,000 and over",654,491,9,14,1,79,-,20,2,38
WITHOUT OWN CHILDREN UNDER 18 YEARS,TOTAL,"2,203",908,24,45,7,330,30,272,5,581
,".Family Income Under $10,000",137,7,1,2,-,21,6,16,-,82
,".$10,000 to $14,999",105,8,-,2,-,5,-,8,3,81
,".$15,000 to $19,999",132,7,2,4,-,19,4,21,-,74
,".$20,000 to $24,999",180,17,0,5,-,32,6,25,-,95
,".$25,000 to $29,999",106,14,-,-,-,32,2,15,-,42
,".$30,000 to $39,999",214,57,6,5,2,34,2,46,1,61
,".$40,000 to $49,999",227,107,3,2,-,40,7,32,-,36
,".$50,000 to $74,999",478,268,5,13,-,79,3,59,-,52
,".$75,000 to $99,999",267,167,2,7,4,35,-,31,-,21
,".$100,000 and over",357,256,4,5,1,34,-,18,2,36
WITH OWN CHILDREN UNDER 18 YEARS,TOTAL,"2,065","1,296",57,90,9,397,16,134,5,60
,".Family Income Under $10,000",51,9,1,-,2,19,2,1,1,16
,".$10,000 to $14,999",53,16,3,3,2,13,4,4,-,7
,".$15,000 to $19,999",56,17,3,2,2,19,3,6,1,3
,".$20,000 to $24,999",90,15,-,3,-,46,-,16,1,8
,".$25,000 to $29,999",114,41,2,8,-,38,3,22,-,2
,".$30,000 to $39,999",276,141,7,7,-,76,3,35,1,6
,".$40,000 to $49,999",234,148,12,8,2,40,2,12,-,10
,".$50,000 to $74,999",539,389,17,30,1,71,-,26,-,6
,".$75,000 to $99,999",353,285,7,20,-,30,-,11,-,-
,".$100,000 and over",297,235,5,9,-,45,-,1,-,2




"Black only, Married Couple Family Households",,All Married Couples,Both in Labor Force,,,,Only Husband in Labor Force,,Only Wife in Labor Force,,Neither in Labor
