Albany-Schenectady-Troy, NY 	Canada 	2241799443 	-2 	-2
Albany-Schenectady-Troy, NY 	China 	237681015 	-2 	-2
Albany-Schenectady-Troy, NY 	Mexico 	394974776 	-2 	-2
Albany-Schenectady-Troy, NY 	Netherlands 	147462969 	-2 	-2
Albany-Schenectady-Troy, NY 	Residual 	-1 	-2 	-2
Albany-Schenectady-Troy, NY 	Spain 	-1 	-2 	-2
Atlanta-Sandy Springs-Marietta, GA 	Canada 	3046363000 	2756121832 	1139550482
Atlanta-Sandy Springs-Marietta, GA 	China 	-2 	494724563 	-2
Atlanta-Sandy Springs-Marietta, GA 	Federal Republic of Germany 	-2 	-2 	336431971
Atlanta-Sandy Springs-Marietta, GA 	Japan 	612829117 	611165235 	306833549
Atlanta-Sandy Springs-Marietta, GA 	Mexico 	1083072434 	1285933633 	558391850
Atlanta-Sandy Springs-Marietta, GA 	Residual 	5358562120 	5779612109 	3249969492
Atlanta-Sandy Springs-Marietta, GA 	Singapore 	475746922 	-2 	390595366
Atlanta-Sandy Springs-Marietta, GA 	United Kingdom 	486463142 	466087310 	-2
Austin-Round Rock, TX 	Canada 	739498667 	656601556 	273149795
Austin-Round Rock, TX 	China 	743530342 	815385835 	443450828
Austin-Round Rock, TX 	Korea, South 	1515844263 	1634970136 	522380450
Austin-Round Rock, TX 	Malaysia 	776834708 	-2 	-2
Austin-Round Rock, TX 	Mexico 	-2 	899626798 	320378156
Austin-Round Rock, TX 	Residual 	-1 	2889591319 	-1
Austin-Round Rock, TX 	Taiwan 	-1 	1308445629 	-1
Baltimore-Towson, MD 	Canada 	829227673 	878436494 	386309873
Baltimore-Towson, MD 	Egypt 	-1 	-1 	-1
Baltimore-Towson, MD 	Japan 	286963228 	210861675 	-2
Baltimore-Towson, MD 	Mexico 	385606142 	-2 	187303126
Baltimore-Towson, MD 	Netherlands 	-2 	315021974 	167800972
Baltimore-Towson, MD 	Residual 	-1 	-1 	-1
Baltimore-Towson, MD 	United Kingdom 	240372779 	300669498 	133145542
Boston-Cambridge-Quincy, MA-NH 	Canada 	2040369802 	2238829759 	1090826523
Boston-Cambridge-Quincy, MA-NH 	Federal Republic of Germany 	1917958599 	2362087509 	1202471840
Boston-Cambridge-Quincy, MA-NH 	Japan 	1786856956 	2165670431 	1041578501
Boston-Cambridge-Quincy, MA-NH 	Netherlands 	1399773029 	1435503974 	655420274
Boston-Cambridge-Quincy, MA-NH 	Residual 	9539180745 	10642389114 	5740785789
Boston-Cambridge-Quincy, MA-NH 	United Kingdom 	1406089897 	1422873130 	624616844
