, 1/3/95,14:41,,,, 9/5/95,11:11:11,,,, 2/18/96,9:57,,,, 8/14/96,16:00,,,, 1/10/97,16:30,,,, 7/8/97,9:22:13,,,, 1/15/98,14:03:30,,,,Not surveyed in June 1998,,,,, 7/7/98,11:40,,, 1/11/99,,10:04,,, 6/29/99,,18:31,,
PT.#,X(m),Y(m),Z(m),COMMENTS,PT.#,X(m),Y(m),Z(m),COMMENTS,PT.#,X(m),Y(m),Z(m),COMMENTS,PT.#,X(m),Y(m),Z(m),COMMENTS,PT.#,X(m),Y(m),Z(m),COMMENTS,PT.#,X(m),Y(m),Z(m),COMMENTS,PT.#,X(m),Y(m),Z(m),COMMENTS,PT.#,X(m),Y(m),Z(m),COMMENTS,PT.#,X(m),Y(m),Z(m),COMMENTS,PT.#,X (m),Y (m),Z (m),COMMENTS,PT.#,X (m),Y (m),Z (m),COMMENTS
27,-3.472,0.115,-1.466,SOL.VKIH/GULLY,998,0,0,0,RP1(BRP.HYDRNT).MED,997,0,0,0,RP1/BRP.MED,996,0,0,0,RP1/BRP.MEDIAN,998,0,0,0,RP1/BRP.MEDIAN,997,0,0,0,RP1/BRP(TOP.FIRE.HYDRANT)MED,9,-3.331,0.093,-1.409,SOL.VKIH/AT.FENCE,,,,,,998,0,0,0,RP1/BRP(HYDRANT).MED,6,-3.419,-0.109,-1.393,SOL.VKIH/SEAWARD.SIDE.FENCE,998,0,0,0,BRP.MEDIAN
28,-1.024,-0.121,-0.893,,997,10.258,0,-0.929,RP3(RP2/SWD.RD)MED,998,10.254,0,-0.931,RP3/FRP.MED,9,0.04,0.152,-0.67,SOL.VKIH/BRP,10,0.314,0.031,-0.669,SOL.VKIH/BASE.HYDRANT,28,0.041,0.114,-0.708,SOL.VKIH(BASE.OF.BRP),10,-1.054,-0.116,-0.854,GRASS,,,,,,3,0.059,-0.053,-0.674,SOL.VKIH/BASE.BRP,7,-1.619,-0.063,-0.938,,997,10.261,0,-0.927,FRP.MEDIAN
998,0,0,0,RP1(FRHYDT)MEDIAN,15,10.525,-0.014,-0.934,SOL.VKIH/SWD.RD.RP2,20,10.58,-0.027,-0.942,SOL.vkih/SWD.EDGE.RD,10,2.939,-0.149,-0.826,LNDWD.WHITE.LINE ,11,1.93,-0.012,-0.813,LNDWD.ROAD,27,10.234,0.082,-0.922,ON.FRP,11,-0.522,-0.028,-0.828,GRASS,,,,,,7,10.225,0.016,-0.887,ON.FRP,8,-1.04,-0.067,-0.838,,6,10.696,-0.023,-0.899,SOL.VKIH/SWRD.EDGE.RD
29,1.666,0.057,-0.798,,16,14.8,0.05,-1.038,TS,21,11.927,0.032,-1.003,MID-DIRT-SHOULDER,11,9.544,0.461,-0.871,SWD.WHITE.LINE,12,10.269,0.038,-0.881,FRP,998,10.25,0,-0.925,RP3/FRP(PK.SWD.ROAD)MEDIAN,996,0,0,0,RP1/BRP(TOP.HYDRANT)MED,,,,,,997,10.278,0,-0.925,RP3/FRP(NAIL.RD).MED,997,0,0,0,BRP.MEDIAN,7,11.228,0.082,-0.909,
30,2.364,-0.051,-0.858,RP2.LNDWD.RD,17,16.353,0.028,-1.252,,22,15.489,0.104,-1.099,TS,997,10.265,0,-0.931,RP3/FRP.MEDIAN,997,10.271,0,-0.934,RP3/FRP.MEDIAN,26,10.58,-0.01,-0.974,MAKAI.EDGE.ROAD,12,1.291,0.056,-0.653,GRASS,,,,,,8,10.7,0.161,-0.949,SWD.EDGE.ROAD,9,0.067,0.112,-0.675,AT.BRP,8,12.237,-0.092,-0.658,
997,2.378,-0.038,-0.858,RP2(lwdRD)MEDIAN,18,17.77,-0.002,-1.776,VG/WD/HWL,23,16.226,0.065,-1.574,VL/BS,12,10.304,0.009,-0.89,FRP,13,15.645,0.045,-1.056,TS1,25,15.421,-0.076,-1.02,TS,13,1.894,0.209,-0.837,LNDWD.EDGE.ASPHALT,,,,,,9,13.191,0.205,-0.991,,10,1.503,0.08,-0.856,LNDWRD.SIDE.RD,9,13.245,-0.09,-0.243,TOP.MANMADE.DUNE
31,10.008,0.025,-0.921,SWD.RD,19,24.039,-0.118,-2.216,,24,17.425,0.001,-1.779,,13,10.641,0.097,-0.945,SWD.SIDE.OF.KIHEI.RD,14,15.95,0.234,-1.248,VL,24,16.792,-0.176,-1.531,BS,997,10.256,0,-0.931,RP3/FRP(NAIL.IN.ROAD)MED,,,,,,10,14.292,0.068,-0.857,,11,10.187,0.171,-0.881,FRP,10,14.512,0.02,-0.596,
996,10.248,0,-0.925,RP3(swdrd)MEDIAN,20,33.026,-0.43,-2.625,MS,25,18.75,-0.021,-1.821,WD/HT,14,12.857,-0.041,-0.99,,15,17.5,0.03,-1.563,TS2,23,18.417,-0.139,-1.846,VL,14,10.666,-0.003,-0.974,SWD.EDGE.ASPHALT/EB,,,,,,11,16.503,-0.099,-1.291,VL/SWD.BASE.DUNE,998,10.344,0,-0.925,FRP.MEDIAN,11,15.966,0.043,-1.207,
32,14.258,0.041,-1.013,,21,38.683,-0.359,-3.043,TT,26,20.221,-0.074,-1.913,,15,15.615,-0.055,-1.067,TS,16,17.55,0.02,-1.718,BS2/WD1,22,25.281,-0.246,-1.966,,15,13.368,-0.02,-1.028,,,,,,,12,19.961,-0.06,-1.866,S,12,10.69,0.189,-0.959,SWRD.SIDE.RD,12,16.686,0.267,-1.746,
