"Period","All banks","Negative income","0-4 percent","5-9 percent","10-4 percent","15-19 percent","20-24 percent","25 percent and over","Return on equity - Agricultural banks","Return on equity - Other Small Banks","Return to assets - Agricultural banks","Return to assets - Other small banks","Net charge-offs - Agriculturalbanks","Net charge-offs - Other small banks","Average capital ratio - Agricultural banks","Average capital ratio - Other small banks"
"1977",.,1,4,16,45,28,5,1,14,12,1,0.8,0.2,0.3,8.7,8.2
"1978",.,1,3,14,46,28,6,1,14,13,1.1,0.9,0.2,0.3,8.9,8.3
"1979",.,1,2,8,36,38,12,3,15,14,1.2,1,0.2,0.3,9,8.5
"1980",.,1,2,9,33,35,14,5,16,14,1.3,1,0.3,0.4,9.2,8.6
"1981",.,2,3,12,33,32,13,6,15,13,1.2,0.9,0.4,0.4,9.2,8.6
"1982",100,4,5,15,33,28,11,4,14,12,1.1,0.9,0.7,0.6,9.3,8.5
"1983",100,7,7,18,36,24,7,2,11,12,1,0.9,0.9,0.7,9.4,8.4
"1984",100,13,9,23,36,15,3,1,8,12,0.7,0.8,1.2,0.6,9.5,8.5
"1985",100,18,11,22,33,13,3,1,6,11,0.5,0.8,2.1,0.8,9.6,8.5
"1986",100,19,14,27,28,9,2,1,5,8,0.4,0.6,2.3,1.1,9.5,8.4
"1987",100,13,13,31,31,9,2,1,8,8,0.7,0.6,1.3,0.9,9.8,8.8
"1988",100,9,9,30,36,12,3,2,10,9,0.9,0.7,0.7,0.7,9.9,8.8
"1989",100,5,7,29,38,14,4,3,11,10,1,0.8,0.6,0.7,10.1,9
"1990",100,4.9,7.5,33.4,37.6,12.9,2.6,1.1,10.8,8.5,1,0.7,0.4,0.7,9.9,9
"1991",100,4.3,7.6,32.2,39.2,13.3,2.5,0.9,10.9,8.8,1,0.7,0.4,0.8,10.1,9.2
"1992",100,2,5.3,25.3,41.1,19.6,5.1,1.6,12.5,11.3,1.2,1,0.4,0.7,10.4,9.5
"1993",100,1.6,5.9,27.8,40.4,18.4,4.6,1.3,12.3,12.3,1.2,1.1,0.2,0.4,10.8,9.9
"1994",100,1.5,5.9,31.4,40.1,16.9,3.3,0.9,11.8,12.5,1.2,1.1,0.2,0.3,10.7,9.9
"1995",100,1.4,5.7,37.1,39.6,13.4,2.3,0.6,11.2,12.1,1.2,1.2,0.2,0.3,11.2,10.4
"1996",100,2.1,5.6,33.4,41.6,14.2,2.6,0.5,11.4,12.3,1.2,1.2,0.2,0.3,10.9,10.4
"1997",100,1.6,5.9,34.5,39.7,14.2,3.1,1.1,11.4,12.3,1.2,1.2,0.2,0.3,11,10.5
"1998",100,2,8.7,35.6,35.5,13.4,3.5,1.3,11.3,11.7,1.2,1.2,0.2,0.3,10.9,10.5
"1999",100,2.9,7.9,34.8,33.3,14.2,4.9,1.9,11.8,11.9,1.2,1.1,0.3,0.3,10.5,10.3
"2000",100,2.4,8.9,35.3,33.5,13.8,4.2,1.8,11.7,11.4,1.2,1.1,0.3,0.3,10.7,10.4
