atp_code,atp_description,country_code,country_description,exports_SEPTEMBER_2007,exports_AUGUST_2007,exports_YTD_SEPTEMBER_2007,exports_YTD_SEPTEMBER_2006,imports_SEPTEMBER_2007,imports_AUGUST_2007,imports_YTD_SEPTEMBER_2007,imports_YTD_SEPTEMBER_2006
01,Biotechnology,0002,Europe,477098279,520809126,4595427980,2565332522,401281705,835381649,4750540600,3278381828
02,Life Science,0002,Europe,848029192,829983368,7427131045,6360298930,1694108091,1863149717,18734418463,17917282499
03,Opto-Electronics,0002,Europe,160465843,150275786,1317339563,1227102781,79278096,100251228,761388213,647457637
04,Information & Communications,0002,Europe,1719880978,1467277962,13563093796,12534033978,653168331,609144331,5277010659,5756869757
05,Electronics,0002,Europe,520043582,401426981,4123253500,4294027793,275661872,266583286,2542810386,2352254724
06,Flexible Manufacturing,0002,Europe,181177585,182725842,1628606366,1801078027,240210810,291434780,2323913154,2303723340
07,Advanced Materials,0002,Europe,33937174,44756595,365100225,269865035,43490758,51089910,419525281,399884972
08,Aerospace,0002,Europe,2545414897,2564726748,25447144538,20992924539,1543493518,1528471350,13629046569,11300100788
09,Weapons,0002,Europe,52858260,34785181,498401309,607580771,36930931,28143256,308888316,271601364
10,Nuclear Technology,0002,Europe,107381872,204215492,943871233,388474308,344354707,555068160,3139280369,1868640799
01,Biotechnology,0003,European Union,470541248,513367842,4528479508,2477030708,386276617,807197503,4592512050,3114966594
02,Life Science,0003,European Union,765001387,749746693,6766369056,5858936528,1605463922,1719474792,17559204988,16557169197
03,Opto-Electronics,0003,European Union,153091126,145051607,1245311506,1161265170,69285191,93581993,682679597,547045547
04,Information & Communications,0003,European Union,1619960012,1372765078,12803790542,11806626363,615736814,573430319,5027971890,5547793116
05,Electronics,0003,European Union,499090719,386907033,3952814699,4184064975,268490683,254964060,2456445507,2252555234
06,Flexible Manufacturing,0003,European Union,167724578,167895718,1506290327,1703888392,222875838,275672897,2158546616,2140588949
07,Advanced Materials,0003,European Union,31398704,40487837,332224113,247130046,42034385,48903777,394807113,387749537
08,Aerospace,0003,European Union,2425068899,2381759429,23762863624,18801580854,1488564319,1424242315,13126679342,10839460655
09,Weapons,0003,European Union,50513362,28269164,428322497,585025004,34542012,24551162,267178907,227325595
10,Nuclear Technology,0003,European Union,105464074,200070244,916863968,364750336,227113888,416369922,2414061415,1260389796
01,Biotechnology,0009,South and Central America,24568332,16441970,144649556,115331407,70593,23100,603528,6955564
02,Life Science,0009,South and Central America,113935804,118288952,999263941,786071329,88551542,81820248,706513821,677265480
03,Opto-Electronics,0009,South and Central America,21257969,21873200,173658999,123750051,1748543,1574070,11483630,7427050
04,Information & Communications,0009,South and Central America,866823432,909520886,7497187326,6186155659,60541812,66418331,668659552,845971430
05,Electronics,0009,South and Central America,211404590,169821311,1454236440,1608956347,19211708,22354584,164502219,201762498
06,Flexible Manufacturing,0009,South and Central America,30754810,35847851,269812148,241624328,2611818,2331134,19592264,16887020
07,Advanced Materials,0009,South and Central America,3376551,4408475,39698695,46411211,570529,721399,6428556,4119921
08,Aerospace,0009,South and Central America,439876033,574781171,4095735617,3701998147,288796536,86359726,1147799460,921810179
09,Weapons,0009,South and Central America,1716192,2279891,32722000,20468803,0,10650,94471,996008
10,Nuclear Technology,0009,South and Central America,1283980,3157245,19535526,13708109,0,5254,74176,218769
01,Biotechnology,0010,North America,95603049,52339172,527838058,523662750,146434548,13252286,302596611,139392641
02,Life Science,0010,North America,219462687,197751575,1817683266,1571437715,343130783,348585827,3287433677,2464935073
03,Opto-Electronics,0010,North America,53819106,48904479,512127603,496956014,1405527011,1354546631,9615676233,6612454631
04,Information & Communications,0010,North America,2023575537,1874720607,16581253039,15346644217,2287118923,2364022356,18336048002,15794190178
05,Electronics,0010,North America,614350939,727614938,5698115149,6934902500,217926770,192099600,1768913517,1841250549
06,Flexible Manufacturing,0010,North America,140084728,151206197,1251265930,1506446002,72882185,74170141,609697305,675419054
07,Advanced Materials,0010,North America,17396179,20147445,170091122,240902341,16769106,17602780,158535543,198926895
08,Aerospace,0010,North America,515401217,769606480,5168423162,4321622658,529769729,816647051,6162227681,4811628536
09,Weapons,0010,North America,4919043,4389513,84506514,53100459,12047250,12480249,133432959,133860175
10,Nuclear Technology,0010,North America,38799778,1942975,93347655,63969825,90211779,3120066,113614629,37855866
