atp_code,atp_description,country_code,country_description,exports_OCTOBER_2007,exports_SEPTEMBER_2007,exports_YTD_OCTOBER_2007,exports_YTD_OCTOBER_2006,imports_OCTOBER_2007,imports_SEPTEMBER_2007,imports_YTD_OCTOBER_2007,imports_YTD_OCTOBER_2006
01,Biotechnology,0002,Europe,542190859,477098279,5137618839,2917952969,489296009,401281705,5239836609,3749799878
02,Life Science,0002,Europe,883693238,848029192,8310824283,7113986318,2464806510,1694108091,21199224973,19791892121
03,Opto-Electronics,0002,Europe,150676865,160465843,1468016428,1356600972,107424511,79278096,868812724,720267743
04,Information & Communications,0002,Europe,1635941123,1719880978,15199034919,14035060340,716280509,653168331,5993291168,6436758587
05,Electronics,0002,Europe,513578762,520043582,4636832262,4737754005,314116199,275661872,2856926585,2635720923
06,Flexible Manufacturing,0002,Europe,202156250,181177585,1830762616,2048880290,368080712,240210810,2691993866,2630174726
07,Advanced Materials,0002,Europe,36480626,33937174,401580851,299340152,47676824,43490758,467202105,451913293
08,Aerospace,0002,Europe,2770669599,2545414897,28217814137,23189974281,1693322620,1543493518,15322369189,12620636290
09,Weapons,0002,Europe,49336812,52858260,547738121,695465040,31594287,36930931,340482603,315029550
10,Nuclear Technology,0002,Europe,100333486,107381872,1044204719,468090561,557521651,344354707,3696802020,2067337341
01,Biotechnology,0003,European Union,539189641,470541248,5067669149,2822547416,469516801,386276617,5062028851,3578469715
02,Life Science,0003,European Union,818378385,765001387,7584747441,6549799385,2300001689,1605463922,19859206677,18243454411
03,Opto-Electronics,0003,European Union,143734142,153091126,1389045648,1283271882,94918739,69285191,777598336,609745627
04,Information & Communications,0003,European Union,1547429589,1619960012,14351220131,13224563341,684671055,615736814,5712642945,6198992266
05,Electronics,0003,European Union,498015680,499090719,4450830379,4614449005,305661715,268490683,2762107222,2525487339
06,Flexible Manufacturing,0003,European Union,176461134,167724578,1682751461,1934253152,348293525,222875838,2506840141,2441000208
07,Advanced Materials,0003,European Union,33141984,31398704,365366097,275311511,45167490,42034385,439974603,436165117
08,Aerospace,0003,European Union,2611532642,2425068899,26374396266,20823964941,1629077244,1488564319,14755756586,12114440910
09,Weapons,0003,European Union,44289859,50513362,472612356,629939520,26800966,34542012,293979873,267087563
10,Nuclear Technology,0003,European Union,99068902,105464074,1015932870,442858221,490288326,227113888,2904349741,1416704402
01,Biotechnology,0009,South and Central America,22787922,24568332,167437478,127576995,645190,70593,1248718,7045889
02,Life Science,0009,South and Central America,127304548,113935804,1126568489,901724698,86345402,88551542,792859223,764708506
03,Opto-Electronics,0009,South and Central America,24927390,21257969,198586389,140114452,1694357,1748543,13177987,8399978
04,Information & Communications,0009,South and Central America,945606416,866823432,8442793742,7019521910,80618390,60541812,749277942,922102853
05,Electronics,0009,South and Central America,216193646,211404590,1670430086,1798400817,18302658,19211708,182804877,218561139
06,Flexible Manufacturing,0009,South and Central America,35557159,30754810,305369307,274857177,2157168,2611818,21749432,20494129
07,Advanced Materials,0009,South and Central America,3118370,3376551,42817065,49968024,777579,570529,7206135,4789556
08,Aerospace,0009,South and Central America,644458245,439876033,4740193862,4153993243,115451128,288796536,1263250588,977107926
09,Weapons,0009,South and Central America,987156,1716192,33709156,25044512,14200,0,108671,1000684
10,Nuclear Technology,0009,South and Central America,2179912,1283980,21715438,14708635,0,0,74176,218769
01,Biotechnology,0010,North America,61554661,95603049,589392719,561059704,115075807,146434548,417672418,168965358
02,Life Science,0010,North America,219781566,219462687,2037464832,1763531477,371812162,343130783,3659245839,2784915642
03,Opto-Electronics,0010,North America,63721804,53819106,575849407,554879209,1755544068,1405527011,11371220301,8002939185
04,Information & Communications,0010,North America,2252613946,2023575537,18833866985,17386355417,2369720887,2287118923,20705768889,17727852964
05,Electronics,0010,North America,654255241,614350939,6352370390,7707034836,222913783,217926770,1991827300,2024847278
06,Flexible Manufacturing,0010,North America,179328265,140084728,1430594195,1656320387,68141436,72882185,677838741,752407593
07,Advanced Materials,0010,North America,19252210,17396179,189343332,266685414,16807699,16769106,175343242,224007185
08,Aerospace,0010,North America,635754851,515401217,5804178013,5138581312,912464087,529769729,7074691768,5369531273
09,Weapons,0010,North America,13256803,4919043,97763317,62550039,14982365,12047250,148415324,147672524
10,Nuclear Technology,0010,North America,1458612,38799778,94806267,65147883,2536849,90211779,116151478,45788760
01,Biotechnology,0011,Pacific Rim,39397912,37819351,422609402,449497691,19040399,8019829,105412213,92644175
02,Life Science,0011,Pacific Rim,485715360,590981167,4932048894,4465970422,397460201,397808172,3913858904,3412089596
03,Opto-Electronics,0011,Pacific Rim,145959433,242780166,2110525452,1971674290,959397804,767502015,6928793462,5998025442
04,Information & Communications,0011,Pacific Rim,1450791007,1584544581,14781300012,14127307982,13424832832,12291414323,113558865554,101788528629
05,Electronics,0011,Pacific Rim,2954418071,2849333230,27553549414,28901780546,1719851876,1677981249,16246966474,17285704510
06,Flexible Manufacturing,0011,Pacific Rim,800282492,729918376,8281286166,7877304558,546354055,486411839,5425883366,5013275636
07,Advanced Materials,0011,Pacific Rim,80066313,71167996,681600303,483910024,143365805,128291051,1296691192,1093818345
08,Aerospace,0011,Pacific Rim,2820846754,2372442958,24174690869,22030117164,423530502,370800857,3597489585,2809884646
09,Weapons,0011,Pacific Rim,25423115,62093631,481592385,568324010,20327194,15226577,127660938,127124115
10,Nuclear Technology,0011,Pacific Rim,267559318,36451734,1018636742,736571600,46494180,4067196,115366092,83729856
02,Life Science,1010,Greenland,0,47000,116785,3000,0,0,0,0
04,Information & Communications,1010,Greenland,21636,9550,897235,244379,0,0,0,0
05,Electronics,1010,Greenland,0,0,4200,7500,0,0,0,0
06,Flexible Manufacturing,1010,Greenland,0,0,0,12300,0,0,0,0
08,Aerospace,1010,Greenland,5013,119101,273557,82234,0,0,0,2300
09,Weapons,1010,Greenland,8460,0,8460,0,0,0,0,0
01,Biotechnology,1220,Canada,54246693,85542766,525893054,469910301,112531321,144004092,398781273,148946994
02,Life Science,1220,Canada,162291937,158681633,1505256952,1317686341,126817124,128555960,1486902181,930028502
03,Opto-Electronics,1220,Canada,30317683,26450118,256643086,277858324,20804968,22516144,178434298,80159037
04,Information & Communications,1220,Canada,1336179382,1180937688,11049753776,9601921667,444508889,436210302,4551689945,4168365538
05,Electronics,1220,Canada,243575840,221182123,2176266801,2854210652,117526651,117179827,994359649,1085264151
06,Flexible Manufacturing,1220,Canada,137514724,105292159,1054576040,1239087454,30469512,35441051,307541329,361931032
07,Advanced Materials,1220,Canada,10332407,8018787,85842548,89129327,1160160,1149759,15733244,17021857
08,Aerospace,1220,Canada,571902570,392074015,4785187360,3618913069,872364563,496909335,6802358833,5214505366
09,Weapons,1220,Canada,10726451,3421153,89967458,58582439,11097746,9138123,97425803,99931756
10,Nuclear Technology,1220,Canada,1029323,1773612,16551370,15618635,2536849,90204779,116133162,45707135
01,Biotechnology,2010,Mexico,7307968,10060283,63499665,91149403,2544486,2430456,18891145,20018364
02,Life Science,2010,Mexico,57489629,60781054,532207880,445845136,244995038,214574823,2172343658,1854887140
03,Opto-Electronics,2010,Mexico,33404121,27368988,319206321,277020885,1734739100,1383010867,11192786003,7922780148
04,Information & Communications,2010,Mexico,916434564,842637849,7784113209,7784433750,1925211998,1850908621,16154078944,13559487426
05,Electronics,2010,Mexico,410679401,393168816,4176103589,4852824184,105387132,100746943,997467651,939583127
06,Flexible Manufacturing,2010,Mexico,41813541,34792569,376018155,417232933,37671924,37441134,370297412,390476561
07,Advanced Materials,2010,Mexico,8919803,9377392,103500784,177556087,15647539,15619347,159609998,206985328
08,Aerospace,2010,Mexico,63852281,123327202,1018990653,1519668243,40099524,32860394,272332935,155025907
09,Weapons,2010,Mexico,2530352,1497890,7795859,3967600,3884619,2909127,50989521,47740768
10,Nuclear Technology,2010,Mexico,429289,37026166,78254897,49529248,0,7000,18316,81625
01,Biotechnology,2050,Guatemala,254456,208538,3011064,2648750,0,0,0,2500
02,Life Science,2050,Guatemala,1799646,1095235,12876455,7621008,114004,72289,1175737,445196
03,Opto-Electronics,2050,Guatemala,284922,243156,3273054,2762423,0,15000,1721032,0
04,Information & Communications,2050,Guatemala,28908911,26561706,257139982,221074796,32724,73362,611424,371224
05,Electronics,2050,Guatemala,694404,509021,3493128,4540341,0,0,26226,63354
06,Flexible Manufacturing,2050,Guatemala,164105,145241,3553340,6218451,0,0,252458,305038
07,Advanced Materials,2050,Guatemala,39906,57324,659427,926547,0,0,0,0
08,Aerospace,2050,Guatemala,9636100,695072,17367336,32569713,40000,0,40000,258466
09,Weapons,2050,Guatemala,82386,0,854981,183772,0,0,0,0
10,Nuclear Technology,2050,Guatemala,0,0,3510,97548,0,0,0,0
01,Biotechnology,2080,Belize,0,0,61941,81811,0,0,0,0
02,Life Science,2080,Belize,9780,0,1059681,1090828,0,0,0,0
03,Opto-Electronics,2080,Belize,0,0,438542,193279,7938,0,7938,0
04,Information & Communications,2080,Belize,372365,240825,3921328,5825645,0,0,13001,214760
05,Electronics,2080,Belize,12113,14688,202947,962815,0,0,109679,0
06,Flexible Manufacturing,2080,Belize,27173,0,559406,508825,0,0,0,67106
07,Advanced Materials,2080,Belize,0,0,16308,8370,0,0,0,3277
08,Aerospace,2080,Belize,16627,21052,2216741,256487,0,0,0,0
09,Weapons,2080,Belize,0,0,43850,14782,0,0,0,0
10,Nuclear Technology,2080,Belize,0,0,0,24766,0,0,0,0
01,Biotechnology,2110,El Salvador,152954,113277,2183351,2234955,0,0,0,0
02,Life Science,2110,El Salvador,994570,607542,8373697,8776096,46978,4586,440688,155376
03,Opto-Electronics,2110,El Salvador,222978,172872,1742432,1743033,0,0,0,0
04,Information & Communications,2110,El Salvador,26417342,17899073,173269672,114820412,82868,11830,2453102,460563
05,Electronics,2110,El Salvador,169452,312139,2289003,5732022,0,0,2430,13945
06,Flexible Manufacturing,2110,El Salvador,1389339,586196,6665836,2971295,0,0,0,71864
07,Advanced Materials,2110,El Salvador,40840,21312,181213,373592,0,0,0,0
08,Aerospace,2110,El Salvador,3670037,648520,20813384,47346075,0,0,0,105000
09,Weapons,2110,El Salvador,22730,0,903979,1913589,0,0,0,0
10,Nuclear Technology,2110,El Salvador,0,0,26911,8818,0,0,0,0
01,Biotechnology,2150,Honduras,80314,36225,1032518,987392,0,0,0,0
02,Life Science,2150,Honduras,395402,357537,4495165,7535044,2600,0,37432,26253
03,Opto-Electronics,2150,Honduras,329870,336675,2997606,856926,0,0,5100,0
04,Information & Communications,2150,Honduras,13592150,12641349,116160333,77995271,22056,27570,360432,216924
05,Electronics,2150,Honduras,429214,491949,5579477,3078886,4608,2504,18295,64526
06,Flexible Manufacturing,2150,Honduras,692002,571017,4029413,2610989,0,0,10825,17867
07,Advanced Materials,2150,Honduras,19430,160551,509745,1005301,0,0,0,0
08,Aerospace,2150,Honduras,34547,179636,3933882,1119324,0,3490,3490,0
09,Weapons,2150,Honduras,14484,0,58750,22323,0,0,0,0
10,Nuclear Technology,2150,Honduras,0,0,17978,96578,0,0,0,0
01,Biotechnology,2190,Nicaragua,20491,595232,1898458,447388,0,0,0,0
02,Life Science,2190,Nicaragua,151230,1184210,4850779,3149291,10500,0,10500,2100
03,Opto-Electronics,2190,Nicaragua,95912,122801,1577768,1470111,0,0,0,0
04,Information & Communications,2190,Nicaragua,6043664,4840678,49935572,55425823,13884,4396,173135,78158
05,Electronics,2190,Nicaragua,188122,413661,1860260,896672,0,0,38156,4873
06,Flexible Manufacturing,2190,Nicaragua,188324,256114,1456647,444104,0,0,24048,0
07,Advanced Materials,2190,Nicaragua,65000,44708,557841,493361,0,0,0,0
08,Aerospace,2190,Nicaragua,38016,63480,766268,1524896,0,0,250000,0
09,Weapons,2190,Nicaragua,186235,0,584189,123614,0,0,0,0
10,Nuclear Technology,2190,Nicaragua,0,0,70482,3774,0,0,0,0
01,Biotechnology,2230,Costa Rica,209230,423466,3055164,2527733,0,0,0,0
02,Life Science,2230,Costa Rica,3957886,6155641,49016197,56203640,57663536,57097684,507593122,458593924
03,Opto-Electronics,2230,Costa Rica,401256,254843,3109539,3247798,9659,5997,134603,184391
04,Information & Communications,2230,Costa Rica,26397838,22322959,215350450,243959690,41479822,34644589,345779561,295254198
05,Electronics,2230,Costa Rica,119834115,121423240,806853087,919642160,17228455,18470473,169905136,208273750
06,Flexible Manufacturing,2230,Costa Rica,1342859,1495943,25150815,46844110,155195,463571,2303042,3219787
07,Advanced Materials,2230,Costa Rica,301589,196629,2519002,3272927,416884,439230,3715668,4162351
08,Aerospace,2230,Costa Rica,3128728,673071,18560837,15767831,71533,22306,651455,102892
09,Weapons,2230,Costa Rica,35521,19104,262683,1175463,0,0,0,0
10,Nuclear Technology,2230,Costa Rica,0,0,209214,74494,0,0,0,13524
01,Biotechnology,2250,Panama,368639,503355,4369910,2819074,0,0,0,0
02,Life Science,2250,Panama,4129536,3271034,29654905,20360011,37397,0,198194,123868
03,Opto-Electronics,2250,Panama,666817,392172,5318319,1555394,0,0,166117,1581448
04,Information & Communications,2250,Panama,18843291,12910787,154769737,118522287,902749,235295,3492993,2694168
05,Electronics,2250,Panama,616440,278374,3279622,2746178,17809,8364,165385,77303
06,Flexible Manufacturing,2250,Panama,168670,613235,4020465,3195530,0,0,73000,193598
07,Advanced Materials,2250,Panama,296888,435535,1792158,7329761,0,4425,8416,0
08,Aerospace,2250,Panama,3402889,1920389,154880140,162979185,3000,0,223046,0
09,Weapons,2250,Panama,8783,0,213972,56367,0,0,0,18200
10,Nuclear Technology,2250,Panama,6273,8152,35884,106947,0,0,0,0
01,Biotechnology,2320,Bermuda,34111,38217,315032,274916,0,0,0,0
02,Life Science,2320,Bermuda,1222862,2494647,7158753,5089649,0,0,1060714,70161
03,Opto-Electronics,2320,Bermuda,59558,182427,623428,720878,0,0,0,4000
04,Information & Communications,2320,Bermuda,3852955,3694434,37557897,39880982,0,10999,151560,84516
05,Electronics,2320,Bermuda,149942,56134,1206479,1046111,0,0,20569,5025
06,Flexible Manufacturing,2320,Bermuda,46239,39220,960829,371073,0,0,3240,0
07,Advanced Materials,2320,Bermuda,53523,121141,276784,41211,0,0,0,0
08,Aerospace,2320,Bermuda,150834,76820,50763776,129926076,0,0,0,0
09,Weapons,2320,Bermuda,0,6290,6290,33500,0,0,0,0
01,Biotechnology,2360,Bahamas,0,56703,148816,87321,0,0,0,8750
02,Life Science,2360,Bahamas,189150,235943,4633800,4866415,3000,6500,12500,12000
03,Opto-Electronics,2360,Bahamas,231635,65564,1315322,1291452,0,0,0,12700
04,Information & Communications,2360,Bahamas,5972189,6779344,38529477,35373804,18000,3025,130121,241271
05,Electronics,2360,Bahamas,59132,91370,1154244,2229351,0,0,14700,8885
06,Flexible Manufacturing,2360,Bahamas,215629,170204,2137936,9029677,13227,0,24642,3000
07,Advanced Materials,2360,Bahamas,6378,237013,382769,7563256,0,0,0,0
08,Aerospace,2360,Bahamas,11613,43773,1044615,17914162,0,0,0,5000
09,Weapons,2360,Bahamas,0,415000,560395,188886,0,0,0,2700
10,Nuclear Technology,2360,Bahamas,0,4560,25199,63528,0,0,0,0
02,Life Science,2390,Cuba,151065,0,359611,701566,0,0,0,0
04,Information & Communications,2390,Cuba,0,0,0,15674,0,0,0,0
06,Flexible Manufacturing,2390,Cuba,0,0,41000,201581,0,0,0,0
08,Aerospace,2390,Cuba,0,0,20190,0,0,0,0,0
01,Biotechnology,2410,Jamaica,44965,9977,289042,308466,0,0,0,0
02,Life Science,2410,Jamaica,529573,382603,6264075,4141506,0,0,2699,32365
03,Opto-Electronics,2410,Jamaica,427783,294586,3117384,1070136,0,0,23066,5058
04,Information & Communications,2410,Jamaica,8119146,8778084,93153791,82949039,69963,101583,661929,765829
05,Electronics,2410,Jamaica,445079,243175,3953051,2525880,225830,0,242573,4482
06,Flexible Manufacturing,2410,Jamaica,323596,1035197,4455154,3163140,0,0,239806,111529
07,Advanced Materials,2410,Jamaica,0,65243,565112,220036,0,0,0,0
08,Aerospace,2410,Jamaica,469865,890826,16313043,19087495,0,0,0,25500
09,Weapons,2410,Jamaica,0,0,8000,184008,0,0,4000,6000
10,Nuclear Technology,2410,Jamaica,0,5436,37891,54530,0,0,0,0
01,Biotechnology,2430,Turks and Caicos Islands,0,3370,6603,22799,0,0,0,0
02,Life Science,2430,Turks and Caicos Islands,11763,5949,708760,727972,0,0,0,0
03,Opto-Electronics,2430,Turks and Caicos Islands,14505,3199,46366,50798,0,0,0,0
04,Information & Communications,2430,Turks and Caicos Islands,473666,1007798,4963064,8138778,0,0,65099,15952
05,Electronics,2430,Turks and Caicos Islands,8245,11849,133589,229312,0,0,9948,6000
06,Flexible Manufacturing,2430,Turks and Caicos Islands,23957,40847,741802,475668,0,0,0,10514
07,Advanced Materials,2430,Turks and Caicos Islands,3792,0,97685,40256,0,0,0,0
08,Aerospace,2430,Turks and Caicos Islands,5208,56381,823847,300735,0,0,265000,0
09,Weapons,2430,Turks and Caicos Islands,2554,5189,23804,36410,0,0,0,0
01,Biotechnology,2440,Cayman Islands,0,0,14508,33658,0,0,0,0
02,Life Science,2440,Cayman Islands,183907,51994,1695223,965315,0,0,704992,30230
03,Opto-Electronics,2440,Cayman Islands,54145,48284,788715,611184,0,0,0,0
04,Information & Communications,2440,Cayman Islands,2120438,1508725,20507082,19384556,87220,110228,406791,470164
05,Electronics,2440,Cayman Islands,47195,69600,818789,554763,2701,0,42772,0
06,Flexible Manufacturing,2440,Cayman Islands,14553,20793,704268,479029,0,0,0,0
07,Advanced Materials,2440,Cayman Islands,0,10311,163483,31249,0,0,0,0
08,Aerospace,2440,Cayman Islands,6300,45308,723023,153058,0,0,0,0
09,Weapons,2440,Cayman Islands,0,0,0,5530,0,0,0,0
10,Nuclear Technology,2440,Cayman Islands,0,0,2689,0,0,0,0,0
01,Biotechnology,2450,Haiti,47970,3078,140173,25035,0,0,0,0
02,Life Science,2450,Haiti,89769,91158,905931,839768,0,0,0,2145
03,Opto-Electronics,2450,Haiti,127932,55380,780195,655058,0,0,0,0
04,Information & Communications,2450,Haiti,11507688,3221755,53193955,44611861,0,0,3350,23264
05,Electronics,2450,Haiti,208832,38801,752538,973189,0,0,0,18333
06,Flexible Manufacturing,2450,Haiti,19367,183992,1060968,3576573,0,0,0,0
07,Advanced Materials,2450,Haiti,0,0,0,45229,0,0,0,0
08,Aerospace,2450,Haiti,8030,18770,384329,2997397,0,0,0,0
10,Nuclear Technology,2450,Haiti,0,0,0,15400,0,0,0,0
01,Biotechnology,2470,Dominican Republic,69710,193182,2884528,3255410,0,5525,10025,0
02,Life Science,2470,Dominican Republic,3907252,3690367,33105649,14526511,27824168,29121080,267981100,286075145
03,Opto-Electronics,2470,Dominican Republic,779168,850146,5609482,3547777,775134,801373,4562527,4791321
04,Information & Communications,2470,Dominican Republic,16155486,11504683,167497880,138733951,13714308,8589160,108084848,93645560
05,Electronics,2470,Dominican Republic,9383444,7419221,68530284,60653172,93791,51976,3726001,2015124
06,Flexible Manufacturing,2470,Dominican Republic,366798,238600,10961788,12281746,52877,102093,670237,477589
07,Advanced Materials,2470,Dominican Republic,9907,194770,995504,745348,260736,69469,3223777,209672
08,Aerospace,2470,Dominican Republic,59719,326795,13391115,13727461,58830,0,78414,32859
09,Weapons,2470,Dominican Republic,44507,139028,551225,380208,0,0,0,0
10,Nuclear Technology,2470,Dominican Republic,0,0,141859,131235,0,0,0,0
01,Biotechnology,2481,Anguilla,0,0,0,17066,0,0,0,0
02,Life Science,2481,Anguilla,41208,39000,108042,336535,0,0,0,9500
03,Opto-Electronics,2481,Anguilla,0,0,59004,99881,0,0,0,0
04,Information & Communications,2481,Anguilla,212622,192335,1368651,1783341,0,0,0,5200
05,Electronics,2481,Anguilla,31878,6762,50222,112276,0,0,102163,0
06,Flexible Manufacturing,2481,Anguilla,28202,0,32098,219127,0,0,0,0
08,Aerospace,2481,Anguilla,0,0,34211,773567,0,0,0,11862
02,Life Science,2482,British Virgin Islands,21100,15595,844157,675411,0,0,0,84569
03,Opto-Electronics,2482,British Virgin Islands,36603,2813,346038,85407,0,0,0,0
04,Information & Communications,2482,British Virgin Islands,889390,500842,6790436,6260494,17000,85000,297000,1127235
05,Electronics,2482,British Virgin Islands,0,0,64283,18761,0,0,0,7500
06,Flexible Manufacturing,2482,British Virgin Islands,61205,0,1155678,154588,0,0,0,0
07,Advanced Materials,2482,British Virgin Islands,0,11000,21595,9916,0,0,0,0
08,Aerospace,2482,British Virgin Islands,4125,6291,7852691,85370947,0,0,0,0
09,Weapons,2482,British Virgin Islands,0,0,22123,13443,0,0,0,0
01,Biotechnology,2483,St Kitts and Nevis,0,0,0,26291,0,0,0,0
02,Life Science,2483,St Kitts and Nevis,0,8960,246281,245383,0,0,0,12338
03,Opto-Electronics,2483,St Kitts and Nevis,6305,6400,76788,169516,2130,0,5677,0
04,Information & Communications,2483,St Kitts and Nevis,2296806,322105,6838122,6387374,6410,11832,201407,3038407
05,Electronics,2483,St Kitts and Nevis,67659,91870,646173,139283,0,0,8522,25016
06,Flexible Manufacturing,2483,St Kitts and Nevis,0,0,52113,115432,0,0,20463,18201
07,Advanced Materials,2483,St Kitts and Nevis,32426,49996,144363,45170,0,0,0,0
08,Aerospace,2483,St Kitts and Nevis,9945,0,19492,62298,0,0,0,0
09,Weapons,2483,St Kitts and Nevis,0,0,66845,0,0,0,0,0
10,Nuclear Technology,2483,St Kitts and Nevis,41604,0,44841,0,0,0,0,0
01,Biotechnology,2484,Antigua and Barbuda,0,0,0,8000,0,0,0,0
02,Life Science,2484,Antigua and Barbuda,5963,0,392760,462173,0,0,0,10704
03,Opto-Electronics,2484,Antigua and Barbuda,16522,7900,128960,160200,0,0,0,0
04,Information & Communications,2484,Antigua and Barbuda,896669,398386,7888588,7713018,0,0,36319,77981
05,Electronics,2484,Antigua and Barbuda,37659,3910,288804,154051,0,4764,4764,2884
06,Flexible Manufacturing,2484,Antigua and Barbuda,60542,0,248282,998612,0,0,0,0
07,Advanced Materials,2484,Antigua and Barbuda,11800,0,27629,70513,0,0,0,0
08,Aerospace,2484,Antigua and Barbuda,645118,284432,3449739,2647490,4800,12201,50570,68002
09,Weapons,2484,Antigua and Barbuda,0,0,25224,171957,0,0,0,0
02,Life Science,2485,Montserrat,0,0,27727,271284,0,0,0,0
03,Opto-Electronics,2485,Montserrat,13240,0,25593,52797,0,0,0,0
04,Information & Communications,2485,Montserrat,40854,31236,373314,763489,0,0,194184,266630
05,Electronics,2485,Montserrat,52013,0,52013,15255,0,0,0,2700
07,Advanced Materials,2485,Montserrat,4134,0,4134,0,0,0,0,0
