-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :   ECMWF_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
lbch        49718.000    1995     1     1     0
lbch        52274.750    2001    12    31    18
lbch     -2507798.449 -4676370.054  3526890.666
lbch           33.788     -118.203      -27.531
lbch     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     1.024430     0.477185    -1.530463
49718.25     0.957293     0.541007    -1.724943
49718.50     1.319251     0.200451    -1.289278
49718.75     1.442163     0.484401    -2.461051
49719.00     1.447967     0.245127    -1.391182
49719.25     1.268447     0.125137    -1.243100
49719.50     1.116863    -0.218232    -0.554959
49719.75     0.826412     0.112593    -1.297537
49720.00     0.802253     0.063623    -0.538959
49720.25     0.493595     0.107166    -0.604540
49720.50     0.388823    -0.059548    -0.393663
49720.75     0.360112     0.234936    -1.009809
49721.00     0.464150     0.183247    -0.172290
49721.25     0.282818     0.335138    -0.571912
49721.50     0.479741     0.102453     0.229176
49721.75     0.442216     0.550570     0.195614
49722.00     0.217253     0.371423     2.557593
49722.25    -0.081093     0.185382     3.802049
49722.50     0.245397    -0.269655     4.700545
49722.75     0.434325     0.041157     3.684957
49723.00     0.836099    -0.121892     4.294314
49723.25     0.786448     0.072276     3.299558
49723.50     0.902179    -0.044880     3.335513
49723.75     0.652270     0.561249     1.749065
49724.00     0.454598     0.758811     2.056675
49724.25    -0.169617     1.021242     1.688353
49724.50    -0.424884     0.796871     2.089389
49724.75    -0.571479     1.127442     0.791163
49725.00    -0.525160     0.997909     1.315234
49725.25    -0.943146     1.060185     0.461667
49725.50    -0.770556     0.764768     0.638549
49725.75    -0.650005     1.045966    -0.737992
49726.00    -0.380633     0.843782    -0.252957
49726.25    -0.531879     0.825346    -0.599401
49726.50    -0.437573     0.445310     0.190839
49726.75    -0.540297     0.653545    -0.523557
49727.00    -0.364391     0.492261     0.535246
49727.25    -0.544305     0.495399     0.565328
49727.50    -0.448981     0.139471     1.392474
49727.75    -0.433962     0.407225     0.806903
49728.00    -0.227407     0.198439     2.276529
49728.25    -0.247120     0.165480     2.161181
49728.50     0.026663    -0.197299     2.538974
49728.75     0.114765     0.123699     1.420737
49729.00     0.172730    -0.007399     2.162625
49729.25    -0.230910     0.129096     1.550114
49729.50    -0.225777    -0.170289     1.925578
49729.75    -0.338010     0.217832     0.509740
49730.00    -0.471697     0.082374     1.062887
49730.25    -0.770540     0.210247     0.268453
49730.50    -0.838987    -0.034267     0.570868
49730.75    -1.042913     0.386663    -0.659636
49731.00    -1.122653     0.361638     0.061079
49731.25    -1.512014     0.542442    -0.031648
49731.50    -1.573045     0.251725     0.927573
49731.75    -1.768233     0.525282     0.425134
49732.00    -1.872455     0.471493     1.580732
49732.25    -2.239932     0.530100     1.761862
49732.50    -2.159799     0.244840     2.384593
49732.75    -2.139005     0.535573     1.463176
49733.00    -2.112839     0.425674     2.271515
49733.25    -2.463573     0.529741     1.842562
49733.50    -2.391271     0.196492     2.358620
49733.75    -2.294518     0.506616     1.282324
49734.00    -2.194166     0.405895     1.989443
49734.25    -2.316902     0.489271     1.703687
49734.50    -2.074385     0.218684     2.148099
49734.75    -1.955636     0.628617     0.582452
49735.00    -1.879163     0.602457     1.269159
49735.25    -1.918679     0.813066     0.334941
49735.50    -1.886071     0.516545     0.611615
49735.75    -1.750391     0.845397    -0.876426
49736.00    -1.640635     0.656921    -0.082434
49736.25    -1.858391     0.671977    -0.373602
