Begin Header
	version	6.0.0
	Date	Sat Oct 02 02:42:04 EDT 2004
	Image File	C:\My Documents\Results\LBL samples\2004_09_28_E28_Salt strtess\E28_Qiang_F_Cy5_12935755.tif
	Page	0
	Page Name	
	Inverted	false
	Begin Field Dimensions
		Field	Metarows	Metacols	Rows	Cols
		A	8	4	16	18
	End Field Dimensions
	Begin Measurement parameters
		Segmentation Method	auto
		Signal Low	0.0
		Signal High	0.0
		Background Low	0.0
		Background High	0.0
		Background Buffer	3.0
		Background Width	3.0
	End Measurement parameters
	Begin Alerts
		Control Type	Minimum threshold	If tested	Percentage allowed	If failed	Maximum threshold	If tested	Percentage allowed	If failed	CV threshold	If tested	If failed
	End Alerts
	Begin Quality Flags
		Begin Flagging Settings
			Empty Spots	true	Threshold:	2.0
			Poor Spots	true
			Begin Poor Spots Parameters
				Background contamination flag	true	Threshold:	0.9995
				Background tested against subgrid data only	true
				Signal contamination flag	false	Threshold:	0.9995
				Signal contamination test connected to background contamination threshold	false
				Ignored percentage flag	true	Threshold:	25.0
				Open perimeter flag	true	Threshold:	25.0
				Shape regularity flag	true	Threshold:	0.6
				Area To Perimeter Ratio flag	false	Threshold:	0.65
				Offset flag	true	Threshold:	60.0
			End Poor Spots Parameters
			Negative Spots	true
		End Flagging Settings
		Begin Flagged spots
			# of Empty Spots: 2121
			# of Poor Spots: 146
			# of Negative Spots: 0
			# of Manually Flagged Spots: 2
		End Flagged spots
		
	End Quality Flags
End Header
Begin Raw Data
	Field	Meta Row	Meta Column	Row	Column	Gene ID	Flag	Signal Mean	Background Mean	Signal Median	Background Median	Signal Mode	Background Mode	Signal Area	Background Area	Signal Total	Background Total	Signal Stdev	Background Stdev	Shape Regularity	Ignored Area	Spot Area	Ignored Median	Area To Perimeter	Open Perimeter	XCoord	YCoord	Diameter	Position offset	Offset X	Offset Y	Expected X	Expected Y	CM-X	CM-Y	CM Offset	CM Offset-X	CM Offset-Y	Min Diam	Max Diam	Control	Failed Control	Background contamination present	Signal contamination present	Ignored % failed	Open perimeter failed	Shape regularity failed	Perim-to-area failed	Offset failed	Empty spot	Negative spot	Selected spot	Saturated spot
	A	1	1	1	1	ORF01514	0	1534.4573	715.9423	1503.0	659.0	1556.2174	588.8889	94.0	347.0	144239.0	248432.0	500.12	251.2159	0.8318	0.0	94.0	0.0	1.0	0.0	357.5	271.5	11.0	0.7957	-0.7112	-0.3569	358.2112	271.8569	357.2021	272.1276	1.0447	-1.009	0.2706	10.5596	11.5827		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	2	ORF01469	0	3238.0292	745.2236	3218.5	685.0	3291.652	604.6385	102.0	380.0	330279.0	283185.0	944.0252	262.5518	0.9189	0.0	102.0	0.0	1.0	0.0	378.5	271.5	11.0	0.704	-0.4606	-0.5324	378.9606	272.0324	377.9705	272.049	0.9902	-0.99	0.0165	10.9189	11.9778		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	3	ORF01588	0	3969.7851	755.3258	4172.0	702.0	4595.1176	566.9053	107.0	399.0	424767.0	301375.0	1305.6494	279.9413	0.6903	0.0	107.0	0.0	1.0	0.0	399.5	271.5	11.0	0.8437	-0.4558	-0.7099	399.9558	272.2099	398.9158	272.4018	1.0575	-1.0399	0.1918	11.1252	12.4349		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	4	ORF01550	0	12775.7578	813.6571	13004.0	732.0	13201.2001	659.3195	99.0	385.0	1264800.0	313258.0	5020.2563	384.876	0.8684	0.0	99.0	0.0	1.0	0.0	421.0	272.0	10.0	0.481	0.2876	-0.3855	420.7123	272.3855	420.5454	272.8282	0.4731	-0.1668	0.4427	11.172	11.4896		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	5	ORF01511	0	996.6477	686.9705	955.5	644.0	1067.9285	527.237	88.0	374.0	87705.0	256927.0	361.4526	224.5483	0.7857	0.0	88.0	0.0	1.0	0.0	442.5	272.5	11.0	0.5464	0.5425	-0.0651	441.9574	272.5651	442.5	272.5	0.5464	0.5425	-0.0651	10.6287	10.6287		0	0	0	0	0	0	0	0	1	0	0	0
	A	1	1	1	6	ORF01465	0	3252.0593	724.2382	3289.0	679.0	3488.6562	624.1406	101.0	361.0	328458.0	261450.0	941.0523	282.5114	0.8938	0.0	101.0	0.0	1.0	0.0	462.5	272.5	11.0	0.5273	-0.4681	-0.2428	462.9681	272.7428	461.8415	273.4158	1.3122	-1.1265	0.673	10.9631	11.8747		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	7	ORF00850	0	2585.989	747.0586	2439.5	707.5	2461.1201	601.2857	92.0	392.0	237911.0	292847.0	905.4383	314.8276	0.807	0.0	92.0	0.0	1.0	0.0	484.0	273.0	10.0	0.8583	0.854	0.0865	483.1459	272.9134	483.1304	273.5	0.5867	-0.0155	0.5865	10.0983	11.7983		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	8	ORF00816	0	2787.7683	758.2608	2671.0	704.0	2766.6774	634.7008	95.0	345.0	264838.0	261600.0	890.9046	303.3236	0.8333	0.0	95.0	0.0	0.9745	0.0	504.5	273.5	11.0	0.6783	0.5399	0.4105	503.96	273.0894	503.9263	273.8631	0.7744	-0.0336	0.7736	10.4209	11.7857		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	9	ORF00923	0	7294.8139	820.0855	7166.5	735.0	7642.4072	698.8167	102.0	339.0	744071.0	278009.0	2765.8798	388.822	0.6623	0.0	102.0	0.0	1.0	0.0	525.5	273.5	11.0	0.3711	0.2905	0.2308	525.2094	273.2691	524.6862	273.6176	0.6285	-0.5231	0.3484	10.6944	12.2838		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	10	ORF00884	0	33477.6914	831.3269	39016.5	729.0	45851.2851	600.9017	126.0	315.0	4218189.0	261868.0	19848.4492	377.4242	0.8181	0.0	126.0	0.0	1.0	0.0	546.5	273.5	11.0	0.5911	-0.5893	0.0458	547.0893	273.4541	546.2539	274.3571	1.2301	-0.8353	0.9029	12.1541	13.3641		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	11	ORF00847	0	1652.0112	709.6034	1548.0	665.0	1806.1052	587.9735	89.0	348.0	147029.0	246942.0	465.0989	247.3697	0.7946	0.0	89.0	0.0	1.0	0.0	567.5	273.5	11.0	0.2131	0.1724	-0.1253	567.3275	273.6253	566.7528	274.2471	0.8468	-0.5747	0.6218	9.7794	11.8262		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	12	ORF00812	0	13767.6572	793.2618	13547.0	706.0	13502.1503	609.1484	105.0	401.0	1445604.0	318098.0	5897.7514	339.7839	0.673	0.0	105.0	0.0	1.0	0.0	588.5	273.5	11.0	0.4212	0.2937	-0.3018	588.2062	273.8018	587.7523	273.4857	0.5531	-0.4538	-0.3161	10.9599	12.3504		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	13	ORF00205	0	2682.8437	705.7164	2576.0	654.5	2586.7585	583.1978	96.0	388.0	257553.0	273818.0	855.7686	252.5364	0.8275	0.0	96.0	0.0	1.0	0.0	610.0	274.0	10.0	0.292	0.2916	0.0162	609.7083	273.9837	609.2708	274.5	0.6767	-0.4375	0.5162	10.5161	11.7716		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	14	ORF00161	0	5313.4902	948.9498	5251.0	864.0	6362.5	830.0827	100.0	359.0	531349.0	340673.0	1526.0357	493.7351	0.8928	0.0	100.0	0.0	1.0	0.0	630.5	274.5	11.0	0.4741	-0.3328	0.3376	630.8328	274.1623	630.7999	274.95	0.7883	-0.0328	0.7876	11.148	11.5285		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	15	ORF00285	3	3481.75	1179.4461	3395.0	1047.0	4655.0	845.7272	16.0	446.0	55708.0	526033.0	1335.0301	622.3218	0.5	0.0	16.0	0.0	0.7853	0.0	648.5	274.5	5.0	3.0276	-3.0232	0.1627	651.5232	274.3372	648.5	274.5	3.0276	-3.0232	0.1627	4.6188	4.6188		0	0	0	0	0	1	0	0	0	0	0	0
	A	1	1	1	16	ORF00243	0	18853.3046	1562.824	19759.0	1455.0	20258.3417	1415.0418	102.0	381.0	1923037.0	595436.0	4485.7246	753.2096	0.9107	0.0	102.0	0.0	1.0	0.0	673.5	275.5	11.0	1.0417	0.3538	0.9798	673.1461	274.5201	673.098	275.3137	0.795	-0.0481	0.7935	11.0609	11.8819		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	17	ORF00202	0	7208.7744	1416.0472	7099.0	1340.0	7114.853	1029.2203	102.0	339.0	735295.0	480040.0	1556.5159	503.5507	0.9189	0.0	102.0	0.0	1.0	0.0	694.5	275.5	11.0	0.9682	0.5397	0.8038	693.9602	274.6961	693.9509	276.0294	1.3333	-0.0092	1.3332	10.9189	11.9778		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	1	18	ORF00158	3	4354.1	1323.56	4305.5	1251.0	4393.7084	1117.0451	100.0	341.0	435410.0	451334.0	1007.3067	472.8284	0.8761	0.0	100.0	0.0	1.0	0.0	714.5	274.5	11.0	0.6849	-0.5734	-0.3746	715.0734	274.8746	713.94	274.88	1.1334	-1.1334	0.0053	10.9067	11.8347		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	1	ORF01594	0	2794.0859	716.3994	2777.0	657.5	2848.476	581.7211	93.0	348.0	259850.0	249307.0	761.4247	272.4376	0.8157	0.0	93.0	0.0	1.0	0.0	357.5	292.5	11.0	0.3997	0.235	-0.3233	357.2649	292.8233	357.7526	293.301	0.6827	0.4877	0.4777	10.5961	11.3271		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	2	ORF01558	0	8103.1357	756.0334	7858.0	719.0	7723.4799	585.0341	103.0	359.0	834623.0	271416.0	3374.1691	256.9228	0.6602	0.0	103.0	0.0	1.0	0.0	378.5	293.5	11.0	0.7173	-0.5213	0.4927	379.0213	293.0072	378.4854	293.7669	0.9296	-0.5358	0.7597	10.7426	12.3407		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	3	ORF01517	0	3127.5913	742.3712	3057.0	684.0	3297.652	564.0449	93.0	369.0	290866.0	273935.0	974.3304	283.9142	0.8086	0.0	93.0	0.0	1.0	0.0	399.5	293.5	11.0	0.3495	-0.1443	0.3182	399.6443	293.1817	399.5914	293.6021	0.4237	-0.0529	0.4204	10.5737	11.3621		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	4	ORF01473	0	3083.1145	696.4739	2998.0	667.0	3020.9472	644.8514	96.0	365.0	295979.0	254213.0	866.4018	228.7067	0.8347	1.0	97.0	5581.0	0.9847	0.0	420.5	293.5	11.0	0.2698	0.2283	0.1438	420.2716	293.3561	419.7083	293.6354	0.6287	-0.5632	0.2792	10.8996	11.4546		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	5	ORF01591	0	6757.4555	718.1428	7260.5	663.0	7442.2939	576.4669	112.0	329.0	756835.0	236269.0	3164.2243	254.0769	0.732	0.0	112.0	0.0	1.0	0.0	441.5	293.5	11.0	0.9862	0.9859	-0.0273	440.514	293.5273	440.741	294.0446	0.5649	0.2269	0.5173	11.6615	12.3461		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	6	ORF01554	0	19722.6718	793.2914	20640.5	715.0	20801.0781	655.5098	110.0	374.0	2169494.0	296691.0	8159.9868	361.3501	0.7096	0.0	110.0	0.0	1.0	0.0	461.5	292.5	11.0	1.2917	-0.4558	-1.2086	461.9558	293.7086	461.3999	293.1545	0.7848	-0.5558	-0.554	11.2326	12.5548		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	7	ORF00929	0	9568.2617	801.752	9372.0	712.0	9343.5625	748.2189	103.0	359.0	985531.0	287829.0	4042.0407	518.3238	0.6645	0.0	103.0	0.0	1.0	0.0	483.5	293.5	11.0	0.5128	-0.3287	-0.3935	483.8287	293.8935	482.6213	294.2621	1.2624	-1.2074	0.3685	10.5763	12.5456		0	0	0	0	0	0	0	0	0	0	0	0
