Time,F-Scale,Location,County,State,Lat,Lon,Comments
1610,UNK,4 S EAST JULIETTE,MONROE,GA,33.06,-83.79,TORNADO REPORTED NEAR PLANT SCHERER. (FFC)
1625,UNK,5 NNW GAINESVILLE,HALL,GA,34.37,-83.86,RATED EF1. PATH 1 MILE LONG AND 200 YDS WIDE. SCORES OF TREES BLOWN DOWN. MINOR ROOF DAMAGE TO 20 HOMES. (FFC)
1820,UNK,REED CREEK,HART,GA,34.44,-82.92,PERSON REPORTED TREES DOWN AND TORNADO SEEN ON SUGAR CANE RD. (GSP)
1856,UNK,CLEMSON,PICKENS,SC,34.68,-82.81,TORNADO SITED ON THE GROUND IN CLEMSON. (GSP)
1929,UNK,5 N ANTREVILLE,ANDERSON,SC,34.38,-82.54,TREES DOWN ON POWER LINES OFF HWY 28 ON GREER HEIGHTS ROAD AND ON FLAT ROCK RD. (GSP)
1938,UNK,2 NE FLOWERY BRANCH,HALL,GA,34.21,-83.89,RATED EF1. PATH 3/4 MILE LONG AND 100 YDS WIDE. 20-30 TREES BLOWN DOWN. MINOR ROOF DAMAGE TO 5-10 HOMES AND OAKWOOD ELEMENTARY SCHOOL. (FFC)
1940,UNK,5 SSW PENDLETON,ANDERSON,SC,34.58,-82.82,AT MT TABOR RD AND HWY 187 HOME DAMAGED,TREE ON MOBILE HOME,PATH OF DEBRIS,FUNNEL SEEN AND TRAIN SOUND HEARD BY ZION CHURCH MINISTER. (GSP)
1945,UNK,4 SSW GAINESVILLE,HALL,GA,34.24,-83.87,PUBLIC WITNESSED TORNADO COMING THROUGH THE TREES WITH AIRBORNE PLYWOOD AND SIDING DEBRIS. TREES SNAPPED AND PART OF BUSINESS ROOF TORN OFF ALONG MURPHY BLVD. DAMAGE TO (FFC)
1955,UNK,2 SW GAINESVILLE,HALL,GA,34.27,-83.86,PUBLIC WITNESSED TORNADO COMING THROUGH THE TREES WITH AIRBORNE PLYWOOD AND SIDING DEBRIS. TREES SNAPPED AND PART OF BUSINESS ROOF TORN OFF ALONG MURPHY BLVD. DAMAGE TO (FFC)
1955,UNK,SIX MILE,PICKENS,SC,34.81,-82.82,TREES ON POWER LINES AND POWER LINE SNAPPED NEAR SIX MILE AND HWY 137. (GSP)
1958,UNK,5 E PELZER,GREENVILLE,SC,34.64,-82.37,GARAGE DESTROYED,SHINGLES OFF ROOFS,YARD FURNITURE BLOWN AROUND,TREES UPROOTED AND LARGE OAK LIMBS TWISTED OFF AT DAVIS AND RICHEY ROADS. 1/2 MILE OF DAMAGE. (GSP)
2000,UNK,2 SW GAINESVILLE,HALL,GA,34.27,-83.86,PUBLIC WITNESSED TORNADO COMING THROUGH THE TREES WITH AIRBORNE PLYWOOD AND SIDING DEBRIS. TREES SNAPPED AND PART OF BUSINESS ROOF TORN OFF ALONG MURPHY BLVD. (FFC)
2000,UNK,3 W DACUSVILLE,PICKENS,SC,34.94,-82.61,TREES AND LIMBS DOWN ON POWER LINES. (GSP)
2005,UNK,1 N PUMPKINTOWN,PICKENS,SC,35.02,-82.65,FEW TREE LIMBS DOWN ON HWY 8 NEAR HWY 11. (GSP)
2010,UNK,5 S CAESARS HEAD,PICKENS,SC,35.03,-82.61,LARGE LIMBS DOWN ON HWY 276 BETWEEN CAESARS HEAD AND HWY 11. (GSP)
2010,UNK,ROCKY BOTTOM,PICKENS,SC,35.05,-82.8,TREES AND LIMBS DOWN ON POWER LINES OFF HWY 178. (GSP)
2016,UNK,2 SW PERRY,HOUSTON,GA,32.44,-83.76,BRIEF TOUCHDOWN AND BACKUP AT U.S. HWY 41 AND SOUTH PERRY PKWY. NO DAMAGE OCCURRED. (FFC)
2018,UNK,3 ESE JEFFERSON,JACKSON,GA,34.12,-83.55,BRIEF TORNADO OBSERVED BY BOTH A SHERIFFS DEPUTY AND A SKYWARN SPOTTER NEAR JEFFERSON RIVER RD AND BROCKTON RD. DAMAGE TO TREES AND LIMBS. (FFC)
2020,UNK,5 SSW LULA,HALL,GA,34.33,-83.71,NUMEROUS TREES DOWNED ACROSS THE COUNTY AND ROOF BLOWN OFF A HOME AT TIMBLE ROAD AND HEWELL ROAD. DAMAGE SURVEY SHOWED TORNADO PATH 3/4 MILE LONG AND 100 YDS WIDE. THRE (FFC)
2020,UNK,4 NE PIEDMONT,GREENVILLE,SC,34.75,-82.41,NUMEROUS TREES DOWN NEAR MOONVILLE (GSP)
2030,UNK,5 ENE ARCADE,JACKSON,GA,34.1,-83.48,BRIEF TORNADO TOUCH DOWN WITNESSED BY LAW ENFORCEMENT IN BROCKTON LOOP ROAD. MINOR TREE DAMAGE ONLY. (FFC)
2037,UNK,COMMERCE,JACKSON,GA,34.21,-83.46,POSSIBLE TORNADO TOUCHED DOWN IN COMMERCE. AT LEAST ONE HOUSE WAS DESTROYED ON CEDAR DRIVE AND THE EMERGENCY MANAGER WAS RECEIVING NUMEROUS REPORTS OF DAMAGE AND SOME I (FFC)
2046,UNK,COMMERCE,JACKSON,GA,34.21,-83.46,*** 2 INJ *** TORNADO TOUCHED DOWN IN COMMERCE. DAMAGE SURVEY REVEALED A PATH 1.25 MILES LONG AND 100 YDS WIDE. 40-50 TREES DOWN. 10-15 HOMES WITH MINOR DAMAGE. ONE MOB (FFC)
2255,UNK,2 SW NORMAN,WILKES,GA,33.91,-82.79,POSSIBLE TORNADO KNOCKED DOWN SEVERAL TREES. ROTATION ON THE GROUND WITNESSED BY DEPUTIES. (FFC)
2315,UNK,3 S CORNWELL,CHESTER,SC,34.56,-81.18,TREES ON POWERLINES FROM 8 SOUTH OF CHESTER NEAR CORNWELL STRETCHING NE TO FORT LAWN. (GSP)
2325,UNK,10 SE CHESTER,CHESTER,SC,34.6,-81.09,TREES DOWN ON POWERLINES OFF HWY 97 SE OF CHESTER. (GSP)
