"Table with row headers in column A and column headers for both sexes in rows 5 through 6, for male in rows 29 through 30, and for female in rows 53 through 54.",,,,,,,,,,
"Table 5.  Educational Attainment of Civilians 16 Years and Over in Labor Force, by Age, Sex, Race, and Hispanic Origin:  2004",,,,,,,,,,
(Numbers in thousands),,,,,,,,,,
(leading dot indicates sub-part),,,,,,,,,,
"Asian alone or in combination
and Both Sexes",Total,Educational Attainment,,,,,,,,
,,None - 8th grade,9th - 11th grade,High school graduate,Some college no degree,Associate degree,Bachelor's degree,Master's degree,Professional degree,Doctorate degree
Civilians in Labor Force,,,,,,,,,,
.16 years and over,"6,555",248,389,"1,266",930,504,"1,926",793,250,248
.16 to 17 years,83,0,75,6,1,-,1,-,-,-
.18 to 24 years,725,1,76,165,293,48,126,14,3,-
.25 to 29 years,772,6,22,103,96,59,329,97,46,13
.30 to 34 years,"1,003",24,40,157,120,76,323,175,45,43
.35 to 44 years,"1,761",81,91,344,178,163,503,246,69,86
.45 to 54 years,"1,389",77,63,312,159,96,408,167,46,62
.55 to 64 years,705,44,19,154,70,59,209,82,34,34
.65 years and over,117,13,5,25,14,3,27,13,8,9
.16 to 17 years,83,0,75,6,1,-,1,-,-,-
.18 years and over,"6,472",247,315,"1,260",929,504,"1,925",793,250,248
.16 to 24 years,808,1,150,171,294,48,127,14,3,-
.25 years and over,"5,746",247,239,"1,095",636,456,"1,799",779,247,248
Footnotes:,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,
,,,,,,,,,,
Source: U.S. Census Bureau,,,,,,,,,,
Internet Release Date:  March 2005,,,,,,,,,,
"Table 5.  Educational Attainment of Civilians 16 Years and Over in Labor Force, by Age, Sex, Race, and Hispanic Origin:  2004",,,,,,,,,,
(Numbers in thousands),,,,,,,,,,

"Asian alone or in combination
and Male",Total,Educational Attainment,,,,,,,,
,,None - 8th grade,9th - 11th grade,High school graduate,Some college no degree,Associate degree,Bachelor's degree,Master's degree,Professional degree,Doctorate degree
Civilians in Labor Force,,,,,,,,,,
.16 years and over,"3,540",136,210,647,486,238,"1,017",490,146,171
.16 to 17 years,43,0,39,3,-,-,1,-,-,-
.18 to 24 years,362,1,49,79,147,21,56,5,3,-
.25 to 29 years,430,2,14,54,58,28,187,59,25,4
.30 to 34 years,555,17,18,88,64,47,160,113,19,30
.35 to 44 years,966,45,44,197,90,69,269,159,43,51
.45 to 54 years,722,39,34,137,84,35,211,102,31,48
.55 to 64 years,386,24,11,72,34,36,115,46,19,29
.65 years and over,75,8,2,17,9,1,18,5,6,9
.16 to 17 years,43,0,39,3,-,-,1,-,-,-
.18 years and over,"3,497",135,172,644,486,238,"1,015",490,146,171
.16 to 24 years,405,1,88,81,147,21,58,5,3,-
.25 years and over,"3,135",134,122,565,339,217,959,484,142,171
Footnotes:,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,
,,,,,,,,,,
Source: U.S. Census Bureau,,,,,,,,,,
Internet Release Date:  March 2005,,,,,,,,,,
"Table 5.  Educational Attainment of Civilians 16 Years and Over in Labor Force, by Age, Sex, Race, and Hispanic Origin:  2004",,,,,,,,,,
(Numbers in thousands),,,,,,,,,,

"Asian alone or in combination
and Female",Total,Educational Attainment,,,,,,,,
,,None - 8th grade,9th - 11th grade,High school graduate,Some college no degree,Associate degree,Bachelor's degree,Master's degree,Professional degree,Doctorate degree
Civilians in Labor Force,,,,,,,,,,
.16 years and over,"3,015",112,179,619,443,265,909,304,105,78
.16 to 17 years,40,-,36,3,1,-,-,-,-,-
.18 to 24 years,363,-,26,86,146,27,69,9,-,-
.25 to 29 years,341,4,8,49,38,31,142,39,20,9
.30 to 34 years,448,8,23,69,56,29,163,61,26,13
.35 to 44 years,794,36,47,147,88,93,234,87,26,36
.45 to 54 years,667,38,29,175,75,60,196,64,15,14
.55 to 64 years,319,20,8,83,36,23,94,36,14,6
.65 years and over,42,5,3,8,4,2,10,7,2,-
.16 to 17 years,40,-,36,3,1,-,-,-,-,-
.18 years and over,"2,975",112,143,616,443,265,909,304,105,78
.16 to 24 years,403,-,62,89,146,27,69,9,-,-
.25 years and over,"2,611",112,117,530,297,238,840,295,105,78
Footnotes:,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,

Source: U.S. Census Bureau,,,,,,,,,,
Internet Release Date:  March 2005,,,,,,,,,,
