"tblid","profln","totcest","totcme","cest","cme"
,"0",,,,
,"1",,,,
"S0201","1","5,167,101","*****","255,638","+/-8,407"
,"2",,,,
"S0201","2","49.7","+/-0.1","48.6","+/-1.2"
"S0201","3","50.3","+/-0.1","51.4","+/-1.2"
,"3",,,,
"S0201","4","6.7","+/-0.1","6.3","+/-0.6"
"S0201","5","17.6","+/-0.1","19.0","+/-1.2"
"S0201","6","10.1","+/-0.1","10.9","+/-1.0"
"S0201","7","13.0","+/-0.1","13.0","+/-0.9"
"S0201","8","14.7","+/-0.1","15.0","+/-0.8"
"S0201","9","15.4","+/-0.1","15.9","+/-0.9"
"S0201","10","10.4","+/-0.1","10.1","+/-0.7"
"S0201","11","6.0","+/-0.1","5.6","+/-0.6"
"S0201","12","6.1","+/-0.1","4.2","+/-0.5"
,"12",,,,
"S0201","13","36.8","+/-0.2","35.4","+/-0.9"
,"13",,,,
"S0201","14","75.7","+/-0.1","74.6","+/-1.3"
"S0201","15","71.3","+/-0.1","70.1","+/-1.3"
"S0201","16","14.7","+/-0.1","12.0","+/-0.8"
"S0201","17","12.2","+/-0.1","9.8","+/-0.7"
,"17",,,,
"S0201","18","1,257,930","+/-1,187","64,875","+/-4,635"
"S0201","19","51.1","+/-0.2","48.4","+/-2.1"
"S0201","20","48.9","+/-0.2","51.6","+/-2.1"
,"20",,,,
"S0201","21","3,909,171","+/-1,187","190,763","+/-5,588"
"S0201","22","49.2","+/-0.1","48.7","+/-1.4"
"S0201","23","50.8","+/-0.1","51.3","+/-1.4"
,"23",,,,
"S0201","24","1,191,229","+/-3,176","61,175","+/-4,130"
"S0201","25","51.2","+/-0.1","49.4","+/-2.6"
"S0201","26","48.8","+/-0.1","50.6","+/-2.6"
,"26",,,,
"S0201","27","2,089,837","+/-2,966","104,657","+/-3,870"
"S0201","28","50.2","+/-0.1","50.3","+/-2.0"
"S0201","29","49.8","+/-0.1","49.7","+/-2.0"
,"29",,,,
"S0201","30","628,105","+/-1,376","24,931","+/-1,728"
"S0201","31","42.5","+/-0.1","40.3","+/-3.5"
"S0201","32","57.5","+/-0.1","59.7","+/-3.5"
,"32",,,,
,"33",,,,
"S0201","33","5,025,398","*****","251,334","+/-8,539"
"S0201","34","61.8","+/-0.3","61.2","+/-1.2"
"S0201","35","29.2","+/-0.2","31.4","+/-1.1"
"S0201","36","3.4","+/-0.2","2.0","+/-0.4"
"S0201","37","5.7","+/-0.2","5.3","+/-0.7"
"S0201","38","2.4","+/-0.1","2.5","+/-0.5"
,"38",,,,
,"39",,,,
"S0201","39","2,042,297","+/-7,113","100,847","+/-4,090"
"S0201","40","65.1","+/-0.4","63.6","+/-1.8"
"S0201","41","31.3","+/-0.4","31.5","+/-1.6"
"S0201","42","52.1","+/-0.4","52.7","+/-1.9"
"S0201","43","22.9","+/-0.3","24.7","+/-1.4"
