SUMLEV,STATE,COUNTY,REGION,DIVISION,ctyname,STNAME,NPOPCHG_2003,BIRTHS2003,DEATHS2003,INTERNATIONALMIG2003,INTERNALMIG2003,RESIDUAL2003,NATURALINC2003,NETMIG2003,RBIRTH2003,RDEATH2003,RINTERNATIONALMIG2003,RINTERNALMIG2003,RNATURALINC2003,RNETMIG2003
040,53,000,4,9,Washington,Washington,64152,78202,45623,25827,5023,723,32579,30850,12.821635284,7.4801343516,4.2344744953,0.823547659,5.3415009324,5.0580221543
050,53,001,4,9,Adams County,Washington,167,347,116,151,-213,-2,231,-62,20.975005289,7.0118173301,9.1274518693,-12.87514734,13.963187959,-3.74769547
050,53,003,4,9,Asotin County,Washington,6,233,215,3,-12,-3,18,-9,11.328276935,10.453131077,0.1458576429,-0.583430572,0.8751458576,-0.437572929
050,53,005,4,9,Benton County,Washington,3448,2140,1031,538,1826,-25,1109,2364,14.065252254,6.7762967637,3.5360307069,12.001472251,7.2889554907,15.537502958
050,53,007,4,9,Chelan County,Washington,794,913,591,322,161,-11,322,483,13.508315086,8.7441557673,4.7641593182,2.3820796591,4.7641593182,7.1462389773
050,53,009,4,9,Clallam County,Washington,735,584,861,78,948,-14,-277,1026,8.7874387776,12.955453403,1.1736647682,14.264541029,-4.168014626,15.438205798
050,53,011,4,9,Clark County,Washington,9916,5186,2496,1579,5714,-67,2690,7293,13.828337693,6.6555208025,4.2103635205,15.236236324,7.1728168905,19.446599845
050,53,013,4,9,Columbia County,Washington,28,40,49,7,32,-2,-9,39,9.6899224806,11.870155039,1.6957364341,7.7519379845,-2.180232558,9.4476744186
050,53,015,4,9,Cowlitz County,Washington,493,1225,992,152,121,-13,233,273,12.90798451,10.452833171,1.6016437923,1.2749927557,2.4551513395,2.876636548
050,53,017,4,9,Douglas County,Washington,499,431,258,155,176,-5,173,331,12.863559714,7.7002283207,4.6261061617,5.252868932,5.1633313934,9.8789750936
050,53,019,4,9,Ferry County,Washington,132,69,47,4,107,-1,22,111,9.3762739503,6.3867373284,0.5435521131,14.540019024,2.9895366218,15.083571137
050,53,021,4,9,Franklin County,Washington,3367,1193,315,632,1868,-11,878,2500,21.827629424,5.7633723962,11.563337633,34.17771313,16.064257028,45.741050763
050,53,023,4,9,Garfield County,Washington,63,14,24,0,74,-1,-10,74,5.9841846548,10.258602265,0,31.630690318,-4.274417611,31.630690318
050,53,025,4,9,Grant County,Washington,1269,1384,570,728,-262,-11,814,466,17.696965047,7.28848994,9.308808204,-3.350148007,10.408475107,5.9586601965
050,53,027,4,9,Grays Harbor County,Washington,748,797,821,98,686,-12,-24,784,11.541357739,11.888901761,1.4191380908,9.9339666358,-0.347544022,11.353104727
050,53,029,4,9,Island County,Washington,1043,911,570,46,672,-16,341,718,11.967709517,7.4880290063,0.6042970777,8.8279920916,4.4796805108,9.4322891693
050,53,031,4,9,Jefferson County,Washington,401,187,268,23,463,-4,-81,486,6.807550192,9.7562751415,0.8372922696,16.855057427,-2.948724949,17.692349697
050,53,033,4,9,King County,Washington,6285,21558,11692,12423,-17404,1400,9866,-4981,12.237686318,6.6371197897,7.0520816924,-9.879612797,5.600566528,-2.827531104
050,53,035,4,9,Kitsap County,Washington,1312,2920,1772,177,21,-34,1148,198,12.212667715,7.411249038,0.7402884197,0.0878308295,4.801418677,0.8281192492
050,53,037,4,9,Kittitas County,Washington,544,339,261,109,362,-5,78,471,9.7313124354,7.4922493972,3.1289470663,10.391548972,2.2390630382,13.520496039
050,53,039,4,9,Klickitat County,Washington,262,225,152,44,148,-3,73,192,11.51660951,7.7801095358,2.2521369709,7.5753698111,3.7364999744,9.827506782
050,53,041,4,9,Lewis County,Washington,1009,885,782,122,797,-13,103,919,12.613216085,11.145237264,1.7387710309,11.359020587,1.4679788212,13.097791618
050,53,043,4,9,Lincoln County,Washington,109,90,109,2,129,-3,-19,131,8.8421673135,10.70884708,0.196492607,12.673773149,-1.866679766,12.870265756
050,53,045,4,9,Mason County,Washington,1089,538,476,70,967,-10,62,1037,10.397441225,9.1992230908,1.3528269251,18.688337666,1.1982181337,20.041164591
050,53,047,4,9,Okanogan County,Washington,-164,478,415,147,-368,-6,63,-221,12.198856676,10.591057575,3.7515312372,-9.391588403,1.6077991017,-5.640057166
050,53,049,4,9,Pacific County,Washington,389,169,309,28,505,-4,-140,533,8.0731841307,14.761028973,1.3375689684,24.124011751,-6.687844842,25.46158072
050,53,051,4,9,Pend Oreille County,Washington,115,122,121,2,114,-2,1,116,10.020122377,9.9379902263,0.1642643013,9.3630651719,0.0821321506,9.5273294731
050,53,053,4,9,Pierce County,Washington,9128,9974,5493,1819,2930,-102,4481,4749,13.5533246,7.4642482484,2.4717763633,3.9814759454,6.0890763519,6.4532523087
050,53,055,4,9,San Juan County,Washington,216,85,115,20,230,-4,-30,250,5.7717118218,7.8087865825,1.3580498404,15.617573165,-2.037074761,16.975623005
050,53,057,4,9,Skagit County,Washington,2533,1358,957,424,1727,-19,401,2151,12.576694219,8.8629575606,3.9267439976,15.994072839,3.7137366581,19.920816837
050,53,059,4,9,Skamania County,Washington,205,97,68,8,169,-1,29,177,9.5364498845,6.6853463108,0.7865113307,16.615051861,2.8511035737,17.401563191
050,53,061,4,9,Snohomish County,Washington,4855,8247,4016,2314,-1603,-87,4231,711,12.997564237,6.3293583093,3.6469459979,-2.526384803,6.6682059279,1.1205611947
050,53,063,4,9,Spokane County,Washington,4000,5488,3704,926,1355,-65,1784,2281,12.786013667,8.6296272998,2.157406825,3.1568965959,4.1563863669,5.3143034209
050,53,065,4,9,Stevens County,Washington,322,454,412,15,272,-7,42,287,11.133727346,10.103734949,0.3678544277,6.6704269564,1.0299923977,7.0382813841
050,53,067,4,9,Thurston County,Washington,3861,2412,1622,342,2766,-37,790,3108,11.011813046,7.4051246933,1.5613764766,12.627974662,3.6066883525,14.189351139
050,53,069,4,9,Wahkiakum County,Washington,-95,21,56,0,-59,-1,-35,-59,5.5784300704,14.875813521,0,-15.6727321,-9.297383451,-15.6727321
050,53,071,4,9,Walla Walla County,Washington,728,687,559,201,409,-10,128,610,12.185388176,9.9150392877,3.5651572394,7.2544741836,2.2703488888,10.819631423
050,53,073,4,9,Whatcom County,Washington,2456,1950,1315,663,1187,-29,635,1850,11.122645707,7.5006559509,3.7816995403,6.7705540789,3.6219897558,10.552253619
050,53,075,4,9,Whitman County,Washington,-429,410,218,279,-895,-5,192,-616,10.19760978,5.4221437366,6.939349094,-22.26063598,4.7754660432,-15.32128689
050,53,077,4,9,Yakima County,Washington,2313,4041,1775,1176,-1097,-32,2266,79,17.904099423,7.8643346884,5.2103986442,-4.860380368,10.039764735,0.3500182763
