Variable       Count     Valid     Min        Max        Mean       Stdev     
avhrr_ch1      14250     14250     -0.09      18.15      0.711378   0.920542  
avhrr_ch2      14250     14250     -0.14      27.27      0.549084   0.938635  
avhrr_ch3      14250     14250     -63.95     27.78      13.30249   10.726786 
avhrr_ch4      14250     14250     -72.56     24.34      12.062295  11.300014 
avhrr_ch5      14250     14250     -73.39     23.08      11.232368  11.156393 
cloud          14250     12052     2          123        60.29464   38.546874 
graphics       14250     5124      2          12         8.104996   0.681525  
rel_azimuth    14250     14250     12.01      167.43     28.291119  43.666154 
sat_zenith     14250     14250     0          67.29      36.916448  20.274113 
sst            14250     14250     -68.11     28.71      14.828036  11.723077 
sun_zenith     14250     14250     80.26      98.1       89.612892  3.887174  
sst_masked     14250     2095      10.28      28.19      24.158444  2.823711  
