s o g   pedestal     gain      rms      dped     dgain     drms
1 1 1 1784.765015 16.525646 1.381037 9.820679 -0.304058 -0.654226
1 1 2 1767.468750 16.695602 1.267642 9.854980 -0.178850 -0.018421
1 1 3 1779.630493 18.721046 1.493771 -0.022095 0.006624 -0.099064
1 2 1 1761.658813 29.462063 1.391306 -0.094604 0.045132 -0.062167
1 2 2 1762.142700 19.886293 1.492349 0.781372 -0.006466 -0.218552
1 2 3 1825.736694 15.818646 1.309447 -0.015503 -0.009371 -0.059654
1 3 1 1817.393921 11.371532 2.157042 -0.358154 0.157703 -0.171357
1 3 2 1798.418823 12.213172 1.362325 -0.049927 0.000582 -0.006484
1 3 3 1828.157349 27.357882 1.512463 -0.083008 0.063915 0.007928
1 4 1 1785.302246 11.865634 1.434558 -0.003784 0.002507 0.002824
1 4 2 1777.175049 12.147617 1.241995 0.868774 -0.014178 0.008532
1 4 3 1782.806641 27.176966 1.243195 0.802490 -0.116808 -0.007887
1 5 1 1810.956787 15.641383 1.410395 0.195312 0.021644 -0.047800
1 5 2 1822.357178 16.367329 1.205810 0.049316 0.010059 -0.015402
1 5 3 1777.503418 16.070251 1.323163 -0.028320 0.000422 -0.037289
1 6 1 1787.830933 16.805143 1.290139 0.063232 0.030588 -0.057946
1 6 2 1774.698120 17.699560 1.432360 -0.673584 0.032082 -0.069480
1 6 3 1801.019775 27.659588 2.118155 0.451904 -0.024361 -0.126598
1 7 1 1791.524414 16.923632 1.164971 -0.355957 0.065395 -0.050578
1 7 2 1811.705200 16.916424 1.188120 0.599976 -0.009048 -0.004963
1 7 3 1791.923218 16.357029 1.190388 -0.043213 -0.001772 -0.043240
1 8 1 1753.563232 18.568962 1.505271 -0.007202 0.021259 -0.029365
1 8 2 1837.516113 28.714491 1.665984 0.739380 -0.030979 -0.111799
1 8 3 1816.435547 16.848112 2.370610 -0.723877 0.043003 -0.308523
2 1 1 1807.287598 8.801778 2.713707 -0.115356 -0.028151 0.019676
2 1 2 1780.929321 8.081311 1.555617 -0.108398 0.004235 0.061133
2 1 3 1802.120361 8.550007 1.482928 0.390015 0.000650 0.030105
2 2 1 1815.790283 8.761199 2.056196 -0.740112 -0.003998 0.015074
2 2 2 1796.003784 8.464363 1.292334 -1.170410 -0.001337 0.006254
2 2 3 1790.255005 8.749974 1.296505 0.009888 -0.008255 0.024267
2 3 1 1793.444214 8.633267 3.314635 0.899780 0.030121 -0.194363
2 3 2 1820.273560 8.261165 1.658330 0.464600 -0.009905 -0.193152
2 3 3 1806.466431 8.635030 1.670370 -0.252441 0.001612 -0.179217
2 4 1 1806.411499 4.704978 1.886470 0.566528 0.014263 -0.029465
2 4 2 1803.287109 8.424777 1.758107 -0.450195 0.023991 -0.006455
2 4 3 1776.475342 8.432611 1.669725 -0.277832 -0.000189 -0.007520
2 5 1 1789.848145 4.617740 2.045052 1.438721 0.004408 0.102471
2 5 2 1774.724487 8.155358 1.383408 0.012207 0.012398 -0.010998
2 5 3 1774.407227 8.436124 1.359382 -1.525391 -0.001688 -0.023765
2 6 1 1783.820923 8.591489 1.420932 -0.132568 0.002582 -0.020722
2 6 2 1802.818726 8.348757 1.349912 0.367188 0.003386 -0.016133
2 6 3 1787.701538 8.973504 1.318065 -0.258179 0.002882 -0.000598
2 7 1 1804.020874 8.875459 2.412137 0.714355 -0.004373 -0.338097
2 7 2 1802.486816 8.375111 1.335482 0.134399 -0.004792 -0.055614
2 7 3 1780.420410 8.437003 1.455537 -0.113525 0.021811 -0.062273
2 8 1 1792.422363 8.470331 1.812843 -0.403809 -0.004066 -0.140369
2 8 2 1813.971924 8.125041 1.246305 0.021362 -0.030665 -0.067195
2 8 3 1788.629761 8.713474 1.287779 -0.614258 -0.033305 -0.073933
3 1 1 1761.996582 11.047737 2.213298 -0.306885 0.005928 0.088962
3 1 2 1767.939941 10.891182 3.334829 -0.730225 0.007844 0.038410
3 2 1 1794.606567 10.860201 1.962999 0.201660 -0.002341 0.056399
3 2 2 1806.772827 10.624177 3.102423 0.393555 -0.026437 0.282023
3 3 1 1779.101196 10.600995 2.169698 -0.351318 0.002731 -0.043113
3 3 2 1798.811401 10.894300 3.064188 -0.265381 0.002486 -0.097178
3 4 1 1796.185059 11.016827 1.946479 0.327026 0.004623 -0.094779
3 4 2 1790.567993 10.837428 2.666980 0.013306 -0.008822 -0.156246
3 5 1 1809.567993 10.776320 1.944028 0.139526 -0.004259 0.051296
3 5 2 1771.466309 11.158335 2.841343 0.228760 -0.036239 0.086499
3 6 1 1780.014893 11.659866 2.071010 0.136475 -0.005224 0.098429
3 6 2 1777.000977 24.952381 2.849138 0.525146 -0.007683 0.155960
3 7 1 1801.229248 10.447125 1.878715 -0.067383 0.008855 -0.056326
3 7 2 1803.423340 24.043755 2.213919 0.527954 0.024803 -0.181232
3 8 1 1794.994873 10.479617 1.690073 -0.477173 0.013688 -0.038734
3 8 2 1794.551514 10.836198 2.396967 -0.150635 0.044168 -0.041972
