s o p   pedestal     gain      rms  nevt  dped     dgain     drms
1 1 1 1839.777832 11.524673 1.483532 79 2.226929 -0.018316 -0.084247
1 1 2 1836.370483 12.520651 1.410750 80 -0.047485 0.013475 -0.097801
1 1 3 1823.019409 11.719723 1.529713 94 0.257324 0.021582 -0.103809
1 1 4 1814.599609 11.949398 1.498657 96 0.196411 0.027472 -0.072979
1 1 5 1816.026978 12.388348 1.535274 95 0.479980 0.023950 -0.070442
1 1 6 1828.159790 11.103652 1.632489 92 -0.747925 0.026964 -0.166705
1 2 1 1776.971436 11.069299 2.451818 94 0.341309 -0.022050 -0.109405
1 2 2 1831.927734 11.778136 2.123823 96 0.638428 -0.039454 -0.061503
1 2 3 1772.426636 11.173218 2.138979 96 0.238770 -0.022668 -0.090531
1 2 4 1846.104004 11.445256 2.121660 94 -0.099609 -0.020638 -0.040824
1 2 5 1797.389771 11.437590 2.311179 95 -0.095703 0.124198 -0.089095
1 2 6 1765.581665 10.987199 2.633458 96 0.230225 0.154949 -0.102249
1 3 1 1776.789795 12.437736 2.835958 95 0.199829 0.008828 -0.261779
1 3 2 1806.359375 12.274208 2.570094 96 1.095581 -0.053938 -0.057221
1 3 3 1816.844238 12.307537 3.862832 95 -0.004395 -0.249844 -0.126769
1 3 4 1808.367798 12.021008 4.408432 95 -0.098267 -0.139951 -0.219831
1 3 5 1776.716431 11.769653 2.428843 95 0.074341 -0.087696 -0.029413
1 3 6 1830.036987 10.540666 2.902459 96 -0.067505 -0.048937 -0.220958
1 4 1 1838.602295 11.609266 3.612677 93 -0.099854 0.021788 -0.365334
1 4 2 1810.825684 12.430083 2.220656 96 0.230835 -0.014249 -0.193886
1 4 3 1827.800781 11.803999 2.046168 95 -0.383789 0.090125 -0.242499
1 4 4 1806.756470 12.130329 1.919840 94 0.218262 0.059657 -0.179808
1 4 5 1803.046021 12.828822 1.887063 96 2.196411 0.004650 -0.187267
1 4 6 1799.543457 12.334432 3.314401 95 -0.923706 0.003223 -0.401589
1 5 1 1806.120728 12.619905 2.284646 96 0.100098 0.003057 -0.163416
1 5 2 1804.086304 12.214116 2.554232 95 -0.025513 0.019801 -0.268726
1 5 3 1819.779785 13.122064 2.384779 95 0.001831 0.008650 -0.239990
1 5 4 1780.924805 12.668328 1.967417 96 0.184082 -0.001631 -0.189271
1 5 5 1827.034180 12.589602 2.230927 95 0.083740 0.012958 -0.213063
1 5 6 1784.983032 12.507779 3.292831 95 -0.448730 0.040968 -0.324885
1 6 1 1778.836060 12.296715 1.703505 95 -0.282227 -0.002812 -0.122126
1 6 2 1812.328735 11.896568 1.361726 95 0.391602 -0.028904 -0.045475
1 6 3 1824.886719 12.718747 1.478842 95 0.134277 0.004440 -0.142990
1 6 4 1821.129150 12.305143 1.630988 84 -1.122437 0.013727 -0.136918
1 6 5 1826.460815 12.737000 1.865221 95 0.070801 -0.030778 -0.287990
1 6 6 1818.507202 12.136453 2.892873 95 -0.439209 -0.004524 -0.398856
1 7 1 1813.467407 11.626979 1.503271 96 0.167603 0.057657 -0.093385
1 7 2 1821.797363 12.552612 1.409344 96 -0.304688 0.069122 -0.009000
1 7 3 1806.193970 12.411217 1.510073 96 0.084229 0.020198 -0.080448
1 7 4 1797.314575 12.475811 1.400458 96 -0.062988 0.016019 -0.053864
1 7 5 1788.074463 12.357422 1.424063 95 -0.030640 -0.000189 -0.051769
1 7 6 1797.907593 12.032573 1.558136 96 0.231689 0.001301 -0.063604
1 8 1 1857.077393 12.383327 2.088922 64 0.125732 0.010437 -0.321797
1 8 2 1775.801514 13.675345 1.752922 64 -0.196899 0.014266 -0.148765
1 8 3 1786.214478 12.301032 1.589709 96 -0.045288 0.014544 -0.126625
1 8 4 1787.333984 13.356647 1.668219 96 0.318237 -0.000374 -0.118750
1 8 5 1843.958374 12.624609 1.732312 93 0.199829 -0.006194 -0.188042
1 8 6 1791.799683 11.981134 2.279716 95 1.515991 0.019227 -0.144327
2 1 1 1793.544800 14.931241 1.842879 157 0.124634 -0.007279 -0.148942
2 1 2 1794.837524 12.892644 2.205355 152 0.478271 0.000685 -0.084089
2 1 3 1798.350952 13.036419 1.973864 155 1.302124 -0.017365 -0.097920
2 1 4 1793.926025 13.357707 1.729122 156 0.227539 -0.003201 -0.069193
2 1 5 1793.734131 13.002734 1.877169 148 0.075317 -0.006683 -0.095588
2 1 6 1744.273804 13.806709 1.624980 148 -0.052124 -0.008031 -0.065432
