                                                       25 Mar 2008 16:56:27
Satellite-CALIPSO-Sensor-LIDAR_3deg


       Time (UTCG)          Latitude (deg)    Longitude (deg)    Range (km)
------------------------    --------------    ---------------    ----------
26 Mar 2008 07:00:05.651           53.4126           -67.8655    711.860028
26 Mar 2008 07:00:15.000           52.8616           -68.1287    711.740129
26 Mar 2008 07:00:25.000           52.2717           -68.4041    711.611418
26 Mar 2008 07:00:35.000           51.6813           -68.6734    711.482300
26 Mar 2008 07:00:45.000           51.0904           -68.9368    711.352849
26 Mar 2008 07:00:55.000           50.4990           -69.1947    711.223144
26 Mar 2008 07:01:05.000           49.9072           -69.4472    711.093259
26 Mar 2008 07:01:15.000           49.3149           -69.6947    710.963273
26 Mar 2008 07:01:25.000           48.7222           -69.9372    710.833263
26 Mar 2008 07:01:35.000           48.1291           -70.1752    710.703306
26 Mar 2008 07:01:45.000           47.5356           -70.4086    710.573480
26 Mar 2008 07:01:55.000           46.9417           -70.6378    710.443864
26 Mar 2008 07:02:05.000           46.3475           -70.8629    710.314536
26 Mar 2008 07:02:15.000           45.7529           -71.0840    710.185573
26 Mar 2008 07:02:25.000           45.1580           -71.3014    710.057055
26 Mar 2008 07:02:35.000           44.5627           -71.5152    709.929060
26 Mar 2008 07:02:45.000           43.9671           -71.7255    709.801667
26 Mar 2008 07:02:55.000           43.3712           -71.9325    709.674953
26 Mar 2008 07:03:05.000           42.7750           -72.1363    709.548998
26 Mar 2008 07:03:15.000           42.1785           -72.3370    709.423880
26 Mar 2008 07:03:25.000           41.5817           -72.5347    709.299677
26 Mar 2008 07:03:35.000           40.9847           -72.7296    709.176468
26 Mar 2008 07:03:45.000           40.3874           -72.9218    709.054330
26 Mar 2008 07:03:55.000           39.7898           -73.1113    708.933341
26 Mar 2008 07:04:05.000           39.1920           -73.2984    708.813578
26 Mar 2008 07:04:15.000           38.5939           -73.4829    708.695119
26 Mar 2008 07:04:25.000           37.9956           -73.6652    708.578040
26 Mar 2008 07:04:35.000           37.3971           -73.8451    708.462418
26 Mar 2008 07:04:45.000           36.7983           -74.0229    708.348329
26 Mar 2008 07:04:55.000           36.1994           -74.1986    708.235848
26 Mar 2008 07:05:05.000           35.6002           -74.3723    708.125049
26 Mar 2008 07:05:15.000           35.0008           -74.5440    708.016008
26 Mar 2008 07:05:25.000           34.4012           -74.7138    707.908798
26 Mar 2008 07:05:35.000           33.8014           -74.8819    707.803493
26 Mar 2008 07:05:45.000           33.2015           -75.0482    707.700163
26 Mar 2008 07:05:55.000           32.6013           -75.2128    707.598882
26 Mar 2008 07:06:05.000           32.0010           -75.3757    707.499721
26 Mar 2008 07:06:15.000           31.4005           -75.5371    707.402748
26 Mar 2008 07:06:25.000           30.7998           -75.6970    707.308034
26 Mar 2008 07:06:35.000           30.1990           -75.8555    707.215648
26 Mar 2008 07:06:45.000           29.5980           -76.0125    707.125655
26 Mar 2008 07:06:55.000           28.9969           -76.1682    707.038123
26 Mar 2008 07:07:05.000           28.3956           -76.3226    706.953118
26 Mar 2008 07:07:15.000           27.7941           -76.4757    706.870704
26 Mar 2008 07:07:25.000           27.1925           -76.6276    706.790945
26 Mar 2008 07:07:35.000           26.5908           -76.7783    706.713902
26 Mar 2008 07:07:45.000           25.9889           -76.9279    706.639638
