Nature of Casualty,,
Nature of Casualty,Code,Data Limit
"""Allision""","""ALLIS""","""NATURE1+"""
"""Barge Breakaway""","""BRGBWY""",""""
"""Capsizing""","""CAPSIZ""",""""
"""Collision, Meeting""","""COLMTG""",""""
"""Collision, Crossing""","""COLCRS""",""""
"""Collision, Overtaking""","""COLOTK""",""""
"""Collision, Special circumstance""","""COLSPC""",""""
"""Collision, w/ice""","""COLICE""",""""
"""Collision, w/aid to navigation""","""COLATN""",""""
"""Collision, Submerged object""","""COLSUO""",""""
"""Collision, Floating object""","""COLFLO""",""""
"""Collision, Bridge""","""COLBDG""",""""
"""Collision, Pier/Dock""","""COLDOC""",""""
"""Collision, Offshore drlng unit""","""COLMOD""",""""
"""Collision, Fixed object NOC""","""COLFNC""",""""
"""Collision, NEC""","""COLNEC""",""""
"""Collision, Unknown""","""COLUNK""",""""
"""Collision, w/dike, lock or dam""","""COLLDM""",""""
"""Disappearance, w/trace""","""GONETR""",""""
"""Disappearance, wo/trace""","""GONENT""",""""
"""Explosion, Cargo - no fire""","""EXPCGN""",""""
"""Explosion, Mach space - no fire""","""EXPMSN""",""""
"""Explosion, Pressure vel-no fire""","""EXPPVN""",""""
"""Explosion, Pumproom-no fire","""EXPPRN""",""""
"""Explosion, Boiler-no fire""","""EXPBNF""",""""
"""Explosion, Fuel-no fire""","""EXPFUN""",""""
"""Explosion, Cargo-fire""","""EXPCGF""",""""
"""Explosion, Mach space-fire""","""EXPMSF""",""""
"""Explosion, Pressure val-fire""","""EXPPVF""",""""
"""Explosion, Pumproom-fire""","""EXPPRF""",""""
"""Explosion, Boiler-fire""","""EXPBOF""",""""
"""Explosion, Fuel-fire""","""EXPFUF""",""""
"""Explosion, NEC""","""EXPNEC""",""""
"""Explosion, Unknown""","""EXPUNK""",""""
"""Fire, Vessel furnishing""","""FIRFUR""",""""
"""Fire, Vessel cargo, freight""","""FIRCFT""",""""
"""Fire, Machinery space""","""FIRMCS""",""""
"""Fire, Pumproom""","""FIRPMR""",""""
"""Fire, Vessel structure""","""FIRSTR""",""""
"""Fire, Vessel fuel""","""FIRVFU""",""""
"""Fire, Electrical""","""FIRELC""",""""
"""Fire, Vessel cargo, fuel""","""FIRCFU""",""""
"""Fire, Vessel cargo, HAZMAT""","""FIRCHZ""",""""
"""Fire, NEC""","""FIRNEC""",""""
"""Grounding, accidental""","""GRNDGA""",""""
"""Grounding, Intl w/damage-hazard""","""GRNDGI""",""""
"""Matl Failure, main eng/motor""","""MATMEN""",""""
"""Matl Failure, boiler""","""MATBOL""",""""
"""Matl Failure, main steam sys""","""MATMSS""",""""
"""Matl Failure, aux steam sys""","""MATASS""",""""
"""Matl Failure, feed and condens sys""","""MATFCS""",""""
"""Matl Failure, cooling water sys""","""MATCWS""",""""
"""Matl Failure, fuel oil supply""","""MATFOS""",""""
"""Matl Failure, lube oil supply""","""MATLOS""",""""
"""Matl Failure, main generator""","""MATMGN""",""""
"""Matl Failure, aux generator""","""MATAGN""",""""
"""Matl Failure, elec control systems""","""MATECS""",""""
"""Matl Failure, elec dis sys""","""MATEDS""",""""
"""Matl Failure, hyd contl sys""","""MATHCS""",""""
"""Matl Failure, phuem contl sys""","""MATPCS""",""""
"""Foundering, sinking""","""FNDRNG""",""""
"""Flooding, w/out sinking""","""FLDING""",""""
"""Matl Failure-Bilge Sys""","""MATBLG""",""""
"""Matl Failure-Reduction Gear""","""MATRED""",""""
"""Matl Failure-Shaft System""","""MATSFT""",""""
"""Matl Failure-Propeller""","""MATPRO""",""""
"""Matl Failure-Cargo Hndlng-Tnkr""","""MATCGT""",""""
"""Matl Failure-Cargo Hndlng-Frt""","""MATCGF""",""""
"""Matl Failure-Salt Water Sys""","""MATSWS""",""""
"""Matl Failure-Venting System""","""MATVNT""",""""
"""Matl Failure-Inert Gas System""","""MATIGS""",""""
"""Matl Failure-Crude Oil Wshng Sys""","""MATCOW""",""""
"""Matl Failure-Navigation Eqpt""","""MATNAV""",""""
"""Matl Failure-Ground Tackle""","""MATGTK""",""""
"""Matl Failure-Lifesaving Eqpt""","""MATLSG""",""""
"""Matl Failure-Firefighting Eqpt""","""MATFFG""",""""
"""Matl Failure-Pers Protect Eqpt""","""MATPPE""",""""
"""Matl Failure-Hull, Structural""","""MATHST""",""""
"""Matl Failure-Hull, Deterioration""","""MATHDT""",""""
"""Matl Failure-NEC""","""MATNEC""",""""
"""Steering Sys Fail, Contl Sys""","""SSFCSS""",""""
"""Steering Sys Fail, Rdr and Shaft""","""SSFRAS""",""""
"""Steering sys fail, aux pwr sply""","""SSFAPS""",""""
"""Steering sys fail, NEC""","""SSFNEC""",""""
"""Cargo, loss or damage""","""CARGLD""",""""
"""Disabled""","""DISABL""",""""
"""Wake Damage""","""WAK""",""""
"""Swamping""","""SWAMP""",""""
"""Weather Damage""","""WTHRDM""",""""
"""Well Blowout""","""WELBLO""",""""
,,
