"TABLE 6B DIVISIONS OF HAZMAT Shipments by Transport Mode"
"Division","Mode","Value($ mil)","Value %","Tons(000)","Tons %","Ton-miles(mil)","Ton-miles %","Avg. miles"
"Division 1.1, Explosives with a mass explosion hazard    ","      All modes                     ",1515,100.0,S,S,S,S,294
"Division 1.1, Explosives with a mass explosion hazard    ","    Single modes                    ",1509,99.6,S,S,S,S,319
"Division 1.1, Explosives with a mass explosion hazard    ","Truck                               ",1060,69.9,326,45.6,S,S,316
"Division 1.1, Explosives with a mass explosion hazard    ","  For-hire truck                    ",703,46.4,107,15.0,65,7.2,605
"Division 1.1, Explosives with a mass explosion hazard    ","  Private truck                     ",357,23.5,S,S,S,S,152
"Division 1.1, Explosives with a mass explosion hazard    ","Rail                                ",S,S,S,S,S,S,1744
"Division 1.1, Explosives with a mass explosion hazard    ","Water                               ",-,-,-,-,-,-,-
"Division 1.1, Explosives with a mass explosion hazard    ","Air (includes truck and air)        ",S,S,S,S,S,S,177
"Division 1.1, Explosives with a mass explosion hazard    ","Pipeline                            ",-,-,-,-,S,S,S
"Division 1.1, Explosives with a mass explosion hazard    ","    Multiple modes                  ",S,S,S,S,S,S,S
"Division 1.1, Explosives with a mass explosion hazard    ","Parcel, US Postal Service or courier",S,S,S,S,S,S,S
"Division 1.1, Explosives with a mass explosion hazard    ","Other multiple modes                ",-,-,-,-,-,-,-
"Division 1.1, Explosives with a mass explosion hazard    ","    Other and unknown modes         ",S,S,S,S,S,S,67
"Division 1.2, Explosives with a projection hazard        ","      All modes                     ",S,S,16,100.0,15,100.0,853
"Division 1.2, Explosives with a projection hazard        ","    Single modes                    ",S,S,16,99.9,15,99.8,838
"Division 1.2, Explosives with a projection hazard        ","Truck                               ",S,S,16,99.5,15,99.4,837
"Division 1.2, Explosives with a projection hazard        ","  For-hire truck                    ",S,S,15,98.1,15,99.4,873
"Division 1.2, Explosives with a projection hazard        ","  Private truck                     ",S,S,S,S,S,S,9
"Division 1.2, Explosives with a projection hazard        ","Rail                                ",-,-,-,-,-,-,-
"Division 1.2, Explosives with a projection hazard        ","Water                               ",-,-,-,-,-,-,-
"Division 1.2, Explosives with a projection hazard        ","Air (includes truck and air)        ",S,S,S,S,S,S,1231
"Division 1.2, Explosives with a projection hazard        ","Pipeline                            ",-,-,-,-,S,S,S
"Division 1.2, Explosives with a projection hazard        ","    Multiple modes                  ",-,-,-,-,-,-,-
"Division 1.2, Explosives with a projection hazard        ","Parcel, US Postal Service or courier",-,-,-,-,-,-,-
"Division 1.2, Explosives with a projection hazard        ","Other multiple modes                ",-,-,-,-,-,-,-
