"HAZMAT Table 7c. Hazardous Material Shipment Characteristics by Hazard Class Division and Mode of Transportation: Percent of Total for 2002 and 1997"
"Hazard Class Division","Modes","Value % 02","Value % 97","Tons % 02","Tons % 97","Ton-miles % 02","Ton-miles % 97"
"    Division 1.1, Explosives with a mass explosion hazard........","            All modes..............",100.0,100.0,S,S,S,S
"    Division 1.1, Explosives with a mass explosion hazard........","         Single modes..............",97.5,99.6,S,S,S,S
"    Division 1.1, Explosives with a mass explosion hazard........","    Truck..........................",97.5,69.9,S,45.6,S,S
"    Division 1.1, Explosives with a mass explosion hazard........","      For-hire truck...............",71.7,46.4,S,15.0,S,7.2
"    Division 1.1, Explosives with a mass explosion hazard........","      Private truck................",S,23.5,S,S,S,S
"    Division 1.1, Explosives with a mass explosion hazard........","    Rail...........................",-,S,-,S,-,S
"    Division 1.1, Explosives with a mass explosion hazard........","    Water..........................",-,-,-,-,-,-
"    Division 1.1, Explosives with a mass explosion hazard........","    Air (incl truck and air).......",-,S,-,S,-,S
"    Division 1.1, Explosives with a mass explosion hazard........","    Pipeline.......................",-,-,-,-,S,S
"    Division 1.1, Explosives with a mass explosion hazard........","         Multiple modes............",S,S,S,S,S,S
"    Division 1.1, Explosives with a mass explosion hazard........","    Parcel, U.S.P.S. or courier....",S,S,S,S,S,S
"    Division 1.1, Explosives with a mass explosion hazard........","    Other multiple modes...........",-,-,-,-,-,-
"    Division 1.1, Explosives with a mass explosion hazard........","         Other and unknown modes...",S,S,S,S,S,S
"    Division 1.2, Explosives with a projection hazard............","            All modes..............",S,S,S,100.0,S,100.0
"    Division 1.2, Explosives with a projection hazard............","         Single modes..............",S,S,S,99.9,S,99.8
"    Division 1.2, Explosives with a projection hazard............","    Truck..........................",S,S,S,99.5,S,99.4
"    Division 1.2, Explosives with a projection hazard............","      For-hire truck...............",S,S,S,98.1,S,99.4
"    Division 1.2, Explosives with a projection hazard............","      Private truck................",-,S,-,S,-,S
"    Division 1.2, Explosives with a projection hazard............","    Rail...........................",-,-,-,-,-,-
"    Division 1.2, Explosives with a projection hazard............","    Water..........................",-,-,-,-,-,-
"    Division 1.2, Explosives with a projection hazard............","    Air (incl truck and air).......",-,S,-,S,-,S
"    Division 1.2, Explosives with a projection hazard............","    Pipeline.......................",-,-,-,-,S,S
"    Division 1.2, Explosives with a projection hazard............","         Multiple modes............",-,-,-,-,-,-
"    Division 1.2, Explosives with a projection hazard............","    Parcel, U.S.P.S. or courier....",-,-,-,-,-,-
"    Division 1.2, Explosives with a projection hazard............","    Other multiple modes...........",-,-,-,-,-,-
"    Division 1.2, Explosives with a projection hazard............","         Other and unknown modes...",-,S,-,S,-,S
"    Division 1.3, Explosives with predominantly a fire hazard....","            All modes..............",S,100.0,100.0,100.0,100.0,100.0
"    Division 1.3, Explosives with predominantly a fire hazard....","         Single modes..............",S,91.5,100.0,76.1,100.0,83.0
"    Division 1.3, Explosives with predominantly a fire hazard....","    Truck..........................",S,91.1,S,76.1,89.5,82.9
"    Division 1.3, Explosives with predominantly a fire hazard....","      For-hire truck...............",S,87.4,S,66.7,S,81.0
"    Division 1.3, Explosives with predominantly a fire hazard....","      Private truck................",S,3.7,S,S,S,S
"    Division 1.3, Explosives with predominantly a fire hazard....","    Rail...........................",S,-,S,-,S,-
"    Division 1.3, Explosives with predominantly a fire hazard....","    Water..........................",-,-,-,-,-,-
"    Division 1.3, Explosives with predominantly a fire hazard....","    Air (incl truck and air).......",S,S,S,S,S,S
"    Division 1.3, Explosives with predominantly a fire hazard....","    Pipeline.......................",-,-,-,-,S,S
"    Division 1.3, Explosives with predominantly a fire hazard....","         Multiple modes............",-,S,-,S,-,S
"    Division 1.3, Explosives with predominantly a fire hazard....","    Parcel, U.S.P.S. or courier....",-,S,-,S,-,S
"    Division 1.3, Explosives with predominantly a fire hazard....","    Other multiple modes...........",-,-,-,-,-,-
"    Division 1.3, Explosives with predominantly a fire hazard....","         Other and unknown modes...",-,S,-,S,-,S
"    Division 1.4, Explosives with no significant blast hazard....","            All modes..............",100.0,100.0,100.0,100.0,100.0,100.0
"    Division 1.4, Explosives with no significant blast hazard....","         Single modes..............",97.4,81.7,98.4,93.4,97.5,92.3
"    Division 1.4, Explosives with no significant blast hazard....","    Truck..........................",96.0,65.4,98.3,84.8,97.1,76.7
"    Division 1.4, Explosives with no significant blast hazard....","      For-hire truck...............",87.6,49.7,94.6,62.3,95.4,67.0
