SEQ='MG'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  85997457.5   NPRNTI= 3   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2P6 3S1             (2)0( 0.5)        0.0 
     2          2P6 3P1             (2)1( 0.5)   106188.1 
     3          2P6 3P1             (2)1( 1.5)   107487.4 
     4          2P6 3D1             (2)2( 1.5)   248208.2*
     5          2P6 3D1             (2)2( 2.5)   248376.5*

   IC RESOLVED LEVEL INDEXING           BWNR=  86578705.4   NLVL= 411
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
     1     2    2P6 3S2             (1)0( 0.0)        0.0 
     2     1    2P6 3S1 3P1         (3)1( 0.0)    81988.7 
     3     1    2P6 3S1 3P1         (3)1( 1.0)    82379.2 
     4     1    2P6 3S1 3P1         (3)1( 2.0)    83179.4 
     5     1    2P6 3S1 3P1         (1)1( 1.0)   131161.6 
     6     2    2P6 3P2             (1)2( 2.0)   193293.5 
     7     2    2P6 3P2             (3)1( 0.0)   200772.9 
     8     2    2P6 3P2             (3)1( 1.0)   201199.1 
     9     2    2P6 3P2             (3)1( 2.0)   202020.0 
    10     1    2P6 3S1 3D1         (3)2( 1.0)   237794.3 
    11     1    2P6 3S1 3D1         (3)2( 2.0)   237853.5 
    12     1    2P6 3S1 3D1         (3)2( 3.0)   237942.3 
    13     2    2P6 3P2             (1)0( 0.0)   241568.7 
    14     1    2P6 3S1 4S1         (3)0( 1.0)   268545.4 
    15     1    2P6 3S1 4S1         (1)0( 0.0)   283059.5 
    16     1    2P6 3S1 3D1         (1)2( 2.0)   283970.6 
    17     2    2P6 3P1 3D1         (3)3( 2.0)   324838.2 
    18     2    2P6 3P1 3D1         (3)3( 3.0)   325331.5 
    19     3    2P6 3P1 3D1         (3)3( 4.0)   325951.2 
    20     2    2P6 3P1 3D1         (1)2( 2.0)   329418.9 
    21     1    2P6 3S1 4P1         (3)1( 0.0)   346966.0 
    22     1    2P6 3S1 4P1         (3)1( 1.0)   347022.9 
    23     1    2P6 3S1 4P1         (3)1( 2.0)   347153.5 
    24     2    2P6 3P1 3D1         (3)1( 2.0)   349772.6 
    25     2    2P6 3P1 3D1         (3)1( 1.0)   350087.6 
    26     3    2P6 3P1 3D1         (3)1( 0.0)   350307.5 
    27     1    2P6 3S1 4P1         (1)1( 1.0)   351445.0 
    28     2    2P6 3P1 3D1         (3)2( 1.0)   351766.6 
    29     2    2P6 3P1 3D1         (3)2( 2.0)   351979.8 
    30     2    2P6 3P1 3D1         (3)2( 3.0)   352165.2 
    31     2    2P6 3P1 4S1         (3)1( 0.0)   378123.0 
    32     2    2P6 3P1 4S1         (3)1( 1.0)   378524.2 
    33     3    2P6 3P1 4S1         (3)1( 2.0)   379418.6 
    34     3    2P6 3P1 4S1         (1)1( 1.0)   388356.6 
    35     3    2P6 3P1 3D1         (1)3( 3.0)   388803.3 
    36     1    2P6 3S1 4D1         (3)2( 1.0)   395995.4 
    37     1    2P6 3S1 4D1         (3)2( 2.0)   396011.2 
    38     1    2P6 3S1 4D1         (3)2( 3.0)   396035.1 
    39     3    2P6 3P1 3D1         (1)1( 1.0)   396709.4 
    40     1    2P6 3S1 4D1         (1)2( 2.0)   401306.0 
    41     1    2P6 3S1 5S1         (3)0( 1.0)   406476.4 
    42     1    2P6 3S1 4F1         (3)3( 2.0)   408705.2 
    43     1    2P6 3S1 4F1         (3)3( 3.0)   408716.1 
    44     1    2P6 3S1 4F1         (3)3( 4.0)   408730.8 
    45     1    2P6 3S1 5S1         (1)0( 0.0)   410845.4 
    46     1    2P6 3S1 4F1         (1)3( 3.0)   423716.3 
    47     1    2P6 3S1 5P1         (3)1( 0.0)   442424.0 
    48     1    2P6 3S1 5P1         (3)1( 1.0)   442470.6 
    49     1    2P6 3S1 5P1         (3)1( 2.0)   442567.8 
    50     1    2P6 3S1 5P1         (1)1( 1.0)   445884.6 
    51     2    2P6 3P1 4P1         (1)1( 1.0)   447377.4 
    52     2    2P6 3P1 4P1         (3)2( 1.0)   450287.6 
    53     2    2P6 3P1 4P1         (3)2( 2.0)   450720.7 
    54     3    2P6 3P1 4P1         (3)2( 3.0)   451535.0 
    55     3    2P6 3P1 4P1         (3)0( 1.0)   456211.8 
    56     2    2P6 3P1 4P1         (3)1( 0.0)   457946.9 
    57     3    2P6 3P1 4P1         (3)1( 1.0)   458322.0 
    58     3    2P6 3P1 4P1         (3)1( 2.0)   458760.0 
    59     1    2P6 3S1 5D1         (3)2( 1.0)   464411.9 
