               ************************************
               *****    GLOBAL ATTRIBUTES    ******
               ************************************
     TITLE                    WIND MFI Key Parameters
     PROJECT                  ISTP>International Solar-Terrestrial Physics
     DISCIPLINE               Space Physics>Magnetospheric Science
     SOURCE_NAME              WIND>Wind Interplanetary Plasma Laboratory
     DATA_TYPE                K0>Key Parameter
     DESCRIPTOR               MFI>Magnetic Fields Investigation
     DATA_VERSION             1
     KPGS_VERSION             V3.2
     PROCESSING_DATE          25-JAN-1997 21:38:53.05
     TEXT                     References:
                              1. Panetta P. (GSFC), GGS WIND MFI Operator's Manual, September 15, 1992.
                              2. Computer Sciences Corporation, Data Format Control Document (DFCD) Between
                              The International Solar-Terrestrial Physics (ISTP) Program Information
                              Processing Division Ground Data Processing System and The ISTP Mission
                              Investigators, CSC/TR-91/6014, 560-1DFD/0190, July 1992.
                              3. Behannon, K. W., International Solar Terrestrial Physics (ISTP) Program
                              Investigator Data Analysis Requirements For WIND and GEOTAIL Spacecraft
                              Magnetometer Experiment, September 1987.
     MODS                     Initial Release 7/12/93
                              Zvar Release 10/24/96
                              Zvar Update  11/12/96
     ADID_REF                 NSSD0141
     LOGICAL_FILE_ID          WI_K0_MFI_00000000_V01
     LOGICAL_SOURCE           WI_K0_MFI
     LOGICAL_SOURCE_DESCR     Wind Magnetic Fields Investigation, Key Parameters
     PI_NAME                  R. Lepping
     PI_AFFILIATION           NASA/GSFC
     MISSION_GROUP            Wind
     INSTRUMENT_TYPE          Magnetic Fields (space)
     TEXT_SUPPLEMENT_1        
               ************************************
               ****  RECORD VARYING VARIABLES  ****
               ************************************
 1. Time, centered
 2. Average of the magnitudes
 3. Magnetic Field, component RMS SQRT(RMSX^2 + RMSY^2 + RMSZ^2)
 4. Radial distance from the earth
 5. Magnetic Field - Cartesian GSM
 6. Wind Position - Cartesian GSM
Epoch                             BF1           RMS          Dist        BX GSM        BY GSM        BZ GSM         X GSM         Y GSM         Z GSM
dd-mm-yyyy hh:mm:ss.ms             nT            nT            Re            nT            nT            nT            Re            Re            Re
14-05-1997 00:01:18.399       1.39409      0.828778       194.349      0.655408     -0.422161     -0.847791       193.471      -5.34830       17.6602
14-05-1997 00:02:50.399       1.82380      0.333307       194.346    -0.0241604      -1.75010      0.424918       193.468      -5.33858       17.6625
14-05-1997 00:04:22.399       1.96905      0.172233       194.344     -0.304370      -1.79613      0.735151       193.466      -5.32873       17.6649
14-05-1997 00:05:54.399       1.84260      0.366559       194.341    -0.0741374      -1.80497     0.0911345       193.463      -5.31876       17.6673
14-05-1997 00:07:26.399       1.96366      0.167133       194.338      0.186118      -1.92131      0.325791       193.461      -5.30864       17.6697
14-05-1997 00:08:58.399       1.96524      0.199985       194.336      0.234589      -1.89871      0.414654       193.458      -5.29840       17.6722
14-05-1997 00:10:30.399       1.74086      0.617349       194.333     -0.279866      -1.50853      0.547646       193.455      -5.28803       17.6747
14-05-1997 00:12:02.399       1.76835      0.321048       194.330      0.201077      -1.71965     -0.174905       193.453      -5.27752       17.6772
14-05-1997 00:13:34.399       2.00328      0.305767       194.328      0.140650      -1.90614     -0.523483       193.450      -5.26689       17.6798
14-05-1997 00:15:06.399       2.07314      0.408755       194.325    -0.0215217      -2.02676      0.202108       193.448      -5.25613       17.6824
14-05-1997 00:16:38.399       2.11569      0.122489       194.322     -0.216114      -1.96829      0.736202       193.445      -5.24524       17.6850
14-05-1997 00:18:10.399       2.13236      0.189934       194.320     -0.149624      -1.99217      0.721919       193.442      -5.23422       17.6876
14-05-1997 00:19:42.399       2.12986      0.108257       194.317    -0.0479659      -2.08030      0.443367       193.440      -5.22307       17.6903
14-05-1997 00:21:14.399       2.05540      0.329321       194.314      0.157250      -2.00666      0.258494       193.437      -5.21179       17.6930
14-05-1997 00:22:46.399       1.96695      0.156599       194.312      0.405958      -1.91624     -0.102480       193.434      -5.20039       17.6958
14-05-1997 00:24:18.399       2.09906      0.159076       194.309      0.152444      -2.08893    -0.0249315       193.432      -5.18886       17.6986
14-05-1997 00:25:50.399       2.18588      0.146309       194.307      0.187091      -2.17341    -0.0168300       193.429      -5.17720       17.7014
14-05-1997 00:27:22.399       2.20953      0.229622       194.304      0.402964      -2.15533     -0.155620       193.427      -5.16542       17.7042
14-05-1997 00:28:54.399       2.19307      0.559571       194.301      0.539435      -2.04893     0.0985163       193.424      -5.15351       17.7071
14-05-1997 00:30:26.399       2.22134      0.662538       194.299      0.660247      -1.85391      0.791518       193.421      -5.14147       17.7100
14-05-1997 00:31:58.399       2.17561      0.189152       194.296      0.803147      -2.00966      0.131112       193.419      -5.12932       17.7129
14-05-1997 00:33:30.399       2.16753      0.224080       194.293      0.810572      -1.98117      0.261733       193.416      -5.11703       17.7158
14-05-1997 00:35:02.399       2.12517      0.217637       194.291      0.832557      -1.94146    -0.0973708       193.414      -5.10463       17.7188
14-05-1997 00:36:34.399       2.11956      0.237023       194.288      0.562177      -2.03051     0.0168939       193.411      -5.09210       17.7218
14-05-1997 00:38:06.399       2.10330      0.205396       194.285      0.596766      -2.00686     0.0305516       193.408      -5.07945       17.7248
14-05-1997 00:39:38.399       2.04157      0.217808       194.283      0.816958      -1.85892     0.0240228       193.406      -5.06667       17.7279
14-05-1997 00:41:10.399       1.99768      0.190094       194.280       1.12408      -1.59706     -0.383073       193.403      -5.05378       17.7309
14-05-1997 00:42:42.399       2.03123      0.257564       194.277       1.02157      -1.73688     0.0449902       193.401      -5.04076       17.7340
14-05-1997 00:44:14.399       1.96729      0.195411       194.275      0.652613      -1.83463     -0.211647       193.398      -5.02762       17.7371
14-05-1997 00:45:46.399       1.91257      0.300510       194.272      0.468585      -1.79443     -0.363398       193.395      -5.01436       17.7403
14-05-1997 00:47:18.399       1.94777      0.388883       194.269      0.604783      -1.67021     -0.700995       193.393      -5.00099       17.7435
14-05-1997 00:48:50.399       2.29752       1.13223       194.267       1.06379      -1.44159      0.905524       193.390      -4.98749       17.7467
14-05-1997 00:50:22.399       2.40996      0.568203       194.264       1.03079      -1.07068       1.81052       193.388      -4.97387       17.7499
14-05-1997 00:51:54.399       2.21083      0.750098       194.261      0.742568      -1.21685       1.51785       193.385      -4.96014       17.7531
14-05-1997 00:53:26.399       2.16346      0.251390       194.259      0.737146      -1.58469       1.25081       193.382      -4.94629       17.7564
14-05-1997 00:54:58.399       2.25227      0.397502       194.256      0.675988      -1.50754       1.47904       193.380      -4.93232       17.7596
