UT	Glat	Glon	Radius	Dst	Kp	E23.1-30.5eV	E30.5-42.5eV	E42.5-55.2eV	E55.2-71.9eV	E71.9-93.6eV	E93.6-122.0eV	E122.0-161.0eV	E161.0-210.0eV	E210.0-275.0eV	E275.0-360.0eV	E360.0-471.0eV	E471.0-617.0eV	E617.0-815.0eV	E.815-1.07keV	E1.07-1.40kev	E1.40-1.82keV	E1.82-2.39keV	E2.39-3.12keV	E3.12-4.09keV	E4.09-5.36keV	E5.36-7.02keV	E7.02-9.19keV	E9.19-12.0keV	E12.0-15.8keV	E15.8-20.6keV	E20.6-27.0keV	E27.0-35.4keV	E35.4-46.4-43.37keV	E50-75keV	E75-105keV	E105-150keV	E150-225keV	E225-315keV	E315-500keV	E500-750keV	E0.75-1.1MeV	E1.1-1.5MeV	E>1.5MeV	E0.7-1.8MeV	E1.8-3.5MeV	E3.5-6.0MeV	E6.0-7.8MeV	E7.8-10.8	E10.8-25.8	P.03-.06eV	P.06-.13eV	P13-.25V	P.25-.52eV	P.52-1.0eV	P1.0-2.3eV	P2.3-4.1eV	P4.1-6.1eV	P6.1-9.0eV	P9.0-12.9eV	P12.9-18.5eV	P18.5-25.5eV	P25.5-34.5eV	P34.5-45.8eV	P45.8-61.2eV	P61.2-80.9eV	P80.9-105.0eV	P105.0-139.0eV	P139.0-182.0eV	P182.0-237.0eV	P237.0-314.0eV	P314.0-408.0eV	P408.0-538.0eV	P538.0-703.0eV	P703.0-925.0eV	P.925-1.22keV	P1.22-1.51keV	P1.51-1.98keV	P1.98-2.58keV	P2.58-3.36keV	P3.36-4.36keV	P4.36-5.82keV	P5.82-7.60keV	P7.60-9.92keV	P9.92-13.0keV	P13.0-16.9keV	P16.9-22.1keV	P22.1-28.8keV	P28.8-37.6keV	P37.6-49.1keV	P50-75keV	P75-113keV	P113-170keV	P170-250keV	P250-400keV	P400-670keV	P0.67-1.2MeV	P1.2-1.9MeV	P1.9-3.1MeV	P3.1-5.0MeV	P5.0-7.7MeV	P7.7-50.0MeV	P11-14MeV	P14-20MeV	P>20Mev	DENLP	DENHP	DENHE	TPARHP	TPERHP	TPARHE	TPERHE	THETA_P	PHI_P	THETA_E	PHI_E	SC_POTEN
0.025400	-1.439500	69.460000	6.615700 -16	2.0	1.7681e+08	1.2225e+08	8.4771e+07	6.5181e+07	4.3583e+07	2.7545e+07	2.114e+07	1.5383e+07	1.3522e+07	1.0316e+07	6.9427e+06	3.704e+06	2.2875e+06	1.9266e+06	1.8398e+06	885090	498030	364580	511530	575140	530260	300210	130580	63532	45085	-999	-999	-999	81246.2	17746.7	6259.45	3626.7	1308.24	644.245	215.677	62.9583	22.3674	5038.63	19.1184	1.06726	0.0319342	0.00542281	0.00517975	0.00222697	0	0	0	0	0	3.2969e+07	6.5149e+07	1.296e+08	4.2787e+07	1.593e+07	1.1583e+07	7.5232e+06	3.6363e+06	4.4478e+06	1.8648e+06	2.1081e+06	1.2793e+06	502190	201590	119150	372940	214810	243450	321040	166540	161430	125280	153470	127830	199520	167690	35950	22889	30354	33597	41623	50700	43161	38270	40782	51162.7	6629.83	2152.48	712.33	108.436	42.705	1.19623	0.36129	-999	-999	0.146155	0.0158972	-999	-999	-999	2.9866	0.35363	0.28191	4624.8	6819.7	281.77	404.25	111.12	-5.2145	112.8	-8.5695	-0.10786	
0.049300	-1.439500	69.460000	6.615700 -16	2.0	1.8168e+08	1.2416e+08	9.2369e+07	6.6395e+07	4.2619e+07	3.1758e+07	2.2259e+07	1.5509e+07	1.2973e+07	1.0066e+07	6.7393e+06	3.9212e+06	2.3543e+06	1.8953e+06	1.6876e+06	993880	452220	422200	507410	557790	547330	286770	107270	60687	43533	-999	-999	-999	80465.5	17741.1	6446.18	3620.02	1339.99	643.697	218.507	60.989	23.3804	5016.43	19.1409	1.06973	0.032186	0.00564097	0.00489926	0.00251305	0	0	0	0	0	4.0295e+07	5.6478e+07	1.2135e+08	5.3557e+07	1.962e+07	9.7855e+06	3.9035e+06	8.0213e+06	3.6611e+06	3.3985e+06	1.8216e+06	459180	152110	635740	154210	402810	422300	177900	168940	172570	147940	112060	141670	185640	181620	180060	36325	20350	30565	34373	34290	45859	39601	36389	38904	51135.4	6523.14	2116.59	700.796	108.59	41.7083	1.16843	0.421506	-999	-999	0.182837	0.0142361	-999	-999	-999	1.1053	0.35275	0.28931	4548.6	6657.7	278.28	404.95	110.01	-10.599	111.36	-11.989	-5.001	
0.097100	-1.453100	69.460000	6.615700 -16	2.0	1.7766e+08	1.1727e+08	8.7322e+07	6.6035e+07	4.3277e+07	2.9636e+07	1.9428e+07	1.7483e+07	1.1737e+07	1.0425e+07	6.9441e+06	3.6143e+06	1.9177e+06	1.8365e+06	1.7351e+06	760840	540640	465700	455140	527170	510680	279580	106310	71906	48028	-999	-999	-999	84376.4	17948.3	6697.95	3500.76	1329.71	638.294	213.351	65.1622	23.4708	5517.67	19.1536	1.07074	0.032267	0.0058903	0.00508625	0.00240086	0	0	0	0	0	2.9306e+07	6.2766e+07	1.327e+08	4.3656e+07	1.5578e+07	1.1714e+07	1.0242e+07	2.7392e+06	2.3159e+06	1.6884e+06	1.0334e+06	69684	615710	479990	92528	225840	372910	189060	223850	154400	191890	135150	92877	116890	174630	178260	30661	19669	28715	36059	41453	51478	40011	41642	40280	51716.2	6345.49	2158.1	675.595	106.512	40.5104	1.11723	0.433549	0.2299	-999	0.149116	0.0109556	-999	-999	-999	2.9481	0.33214	0.28037	4722.9	7208.8	284.85	406.99	109.23	-8.5854	108.86	-7.7946	-0.10808	
0.121000	-1.466700	69.460000	6.615800 -16	2.0	1.8781e+08	1.2387e+08	9.0371e+07	6.1407e+07	4.0848e+07	2.9236e+07	2.1718e+07	1.63e+07	1.3077e+07	1.0347e+07	6.8097e+06	4.1241e+06	2.0922e+06	1.9093e+06	1.5359e+06	887060	509960	422880	481810	576410	517280	263810	113340	75689	53217	-999	-999	-999	84631.6	18325.3	6776.51	3509.9	1337.37	638.896	216.544	64.7078	23.612	5379.68	19.1926	1.07336	0.0319466	0.00606171	0.00476836	0.00235599	0	0	0	0	0	3.355e+07	3.3335e+07	1.1913e+08	5.7506e+07	2.4806e+07	1.2056e+07	9.7306e+06	4.2571e+06	4.8446e+06	1.9479e+06	1.44e+06	867750	1.2191e+06	417600	154210	252500	324280	323740	182100	189760	160620	96552	72883	141250	171800	159770	35413	23776	30445	29444	40819	51046	41761	40002	45546	52015.9	6291.2	2205.93	678.733	108.062	39.4147	1.17099	0.536291	0.2299	-999	0.20221	0.0130497	-999	-999	-999	2.4856	0.31176	0.27214	4888.4	7654.9	282.36	404.46	111.9	-3.4916	113.03	-12.852	-0.11048	
0.144900	-1.466700	69.460000	6.615800 -16	2.0	1.8177e+08	1.3178e+08	8.8202e+07	5.9169e+07	4.0184e+07	2.9732e+07	2.251e+07	1.7416e+07	1.373e+07	1.0074e+07	6.4654e+06	3.7239e+06	2.31e+06	1.8367e+06	1.8117e+06	849450	486020	433200	510230	586380	579080	273000	118750	75243	58167	-999	-999	-999	84318.7	18299.6	6754.19	3420.23	1332.95	644.996	217.204	65.1591	22.6528	5070.06	19.2299	1.07962	0.030801	0.00593704	0.00474966	0.00226997	0	0	0	0	0	7.9072e+06	4.4102e+07	1.0047e+08	4.2824e+07	1.3434e+07	9.8994e+06	6.2855e+06	4.474e+06	3.3597e+06	2.284e+06	1.7803e+06	1.0071e+06	982570	104400	402250	187580	347000	295980	312120	159770	173290	122370	88287	115270	193650	176830	32549	31431	26135	32434	39417	54150	36889	40878	45164	51883.6	6325.95	2247.37	672.752	117.627	40.7968	1.14742	0.448791	-999	0.120645	0.189906	0.0157705	-999	-999	-999	2.6875	0.34445	0.27883	4694.8	6997.2	282.9	417.24	112.89	-4.4882	110.94	-12.905	-0.10995	
0.168800	-1.480200	69.460000	6.615800 -16	2.0	1.816e+08	1.3027e+08	8.654e+07	6.0708e+07	4.0848e+07	2.8565e+07	1.9453e+07	1.625e+07	1.1844e+07	1.018e+07	6.4193e+06	3.7239e+06	2.2201e+06	1.8505e+06	1.5433e+06	810300	594750	456020	516300	576030	562030	247270	126700	67905	44684	-999	-999	-999	85121.8	18038.8	6756.04	3376.93	1337.23	645.609	215.268	65.0511	22.7641	5219.31	19.267	1.0716	0.0304569	0.00595262	0.00497406	0.00240834	0	0	0	0	0	2.5464e+07	4.4388e+07	1.1988e+08	5.2652e+07	1.0341e+07	5.6205e+06	4.5489e+06	5.3209e+06	1.7641e+06	2.3722e+06	1.9216e+06	671170	275140	289440	168170	228060	115100	223700	188190	123750	118290	93391	126610	127460	145020	160060	36063	21153	22493	34395	41571	44542	36413	40009	37126	51835.5	6308.33	2270.94	658.855	119.488	41.6913	1.0714	0.421506	-999	0.120645	0.127719	0.0177185	-999	-999	-999	2.6786	0.32794	0.27099	4562.8	7070.8	276.7	408.36	107.32	-7.6324	109.48	-7.3018	-0.10897	
0.192700	-1.493800	69.460000	6.615900 -16	2.0	1.9293e+08	1.2792e+08	9.1068e+07	5.563e+07	4.0101e+07	2.6917e+07	1.9437e+07	1.5911e+07	1.2799e+07	9.2831e+06	6.3203e+06	3.7626e+06	2.0734e+06	1.9241e+06	1.5889e+06	826110	447760	453460	493370	547290	535300	264280	136990	59032	50491	-999	-999	-999	86048.6	17908.4	6708.29	3373.28	1345.64	641.264	212.279	65.4544	23.5224	5224.03	19.1835	1.07125	0.0308276	0.00606344	0.00503327	0.00255003	0	0	0	0	0	-999	6.0383e+07	1.1902e+08	5.0403e+07	1.4113e+07	7.3259e+06	7.2956e+06	1.518e+06	3.874e+06	628830	680590	687310	1.0044e+06	952770	361670	211030	232650	143980	270810	175470	97568	78077	101220	176190	205280	142350	34387	23011	39916	30337	43983	46921	39526	41055	41817	52191.5	6319.7	2269.71	680.958	118.225	43.367	1.09781	0.406452	-999	-999	0.163923	0.016579	-999	-999	-999	2.8593	0.37132	0.2733	4405.3	6623.2	288.17	414.33	110.08	-6.3463	109.25	-7.8638	-0.10848	
0.216600	-1.493800	69.460000	6.615900 -16	2.0	1.9077e+08	1.3276e+08	8.2749e+07	5.7661e+07	4.0454e+07	2.6694e+07	2.0036e+07	1.6443e+07	1.2268e+07	1.0181e+07	5.5753e+06	3.6135e+06	2.134e+06	1.7934e+06	1.603e+06	833350	470720	426140	488650	566850	534090	249490	117800	72278	47668	-999	-999	-999	85742.9	17838.9	6672.8	3300.77	1324.72	643.909	213.012	65.1405	23.6376	5017.8	19.1724	1.08201	0.0315602	0.00617078	0.00477771	0.00238777	0	0	0	0	0	3.3371e+07	5.8773e+07	1.245e+08	5.0915e+07	1.3679e+07	8.2159e+06	5.1288e+06	5.9623e+06	5.0063e+06	2.2073e+06	1.0959e+06	1.3966e+06	716930	710860	176610	161910	145900	395450	406490	227180	206430	117310	106310	154190	198640	128830	26560	18418	29868	33348	42169	52324	33406	38319	41676	52446.6	6375.44	2234.66	679.944	117.828	43.9323	0.980665	0.36129	0.233548	-999	0.201178	0.0126871	-999	-999	-999	3.1724	0.35151	0.27177	4626.7	6730.4	281.85	402.48	110.86	-3.177	107.61	-14.538	-0.10643	
0.240500	-1.507400	69.460000	6.615900 -16	2.0	2.0279e+08	1.2543e+08	8.6991e+07	5.6715e+07	3.878e+07	2.9159e+07	2.1404e+07	1.5172e+07	1.2452e+07	9.5584e+06	6.256e+06	3.5553e+06	2.2544e+06	1.8193e+06	1.6744e+06	923020	488890	402050	521310	533690	548160	227560	101720	67733	39039	-999	-999	-999	85721.4	17842.8	6697.21	3283.85	1324.98	645.585	217.591	62.8536	22.2148	5089.35	19.2858	1.08067	0.0313906	0.00582796	0.00438502	0.00219331	0	0	0	0	0	3.7213e+07	5.7052e+07	1.0802e+08	4.6417e+07	9.5804e+06	6.208e+06	5.2223e+06	5.1337e+06	1.6177e+06	2.2572e+06	1.241e+06	658700	494920	714680	53244	388990	135380	319450	161010	96655	126660	78709	93371	133420	166300	129550	32337	14591	20644	30976	40170	44456	39182	37041	40260	52303.7	6508.18	2231.94	668.686	112.434	43.1182	1.14262	0.359678	0.233548	-999	0.159982	0.0136678	-999	-999	-999	2.6593	0.30657	0.26738	4962	7571.1	261.43	403.05	110.19	-9.5874	108.7	-9.1504	-0.10844	
0.264400	-1.507400	69.460000	6.615900 -16	2.0	1.7968e+08	1.1981e+08	7.9722e+07	5.084e+07	3.8272e+07	2.5977e+07	1.8094e+07	1.5031e+07	1.2906e+07	9.7444e+06	5.3957e+06	3.7113e+06	2.1017e+06	1.7621e+06	1.4339e+06	932580	437280	399370	474130	521860	514720	244070	123150	64917	39182	-999	-999	-999	86568.9	17756.5	6675.58	3275.84	1345.3	635.778	220.167	62.5367	22.4623	5038.06	19.2741	1.07362	0.0310031	0.00621061	0.00430919	0.00214033	0	0	0	0	0	1.5234e+07	1.1428e+07	8.3039e+07	3.8719e+07	9.8508e+06	7.2689e+06	6.1109e+06	3.4491e+06	2.2937e+06	1.4289e+06	1.191e+06	718850	381390	254640	61685	141670	250490	261340	108390	156220	132590	103260	126110	152720	172370	142140	10741	18819	29201	37792	39485	52425	41162	38926	37932	52107.3	6457.07	2241.1	673.875	108.808	43.6228	1.17356	0.359678	0.233548	-999	0.127585	0.01631	-999	-999	-999	2.523	0.329	0.25918	4564.2	7393.8	289.94	428.37	106.33	-8.1998	109.81	-4.9472	-0.11033	
