"Location","ST","CO","Median Value (Dollars) for Specified Owner-Occupied Housing Units","Disabilities- White Alone Males","Disabilities- White Alone Females","Disabilities- Black Alone Males","Disabilities- Black Alone Females","Disabilities- American Indian and Alaska Native Alone Males","Disabilities- American Indian and Alaska Native Alone Females","Disabilities- Asian Alone Males","Disabilities -PCT68D- Asian Alone Females","Disabilities- Native Hawaiian or Pacific Islander Alone Males","Disabilities- Native Hawaiian or Pacific Islander Alone Females","Disabilities- Some Other Race Males","Disabilities- Some Other Race Females","Disabilities- Two or More Races Males","Disabilities- Two or More Races Females","Disabilities- Hispanic Males","Disabilities- Hispanic Females","Disabilities- White Alone, Not Hispanic Males","Disabilities- White Alone, Not Hispanic Females","Per Capita Income 2001","Per Capita Income 2002","Per Capita Income 2003","75% of 3 Year Average Per Capita Income","Unemployment Rate, 2002","Unemployment Rate, 2003","Unemployment Rate, 2004"
"Location","ST","CO","EWP001","EWP03","EWP02A2","EWP02A3","EWP02A4","EWP02A5","EWP02A6","EWP02A7","EWP02A8","EWP02A9","EWP02A10","EWP02A11","EWP02A12","EWP02A13","EWP02A14","EWP02A15","EWP02A16","EWP02A17","EWP02A18","EWP02A19","EWP02A20","EWP02A21","EWP02A22","EWP02A23","EWP02A24","EWP02A25","EWP02A26","EWP02A27","EWP031","EWP04","EWP05","EWP052","EWP06","EWP07","EWP08"
"Autauga County","01","001","94800","11554     ","2955      ","3207      ","4019      ","987       ","1105      ","187       ","34        ","68        ","41        ","6         ","20        ","0         ","0         ","0         ","98        ","56        ","21        ","227       ","69        ","53        ","212       ","106       ","32        ","11437     ","2905      ","3192      ","24409","24676","25664","18687     ","     4.5","     4.8","     4.6"
"Baldwin County","01","003","122500","42305     ","12215     ","11749     ","6747      ","1672      ","2089      ","523       ","98        ","124       ","174       ","45        ","67        ","0         ","0         ","0         ","277       ","122       ","46        ","825       ","240       ","226       ","510       ","208       ","132       ","42078     ","12121     ","11699     ","26463","27315","27945","20430     ","     4.6","     4.7","     4.8"
"Barbour County","01","005","68600","5894      ","1557      ","1631      ","6777      ","1366      ","1956      ","24        ","0         ","24        ","6         ","3         ","0         ","0         ","0         ","0         ","113       ","58        ","21        ","58        ","9         ","25        ","227       ","83        ","44        ","5846      ","1548      ","1623      ","20130","20359","20889","15344     ","     7.4","     7.0","     7.2"
"Bibb County","01","007","74600","7410      ","1905      ","1756      ","1937      ","487       ","549       ","22        ","4         ","6         ","0         ","0         ","0         ","0         ","0         ","0         ","24        ","14        ","0         ","112       ","18        ","11        ","52        ","14        ","16        ","7382      ","1905      ","1740      ","17961","18580","19130","13917     ","     6.7","     5.8","     5.4"
"Blount County","01","009","86800","21023     ","5832      ","5111      ","372       ","92        ","115       ","59        ","13        ","32        ","20        ","1         ","6         ","0         ","0         ","0         ","389       ","201       ","115       ","338       ","81        ","76        ","819       ","366       ","215       ","20649     ","5689      ","5027      ","21198","21070","21623","15972     ","     5.1","     4.4","     4.0"
"Bullock County","01","011","56600","599       ","180       ","186       ","4287      ","982       ","1413      ","23        ","0         ","16        ","5         ","0         ","5         ","0         ","0         ","0         ","0         ","0         ","0         ","72        ","7         ","6         ","0         ","0         ","0         ","599       ","180       ","186       ","16619","17277","17993","12972     ","     9.8","    10.9","    11.6"
"Butler County","01","013","57700","6324      ","1554      ","1613      ","5010      ","1114      ","1473      ","2         ","0         ","2         ","4         ","0         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","32        ","11        ","6         ","61        ","26        ","15        ","6294      ","1542      ","1607      ","20665","21984","22993","16410     ","     7.5","     8.5","     9.4"
"Calhoun County","01","015","71600","38659     ","9907      ","9946      ","10279     ","2355      ","2979      ","426       ","85        ","58        ","181       ","30        ","68        ","0         ","0         ","0         ","98        ","11        ","56        ","777       ","197       ","169       ","630       ","171       ","141       ","38196     ","9749      ","9877      ","22274","23497","24492","17565     ","     5.7","     5.8","     5.4"
"Chambers County","01","017","58900","10671     ","2640      ","2824      ","6584      ","1610      ","2082      ","24        ","12        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","66        ","23        ","16        ","140       ","40        ","42        ","10593     ","2625      ","2797      ","21366","21692","22278","16333     ","     6.3","     6.3","     6.9"
"Cherokee County","01","019","76100","9996      ","2640      ","2664      ","795       ","157       ","256       ","105       ","27        ","8         ","8         ","2         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","29        ","2         ","16        ","57        ","15        ","20        ","9949      ","2625      ","2649      ","19510","20066","20798","15093     ","     4.5","     4.7","     4.6"
"Chilton County","01","021","81800","14890     ","3847      ","3785      ","2064      ","528       ","536       ","68        ","14        ","13        ","0         ","0         ","0         ","13        ","13        ","0         ","106       ","60        ","11        ","298       ","37        ","109       ","254       ","98        ","56        ","14777     ","3813      ","3757      ","20523","20782","21416","15680     ","     4.9","     4.9","     4.6"
"Choctaw County","01","023","60500","4535      ","1112      ","1086      ","3980      ","923       ","1128      ","16        ","2         ","2         ","6         ","0         ","3         ","0         ","0         ","0         ","3         ","0         ","1         ","58        ","20        ","9         ","151       ","40        ","41        ","4430      ","1085      ","1051      ","19598","20795","21269","15415     ","     8.5","     9.8","     8.6"
"Clarke County","01","025","67900","5934      ","1526      ","1533      ","6324      ","1590      ","1723      ","68        ","0         ","21        ","33        ","6         ","9         ","6         ","0         ","6         ","0         ","0         ","0         ","39        ","3         ","16        ","59        ","16        ","8         ","5926      ","1524      ","1533      ","20443","21038","21867","15837     ","     8.7","     8.5","     8.8"
"Clay County","01","027","62200","5199      ","1294      ","1322      ","1314      ","265       ","360       ","7         ","7         ","0         ","4         ","0         ","4         ","0         ","0         ","0         ","1         ","1         ","0         ","92        ","20        ","34        ","180       ","21        ","32        ","5139      ","1291      ","1309      ","19622","20088","20585","15073     ","     5.9","     7.0","     6.3"
"Cleburne County","01","029","71300","6089      ","1584      ","1468      ","145       ","34        ","39        ","34        ","11        ","6         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","168       ","17        ","43        ","48        ","15        ","13        ","6041      ","1569      ","1455      ","19621","19549","20470","14910     ","     4.7","     5.8","     5.2"
"Coffee County","01","031","76600","13177     ","3194      ","3507      ","3912      ","1018      ","1054      ","160       ","40        ","40        ","110       ","11        ","74        ","8         ","8         ","0         ","78        ","38        ","17        ","276       ","75        ","76        ","385       ","159       ","83        ","12921     ","3087      ","3443      ","25353","26055","26837","19560     ","     4.9","     5.3","     5.3"
"Colbert County","01","033","72300","19686     ","5050      ","5513      ","4980      ","1169      ","1460      ","56        ","5         ","22        ","16        ","0         ","8         ","0         ","0         ","0         ","22        ","22        ","0         ","164       ","40        ","52        ","206       ","76        ","56        ","19525     ","4996      ","5468      ","21485","22238","23219","16735     ","     7.9","     7.3","     6.9"
"Conecuh County","01","035","58600","3980      ","1054      ","1053      ","3107      ","716       ","911       ","30        ","0         ","6         ","0         ","0         ","0         ","0         ","0         ","0         ","12        ","6         ","0         ","31        ","8         ","7         ","39        ","9         ","5         ","3953      ","1051      ","1048      ","19561","19858","20544","14990     ","     7.8","     8.4","     8.5"
"Coosa County","01","037","59500","4275      ","1202      ","1047      ","2446      ","567       ","713       ","40        ","4         ","14        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","15        ","10        ","2         ","39        ","13        ","4         ","4255      ","1196      ","1047      ","18529","19307","20214","14512     ","     9.0","     8.1","     7.1"
"Covington County","01","039","56700","16644     ","4058      ","4148      ","2404      ","713       ","662       ","174       ","35        ","55        ","57        ","18        ","21        ","0         ","0         ","0         ","0         ","0         ","0         ","189       ","25        ","45        ","103       ","11        ","26        ","16542     ","4048      ","4122      ","21991","22725","23656","17092     ","     5.6","     6.8","     6.6"
"Crenshaw County","01","041","51300","4946      ","1201      ","1300      ","2365      ","472       ","620       ","40        ","4         ","6         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","22        ","4         ","4         ","39        ","3         ","12        ","4908      ","1199      ","1288      ","23229","22702","23897","17457     ","     5.7","     6.6","     6.7"
"Cullman County","01","043","85000","31320     ","8274      ","7608      ","169       ","45        ","58        ","189       ","52        ","40        ","34        ","0         ","19        ","60        ","0         ","10        ","203       ","56        ","41        ","417       ","103       ","116       ","450       ","150       ","88        ","31082     ","8180      ","7570      ","22947","23096","24253","17574     ","     5.7","     5.6","     5.1"
"Dale County","01","045","69000","13719     ","3845      ","3708      ","4390      ","915       ","1342      ","120       ","31        ","11        ","159       ","13        ","77        ","0         ","0         ","0         ","69        ","23        ","31        ","353       ","89        ","75        ","195       ","72        ","62        ","13648     ","3813      ","3695      ","20679","21343","22124","16036     ","     5.5","     5.2","     5.4"
"Dallas County","01","047","64100","6618      ","1903      ","1898      ","15357     ","3454      ","4679      ","81        ","7         ","28        ","29        ","7         ","11        ","0         ","0         ","0         ","0         ","0         ","0         ","106       ","28        ","25        ","76        ","24        ","26        ","6610      ","1895      ","1898      ","19973","20637","21469","15519     ","    10.9","    11.2","    10.1"
"DeKalb County","01","049","67200","27982     ","6962      ","7311      ","541       ","111       ","166       ","301       ","26        ","90        ","30        ","10        ","6         ","0         ","0         ","0         ","221       ","107       ","46        ","766       ","157       ","142       ","877       ","278       ","179       ","27501     ","6847      ","7200      ","21515","21901","22950","16591     ","     4.9","     5.6","     5.6"
"Elmore County","01","051","98000","16194     ","4745      ","4288      ","4624      ","1153      ","1342      ","129       ","62        ","27        ","70        ","5         ","28        ","9         ","9         ","0         ","43        ","15        ","9         ","308       ","55        ","60        ","263       ","84        ","70        ","16078     ","4702      ","4251      ","23222","24024","25015","18065     ","     4.5","     4.8","     4.7"
"Escambia County","01","053","66700","11007     ","2948      ","2827      ","5279      ","1284      ","1586      ","626       ","158       ","128       ","75        ","13        ","42        ","0         ","0         ","0         ","15        ","4         ","7         ","378       ","93        ","100       ","139       ","39        ","49        ","10907     ","2911      ","2797      ","19044","19030","19758","14457     ","     8.3","     8.4","     7.5"
"Etowah County","01","055","71200","39356     ","9950      ","10273     ","7182      ","1517      ","2141      ","215       ","74        ","41        ","50        ","25        ","8         ","12        ","12        ","0         ","151       ","56        ","31        ","484       ","131       ","146       ","303       ","131       ","32        ","39191     ","9875      ","10259     ","22119","22997","23744","17214     ","     6.1","     6.3","     6.3"
"Fayette County","01","057","64100","7582      ","1675      ","1958      ","1075      ","237       ","302       ","24        ","2         ","8         ","18        ","0         ","6         ","0         ","0         ","0         ","0         ","0         ","0         ","88        ","15        ","20        ","7         ","2         ","5         ","7582      ","1675      ","1958      ","20493","20380","21204","15519     ","     8.0","     6.7","     6.7"
"Franklin County","01","059","62800","14355     ","3292      ","3655      ","722       ","165       ","171       ","93        ","21        ","28        ","14        ","0         ","7         ","2         ","2         ","0         ","282       ","135       ","79        ","181       ","41        ","54        ","614       ","263       ","109       ","14112     ","3191      ","3639      ","21309","21576","22364","16311     ","    10.7","     9.3","     7.0"
"Geneva County","01","061","55900","11339     ","2928      ","2838      ","1519      ","391       ","486       ","168       ","41        ","29        ","0         ","0         ","0         ","0         ","0         ","0         ","25        ","7         ","12        ","135       ","23        ","31        ","125       ","43        ","32        ","11293     ","2910      ","2830      ","22216","22635","23596","17111     ","     4.7","     5.5","     4.8"
"Greene County","01","063","57000","931       ","277       ","256       ","4056      ","943       ","1257      ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","3         ","3         ","0         ","20        ","0         ","10        ","44        ","13        ","13        ","905       ","269       ","256       ","18017","18921","20029","14241     ","     8.0","     8.2","     8.4"
"Hale County","01","065","66300","3579      ","925       ","904       ","4956      ","1226      ","1497      ","9         ","9         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","24        ","5         ","14        ","27        ","8         ","11        ","83        ","24        ","31        ","3579      ","925       ","904       ","16787","17526","18368","13170     ","     7.7","     7.9","     7.0"
"Henry County","01","067","69100","4805      ","1335      ","1330      ","3211      ","760       ","944       ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","40        ","15        ","0         ","51        ","6         ","25        ","156       ","37        ","28        ","4719      ","1323      ","1312      ","21553","22343","22750","16661     ","     5.8","     5.7","     5.5"
"Houston County","01","069","82000","22798     ","5646      ","6675      ","9791      ","2319      ","2836      ","259       ","61        ","61        ","114       ","36        ","31        ","0         ","0         ","0         ","73        ","22        ","21        ","428       ","105       ","98        ","453       ","122       ","139       ","22523     ","5564      ","6600      ","25824","26933","27702","20114     ","     4.5","     4.7","     4.6"
"Jackson County","01","071","72400","21183     ","5297      ","5590      ","807       ","191       ","271       ","378       ","58        ","95        ","34        ","6         ","10        ","0         ","0         ","0         ","22        ","4         ","13        ","552       ","112       ","195       ","141       ","43        ","48        ","21089     ","5255      ","5569      ","21323","21451","22416","16297     ","     6.7","     6.9","     6.7"
"Jefferson County","01","073","90700","130323    ","33635     ","36928     ","116526    ","28159     ","34657     ","872       ","209       ","249       ","992       ","265       ","359       ","69        ","21        ","6         ","1150      ","604       ","217       ","2473      ","641       ","628       ","3206      ","1357      ","652       ","128827    ","33054     ","36621     ","31813","33372","34323","24876     ","     5.0","     5.4","     5.3"
"Lamar County","01","075","55200","7271      ","1823      ","1704      ","1060      ","253       ","251       ","79        ","16        ","14        ","29        ","4         ","16        ","0         ","0         ","0         ","36        ","12        ","0         ","22        ","5         ","4         ","57        ","12        ","7         ","7250      ","1823      ","1697      ","19823","20034","20645","15125     ","     8.0","     8.6","     8.2"
"Lauderdale County","01","077","85000","29709     ","8056      ","8251      ","3641      ","919       ","1134      ","165       ","13        ","41        ","29        ","0         ","14        ","3         ","0         ","3         ","57        ","31        ","26        ","269       ","100       ","75        ","371       ","133       ","91        ","29513     ","7988      ","8225      ","23126","23646","24435","17801     ","     8.2","     7.1","     6.3"
"Lawrence County","01","079","75000","13428     ","3544      ","3115      ","2136      ","537       ","601       ","765       ","150       ","202       ","6         ","3         ","0         ","13        ","13        ","0         ","21        ","0         ","7         ","582       ","149       ","179       ","67        ","19        ","12        ","13393     ","3528      ","3112      ","20999","20967","22599","16140     ","     6.5","     6.6","     6.4"
"Lee County","01","081","104100","22087     ","6556      ","5958      ","10971     ","2439      ","3241      ","228       ","57        ","63        ","597       ","141       ","175       ","0         ","0         ","0         ","106       ","46        ","38        ","360       ","119       ","115       ","516       ","171       ","168       ","21794     ","6454      ","5868      ","20745","21484","22227","16113     ","     4.2","     4.3","     4.2"
"Limestone County","01","083","86400","20352     ","5427      ","5444      ","3642      ","1009      ","961       ","102       ","15        ","30        ","63        ","15        ","19        ","0         ","0         ","0         ","220       ","117       ","45        ","416       ","99        ","120       ","416       ","197       ","94        ","20223     ","5360      ","5421      ","23144","23912","25475","18132     ","     5.1","     5.3","     5.0"
