us	year	state	scode	area	po-total	ps-popgw	ps-popsw	ps-popto	ps-wgwfr	ps-wswfr	ps-wtofr	ps-wgwsa	ps-wswsa	ps-wsato	ps-total	ps-loss	ps-deliv	ps-prcap	ps-facil	ps-facdb	co-wgwfr	co-wswfr	co-wtotl	co-psdel	co-total	co-cuse	do-sspop	do-ssgwf	do-ssswf	do-sstot	do-sspcp	do-pspop	do-psdel	do-pspcp	do-total	do-cuse	in-wgwfr	in-wgwsa	in-wgwto	in-wswfr	in-wswsa	in-wswto	in-wtofr	in-wtosa	in-wtotl	in-recww	in-psdel	in-total	in-cufr	in-cusal	in-cuse	in-facil	in-facdb	pt-wgwfr	pt-wswfr	pt-wswsa	pt-wswto	pt-frtot	pt-wtotl	pt-psdel	pt-total	pt-cufr	pt-cusal	pt-cuse	pt-power	pt-facil	pt-facdb	pf-wgwfr	pf-wswfr	pf-wswsa	pf-wswto	pf-frtot	pf-wtotl	pf-psdel	pf-total	pf-cufr	pf-cusal	pf-cuse	pf-power	pf-facil	pf-facdb	pg-wgwfr	pg-wgwsa	pg-wtotl	pg-cufr	pg-cusal	pg-power	pg-facil	pg-facdb	pn-wgwfr	pn-wswfr	pn-wswsa	pn-wswto	pn-frtot	pn-wtotl	pn-psdel	pn-total	pn-cufr	pn-cusal	pn-cuse	pn-power	pn-facil	pn-facdb	mi-wgwfr	mi-wgwsa	mi-gwtot	mi-wswfr	mi-wswsa	mi-swtot	mi-frtot	mi-satot	mi-total	mi-cufr	mi-cusal	mi-cuse	ls-gwtot	ls-swtot	ls-total	ls-cuse	la-gwtot	la-swtot	la-total	la-cuse	lv-gwtot	lv-swtot	lv-total	lv-cuse	ir-wgwfr	ir-wswfr	ir-recww	ir-frtot	ir-spray	ir-flood	ir-irrig	ir-convy	ir-cuse	hy-total	hy-power	hy-facil	hy-facdb	ww-facpu	ww-facot	ww-facil	ww-retrn	ww-facdb	ww-recww	re-evap	re-area	to-gwfr	to-gwsal	to-gwtot	to-swfr	to-swsal	to-swtot	to-frtot	to-satot	to-total	to-recww	to-cufr	to-cusal	to-cuse	to-convy
US	1985	WY	56	100200	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.05	0.06	0.06	0.00	0.00	0.00	0.00	0.01	0.05	0.06	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.05	0.00	0.05	0.06	0.00	0.06	0.00	0.06	0.00	0.06	0.00
US	1985	WY	56	100700	1.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.35	0.09	0.01	0.10	74.07	0.00	0.00	0.00	0.10	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.31	0.38	0.38	0.00	0.00	0.00	0.00	0.07	0.31	0.38	0.38	0.17	50.62	0.00	50.79	0.96	11.04	12.00	18.64	21.43	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.33	50.94	0.00	50.94	51.27	0.00	51.27	0.00	21.85	0.00	21.85	18.64
US	1985	WY	56	100800	86.09	21.41	28.51	49.92	6.69	7.67	14.36	0.00	0.00	0.00	14.36	2.51	11.85	287.66	0.00	0.00	0.83	0.67	1.50	1.18	2.68	0.30	36.17	2.44	0.27	2.71	74.92	49.92	10.08	201.92	12.79	5.12	0.50	0.00	0.50	0.40	0.00	0.40	0.90	0.00	0.90	0.00	0.59	1.49	0.12	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.00	5.00	55.00	11.50	0.00	11.50	61.50	5.00	66.50	9.85	0.00	9.85	0.64	2.44	3.08	3.08	0.00	0.00	0.00	0.00	0.64	2.44	3.08	3.08	22.88	2193.42	0.00	2216.30	40.04	497.36	537.40	776.99	888.95	904.00	110.50	0.00	0.00	18.00	87.00	105.00	9.35	0.00	0.00	0.00	0.00	83.98	5.00	88.98	2216.37	0.00	2216.37	2300.35	5.00	2305.35	0.00	907.42	0.00	907.42	776.99
US	1985	WY	56	100901	25.34	0.51	16.50	17.01	0.23	3.96	4.19	0.00	0.00	0.00	4.19	0.97	4.19	246.33	0.00	0.00	0.38	0.37	0.75	0.52	1.27	0.16	8.33	0.57	0.07	0.64	76.83	17.01	2.68	157.55	3.32	1.37	0.25	0.00	0.25	0.25	0.00	0.25	0.50	0.00	0.50	0.00	0.02	0.52	0.09	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.76	2.94	10.70	2.56	0.00	2.56	10.32	2.94	13.26	1.44	0.00	1.44	0.11	0.41	0.52	0.52	0.00	0.00	0.00	0.00	0.11	0.41	0.52	0.52	1.76	321.41	0.00	323.17	6.64	69.72	76.36	118.63	109.09	0.00	0.00	0.00	0.00	5.00	5.00	10.00	1.86	0.00	0.00	0.00	0.00	11.06	2.94	14.00	329.03	0.00	329.03	340.09	2.94	343.03	0.00	112.67	0.00	112.67	118.63
US	1985	WY	56	100902	22.01	3.60	0.27	3.87	1.66	0.06	1.72	0.00	0.00	0.00	1.72	0.25	1.47	444.44	0.00	0.00	0.11	0.11	0.22	0.15	0.37	0.04	18.14	1.22	0.13	1.35	74.42	3.87	1.32	341.09	2.67	1.10	0.06	0.00	0.06	0.04	0.00	0.04	0.10	0.00	0.10	0.00	0.00	0.10	0.03	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.74	2.56	9.30	2.22	0.00	2.22	8.96	2.56	11.52	1.26	0.00	1.26	0.33	1.38	1.71	1.71	0.00	0.00	0.00	0.00	0.33	1.38	1.71	1.71	8.96	285.80	0.00	294.76	5.45	66.58	72.03	104.70	104.50	0.00	0.00	0.00	0.00	3.00	29.00	32.00	0.42	0.00	0.00	0.00	0.00	19.08	2.56	21.64	289.74	0.00	289.74	308.82	2.56	311.38	0.00	108.64	0.00	108.64	104.70
US	1985	WY	56	101102	0.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.59	0.04	0.00	0.04	67.80	0.00	0.00	0.00	0.04	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.16	0.20	0.20	0.00	0.00	0.00	0.00	0.04	0.16	0.20	0.20	0.37	6.96	0.00	7.33	0.30	3.70	4.00	1.07	4.29	0.00	0.00	0.00	0.00	0.00	5.00	5.00	0.00	0.00	0.00	0.00	0.00	0.45	0.00	0.45	7.12	0.00	7.12	7.57	0.00	7.57	0.00	4.51	0.00	4.51	1.07
US	1985	WY	56	101201	9.36	4.79	0.00	4.79	1.95	0.00	1.95	0.00	0.00	0.00	1.95	0.82	1.13	407.10	0.00	0.00	0.21	0.00	0.21	0.20	0.41	0.04	4.57	0.31	0.03	0.34	74.40	4.79	0.93	194.15	1.27	0.49	0.10	0.00	0.10	0.02	0.00	0.02	0.12	0.00	0.12	0.00	0.00	0.12	0.02	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.86	2.53	11.39	0.63	0.00	0.63	9.49	2.53	12.02	1.43	0.00	1.43	0.29	1.18	1.47	1.47	0.00	0.00	0.00	0.00	0.29	1.18	1.47	1.47	31.80	37.21	0.00	69.01	14.77	18.41	33.18	9.64	41.69	0.00	0.00	0.00	0.00	2.00	41.00	43.00	0.70	0.00	0.00	0.00	0.00	43.52	2.53	46.05	39.07	0.00	39.07	82.59	2.53	85.12	0.00	45.14	0.00	45.14	9.64
US	1985	WY	56	101202	28.15	14.53	0.00	14.53	5.82	0.00	5.82	0.00	0.00	0.00	5.82	0.20	5.62	400.55	0.00	0.00	1.94	0.00	1.94	1.83	3.77	0.39	13.62	0.91	0.11	1.02	74.89	14.53	1.83	125.95	2.85	1.16	0.30	0.00	0.30	0.08	0.00	0.08	0.38	0.00	0.38	0.00	0.02	0.40	0.08	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.94	1.94	1.94	0.00	1.94	2630.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.94	1.94	1.94	0.00	1.94	2630.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.14	1.47	6.61	0.37	0.00	0.37	5.51	1.47	6.98	0.82	0.00	0.82	0.19	0.74	0.93	0.93	0.00	0.00	0.00	0.00	0.19	0.74	0.93	0.93	2.14	34.48	0.00	36.62	1.38	17.59	18.97	5.71	21.35	0.00	0.00	0.00	0.00	6.00	22.00	28.00	2.12	0.00	0.00	0.00	0.00	16.44	1.47	17.91	35.78	0.00	35.78	52.22	1.47	53.69	0.00	26.67	0.00	26.67	5.71
US	1985	WY	56	101500	2.15	1.65	0.00	1.65	0.61	0.00	0.61	0.00	0.00	0.00	0.61	0.11	0.61	369.70	0.00	0.00	0.05	0.00	0.05	0.05	0.10	0.01	0.50	0.04	0.00	0.04	80.00	1.65	0.45	272.73	0.49	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.11	0.14	0.14	0.00	0.00	0.00	0.00	0.03	0.11	0.14	0.14	0.86	7.76	0.00	8.62	3.78	0.42	4.20	1.13	4.87	0.00	0.00	0.00	0.00	1.00	4.00	5.00	0.16	0.00	0.00	0.00	0.00	1.59	0.00	1.59	7.87	0.00	7.87	9.46	0.00	9.46	0.00	5.22	0.00	5.22	1.13
US	1985	WY	56	101800	160.59	77.32	44.81	122.13	22.28	12.67	34.95	0.00	0.00	0.00	34.95	6.12	28.83	286.17	0.00	0.00	4.38	2.49	6.87	5.41	12.28	1.37	38.46	2.59	0.29	2.88	74.88	122.13	22.69	185.79	25.57	10.24	2.50	0.00	2.50	1.38	0.00	1.38	3.88	0.00	3.88	0.00	0.73	4.61	0.78	0.00	0.78	0.00	0.00	11.76	198.48	0.00	198.48	210.24	210.24	0.00	210.24	15.12	0.00	15.12	14397.32	0.00	0.00	11.76	198.48	0.00	198.48	210.24	210.24	0.00	210.24	15.12	0.00	15.12	14397.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.50	4.50	21.00	9.08	0.00	9.08	25.58	4.50	30.08	3.84	0.00	3.84	0.94	3.70	4.64	4.64	0.00	0.00	0.00	0.00	0.94	3.70	4.64	4.64	113.63	1168.12	0.00	1281.75	63.42	477.08	540.50	277.32	679.54	5323.33	950.38	0.00	0.00	23.00	46.00	69.00	13.54	0.00	0.00	0.00	0.00	174.58	4.50	179.08	1396.21	0.00	1396.21	1570.79	4.50	1575.29	0.00	715.53	0.00	715.53	277.32
US	1985	WY	56	101900	72.51	12.75	45.62	58.37	3.49	11.64	15.13	0.00	0.00	0.00	15.13	2.65	12.48	259.21	0.00	0.00	0.64	1.47	2.11	1.89	4.00	0.42	14.14	0.94	0.11	1.05	74.26	58.37	8.79	150.59	9.84	3.94	0.60	0.00	0.60	1.35	0.00	1.35	1.95	0.00	1.95	0.00	1.80	3.75	0.29	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.50	0.00	0.00	0.00	0.50	0.00	0.50	0.15	0.00	0.15	0.10	0.45	0.55	0.55	0.00	0.00	0.00	0.00	0.10	0.45	0.55	0.55	97.62	28.20	0.00	125.82	28.80	23.40	52.20	25.62	74.58	0.00	0.00	0.00	0.00	5.00	6.00	11.00	8.63	0.00	0.00	0.00	0.00	103.89	0.00	103.89	43.22	0.00	43.22	147.11	0.00	147.11	0.00	79.93	0.00	79.93	25.62
US	1985	WY	56	140401	65.93	1.83	41.02	42.85	0.54	10.32	10.86	0.00	0.00	0.00	10.86	3.08	7.78	253.44	0.00	0.00	0.27	1.10	1.37	1.08	2.45	0.28	23.08	1.54	0.18	1.72	74.52	42.85	6.64	154.96	8.36	3.37	0.50	0.00	0.50	0.10	0.00	0.10	0.60	0.00	0.60	0.00	0.06	0.66	0.09	0.00	0.09	0.00	0.00	0.00	25.98	0.00	25.98	25.98	25.98	0.00	25.98	20.68	0.00	20.68	17194.65	0.00	0.00	0.00	25.98	0.00	25.98	25.98	25.98	0.00	25.98	20.68	0.00	20.68	17194.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.50	2.77	14.27	10.31	0.00	10.31	21.81	2.77	24.58	4.35	0.00	4.35	0.28	1.11	1.39	1.39	0.00	0.00	0.00	0.00	0.28	1.11	1.39	1.39	6.90	793.64	0.00	800.54	11.32	294.88	306.20	166.58	410.11	213.68	13.72	0.00	0.00	14.00	19.00	33.00	4.14	0.00	0.00	0.00	0.00	21.53	2.77	24.30	842.74	0.00	842.74	864.27	2.77	867.04	0.00	440.27	0.00	440.27	166.58
US	1985	WY	56	140402	1.50	0.68	0.00	0.68	0.20	0.00	0.20	0.00	0.00	0.00	0.20	0.12	0.20	294.12	0.00	0.00	0.02	0.00	0.02	0.02	0.04	0.00	0.82	0.06	0.00	0.06	73.17	0.68	0.06	88.24	0.12	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.73	3.73	2.69	0.00	2.69	5.69	0.73	6.42	1.15	0.00	1.15	0.03	0.17	0.20	0.20	0.00	0.00	0.00	0.00	0.03	0.17	0.20	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	4.00	5.00	0.07	0.00	0.00	0.00	0.00	3.31	0.73	4.04	2.86	0.00	2.86	6.17	0.73	6.90	0.00	1.40	0.00	1.40	0.00
US	1985	WY	56	140500	0.84	0.00	0.43	0.43	0.00	0.18	0.18	0.00	0.00	0.00	0.18	0.03	0.15	418.60	0.00	0.00	0.00	0.02	0.02	0.02	0.04	0.01	0.41	0.03	0.00	0.03	73.17	0.43	0.13	302.33	0.16	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.21	0.25	0.25	0.00	0.00	0.00	0.00	0.04	0.21	0.25	0.25	0.47	34.89	0.00	35.36	0.20	14.80	15.00	7.23	17.41	0.00	0.00	0.00	0.00	2.00	2.00	4.00	0.20	0.00	0.00	0.00	0.00	0.54	0.00	0.54	35.30	0.00	35.30	35.84	0.00	35.84	0.00	17.73	0.00	17.73	7.23
US	1985	WY	56	160101	14.37	1.16	5.78	6.94	0.62	3.87	4.49	0.00	0.00	0.00	4.49	0.79	3.70	646.97	0.00	0.00	0.29	0.83	1.12	0.94	2.06	0.22	7.43	0.50	0.05	0.55	74.02	6.94	2.76	397.69	3.31	1.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	1.00	0.20	0.00	0.20	0.06	0.20	0.26	0.26	0.00	0.00	0.00	0.00	0.06	0.20	0.26	0.26	2.47	154.67	0.00	157.14	12.26	43.74	56.00	34.02	75.00	0.00	0.00	0.00	0.00	2.00	5.00	7.00	1.13	0.00	0.00	0.00	0.00	4.94	0.00	4.94	159.62	0.00	159.62	164.56	0.00	164.56	0.00	77.00	0.00	77.00	34.02
US	1985	WY	56	160201	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
