Phase,PC_Date,PC_Time,YearDay,Lat,Lon,Pressure,SBE_Temp,SBE_Cond,SBE_Sal,IR_mVolts,IR_Conc,NewXCO2,dCO2,Avg_mV,GasFlow,WaterFlow,Eq_volts,Eq_Temp,SCS_Temp,SCS_Sal,pH2O,fCO2_weq,fCO2_a,fCO2_wInSitu,dfCO2,AirFlag,IR_Temp,Wind_Dir_Rel,Wind_Speed_Rel,Wind_Dir_Abs,Wind_Speed_Abs,QCFlag,Fluoro,SeaLevelPressure,COG,SOG,AirTemp
STD1,9/6/05,22:05:36,249.9205556,41.327357,-71.022655,1028.372888,20.4727,4.41364,31.5668,0,303.25,0,,0,56.940796,11.480125,293.693,20.543,20.24,31.52,23.30944274,,,,,,23.88659,313.1,17.28,107.75,12.68,,6.709,1027.72,207.8,13,19.38
STD2,9/6/05,22:09:37,249.9233449,41.314232,-71.031423,1028.536508,20.5661,4.42705,31.6043,0.3209,370.9,0.3209,,0.3209,46.490284,11.300702,293.59,20.44,20.54,31.54,23.74509988,,,,,,24.49174,312.9,16.11,104.25,11.99,,6.654,1027.72,205.3,13.1,19.33
STD3,9/6/05,22:13:38,249.9261343,41.30109,-71.040177,1028.55838,20.941,4.47666,31.7199,0.5022,411.42,0.5022,,0.5022,54.493099,11.528435,293.983,20.833,20.83,31.68,24.1714016,,,,,,25.034,311,16.89,104.06,12.92,,6.394,1027.73,208.1,13.2,19.4
WATER,9/6/05,22:17:39,249.9289236,41.287887,-71.04882,1028.501859,20.9409,4.47047,31.6711,0.6017,436.0063,434.3635943,1.642705657,,335.16394,11.279363,294.087,20.937,20.71,31.64,23.99396275,429.1683053,,425.3375041,61.43708842,,25.57721,313.2,18.05,108.77,12.92,2,6.237,1027.63,206.7,13.3,19.43
WATER,9/6/05,22:22:00,249.9319444,41.27351,-71.058282,1028.495528,20.8518,4.457,31.6304,0.6046,436.6154,435.0398022,1.575597821,,341.152405,11.270958,293.993,20.843,20.66,31.6,23.92067018,429.8641811,,426.7664091,62.8659935,,26.03643,307.5,16.31,99.11,13.35,2,6.212,1027.68,206.5,13.3,19.38
WATER,9/6/05,22:26:42,249.9352083,41.258007,-71.068483,1028.465562,20.8467,4.45559,31.6229,0.6111,438.0354,436.5569836,1.47841642,,340.22403,11.178194,293.976,20.826,20.67,31.6,23.93541721,431.3442932,,428.6931705,64.7927549,,26.43812,308.5,16.69,99.94,13.38,2,6.032,1027.66,204.9,13.3,19.4
WATER,9/6/05,22:31:03,249.9382292,41.243552,-71.077417,1028.476721,20.8275,4.45501,31.6326,0.6137,438.5871,437.1644537,1.422646299,,339.676514,11.117205,293.969,20.819,20.63,31.59,23.87660668,431.9738746,,428.7594033,64.85898763,,26.78571,319.4,16.69,109.87,10.87,2,6.121,1027.62,202.8,13.1,19.25
AIR,9/6/05,22:35:44,249.9414815,41.228098,-71.086903,1028.539086,20.8082,4.44899,31.5991,0.3079,374.3991,368.0583339,6.340766102,,555.292725,11.166843,293.944,20.794,20.64,31.56,23.89171985,,363.7055298,,,2,27.05882,317.2,17.47,110.36,11.88,,6.059,1027.73,205.4,13.1,19.1
AIR,9/6/05,22:39:25,249.9440394,41.215967,-71.09438,1028.530119,20.8086,4.44633,31.5777,0.3082,374.4749,368.1238146,6.351085418,,553.393005,11.268967,293.957,20.807,20.66,31.53,23.9215811,,363.7564808,,,2,27.30309,313.5,16.11,100.96,11.87,,5.954,1027.75,205.7,12.9,19.08
AIR,9/6/05,22:43:26,249.9468287,41.202795,-71.102395,1028.553381,20.8303,4.44885,31.5817,0.3089,374.6069,368.2766205,6.330279475,,557.789185,11.222708,293.972,20.822,20.69,31.55,23.96558697,,363.9004156,,,2,27.52843,315.3,16.69,105.39,11.8,,5.88,1027.69,205.8,12.8,19.08
WATER,9/6/05,22:47:28,249.9496296,41.189598,-71.110832,1028.446268,20.8678,4.45901,31.6344,0.6333,442.8291,441.7548333,1.074266712,,334.20578,11.254233,294.008,20.858,20.68,31.62,23.94991161,436.465579,,433.4083558,69.50794014,,27.75647,313.2,17.28,105.89,12.67,2,5.836,1027.6,207.6,13.2,19
WATER,9/6/05,22:52:09,249.9528819,41.174252,-71.120713,1028.404214,20.8313,4.46246,31.6889,0.6184,439.6085,438.2634393,1.345060697,,342.288422,11.166018,293.987,20.837,20.66,31.67,23.9197593,433.0104962,,429.9928965,66.09248086,,27.95202,312.1,15.92,100.03,12.08,2,5.804,1027.62,207.6,13.2,19.03
WATER,9/6/05,22:56:30,249.9559028,41.15985,-71.129888,1028.306025,20.821,4.46837,31.7435,0.5984,435.2763,433.5946332,1.681666798,,342.994568,11.377013,293.971,20.821,20.66,31.72,23.91910869,428.3560509,,425.6382079,61.73779225,,28.11764,305.8,15.72,94.75,13.43,2,5.767,1027.59,207.4,13.3,19.08
WATER,9/6/05,23:01:11,249.9591551,41.144403,-71.140168,1028.415544,20.8295,4.47369,31.7794,0.5785,431.015,428.9692248,2.045775248,,342.170319,11.323098,293.983,20.833,20.65,31.75,23.90398046,423.8389415,,420.7823763,56.88196067,,28.26092,310.1,15.72,98.24,12.36,2,5.71,1027.59,208.4,13.6,19.03
STD1,9/6/05,23:05:33,249.9621875,41.129978,-71.150045,1028.382027,20.7991,4.47252,31.7927,0,303.25,0.0031,,0.0031,56.713341,11.316093,293.949,20.799,20.62,31.76,23.8596847,,,,,,28.37783,318.2,16.5,106.29,11.05,,5.656,1027.63,205.6,13.4,19
STD2,9/6/05,23:09:34,249.9649769,41.116578,-71.158603,1028.454218,20.789,4.47387,31.811,0.3209,370.9,0.324,,0.324,47.991337,11.16545,293.934,20.784,20.57,31.78,23.78597498,,,,,,28.47981,321.9,16.31,109.89,10.07,,5.598,1027.69,206.6,13.3,18.98
STD3,9/6/05,23:13:35,249.9677662,41.103042,-71.167222,1028.253113,20.6922,4.4627,31.7944,0.5022,411.42,0.50505,,0.50505,54.668785,11.366645,293.85,20.7,20.5,31.76,23.68373484,,,,,,28.57708,322.3,17.86,109.65,10.21,,5.616,1027.62,203.9,13.4,18.98
WATER,9/6/05,23:17:36,249.9705556,41.089533,-71.175928,1028.320306,20.7242,4.46752,31.809,0.5514,422.7154,422.0662008,0.649199219,,363.671265,11.364019,293.865,20.715,20.57,31.78,23.78597498,417.0265317,,414.6380331,49.25102669,,28.6893,319.5,17.47,111.12,11.35,2,5.591,1027.56,206,13.6,19.05
WATER,9/6/05,23:22:17,249.9738079,41.073857,-71.186223,1028.473011,20.7419,4.46979,31.8138,0.5487,422.0912,421.4429832,0.648216759,,359.064331,11.266556,293.887,20.737,20.55,31.79,23.75652113,416.4859176,,413.4124158,48.02540941,,28.77808,321.3,16.69,108.1,10.46,2,5.536,1027.62,206.3,13.6,19.05
WATER,9/6/05,23:26:39,249.9768403,41.059342,-71.195757,1028.371069,20.6234,4.45651,31.7965,0.5503,422.4706,421.8122518,0.658348216,,356.409607,11.507577,293.787,20.637,20.39,31.78,23.5231898,416.9025602,,412.8410134,47.45400705,,28.84941,322,16.31,107.78,10.06,2,5.527,1027.64,205.4,13.6,19.1
WATER,9/6/05,23:31:00,249.9798611,41.045022,-71.20551,1028.436972,20.4788,4.44082,31.7796,0.5557,423.7192,423.0595115,0.659688487,,354.40863,11.257474,293.643,20.493,20.23,31.76,23.29199243,418.2561195,,413.915092,48.52808562,,28.90356,313.4,16.69,102.59,12.3,2,5.461,1027.65,208.8,13.1,19.15
AIR,9/6/05,23:35:41,249.9831134,41.029662,-71.215898,1028.439121,20.2573,4.41782,31.7614,0.3159,369.8019,369.1268314,0.675068632,,559.593689,11.276974,293.437,20.287,20.01,31.73,22.97737391,,365.0474109,,,2,28.94603,328.5,16.89,120.39,8.92,,5.444,1027.65,211.6,13.5,19.15
AIR,9/6/05,23:39:42,249.9859028,41.016425,-71.224855,1028.446755,20.1706,4.409,31.7556,0.3168,370.0068,369.3236824,0.683117621,,561.222412,11.311809,293.333,20.183,19.97,31.71,22.92075313,,365.2648103,,,2,28.98931,321,15.72,105.85,9.95,,5.457,1027.68,206.9,13.3,19.25
AIR,9/6/05,23:43:43,249.9886921,41.003267,-71.233763,1028.411891,20.176,4.40864,31.7487,0.3174,370.1267,369.4549397,0.671760318,,559.268066,10.814503,293.329,20.179,19.96,31.72,22.90643009,,365.3870064,,,2,29.03583,315.9,15.53,101.66,11.02,,5.504,1027.66,205.1,13.3,19.3
WATER,9/6/05,23:47:45,249.9914931,40.990007,-71.242698,1028.388358,20.1527,4.40696,31.7527,0.5803,429.4082,428.7605746,0.647625447,,353.021729,10.635514,293.289,20.139,20.16,31.7,23.19211684,423.912822,,424.2667731,58.87976677,,29.07877,314.6,15.14,100.62,10.52,2,5.401,1027.62,209.5,13.2,19.4
WATER,9/6/05,23:52:06,249.9945139,40.975753,-71.252423,1028.43004,20.5988,4.44641,31.7344,0.5927,432.2945,431.6461565,0.648343508,,349.514099,10.845641,293.708,20.558,20.55,31.68,23.75794276,426.5502322,,426.41507,61.0280636,,29.11194,315.9,15.14,98.91,10.84,2,5.37,1027.59,208.5,13.3,19.45
WATER,9/6/05,23:56:27,249.9975347,40.961565,-71.26206,1028.475489,21.1168,4.50456,31.81,0.5748,428.1241,427.4832276,0.640872428,,346.547424,10.6377,294.209,21.059,21.09,31.76,24.55988016,422.1278647,,422.6450119,57.25800551,,29.12988,316.6,15.72,103.17,10.93,2,5.392,1027.62,207.4,13.2,19.43
WATER,9/7/05,0:01:08,250.000787,40.946253,-71.272377,1028.409055,21.4548,4.54385,31.8684,0.5379,419.6023,418.9538869,0.648413099,,342.213409,10.88801,294.538,21.388,21.45,31.84,25.10719598,413.4586109,,414.4709104,49.08390403,,29.1408,317.9,16.11,107.26,10.99,2,5.333,1027.62,208,13.1,19.55
STD1,9/7/05,0:05:30,250.0038194,40.932008,-71.282052,1028.285943,21.6356,4.56496,31.8999,0.0062,303.25,0.0075,,0.0075,55.888565,10.961179,294.757,21.607,21.57,31.87,25.29194193,,,,,,29.15205,313.9,15.34,98.55,11.37,,5.28,1027.7,210.7,13.2,19.63
STD2,9/7/05,0:09:31,250.0066088,40.91847,-71.288397,1028.327983,21.622,4.56104,31.8793,0.3271,370.9,0.3285,,0.3285,48.709099,10.974905,294.772,21.622,21.43,31.86,25.07617886,,,,,,29.16231,324.7,18.44,101.13,10.91,,5.262,1027.5,183.3,13.1,19.58
STD3,9/7/05,0:13:32,250.0093981,40.90417,-71.290025,1028.315049,21.3637,4.5272,31.8052,0.5079,411.42,0.5093,,0.5093,56.245655,11.094294,294.563,21.413,21.1,31.77,24.57483741,,,,,,29.17808,332.7,18.05,110.36,8.82,,5.246,1027.47,183.1,12.6,19.53
WATER,9/7/05,0:17:33,250.0121875,40.889843,-71.29163,1028.208051,21.1456,4.50301,31.7764,0.5208,414.3884,414.0562335,0.332166481,,341.937408,11.019473,294.317,21.167,20.88,31.76,24.24483691,408.8849002,,404.2730159,38.69452703,,29.19625,330.4,18.05,106.97,9.58,2,5.221,1027.51,184.7,12.9,19.53
WATER,9/7/05,0:22:14,250.0154398,40.873312,-71.293332,1028.377028,20.9044,4.47644,31.7454,0.5404,418.8917,418.5655304,0.326169629,,337.895508,10.759145,294.065,20.915,20.69,31.72,23.96337073,413.5200533,,409.8544422,44.2759533,,29.20028,324.9,17.66,101.66,10.34,2,5.205,1027.44,182.7,12.6,19.55
WATER,9/7/05,0:26:35,250.0184606,40.858355,-71.294638,1028.319933,20.8717,4.47491,31.7576,0.5499,421.0802,420.7585233,0.32167674,,332.756653,10.938953,294.018,20.868,20.77,31.71,24.08188432,415.6153214,,414.0064673,48.42797838,,29.20078,320,16.11,97.13,10.36,2,5.191,1027.53,187.8,12.2,19.58
WATER,9/7/05,0:30:57,250.0214931,40.844507,-71.301942,1028.193541,21.0411,4.48317,31.6972,0.5477,420.5825,420.2502445,0.332255545,,336.109436,10.843347,294.163,21.013,20.92,31.65,24.30602559,414.9709509,,413.4478406,47.86935174,,29.19648,310.7,13.39,95.58,10.97,2,5.157,1027.59,209.9,12.7,19.55
