Start times of TOPEX/Poseidon Cycles							
Cycle	Year	Yearday	Month	Day	Hour	Minute	Second
1	1992	269	9	25	3	24	32.3264
2	1992	277	10	3	1	35	59.7202
3	1992	287	10	13	0	31	26.4884
4	1992	296	10	22	14	6	50.4567
5	1992	306	11	1	19	32	16.8630
6	1992	316	11	11	17	30	48.8459
7	1992	326	11	21	15	29	21.2864
8	1992	336	12	1	13	27	52.9693
9	1992	346	12	11	11	25	38.1802
10	1992	356	12	21	9	47	34.0348
11	1992	366	12	31	7	23	26.5164
12	1993	10	1	10	5	21	58.3109
13	1993	20	1	20	3	20	30.5425
14	1993	30	1	30	15	41	6.7230
15	1993	39	2	8	23	17	38.2536
16	1993	49	2	18	21	16	4.5588
17	1993	59	2	28	19	14	36.3553
18	1993	69	3	10	17	13	6.9613
19	1993	79	3	20	15	11	38.7348
20	1993	89	3	30	18	27	26.4053
21	1993	99	4	9	11	8	41.0562
22	1993	109	4	19	9	7	13.7643
23	1993	119	4	29	7	6	48.7977
24	1993	129	5	9	5	5	3.0469
25	1993	139	5	19	3	4	54.0716
26	1993	149	5	29	1	3	43.2559
27	1993	158	6	7	23	4	14.6201
28	1993	168	6	17	21	3	8.7873
29	1993	178	6	27	19	2	10.6222
30	1993	188	7	7	17	0	54.4052
31	1993	198	7	17	14	59	32.5318
32	1993	208	7	27	12	58	32.6356
33	1993	218	8	6	10	56	45.2835
34	1993	228	8	16	8	55	11.4573
35	1993	238	8	26	6	54	29.2147
36	1993	248	9	5	4	53	25.5206
37	1993	258	9	15	2	52	7.1051
38	1993	268	9	25	0	50	35.4491
39	1993	277	10	4	22	49	15.7499
40	1993	287	10	14	20	47	31.9001
41	1993	297	10	24	18	46	16.2408
42	1993	307	11	3	18	36	19.5633
43	1993	317	11	13	14	42	45.1351
44	1993	327	11	23	12	40	38.6698
45	1993	337	12	3	10	38	26.0308
46	1993	347	12	13	8	35	58.7595
47	1993	357	12	23	6	30	21.8266
48	1994	2	1	2	4	28	49.1439
49	1994	12	1	12	2	27	20.3777
50	1994	22	1	22	0	25	50.6691
51	1994	31	1	31	22	24	21.2191
52	1994	41	2	10	20	22	52.6366
53	1994	51	2	20	18	21	25.4669
54	1994	61	3	2	16	19	57.4525
55	1994	71	3	12	14	18	28.6835
56	1994	81	3	22	12	17	1.5270
57	1994	91	4	1	10	15	32.3086
58	1994	101	4	11	8	14	4.1342
59	1994	111	4	21	6	12	34.8325
60	1994	121	5	1	4	11	6.4004
61	1994	131	5	11	2	9	41.8890
62	1994	141	5	21	0	9	44.5558
63	1994	150	5	30	22	9	10.3070
64	1994	160	6	9	20	7	41.1494
65	1994	170	6	19	18	7	2.2814
66	1994	180	6	29	16	5	7.4584
67	1994	190	7	9	14	5	37.0854
68	1994	200	7	19	12	3	52.7000
69	1994	210	7	29	10	1	40.8128
70	1994	220	8	8	8	1	54.2819
71	1994	230	8	18	6	0	26.0245
72	1994	240	8	28	3	59	24.0284
73	1994	250	9	7	1	58	28.8223
74	1994	259	9	16	23	56	53.7396
75	1994	269	9	26	21	55	20.6543
76	1994	279	10	6	19	54	14.3036
77	1994	289	10	16	17	52	50.5665
78	1994	299	10	26	15	51	16.7542
79	1994	309	11	5	13	49	28.0787
80	1994	319	11	15	11	47	47.3348
81	1994	329	11	25	9	45	42.8579
82	1994	339	12	5	7	42	53.3003
83	1994	349	12	15	5	40	40.3690
84	1994	359	12	25	3	37	20.5523
85	1995	4	1	4	1	34	13.5733
86	1995	13	1	13	23	32	44.7083
