  Tick      DoY      hits
    1826   98.87090   1
    2213   98.92960   1
    2238   98.93340   1
    2658   98.99710   1
    3075   99.06030   1
    3088   99.06230   1
    3093   99.06310   1
    3559   99.13370   1
    3923   99.18890   1
    3953   99.19350   2
    3974   99.19660   1
    4355   99.25440   1
    4393   99.26020   1
    4808   99.32310   1
    4837   99.32750   1
    5441   99.41910   1
    5908   99.48990   1
    6285   99.54710   1
    6396   99.56390   2
    6397   99.56410   1
    6398   99.56420   1
    6408   99.56570   1
    6539   99.58560   1
    7398   99.71590   1
    8150   99.82990   1
    9551  100.04230   1
    9872  100.09100   1
    9924  100.09890   1
   10396  100.17050   1
   10857  100.24040   1
   12537  100.49510   1
   12560  100.49860   1
   12968  100.56050   1
   13331  100.61550   3
   13336  100.61630   2
   13337  100.61640   4
   13339  100.61680   1
   13343  100.61740   2
   13347  100.61800   1
   13348  100.61810   1
   14558  100.80160   1
   16830  101.14610   1
   16846  101.14860   1
   17176  101.19860   1
   17182  101.19950   1
   17187  101.20030   1
   17253  101.21030   1
   17330  101.22190   1
   17537  101.25330   1
   17596  101.26230   1
   19232  101.51040   1
   19243  101.51200   1
   19494  101.55010   1
   19925  101.61540   1
   20099  101.64180   1
   20120  101.64500   1
   20162  101.65140   1
   20526  101.70660   1
   21809  101.90110   1
   21840  101.90580   1
   22241  101.96660   1
   22247  101.96760   1
   22252  101.96830   1
   23351  102.13500   1
   23564  102.16730   1
   23570  102.16820   1
   23960  102.22730   1
   23997  102.23290   1
   24444  102.30070   1
   24484  102.30680   1
   24574  102.32040   1
   24932  102.37470   1
   25152  102.40810   1
   25243  102.42190   1
   25274  102.42660   1
   25277  102.42700   1
   25311  102.43220   1
   25466  102.45570   1
   25663  102.48560   1
   26293  102.58110   1
   26517  102.61510   1
   26591  102.62630   1
   26606  102.62850   1
   26828  102.66220   1
   27203  102.71910   1
   27448  102.75620   1
   27500  102.76410   1
   28320  102.88850   1
   28518  102.91850   1
   29180  103.01890   1
   29213  103.02390   1
   29242  103.02830   1
   29313  103.03900   1
   29605  103.08330   1
   29885  103.12580   1
   30010  103.14470   1
   30022  103.14660   1
   30049  103.15060   1
   30230  103.17810   1
   30376  103.20020   1
   30461  103.21310   1
   30480  103.21600   1
   31799  103.41600   1
