CRUISEINFO ,,,,,,,,,,
90,COUNTRY CODE,RUSSIA,,,,,,,,
224,PROJECT,DATA ARCHAEOLOGY AND RESCUE,,,,,,,,
1037,INSTITUTE,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,PLATFORM,,,,,,,,,
,CRUISE,,,,,,,,,
,REFERENCE,,,,,,,,,
1037,COUNTING,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
1037,VOUCHER,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,NUMBER,,,,,,,,,

STATION,5130,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,1,18,1975

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,
LONG END,33,39.4,,E,,,
BOTTOM DEPTH,65,m,,,,,
GEAR,Juday Net (Tropical or Large),,,,,,
MESH SIZE,0.168,MM,,,,,
MOUTH AREA,0.1,M2,,,,,
MOUTH DIAM,0.36,M,,,,,
PRESERVATIVE,FORMALIN,,,,,,
COMMENTS,UNDER ICE MESUREMENTS,,,,,,

DETAILS,DEPTH,TEMP,SAL,TAX CNT B0-10,TAX CNT B10-25,TAX CNT B25-65,TAX NAME
units,m,C,psu,#/M3,#/M3,#/M3,
decimal places,0,1,1,0,0,0,Name
,0,-1,26.1,10,3,2,ACARTIA LONGIREMIS   Female  Cop 6
,5,-1,26.8,0,0,0,ACARTIA LONGIREMIS   Male  Cop 6
,10,0.2,27.4,10,2,3,ACARTIA LONGIREMIS   Cop 
,15,0.8,28,0,0,0,ACARTIA LONGIREMIS   Juv 
,25,1.3,28.6,0,0,0,ACARTIA LONGIREMIS   Naup 
,50,1.3,28.6,0,1,0,AGLANTHA DIGITALE
,65,0.4,27.3,0,0,0,ASCIDIA Larvae
,,,,0,3,0,BIVALVIA larvae
,,,,1,0,2,CALANUS GLACIALIS   Male  Cop 6
,,,,1,0,0,CALANUS GLACIALIS   Female  Cop 6
,,,,0,0,1,CALANUS GLACIALIS   Cop 5
,,,,0,1,0,CIRRIPEDIA  Naup 
,,,,20,7,0,FRITILLARIA BOREALIS
,,,,5,7,1,GASTROPODA Larvae
,,,,0,3,8,METRIDIA LONGA   Female  Cop 6
,,,,2,10,36,METRIDIA LONGA   Male  Cop 6
,,,,0,1,3,METRIDIA LONGA   Cop 5
,,,,0,2,3,METRIDIA LONGA   Cop 4
,,,,4,1,4,METRIDIA LONGA   Cop 3
,,,,4,7,3,METRIDIA LONGA   Cop 2
,,,,2,5,1,METRIDIA LONGA   Cop 1
,,,,1,1,0,MICROSETELLA NORVEGICA   Cop 
,,,,1,0,0,OICOPLEURA VANHOFFENIS
,,,,50,0,0,OITHONA SIMILIS   Female  Cop 6
,,,,200,100,15,OITHONA SIMILIS   Cop 
,,,,50,13,0,OITHONA SIMILIS   Juv 
,,,,50,67,29,ONCAEA BOREALIS   Female  Cop 6
,,,,10,34,0,ONCAEA BOREALIS   Male  Cop 6
,,,,10,7,0,ONCAEA BOREALIS   Cop 
,,,,3,7,2,PSEUDOCALANUS MINUTUS   Female  Cop 6
,,,,0,34,29,PSEUDOCALANUS MINUTUS   Male  Cop 6
,,,,50,67,15,PSEUDOCALANUS MINUTUS   Cop 5
,,,,550,67,15,PSEUDOCALANUS MINUTUS   Cop 4
,,,,250,134,29,PSEUDOCALANUS MINUTUS   Cop 3
,,,,20,7,0,PSEUDOCALANUS MINUTUS   Cop 2
,,,,10,7,0,PSEUDOCALANUS MINUTUS   Cop 1,,,
,,,,1,1,1,SAGITTA ELEGANS,,,
STATION,5163,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,2,20,1975

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
GEAR,Juday Net (Tropical or Large),,,,,,,,,
MESH SIZE,0.168,MM,,,,,,,,
MOUTH AREA,0.1,M2,,,,,,,,
MOUTH DIAM,0.36,M,,,,,,,,
PRESERVATIVE,FORMALIN,,,,,,,,,
COMMENTS,UNDER ICE MESUREMENTS,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,TAX CNT B0-10,TAX CNT B10-25,TAX CNT B25-65,TAX NAME
units,m,C,psu,#/M3,#/M3,#/M3,
decimal places,0,1,1,0,0,0,Name
,0,-0.9,24.3,1,1,0,ACARTIA LONGIREMIS   Female  Cop 6
,5,-0.5,27.7,0,0,0,ACARTIA LONGIREMIS   Male  Cop 6
,10,-0.5,27.9,3,0,1,ACARTIA LONGIREMIS   Cop 
,15,0,28.1,0,0,0,ACARTIA LONGIREMIS   Juv 
,25,0.5,28.3,0,0,0,ACARTIA LONGIREMIS   Naup 
,50,0.5,28.8,0,1,1,AGLANTHA DIGITALE
,65,0.5,29.2,0,0,0,ASCIDIA Larvae
,,,,0,1,0,CALANUS GLACIALIS   Male  Cop 6
,,,,0,1,0,CALANUS GLACIALIS   Female  Cop 6
,,,,5,7,0,FRITILLARIA BOREALIS
,,,,5,7,1,GASTROPODA Larvae
,,,,0,1,3,METRIDIA LONGA   Female  Cop 6
,,,,1,5,10,METRIDIA LONGA   Male  Cop 6
,,,,0,1,1,METRIDIA LONGA   Cop 5
,,,,1,1,1,METRIDIA LONGA   Cop 4
,,,,3,11,6,METRIDIA LONGA   Cop 3
,,,,10,4,2,METRIDIA LONGA   Cop 2
,,,,0,2,0,METRIDIA LONGA   Cop 1
,,,,0,2,1,MICROSETELLA NORVEGICA   Cop 
,,,,0,1,0,OICOPLEURA VANHOFFENIS
,,,,0,7,0,OITHONA SIMILIS   Female  Cop 6
,,,,1,0,0,OITHONA SIMILIS   Male  Cop 6
,,,,150,100,0,OITHONA SIMILIS   Cop 
,,,,10,0,0,OITHONA SIMILIS   Juv 
,,,,50,27,16,ONCAEA BOREALIS   Female  Cop 6
,,,,20,13,0,ONCAEA BOREALIS   Male  Cop 6
,,,,10,7,3,ONCAEA BOREALIS   Cop 
,,,,0,1,0,POLYCHAETA Larvae
,,,,20,13,16,PSEUDOCALANUS MINUTUS   Female  Cop 6,,,
,,,,0,13,1,PSEUDOCALANUS MINUTUS   Male  Cop 6,,,
,,,,50,67,16,PSEUDOCALANUS MINUTUS   Cop 5,,,
,,,,100,13,16,PSEUDOCALANUS MINUTUS   Cop 4,,,
,,,,100,13,0,PSEUDOCALANUS MINUTUS   Cop 3,,,
,,,,20,7,0,PSEUDOCALANUS MINUTUS   Cop 2,,,
,,,,0,0,1,PSEUDOCALANUS MINUTUS   Naup ,,,
,,,,0,0,1,SAGITTA ELEGANS,,,
STATION,5195,,,,,,,,,
