"Table with row headers in column A and column headers in row 8, repeated in row 64. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,,,,,,,,,
"Table 2: Educational Attainment of the Population 15 Years and Over by Age, Nativity, and Year of Immigration: 2000",,,,,,,,,,,,,,,,,
Geographic area: United States,,,,,,,,,,,,,,,,,
"Hispanic or Latino, both sexes",,,,,,,,,,,,,,,,,
"(Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Age,Total,No schooling completed,Nursery school-4th grade,5th-6th grade,7th-8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",,,,,,,,
..Total ,"24,750,718","1,368,860","804,015","2,283,150","1,667,788","1,870,682","1,422,693","1,433,012","1,699,139",,,,,,,,
,,,,,,,,,,,,,,,,,
Native ,"11,823,585","268,587","156,451","294,059","641,793","795,042","862,527","888,593","698,674",,,,,,,,
.15 to 24 years ,"3,868,783","32,494","11,135","35,142","258,413","461,867","519,015","511,588","276,610",,,,,,,,
.25 to 34 years ,"2,695,794","29,628","11,334","33,609","61,196","92,575","112,581","139,095","154,928",,,,,,,,
.35 to 44 years ,"2,219,441","32,512","12,847","36,356","67,074","81,061","93,614","109,881","118,458",,,,,,,,
.45 to 54 years ,"1,419,972","35,757","20,956","48,606","69,729","58,790","53,717","59,256","66,774",,,,,,,,
.55 to 64 years ,"764,144","35,996","26,825","47,285","70,920","47,955","40,038","36,026","39,790",,,,,,,,
.65 to 74 years ,"540,482","54,083","40,031","55,013","65,873","34,318","29,634","22,184","27,494",,,,,,,
.75 and over ,"314,969","48,117","33,323","38,048","48,588","18,476","13,928","10,563","14,620",,,,,,,
,,,,,,,,,,,,,,,,
Foreign Born ,"12,927,133","1,100,273","647,564","1,989,091","1,025,995","1,075,640","560,166","544,419","1,000,465",,,,,,,
.15 to 24 years ,"2,611,558","114,334","60,087","307,529","228,829","333,096","237,354","240,401","228,099",,,,,,,
.25 to 34 years ,"3,764,681","234,204","118,675","565,883","281,766","369,408","144,712","153,500","314,243",,,,,,,
.35 to 44 years ,"3,077,464","255,379","156,482","513,381","224,452","212,778","93,228","89,110","218,966",,,,,,,
.45 to 54 years ,"1,726,348","196,380","131,099","299,677","135,968","89,382","44,652","36,273","114,466",,,,,,,
.55 to 64 years ,"901,323","135,339","87,551","155,475","73,839","38,502","21,354","14,713","63,997",,,,,,,
.65 to 74 years ,"526,982","98,013","57,861","90,052","47,271","20,062","11,651","6,444","38,263",,,,,,,
.75 and over ,"318,777","66,624","35,809","57,094","33,870","12,412","7,215","3,978","22,431",,,,,,,
,,,,,,,,,,,,,,,,
Immigrated before 1990 ,"7,560,385","686,646","418,977","1,112,745","579,372","509,384","291,925","287,634","569,460",,,,,,,
.15 to 24 years ,"638,015","12,145","4,083","19,457","37,635","62,417","72,309","78,400","59,058",,,,,,,
.25 to 34 years ,"1,790,155","100,334","47,258","229,951","128,323","162,282","77,972","87,720","150,917",,,,,,,
.35 to 44 years ,"2,252,950","183,377","112,514","372,266","167,890","154,644","70,595","69,528","158,531",,,,,,,
.45 to 54 years ,"1,395,959","151,550","104,709","238,658","111,682","71,098","36,505","30,431","92,291",,,,,,,,
.55 to 64 years ,"753,101","104,818","71,000","127,389","62,671","31,103","18,041","12,331","54,726",,,,,,,,
.65 to 74 years ,"449,764","78,040","48,163","75,374","40,776","16,892","10,174","5,636","33,944",,,,,,,,
.75 and over ,"280,441","56,382","31,250","49,650","30,395","10,948","6,329","3,588","19,993",,,,,,,,
,,,,,,,,,,,,,,,,,
Immigrated 1990-2000 ,"5,366,748","413,627","228,587","876,346","446,623","566,256","268,241","256,785","431,005",,,,,,,,
.15 to 24 years ,"1,973,543","102,189","56,004","288,072","191,194","270,679","165,045","162,001","169,041",,,,,,,,
.25 to 34 years ,"1,974,526","133,870","71,417","335,932","153,443","207,126","66,740","65,780","163,326",,,,,,,,
.35 to 44 years ,"824,514","72,002","43,968","141,115","56,562","58,134","22,633","19,582","60,435",,,,,,,,
.45 to 54 years ,"330,389","44,830","26,390","61,019","24,286","18,284","8,147","5,842","22,175",,,,,,,,
.55 to 64 years ,"148,222","30,521","16,551","28,086","11,168","7,399","3,313","2,382","9,271",,,,,,,,
.65 to 74 years ,"77,218","19,973","9,698","14,678","6,495","3,170","1,477",808,"4,319",,,,,,,,
.75 and over ,"38,336","10,242","4,559","7,444","3,475","1,464",886,390,"2,438",,,,,,,,
Note: - Represents zero or rounds to zero.,,,,,,,,,,,,,,,,,
"Internet release date: October, 2006",,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Census 2000",,,,,,,,,,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,,,,,,,,,
"Table 2: Educational Attainment of the Population 15 Years and Over by Age, Nativity, and Year of Immigration: 2000 (Continued)",,,,,,,,,,,,,,,,,
