Section P
September 1951 - July 1969
P-1 through P-____?

Public release photos of JPL projects, visitors to JPL, portraits and group photos of employees, social events, club activities, early facilities photos,  ...

There are 17 P-numbered photo albums ... when visiting the Archives to view photos, please request specific photo album numbers, such as photo album P1, or P17.

Dates seen in the index are the dates the photographs were entered into the Photo Lab index and filed.  This is not necessarily the date the photo was actually taken.

(U) - Unclassified


Photo Album P1  (Contains photograph numbers P-1 through P-____)

Date
Entered	Photo #	Description				

9-10-51		P-1			Brigadier General Simon and Dr. Lee DuBridge
10-2-51		P-2			Dr. William Pickering
10-2-51		P-3			Dr. Stosick
10-2-51		P-4			Section 15 office
10-2-51		P-5			V.C. Larsen and baseball team
10-1-51		P-6			New JPL cafeteria
10-2-51		P-7			Labor chart
9-27-51		P-8			Volleyball, bldg. 68, action photos
9-27-51		P-9AB		Horseshoe pitching team, wind tunnel area
9-27-51		P-10ABC		Cafeteria bldg. exterior
9-27-51		P-11		Bldg. 76 newspaper office
9-27-51		P-12		Solid propellants bldg.
9-27-51		P-13		Gas metering bldg.
9-27-51		P-14		Engineering bldg.
9-27-51		P-15		Missile assembly bldg.
			P-16
10-26-51	P-17		Cafeteria interior
			P-18
10-29-51	P-19		Meeting of club officers
10-31-51	P-20
11-23-51	P-21		Old car (1909)
12-7-51		P-22A-K		Bowling teams
12-8-51		P-23A-D		Christmas Dance
12-8-51		P-24A-D		Christmas Dance
12-22-51	P-25AB		Christmas party (children's, 1951)
12-22-51	P-26ABC		Christmas party (children's, 1951)
12-22-51	P-27ABC		Christmas party (children's, 1951)


1-3-52		P-28ABC		PBX operators and bldg.
1-3-52		P-29ABC		1952 council members
1-23-52		P-30A-E		Colonel Broberg presenting bars to daughter
1-25-52		P-31		Colonel Ebert and Bartel
1-25-52		P-32		Army officer instructors of training school
1-28-52		P-33		FOTS group
2-1-52		P-34		Safety drivers receiving awards
2-1-52		P-35		Transportation crew
2-20-52		P-36ABCD	JPL blood bank donations
2-20-52		P-37ABCD	JPL blood bank donations
2-23-52	P-38		FOTS group
2-27-52	P-39		Large group of Chemistry Section
2-28-52	P-40		JPL Rod and Gun Club
2-28-52	P-41		Client employees
2-27-52	P-42		Registration of voters
4-3-52		P-43		Officers of the JPL Recreation Club
4-3-52		P-44		Mrs. Lee Ploughe, JPL nurse
4-3-52		P-45		1941 old timers
4-3-52		P-46		JPL's 1952 baseball officers
4-11-52	P-47AB	JPL Motor Sport Club
5-2-52		P-48AB	Summer bowling officers and captains
5-5-52		P-49		Section 8 Telecomputing Group
5-5-52		P-50		Married couples
5-7-52		P-51		Winter Bowling League Cup winners
5-13-52	P-52		Mass spectrograph
5-13-52	P-53		Analytical chemistry lab
5-13-52	P-54		Physical chemistry lab
5-22-52	P-55		Section 7 group
5-27-52	P-56		Cal Tech Management Club officers


5-29-52	P-57		Baseball team members
6-2-52 P-58		Miss Guided Missile
5-29-52	P-59AB	JPL Motor Sports Club
5-28-52	P-60		Fathers and sons, mothers and daughters at JPL
6-16-52	P-61AB	Material lab (press)
6-16-52	P-62		Bldg. 111
6-16-52	P-63		Injector water test, hydro lab
6-16-52	P-64ABC	Motor installation at Pit F
6-16-52	P-65ABC	High speed camera and Dr. Bowersox
6-17-52	P-66A-D	Spring Dance
