table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,
"Table 2: Annual Estimates of the Population by Sex and Age for New Hampshire: April 1, 2000 to July 1, 2007",,,,,,,,,,
Sex and Age,Population Estimates,,,,,,,,"April 1, 2000",
,"July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"1,315,828","1,311,821","1,303,112","1,294,285","1,282,844","1,272,185","1,257,347","1,240,442","1,235,786","1,235,786"
.Under 5 years,"75,125","76,356","76,623","76,161","76,217","76,372","76,234","75,786","75,685","75,685"
.5 to 9 years,"78,400","79,217","79,922","81,976","83,527","85,388","86,792","88,280","88,537","88,537"
.10 to 14 years,"87,081","89,042","91,394","93,297","94,738","95,416","94,965","93,701","93,255","93,255"
.15 to 19 years,"93,910","93,910","92,937","91,280","89,701","88,294","87,338","87,121","86,688","86,688"
.20 to 24 years,"82,705","82,188","83,092","81,470","79,791","77,047","73,500","69,443","68,766","68,766"
.25 to 29 years,"76,353","74,858","70,557","69,211","67,988","68,291","69,048","70,954","71,355","71,355"
.30 to 34 years,"75,071","77,417","81,132","84,073","87,074","88,345","89,010","88,867","88,706","88,706"
.35 to 39 years,"93,774","95,465","96,205","98,076","101,041","104,427","107,092","109,426","109,654","109,654"
.40 to 44 years,"107,480","110,650","113,681","115,280","115,876","115,787","115,089","111,996","111,525","111,525"
.45 to 49 years,"116,169","115,761","113,019","110,621","107,855","105,213","101,861","98,911","98,117","98,117"
.50 to 54 years,"104,218","101,016","98,015","95,321","93,065","91,636","91,913","86,894","85,869","85,869"
.55 to 59 years,"89,730","89,964","85,231","80,720","76,449","72,584","65,587","63,189","62,664","62,664"
.60 to 64 years,"70,070","63,230","60,902","58,417","55,095","51,162","48,697","47,311","46,995","46,995"
.65 to 69 years,"47,690","45,506","44,443","43,727","42,316","41,609","41,437","41,144","41,143","41,143"
.70 to 74 years,"37,684","37,708","37,392","37,440","36,998","37,112","37,175","37,229","37,184","37,184"
.75 to 79 years,"31,969","32,179","32,174","32,060","31,461","31,234","30,735","30,718","30,593","30,593"
.80 to 84 years,"24,451","24,139","24,101","23,618","23,054","22,492","21,734","21,023","20,819","20,819"
.85 years and over,"23,948","23,215","22,292","21,537","20,598","19,776","19,140","18,449","18,231","18,231"
,,,,,,,,,,
.Under 18 years,"298,186","302,593","305,443","307,729","310,268","312,024","311,476","310,178","309,562","309,562"
.Under 5 years,"75,125","76,356","76,623","76,161","76,217","76,372","76,234","75,786","75,685","75,685"
.5 to 13 years,"147,182","149,605","151,852","155,612","159,158","161,794","163,321","163,520","163,314","163,314"
.14 to 17 years,"75,879","76,632","76,968","75,956","74,893","73,858","71,921","70,872","70,563","70,563"
.18 to 64 years,"851,900","846,481","837,267","828,174","818,149","807,938","795,650","781,701","778,254","778,254"
.18 to 24 years,"119,035","118,120","118,525","116,455","113,706","110,493","107,353","104,153","103,369","103,369"
.25 to 44 years,"352,678","358,390","361,575","366,640","371,979","376,850","380,239","381,243","381,240","381,240"
.45 to 64 years,"380,187","369,971","357,167","345,079","332,464","320,595","308,058","296,305","293,645","293,645"
.65 years and over,"165,742","162,747","160,402","158,382","154,427","152,223","150,221","148,563","147,970","147,970"
,,,,,,,,,,
.16 years and over,"1,056,521","1,047,714","1,035,478","1,023,714","1,009,342","996,495","980,790","964,738","960,593","960,593"
.18 years and over,"1,017,642","1,009,228","997,669","986,556","972,576","960,161","945,871","930,264","926,224","926,224"
.15 to 44 years,"529,293","534,488","537,604","539,390","541,471","542,191","541,077","537,807","536,694","536,694"
,,,,,,,,,,
.Median age (years),39.8,39.4,39.0,38.7,38.2,37.9,37.5,37.2,37.1,37.1
MALE,"649,299","647,201","642,435","637,818","632,481","626,599","618,795","610,122","607,687","607,687"
.Under 5 years,"38,255","38,918","39,111","38,945","39,172","39,171","39,137","39,051","39,006","39,006"
.5 to 9 years,"40,042","40,539","40,987","42,168","42,860","44,004","44,538","45,213","45,344","45,344"
.10 to 14 years,"44,800","45,668","46,904","47,949","48,525","48,711","48,470","47,728","47,510","47,510"
.15 to 19 years,"47,658","47,701","47,141","46,175","45,488","44,754","44,352","44,329","44,064","44,064"
.20 to 24 years,"42,196","41,974","42,224","41,324","40,363","38,826","36,867","34,719","34,353","34,353"
.25 to 29 years,"38,602","37,745","35,322","34,605","34,198","34,080","34,344","35,229","35,427","35,427"
.30 to 34 years,"37,539","38,644","40,639","41,840","43,427","44,171","44,385","44,083","44,002","44,002"
.35 to 39 years,"46,428","47,231","47,367","48,384","49,802","51,413","52,746","53,850","53,947","53,947"
.40 to 44 years,"53,336","54,933","56,521","57,281","57,668","57,584","57,282","55,942","55,707","55,707"
.45 to 49 years,"58,030","57,894","56,741","55,556","53,986","52,646","50,904","49,302","48,901","48,901"
.50 to 54 years,"52,201","50,526","48,860","47,508","46,448","45,654","45,889","43,414","42,892","42,892"
.55 to 59 years,"44,503","44,808","42,381","40,092","38,135","36,287","32,771","31,650","31,380","31,380"
.60 to 64 years,"34,638","31,072","30,000","28,792","27,066","25,116","23,940","23,182","23,020","23,020"
.65 to 69 years,"22,910","21,893","21,256","20,896","20,322","19,920","19,873","19,851","19,841","19,841"
.70 to 74 years,"17,461","17,459","17,356","17,375","17,082","17,034","16,874","16,766","16,724","16,724"
.75 to 79 years,"13,943","13,872","13,710","13,525","13,167","13,059","12,849","12,821","12,758","12,758"
.80 to 84 years,"9,389","9,257","9,220","9,021","8,779","8,474","8,134","7,855","7,762","7,762"
.85 years and over,"7,368","7,067","6,695","6,382","5,993","5,695","5,440","5,137","5,049","5,049"
,,,,,,,,,,
.Under 18 years,"152,620","154,879","156,457","157,750","158,982","159,929","159,559","158,959","158,653","158,653"
.Under 5 years,"38,255","38,918","39,111","38,945","39,172","39,171","39,137","39,051","39,006","39,006"
.5 to 13 years,"75,402","76,700","77,904","79,928","81,659","83,037","83,586","83,545","83,437","83,437"
.14 to 17 years,"38,963","39,261","39,442","38,877","38,151","37,721","36,836","36,363","36,210","36,210"
.18 to 64 years,"425,608","422,774","417,741","412,869","408,156","402,488","396,066","388,733","386,900","386,900"
.18 to 24 years,"60,331","59,921","59,910","58,811","57,426","55,537","53,805","52,081","51,624","51,624"
.25 to 44 years,"175,905","178,553","179,849","182,110","185,095","187,248","188,757","189,104","189,083","189,083"
.45 to 64 years,"189,372","184,300","177,982","171,948","165,635","159,703","153,504","147,548","146,193","146,193"
.65 years and over,"71,071","69,548","68,237","67,199","65,343","64,182","63,170","62,430","62,134","62,134"
,,,,,,,,,,
.16 years and over,"516,679","512,077","505,220","499,005","492,229","485,257","477,196","468,859","466,673","466,673"
.18 years and over,"496,679","492,322","485,978","480,068","473,499","466,670","459,236","451,163","449,034","449,034"
.15 to 44 years,"265,759","268,228","269,214","269,609","270,946","270,828","269,976","268,152","267,500","267,500"
,,,,,,,,,,
.Median age (years),38.9,38.4,38.1,37.8,37.4,37.1,36.8,36.4,36.4,36.4
FEMALE,"666,529","664,620","660,677","656,467","650,363","645,586","638,552","630,320","628,099","628,099"
.Under 5 years,"36,870","37,438","37,512","37,216","37,045","37,201","37,097","36,735","36,679","36,679"
.5 to 9 years,"38,358","38,678","38,935","39,808","40,667","41,384","42,254","43,067","43,193","43,193"
.10 to 14 years,"42,281","43,374","44,490","45,348","46,213","46,705","46,495","45,973","45,745","45,745"
.15 to 19 years,"46,252","46,209","45,796","45,105","44,213","43,540","42,986","42,792","42,624","42,624"
.20 to 24 years,"40,509","40,214","40,868","40,146","39,428","38,221","36,633","34,724","34,413","34,413"
.25 to 29 years,"37,751","37,113","35,235","34,606","33,790","34,211","34,704","35,725","35,928","35,928"
