market	freq_block	round_num	bid_amt	bidder_num	date	time	net_bid_amt	sort_col_1	sort_col_2
E005	A	129	210000	3060	11/25/97	13:30:27	210000	1	13
E005	A	129	210000	3056	11/25/97	13:30:34	136500	1	13
E005	B	129	371000	3060	11/25/97	13:30:27	371000	1	14
E005	B	129	371000	3056	11/25/97	13:30:34	241150	1	14
E034	B	129	124000	3060	11/25/97	13:30:27	124000	1	101
E042	B	129	61000	3060	11/25/97	13:30:27	61000	1	125
E072	B	129	21000	3078	11/25/97	13:32:56	13650	1	215
E141	A	129	26000	3060	11/25/97	13:30:27	26000	1	421
E145	B	129	71000	3060	11/25/97	13:30:27	71000	1	434
E145	C	129	307000	3085	11/25/97	13:30:16	199550	1	435
E153	B	129	923000	3060	11/25/97	13:30:27	923000	1	458
E153	C	129	899000	3060	11/25/97	13:30:27	899000	1	459
E155	B	129	173000	3085	11/25/97	13:30:16	112450	1	464
