SUMLEV,ST,CTY,STNAME,CTYNAME,TIME,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,24,001,Maryland,Allegany County,1,74930,37319,37611,3757,1965,1792,7805,4017,3788,3844,2048,1796,8405,4201,4204,61487,30355,31132,59524,29289,30235,31375,16779,14596,17617,8745,8872,13429,5310,8119,1667,423,1244,39.1,37.0,41.5
050,24,001,Maryland,Allegany County,2,74930,37319,37611,3757,1965,1792,7805,4017,3788,3844,2048,1796,8405,4201,4204,61487,30355,31132,59524,29289,30235,31375,16779,14596,17617,8745,8872,13429,5310,8119,1667,423,1244,39.1,37.0,41.5
050,24,001,Maryland,Allegany County,3,74819,37254,37565,3717,1944,1773,7735,3983,3752,3839,2045,1794,8464,4227,4237,61487,30346,31141,59528,29282,30246,31323,16741,14582,17697,8784,8913,13406,5303,8103,1689,433,1256,39.2,37.1,41.6
050,24,001,Maryland,Allegany County,4,74449,37091,37358,3685,1925,1760,7506,3866,3640,3837,2009,1828,8610,4319,4291,61344,30294,31050,59421,29291,30130,31184,16747,14437,17804,8789,9015,13323,5285,8038,1764,448,1316,39.4,37.2,41.8
050,24,001,Maryland,Allegany County,5,74059,36946,37113,3605,1888,1717,7358,3810,3548,3771,1990,1781,8824,4375,4449,61237,30281,30956,59325,29258,30067,30992,16648,14344,18010,8916,9094,13213,5226,7987,1882,502,1380,39.5,37.3,42.0
050,24,001,Maryland,Allegany County,6,73867,37042,36825,3544,1891,1653,7222,3736,3486,3795,2023,1772,8696,4420,4276,61265,30445,30820,59306,29392,29914,30787,16706,14081,18149,8998,9151,13243,5230,8013,1977,533,1444,39.7,37.3,42.4
050,24,001,Maryland,Allegany County,7,73999,37104,36895,3488,1846,1642,7125,3681,3444,3789,2038,1751,9028,4603,4425,61510,30558,30952,59597,29539,30058,31067,16827,14240,18159,8994,9165,13245,5253,7992,2102,588,1514,39.6,37.1,42.3
050,24,001,Maryland,Allegany County,8,73639,36935,36704,3412,1773,1639,7021,3646,3375,3737,2020,1717,9096,4543,4553,61359,30519,30840,59469,29496,29973,30889,16780,14109,18144,8987,9157,13279,5289,7990,2193,617,1576,39.7,37.2,42.4
050,24,003,Maryland,Anne Arundel County,1,489656,243677,245979,33083,16958,16125,63766,32547,31219,26787,13815,12972,39710,21746,17964,379133,187135,191998,366020,180357,185663,220160,112274,107886,116937,57749,59188,48820,20631,28189,4440,1210,3230,36.0,35.1,36.9
050,24,003,Maryland,Anne Arundel County,2,489656,243677,245979,33083,16958,16125,63766,32547,31219,26787,13815,12972,39710,21746,17964,379133,187135,191998,366020,180357,185663,220160,112274,107886,116937,57749,59188,48820,20631,28189,4440,1210,3230,36.0,35.1,36.9
050,24,003,Maryland,Anne Arundel County,3,491346,244608,246738,33237,17039,16198,63922,32629,31293,26994,13919,13075,40081,21954,18127,380389,187841,192548,367193,181021,186172,220397,112450,107947,117807,58196,59611,49065,20766,28299,4517,1245,3272,36.1,35.2,36.9
050,24,003,Maryland,Anne Arundel County,4,496993,247587,249406,33307,17089,16218,63880,32556,31324,27658,14258,13400,41379,22736,18643,385862,190795,195067,372148,183684,188464,221252,113004,108248,121639,60075,61564,49899,21242,28657,4741,1384,3357,36.4,35.4,37.3
050,24,003,Maryland,Anne Arundel County,5,502098,250268,251830,33542,17209,16333,63458,32429,31029,28273,14474,13799,43019,23753,19266,390859,193382,197477,376825,186156,190669,221511,113342,108169,125630,61947,63683,50735,21705,29030,4976,1506,3470,36.7,35.6,37.7
050,24,003,Maryland,Anne Arundel County,6,505028,251776,253252,33883,17413,16470,63023,32124,30899,28558,14610,13948,44133,24546,19587,393698,194881,198817,379564,187629,191935,219896,112615,107281,129342,63625,65717,51690,22272,29418,5289,1668,3621,37.0,35.9,38.0
050,24,003,Maryland,Anne Arundel County,7,508356,253424,254932,34213,17559,16654,62479,31820,30659,29556,15153,14403,45271,25217,20054,396545,196249,200296,382108,188892,193216,218492,112147,106345,132392,64980,67412,52891,22860,30031,5629,1805,3824,37.2,36.0,38.3
050,24,003,Maryland,Anne Arundel County,8,510878,254862,256016,34543,17654,16889,62261,31759,30502,29970,15303,14667,45897,25843,20054,398695,197599,201096,384104,190146,193958,217147,111798,105349,135228,66366,68862,54243,23503,30740,6043,2026,4017,37.3,36.1,38.5
050,24,005,Maryland,Baltimore County,1,754292,357347,396945,45252,23038,22214,92801,47397,45404,40310,20570,19740,64441,30969,33472,595881,276516,319365,575929,266342,309587,319372,153693,165679,176369,83474,92895,110335,44525,65810,12757,3577,9180,37.7,36.4,38.9
050,24,005,Maryland,Baltimore County,2,754292,357347,396945,45252,23038,22214,92801,47397,45404,40310,20570,19740,64441,30969,33472,595881,276516,319365,575929,266342,309587,319372,153693,165679,176369,83474,92895,110335,44525,65810,12757,3577,9180,37.7,36.4,38.9
050,24,005,Maryland,Baltimore County,3,756000,358263,397737,45205,23010,22195,92718,47354,45364,40507,20661,19846,64905,31229,33676,597587,277438,320149,577570,267238,310332,319629,153890,165739,177750,84139,93611,110525,44647,65878,12941,3664,9277,37.8,36.5,39.0
050,24,005,Maryland,Baltimore County,4,762644,361729,400915,45218,23016,22202,92533,47210,45323,41101,21065,20036,67094,32566,34528,604302,280920,323382,583792,270438,313354,320500,154582,165918,183022,86602,96420,111043,45013,66030,13569,4059,9510,38.0,36.7,39.2
050,24,005,Maryland,Baltimore County,5,769124,365038,404086,45371,23173,22198,91517,46645,44872,42018,21494,20524,69295,33965,35330,611085,284422,326663,590218,273726,316492,320870,155130,165740,188802,89324,99478,111830,45330,66500,14454,4468,9986,38.3,36.9,39.5
050,24,005,Maryland,Baltimore County,6,775902,368696,407206,46128,23569,22559,90587,46193,44394,42931,22013,20918,71632,35262,36370,617312,287791,329521,596256,276921,319335,321409,155774,165635,194306,91888,102418,112466,45647,66819,15419,4902,10517,38.5,37.0,39.7
050,24,005,Maryland,Baltimore County,7,781171,371327,409844,46805,23947,22858,89751,45724,44027,44131,22586,21545,73500,36204,37296,622103,290141,331962,600484,279070,321414,320924,155719,165205,199058,94094,104964,113286,46040,67246,16621,5409,11212,38.6,37.1,39.9
050,24,005,Maryland,Baltimore County,8,786113,373950,412163,47238,24170,23068,89288,45551,43737,44963,22899,22064,74837,37059,37778,626916,292711,334205,604624,281330,323294,320103,155581,164522,203944,96443,107501,114385,46583,67802,18134,6033,12101,38.8,37.2,40.2
050,24,009,Maryland,Calvert County,1,74563,36767,37796,5077,2528,2549,11886,6129,5757,5093,2668,2425,4768,2448,2320,54965,26735,28230,52507,25442,27065,32181,15727,16454,17477,8910,8567,6627,2772,3855,664,180,484,35.9,35.6,36.3
050,24,009,Maryland,Calvert County,2,74563,36767,37796,5077,2528,2549,11886,6129,5757,5093,2668,2425,4768,2448,2320,54965,26735,28230,52507,25442,27065,32181,15727,16454,17477,8910,8567,6627,2772,3855,664,180,484,35.9,35.6,36.3
050,24,009,Maryland,Calvert County,3,75188,37112,38076,5086,2533,2553,11950,6166,5784,5153,2698,2455,4845,2502,2343,55483,27021,28462,52999,25715,27284,32425,15869,16556,17744,9046,8698,6657,2792,3865,675,185,490,36.0,35.6,36.4
050,24,009,Maryland,Calvert County,4,77637,38291,39346,5041,2508,2533,11927,6143,5784,5417,2789,2628,5629,2907,2722,57947,28222,29725,55252,26851,28401,33687,16527,17160,18747,9537,9210,6858,2873,3985,740,212,528,36.3,35.9,36.7
050,24,009,Maryland,Calvert County,5,80878,39898,40980,5106,2541,2565,11848,6076,5772,5658,2942,2716,6525,3354,3171,61057,29791,31266,58266,28339,29927,35393,17384,18009,19927,10117,9810,7143,3008,4135,817,240,577,36.4,35.9,36.9
050,24,009,Maryland,Calvert County,6,84103,41486,42617,5162,2579,2583,11835,6002,5833,5814,3052,2762,7359,3808,3551,64149,31334,32815,61292,29853,31439,36992,18216,18776,21121,10703,10418,7529,3204,4325,874,277,597,36.5,36.0,37.0
050,24,009,Maryland,Calvert County,7,86293,42549,43744,5294,2664,2630,11608,5827,5781,6031,3158,2873,7977,4132,3845,66342,32443,33899,63360,30900,32460,37990,18766,19224,22085,11140,10945,7763,3336,4427,963,312,651,36.5,35.9,37.1
050,24,009,Maryland,Calvert County,8,87925,43341,44584,5370,2689,2681,11378,5725,5653,6164,3215,2949,8269,4272,3997,68053,33319,34734,65013,31712,33301,38561,19127,19434,23034,11544,11490,8037,3478,4559,1042,341,701,36.6,35.9,37.2
050,24,011,Maryland,Caroline County,1,29772,14571,15201,1843,932,911,4258,2207,2051,1877,1009,868,2279,1149,1130,22723,10932,11791,21794,10423,11371,12283,6131,6152,6892,3372,3520,4031,1685,2346,492,142,350,37.0,35.9,38.2
050,24,011,Maryland,Caroline County,2,29772,14571,15201,1843,932,911,4258,2207,2051,1877,1009,868,2279,1149,1130,22723,10932,11791,21794,10423,11371,12283,6131,6152,6892,3372,3520,4031,1685,2346,492,142,350,37.0,35.9,38.2
050,24,011,Maryland,Caroline County,3,29849,14620,15229,1837,929,908,4255,2207,2048,1895,1021,874,2306,1162,1144,22799,10978,11821,21862,10463,11399,12315,6153,6162,6953,3404,3549,4022,1682,2340,498,145,353,37.1,36.0,38.2
050,24,011,Maryland,Caroline County,4,30018,14707,15311,1837,928,909,4173,2155,2018,1884,994,890,2463,1289,1174,23073,11130,11943,22124,10630,11494,12388,6233,6155,7133,3459,3674,4017,1682,2335,525,156,369,37.3,36.1,38.5
050,24,011,Maryland,Caroline County,5,30340,14878,15462,1817,921,896,4128,2129,1999,1913,1003,910,2575,1382,1193,23441,11328,12113,22482,10825,11657,12526,6318,6208,7350,3561,3789,4037,1700,2337,531,158,373,37.5,36.3,38.7
050,24,011,Maryland,Caroline County,6,30899,15155,15744,1893,943,950,4021,2060,1961,1961,1023,938,2732,1490,1242,23976,11630,12346,23024,11129,11895,12821,6490,6331,7586,3668,3918,4056,1723,2333,535,154,381,37.5,36.3,38.7
050,24,011,Maryland,Caroline County,7,31088,15213,15875,1988,929,1059,3857,1995,1862,2034,1057,977,2754,1510,1244,24182,11740,12442,23209,11232,11977,12828,6525,6303,7803,3751,4052,4077,1736,2341,571,167,404,37.6,36.2,38.8
