-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    ECMWF_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
MAC1        49718.000    1995     1     1     0
MAC1        52274.750    2001    12    31    18
MAC1     -3464038.501  1334172.763 -5169224.323
MAC1          -54.500      158.936       -6.766
MAC1     NORTH_Offset  EAST_Offset    UP_Offset
49718.00    -0.235756     0.040142     0.112510
49718.25    -0.294385     0.073045     0.239075
49718.50    -0.294505     0.095837     0.043736
49718.75    -0.242655     0.071949     0.045882
49719.00    -0.233528     0.065357     0.002225
49719.25    -0.280438     0.119225     0.093998
49719.50    -0.218636     0.147285    -0.050643
49719.75    -0.166908     0.127161    -0.001954
49720.00    -0.150066     0.097639    -0.058072
49720.25    -0.197468     0.142024     0.006121
49720.50    -0.159463     0.178746    -0.082795
49720.75    -0.134384     0.138569    -0.046323
49721.00    -0.182067     0.085434    -0.062996
49721.25    -0.240447     0.092393     0.037515
49721.50    -0.259641     0.100029    -0.056056
49721.75    -0.283089     0.022860    -0.022554
49722.00    -0.345184    -0.044518    -0.009872
49722.25    -0.451607    -0.064789     0.104782
49722.50    -0.461046    -0.065279     0.010171
49722.75    -0.470327    -0.140725     0.071393
49723.00    -0.508250    -0.188661     0.042800
49723.25    -0.570311    -0.199063     0.045331
49723.50    -0.560096    -0.219773    -0.111631
49723.75    -0.504997    -0.298489    -0.107743
49724.00    -0.477017    -0.383714    -0.160323
49724.25    -0.501950    -0.384491    -0.136100
49724.50    -0.445086    -0.359536    -0.255911
49724.75    -0.374927    -0.377476    -0.236099
49725.00    -0.373616    -0.384945    -0.270868
49725.25    -0.356526    -0.304252    -0.166468
49725.50    -0.298497    -0.228681    -0.266202
49725.75    -0.230202    -0.196138    -0.186932
49726.00    -0.238632    -0.175464    -0.243573
49726.25    -0.256225    -0.101070    -0.138117
49726.50    -0.224669    -0.048156    -0.256762
49726.75    -0.149958    -0.037913    -0.182088
49727.00    -0.120650    -0.040063    -0.178364
49727.25    -0.158382     0.017630    -0.096844
49727.50    -0.114904     0.052430    -0.224291
49727.75    -0.066833     0.010145    -0.157908
49728.00    -0.081610    -0.038215    -0.220598
49728.25    -0.141756    -0.018327    -0.126502
49728.50    -0.123282     0.004453    -0.209243
49728.75    -0.096997    -0.028767    -0.102734
49729.00    -0.092848    -0.056470    -0.074932
49729.25    -0.112898    -0.015906     0.089342
49729.50    -0.096598     0.025483    -0.028785
49729.75    -0.059119    -0.003642    -0.010347
49730.00    -0.068492    -0.024100    -0.028353
49730.25    -0.106807     0.011806     0.033590
49730.50    -0.081130     0.039527    -0.102241
49730.75    -0.045184     0.002573    -0.064904
49731.00    -0.066886    -0.053247    -0.111924
49731.25    -0.133060    -0.059332     0.021925
49731.50    -0.143932    -0.055298    -0.071756
49731.75    -0.124028    -0.092291     0.008753
49732.00    -0.170032    -0.143658     0.010988
49732.25    -0.231794    -0.139446     0.157989
49732.50    -0.203027    -0.138199     0.089288
49732.75    -0.177191    -0.160358     0.183267
49733.00    -0.185666    -0.198488     0.171505
49733.25    -0.224420    -0.170765     0.309111
