"tbl"	"quart"	"origincty"	"origin"	"markets"	"cur_passengers"	"cur_fare"	"cur_yield"	"cur_distance"	"ly_passengers"	"ly_fare"	"ly_yield"	"ly_distance"
"Table 2"	200604	"01270"	"Akron/Canton, OH"	5	121380.00	117.07	18.05	648.37	137510.00	120.65	19.41	621.42
"Table 2"	200604	"01580"	"Albany, NY"	6	219080.00	144.79	15.27	947.74	231570.00	130.56	13.47	968.93
"Table 2"	200604	"01680"	"Albuquerque, NM"	18	745490.00	158.61	18.81	843.08	752380.00	149.69	17.81	840.29
"Table 2"	200604	"05850"	"Atlanta, GA"	66	5430640.00	173.87	20.63	842.70	5476060.00	168.75	19.93	846.61
"Table 2"	200604	"05870"	"Atlantic City, NJ"	5	148620.00	125.79	14.72	854.20	119470.00	129.56	14.98	864.84
"Table 2"	200604	"06100"	"Austin, TX"	24	1079850.00	180.64	17.66	1022.68	1012770.00	174.98	17.52	998.26
"Table 2"	200604	"07220"	"Baltimore, MD"	50	3243080.00	136.03	14.04	968.85	3127580.00	132.19	13.77	959.85
"Table 2"	200604	"11030"	"Birmingham, AL"	8	255550.00	163.15	23.12	705.59	266510.00	154.60	21.05	734.34
"Table 2"	200604	"11800"	"Boise, ID"	8	353100.00	114.36	24.10	474.36	341720.00	104.79	22.83	458.90
"Table 2"	200604	"12200"	"Boston, MA"	47	4236360.00	179.84	15.47	1162.00	4014200.00	175.75	14.44	1216.53
"Table 2"	200604	"13730"	"Buffalo, NY"	13	643300.00	122.91	14.43	851.28	655860.00	118.00	14.46	815.74
"Table 2"	200604	"14070"	"Glendale/Burbank, CA"	12	1131010.00	122.02	20.85	585.26	1147290.00	120.38	20.00	601.87
"Table 2"	200604	"17960"	"Charlotte, NC"	33	1616050.00	173.89	20.54	846.38	1231380.00	188.89	22.43	841.98
"Table 2"	200604	"18500"	"Chicago, IL"	74	9233800.00	149.88	16.11	930.25	9045730.00	149.00	15.98	932.34
"Table 2"	200604	"19270"	"Cincinnati, OH"	19	495790.00	268.90	30.25	888.86	580500.00	230.14	26.21	877.90
"Table 2"	200604	"19770"	"Cleveland, OH"	28	1349130.00	163.47	18.14	900.70	1380110.00	151.76	16.91	897.21
"Table 2"	200604	"20410"	"Colorado Springs, CO"	5	104200.00	165.02	20.37	810.01	105700.00	182.07	21.71	838.58
"Table 2"	200604	"20570"	"Columbus, OH"	20	941120.00	145.94	17.47	835.24	811360.00	163.83	18.61	880.33
"Table 2"	200604	"23210"	"Dallas/Ft. Worth, TX"	67	5782070.00	171.06	19.31	885.64	5435560.00	176.99	20.18	876.91
"Table 2"	200604	"23680"	"Dayton, OH"	8	234950.00	153.09	19.77	774.35	235210.00	148.91	19.93	746.89
"Table 2"	200604	"24090"	"Denver, CO"	55	4398550.00	164.32	16.17	1015.64	4027560.00	176.19	16.91	1041.93
"Table 2"	200604	"24260"	"Detroit, MI"	39	2959230.00	159.85	16.53	967.02	2727400.00	171.21	17.65	969.85
"Table 2"	200604	"26930"	"El Paso, TX"	8	345290.00	132.94	21.52	617.61	341740.00	128.43	21.03	610.70
"Table 2"	200604	"29420"	"Ft. Lauderdale, FL"	42	3414400.00	149.77	12.95	1156.03	3412110.00	136.71	11.71	1167.03
"Table 2"	200604	"29540"	"Ft. Myers, FL"	23	1245400.00	148.92	13.56	1097.97	1220290.00	141.67	12.82	1105.03
"Table 2"	200604	"35510"	"Hartford, CT/Springfield, MA"	24	970460.00	181.19	16.00	1132.33	1096410.00	156.61	13.61	1150.52
"Table 2"	200604	"37320"	"Houston, TX"	59	4234520.00	163.20	17.33	941.71	4096300.00	162.74	17.33	938.74
"Table 2"	200604	"38490"	"Indianapolis, IN"	26	1110320.00	157.97	15.82	998.51	1183300.00	150.60	15.15	993.63
"Table 2"	200604	"40140"	"Jacksonville, FL"	17	777060.00	145.70	18.48	788.31	682290.00	146.72	18.54	791.04
"Table 2"	200604	"42650"	"Kansas City, MO"	35	1784610.00	148.34	16.78	883.63	1631790.00	154.19	17.32	889.94
"Table 2"	200604	"48880"	"Las Vegas, NV"	72	6615320.00	149.80	12.81	1168.53	6672400.00	140.80	12.12	1160.81
"Table 2"	200604	"50670"	"Little Rock, AR"	3	121550.00	117.56	30.08	390.72	130930.00	110.57	29.02	380.93
"Table 2"	200604	"51200"	"Long Beach, CA"	11	542490.00	150.58	11.70	1286.69	588830.00	139.84	9.05	1543.94
"Table 2"	200604	"51210"	"Islip/Long Island, NY"	8	354080.00	128.32	12.70	1010.05	364890.00	112.39	11.93	942.05
"Table 2"	200604	"51410"	"Los Angeles, CA"	55	6172250.00	194.03	13.31	1457.00	6087970.00	179.78	12.41	1448.35
"Table 2"	200604	"51510"	"Louisville, KY"	9	283800.00	148.43	19.49	761.29	292220.00	145.04	19.15	757.31
"Table 2"	200604	"51640"	"Lubbock, TX"	3	138430.00	103.37	28.51	362.54	144500.00	97.18	27.26	356.46
"Table 2"	200604	"53970"	"Manchester, NH"	9	444290.00	128.21	14.80	865.77	499640.00	112.30	12.90	870.39
"Table 2"	200604	"57180"	"Memphis, TN"	11	365920.00	207.59	27.21	762.74	362870.00	206.48	27.34	755.12
"Table 2"	200604	"57560"	"Miami, FL"	26	1703380.00	173.49	14.29	1213.70	1643910.00	163.56	13.35	1224.31
"Table 2"	200604	"57650"	"Midland/Odessa, TX"	2	102100.00	110.07	29.16	377.40	100920.00	101.39	27.36	370.54
