                                                                     TABLE 1
                                          AGGREGATE RESERVES OF DEPOSITORY INSTITUTIONS AND THE MONETARY BASE
                                          ADJUSTED FOR CHANGES IN RESERVE REQUIREMENTS, MILLIONS OF DOLLARS                   February  5, 2009
               ----------------------SEASONALLY ADJUSTED----------------------  --------------------NOT SEASONALLY ADJUSTED--------------------
                                            NON-                                                             NON-
                               NON-       BORROWED                                              NON-       BORROWED
                  TOTAL      BORROWED     RESERVES     REQUIRED     MONETARY       TOTAL      BORROWED     RESERVES     REQUIRED     MONETARY
     DATE       RESERVES     RESERVES    PLUS EXT CR   RESERVES       BASE       RESERVES     RESERVES    PLUS EXT CR   RESERVES       BASE
 -----------   -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------
 1959-Jan.        11112        10560        10560        10614        40425        11263        10711        10711        10765        40656  
      Feb.        11129        10624        10624        10675        40605        11068        10563        10563        10614        40224  
      Mar.        11081        10482        10482        10621        40615        10965        10365        10365        10504        40205  
      Apr.        11116        10424        10424        10684        40694        11112        10420        10420        10680        40409  
      May         11058        10317        10317        10637        40731        11014        10273        10273        10593        40485  
      June        10972        10043        10043        10566        40750        10935        10005        10005        10528        40649  
      July        11109        10148        10148        10693        40896        11094        10132        10132        10678        41062  
      Aug.        11168        10177        10177        10720        40992        11047        10056        10056        10599        40962  
      Sep.        11128        10202        10202        10686        41034        11069        10143        10143        10627        40967  
      Oct.        11057        10150        10150        10616        40903        11064        10157        10157        10623        40945  
      Nov.        11052        10194        10194        10609        40822        11092        10233        10233        10648        41134  
      Dec.        11109        10168        10168        10603        40880        11343        10402        10402        10837        41766  
 1960-Jan.        11081        10194        10194        10567        40794        11271        10384        10384        10757        41015  
      Feb.        10884        10074        10074        10430        40666        10827        10017        10017        10372        40271  
      Mar.        10796        10155        10155        10373        40616        10685        10044        10044        10262        40212  
      Apr.        10767        10161        10161        10341        40621        10737        10131        10131        10311        40329  
      May         10840        10344        10344        10396        40639        10795        10299        10299        10350        40374  
      June        10885        10451        10451        10406        40689        10857        10422        10422        10377        40597  
      July        10994        10615        10615        10493        40794        10983        10604        10604        10482        40944  
      Aug.        11078        10782        10782        10536        40895        10964        10668        10668        10422        40841  
      Sep.        11147        10932        10932        10520        41040        11094        10879        10879        10467        40991  
      Oct.        11216        11049        11049        10554        41097        11226        11058        11058        10563        41114  
      Nov.        11299        11166        11166        10556        41130        11337        11204        11204        10595        41430  
      Dec.        11247        11172        11172        10503        40977        11480        11406        11406        10736        41864  
 1961-Jan.        11324        11259        11259        10553        40960        11510        11445        11445        10739        41158  
      Feb.        11229        11096        11096        10580        40945        11172        11039        11039        10523        40542  
      Mar.        11108        11038        11038        10563        40851        11005        10935        10935        10460        40449  
      Apr.        11123        11066        11066        10507        40823        11049        10992        10992        10433        40510  
      May         11035        10940        10940        10480        40791        10977        10882        10882        10422        40503  
      June        11087        11024        11024        10497        40902        11075        11012        11012        10485        40818  
      July        11124        11070        11070        10508        40980        11111        11057        11057        10495        41110  
      Aug.        11234        11169        11169        10655        41227        11144        11079        11079        10565        41170  
      Sep.        11289        11251        11251        10709        41417        11238        11201        11201        10659        41360  
      Oct.        11413        11342        11342        10881        41651        11427        11357        11357        10895        41654  
      Nov.        11482        11384        11384        10891        41782        11528        11430        11430        10937        42084  
      Dec.        11499        11366        11366        10915        41853        11738        11604        11604        11154        42758  
 1962-Jan.        11490        11403        11403        10867        41864        11682        11595        11595        11059        42059  
      Feb.        11301        11233        11233        10799        41810        11236        11169        11169        10734        41387  
      Mar.        11259        11170        11170        10788        41923        11159        11070        11070        10687        41517  
      Apr.        11330        11258        11258        10838        42096        11241        11169        11169        10749        41770  
      May         11384        11323        11323        10867        42194        11298        11237        11237        10781        41891  
      June        11328        11226        11226        10855        42259        11314        11212        11212        10841        42176  
      July        11394        11302        11302        10860        42398        11395        11304        11304        10861        42530  
      Aug.        11355        11231        11231        10826        42491        11261        11137        11137        10731        42429  
      Sep.        11383        11303        11303        10893        42537        11352        11271        11271        10861        42479  
      Oct.        11450        11387        11387        10972        42700        11473        11410        11410        10996        42699  
      Nov.        11492        11372        11372        10936        42861        11525        11404        11404        10968        43169  
      Dec.        11604        11344        11344        11033        42957        11831        11571        11571        11260        43893  
 1963-Jan.        11567        11421        11421        11062        43008        11761        11615        11615        11256        43215  
      Feb.        11456        11290        11290        10995        43155        11394        11229        11229        10933        42710  
      Mar.        11404        11255        11255        10970        43289        11317        11169        11169        10883        42873  
      Apr.        11449        11319        11319        10992        43444        11357        11227        11227        10900        43107  
      May         11426        11216        11216        10996        43586        11352        11141        11141        10922        43274  
      June        11398        11139        11139        10981        43780        11410        11152        11152        10993        43702  
      July        11530        11232        11232        11075        44058        11550        11252        11252        11096        44193  
      Aug.        11484        11155        11155        11039        44149        11328        10999        10999        10883        44088  
      Sep.        11503        11184        11184        11075        44339        11482        11164        11164        11054        44286  
      Oct.        11457        11137        11137        11060        44444        11464        11144        11144        11067        44454  
      Nov.        11547        11198        11198        11106        44744        11567        11219        11219        11126        45055  
      Dec.        11730        11397        11397        11239        45003        11942        11609        11609        11452        45997  
 1964-Jan.        11643        11369        11369        11204        45042        11865        11590        11590        11425        45270  
      Feb.        11547        11261        11261        11150        45112        11458        11172        11172        11061        44638  
      Mar.        11563        11285        11285        11177        45371        11492        11215        11215        11106        44941  
      Apr.        11537        11326        11326        11185        45470        11472        11261        11261        11119        45126  
      May         11523        11263        11263        11169        45651        11436        11175        11175        11081        45325  
      June        11595        11326        11326        11220        45959        11626        11358        11358        11252        45876  
      July        11651        11387        11387        11275        46143        11673        11409        11409        11297        46314  
      Aug.        11795        11480        11480        11374        46410        11624        11309        11309        11203        46325  
      Sep.        11863        11518        11518        11432        46714        11847        11501        11501        11416        46658  
      Oct.        11888        11567        11567        11490        46823        11876        11555        11555        11478        46865  
      Nov.        11998        11598        11598        11591        47106        11972        11571        11571        11564        47424  
      Dec.        12011        11747        11747        11605        47161        12232        11968        11968        11826        48209  
 1965-Jan.        11952        11653        11653        11537        47281        12192        11892        11892        11777        47534  
      Feb.        11883        11479        11479        11472        47500        11844        11439        11439        11432        46997  
      Mar.        11884        11472        11472        11518        47584        11835        11423        11423        11469        47113  
      Apr.        12043        11571        11571        11701        47721        11957        11486        11486        11616        47395  
      May         11912        11417        11417        11578        47799        11910        11415        11415        11576        47443  
      June        12005        11467        11467        11643        48061        12058        11521        11521        11696        47940  
      July        12073        11544        11544        11720        48281        12125        11597        11597        11773        48499  
      Aug.        12079        11531        11531        11682        48453        11901        11354        11354        11505        48351  
      Sep.        12071        11517        11517        11662        48712        12002        11448        11448        11592        48655  
      Oct.        12118        11630        11630        11759        49029        12096        11608        11608        11737        49084  
      Nov.        12087        11655        11655        11735        49234        12046        11614        11614        11694        49552  
      Dec.        12316        11872        11872        11892        49620        12563        12120        12120        12140        50714  
 1966-Jan.        12295        11875        11875        11916        49850        12566        12146        12146        12187        50130  
      Feb.        12193        11711        11711        11846        50054        12141        11660        11660        11794        49519  
      Mar.        12164        11604        11604        11822        50171        12095        11535        11535        11754        49675  
      Apr.        12258        11621        11621        11903        50439        12289        11653        11653        11934        50101  
      May         12263        11575        11575        11922        50591        12203        11516        11516        11862        50203  
      June        12256        11549        11549        11901        50754        12272        11565        11565        11916        50639  
      July        12371        11629        11629        11993        51019        12418        11677        11677        12040        51244  
      Aug.        12165        11430        11430        11798        50989        11988        11252        11252        11620        50867  
      Sep.        12229        11460        11460        11858        51154        12142        11373        11373        11771        51102  
      Oct.        12199        11465        11465        11867        51200        12200        11466        11466        11868        51251  
      Nov.        12205        11598        11598        11820        51422        12161        11553        11553        11776        51747  
      Dec.        12223        11690        11690        11884        51565        12497        11965        11965        12158        52706  
 1967-Jan.        12334        11924        11924        11931        51876        12610        12200        12200        12207        52162  
      Feb.        12280        11916        11916        11911        52173        12234        11871        11871        11866        51614  
      Mar.        12438        12237        12237        12024        52494        12374        12174        12174        11960        51987  
      Apr.        12488        12342        12342        12138        52517        12473        12327        12327        12123        52154  
      May         12418        12329        12329        12053        52682        12342        12252        12252        11977        52270  
      June        12457        12351        12351        12104        52867        12406        12300        12300        12054        52770  
      July        12722        12607        12607        12304        53165        12722        12607        12607        12304        53380  
      Aug.        12678        12598        12598        12313        53347        12492        12412        12412        12127        53241  
      Sep.        12846        12758        12758        12504        53670        12746        12657        12657        12404        53599  
      Oct.        13088        12959        12959        12752        54044        13053        12925        12925        12718        54090  
      Nov.        13131        12999        12999        12773        54241        13041        12910        12910        12683        54613  
      Dec.        13180        12952        12952        12805        54579        13440        13212        13212        13065        55762  
 1968-Jan.        13239        12993        12993        12852        54892        13540        13294        13294        13153        55193  
      Feb.        13188        12815        12815        12801        55171        13186        12814        12814        12800        54607  
      Mar.        13186        12527        12527        12849        55436        13117        12457        12457        12779        54883  
      Apr.        13117        12432        12432        12782        55692        13164        12479        12479        12828        55296  
      May         13130        12389        12389        12771        55872        13044        12303        12303        12684        55488  
      June        13251        12557        12557        12923        56323        13201        12507        12507        12873        56193  
      July        13455        12928        12928        13105        56626        13387        12860        12860        13036        56836  
      Aug.        13440        12875        12875        13110        56976        13250        12685        12685        12920        56920  
      Sep.        13435        12931        12931        13074        57160        13245        12742        12742        12884        57034  
      Oct.        13529        13086        13086        13283        57477        13546        13103        13103        13301        57535  
      Nov.        13649        13104        13104        13340        57887        13582        13037        13037        13274        58337  
      Dec.        13767        13021        13021        13341        58357        13845        13099        13099        13419        59578  
 1969-Jan.        13629        12893        12893        13383        58597        14366        13630        13630        14120        58927  
      Feb.        13714        12879        12879        13460        58917        13913        13077        13077        13659        58366  
      Mar.        13653        12751        12751        13434        58999        13548        12646        12646        13329        58359  
      Apr.        13471        12468        12468        13304        59062        13565        12561        12561        13398        58635  
