Ophelia                  20050909I1
 
  TIME       Lat       Lon     Head   Track      GnSpd     TAS    GeoAl    Press     WndDr     WndSp   Tempr    Dewpt   D Val     PrAlt      JW    VtWnd     Pitch     Roll                                      
 HHMMSS     Deg N     Deg W     Deg    Deg        m/s       m/s      m       mb       Deg       m/s      C        C       m         m       g/m3      m/s      Deg      Deg                             
 104010     27.842   82.525   220.30   219.70      9.5      8.9      1.0   1010.5   331.40     4.10    25.31    21.30    -22.3     23.0    0.000     0.20    -0.10    -0.10                              
 104020     27.842   82.527   220.80   220.30      8.6      8.3      1.0   1010.3   327.60     3.60    25.45    21.20    -23.4     24.0    0.000     0.10    -0.30     0.00                              
 104030     27.842   82.527   220.00   219.60      9.0      3.2      1.0   1010.6    24.60     6.40    25.51    21.30    -21.1     22.0    0.000     0.00    -0.50     0.20                              
 104040     27.840   82.527   220.60   219.90      9.6      6.9      1.0   1010.6   355.50     5.40    25.52    21.30    -21.4     22.0    0.000     0.30    -0.50     0.00                              
 104050     27.840   82.528   220.00   219.10      9.9      1.5      1.0   1010.7    33.10     8.90    25.60    21.40    -20.1     21.0    0.000     0.10    -0.70     0.00                              
 104100     27.840   82.528   220.10   219.30      9.4      9.4      1.0   1010.5   321.70     3.90    25.47    21.30    -22.1     23.0    0.000     1.10    -0.30     0.10                              
 104110     27.838   82.528   220.80   219.70      9.4      6.1      1.0   1010.6     2.20     5.60    25.54    21.40    -20.9     22.0    0.000     0.40    -0.60     0.10                              
 104120     27.838   82.530   220.60   219.60      9.5      6.3      1.0   1010.6   359.90     5.50    25.47    21.30    -20.8     22.0    0.000     0.20    -0.60     0.10                              
 104130     27.837   82.530   220.20   219.30      8.5      1.5      1.0   1010.6    40.60     8.00    25.58    21.40    -21.5     22.0    0.000     1.40    -0.60     0.10                              
 104140     27.837   82.532   246.20   241.60      6.2      1.5      1.0   1010.5    63.90     5.30    25.68    21.30    -22.3     23.0    0.000     0.00    -0.70     0.00                              
 104150     27.837   82.532   300.60   296.90      5.5     11.0      1.0   1010.5   332.60     5.60    25.68    21.40    -21.7     23.0    0.000     0.40    -0.70    -0.30                              
 104200     27.837   82.532   310.90   310.10      5.6     10.5      1.0   1010.6   355.00     5.70    25.77    21.40    -21.5     22.0    0.000     0.40    -0.80     0.00                              
 104210     27.838   82.532   315.20   312.50      4.6      7.6      1.0   1010.7   347.70     3.00    25.73    21.40    -20.3     21.0    0.000     0.20    -0.40     0.10                              
 104220     27.838   82.532    38.50    39.50      3.1      1.5      1.0   1010.6   253.10     2.50    25.66    21.50    -21.1     22.0    0.000     0.10    -0.80     0.00                              
 104230     27.838   82.532    39.80   155.10      0.2      1.5      1.0   1010.6   357.40     1.60    25.65    21.30    -21.3     22.0    0.000    -0.30    -0.80     0.00                              
 104240     27.838   82.532    39.80    41.40     11.6     14.1      1.0   1010.7   333.70     4.70    25.53    21.40    -20.6     22.0    0.000    -0.30    -0.80     0.00                              
 104250     27.840   82.530    40.50    41.10     32.5     35.6      1.0   1010.5   343.70     5.20    25.38    21.50    -21.6     23.0    0.000     0.60    -1.00     0.10                              
 104300     27.842   82.528    40.10    41.00     51.0     52.7      1.0   1010.8   326.20     5.50    25.39    21.40    -19.3     20.0    0.000     1.40    -1.20     0.20                              
 104310     27.847   82.523    39.80    40.70     66.8     67.7      2.0   1011.1   321.80     4.20    25.32    21.50    -16.2     18.0    0.000     2.20    -1.50     0.20                              
 104320     27.852   82.518    40.40    40.70     76.8     77.1      8.0   1010.6   312.10     4.70    25.45    21.30    -14.3     22.0    0.000     0.70     6.20     1.70                              
 104330     27.857   82.513    37.50    41.00     80.6     83.9     40.0   1005.6   335.60     7.30    25.16    21.10    -23.9     64.0    0.000     0.30     5.20     1.50                              
 104340     27.862   82.508    42.10    46.00     85.2     86.7     78.0   1001.9   322.70     8.70    24.91    20.90    -17.3     95.0    0.000     0.20     5.90     9.70                              
 104350     27.867   82.502    52.30    56.20     90.4     91.2    121.0    997.3   329.00     7.30    24.46    20.70    -13.1    134.0    0.000     0.50     6.20    10.90                              
 104400     27.872   82.493    67.60    71.30     96.0     93.7    166.0    992.2   323.50     9.30    24.04    20.50    -10.4    176.0    0.000     0.30     5.80    18.70                              
 104410     27.873   82.483    79.80    83.00    101.4     97.5    217.0    987.0   328.10    10.50    23.70    20.30     -3.8    221.0    0.000     0.20     6.10    -0.50                              
 104420     27.873   82.473    79.60    84.10    105.7    102.2    259.0    982.3   331.40    10.40    23.35    20.20     -2.3    261.0    0.000     0.30     6.60     0.90                              
 104430     27.875   82.462    78.90    84.90    107.7    105.0    316.0    975.7   338.30    12.20    22.86    20.10     -1.5    317.0    0.000    -0.20     6.60     0.90                              
 104440     27.875   82.452    79.70    85.20    109.3    108.3    378.0    968.9   346.70    11.60    23.09    20.30      2.1    376.0    0.000     0.30     6.40    -0.80                              
 104450     27.877   82.440    77.80    83.30    109.3    110.7    448.0    961.2   355.60    11.60    23.02    20.30      4.9    443.0    0.000     0.10     6.70    -0.90                              
 104500     27.878   82.428    79.10    83.50    108.9    110.0    524.0    952.4   355.00    10.90    23.02    20.00      4.3    519.0    0.000    -0.30     7.60    -0.90                              
 104510     27.878   82.418    80.80    85.70    107.5    107.7    621.0    942.3   351.70    10.50    22.47    19.50     13.0    608.0    0.000     0.30     8.40    17.40                              
 104520     27.878   82.407   102.50   105.20    111.0    106.7    686.0    934.2   349.10    11.30    22.19    19.10      6.2    680.0    0.000    -0.90     6.80    23.50                              
 104530     27.873   82.397   122.00   123.90    114.3    106.3    694.0    926.8   347.20    11.80    21.71    18.70    -51.1    745.0    0.000    -7.30     6.60    18.70                              
 104540     27.868   82.387   127.70   130.40    116.5    107.9    814.0    920.3   344.00    10.80    21.46    18.60     10.0    804.0    0.000     3.40     6.80     3.30                              
 104550     27.860   82.378   129.00   131.30    116.6    108.0    884.0    912.8   343.10    10.60    21.28    18.20     12.3    872.0    0.000     1.30     7.40     0.50                              
 104600     27.853   82.370   129.60   131.20    117.0    108.6    958.0    905.1   341.40    10.10    20.93    17.80     15.9    942.0    0.000     0.80     6.50    -0.50                              
 104610     27.847   82.360   127.80   130.10    117.7    109.4   1016.0    898.4   343.30    10.30    20.76    16.50     12.5   1004.0    0.000    -0.20     6.40    -0.30                              
