Isabel                   20030916H1
 
  TIME       Lat       Lon     Head   Track      GnSpd     TAS    GeoAl    Press     WndDr     WndSp   Tempr    Dewpt   D Val     PrAlt      JW    VtWnd     Pitch     Roll                                      
 HHMMSS     Deg N     Deg W     Deg    Deg        m/s       m/s      m       mb       Deg       m/s      C        C       m         m       g/m3      m/s      Deg      Deg                             
 100000     17.700   64.787   355.50   355.50      2.6     11.5      2.0   1013.1   332.00     9.00    27.68    23.70      0.4      2.0    0.000    -0.30     0.10     0.10                              
 100010     17.702   64.787   355.30   355.30      3.5     11.5      1.0   1013.1   334.00     7.80    27.71    23.70     -0.4      1.0    0.000    -2.70    -0.60     0.20                              
 100020     17.702   64.787   303.20   305.10      2.8     11.4      2.0   1013.0   307.50     9.00    27.62    23.60     -0.2      2.0    0.000    -0.20    -0.10    -0.60                              
 100030     17.702   64.787   264.80   232.90      0.5     11.4      1.0   1013.1   261.20    11.00    27.49    23.60     -0.6      2.0    0.000    -1.00    -0.30    -0.20                              
 100040     17.702   64.787   264.80   172.10      0.3     12.3      2.0   1012.9   260.90    12.30    27.36    23.60     -1.2      3.0    0.000     0.90    -0.20    -0.20                              
 100050     17.702   64.787   264.80   172.40      0.3     12.4      2.0   1012.9   276.70    11.60    27.44    23.60     -1.2      3.0    0.000     4.40    -0.20    -0.20                              
 100100     17.702   64.788   264.80   172.00      0.3     11.4      2.0   1012.9   266.10    11.50    27.36    23.60     -0.6      3.0    0.000     0.00    -0.20    -0.20                              
 100110     17.702   64.788   264.80   175.60      0.3     13.1      1.0   1012.7   263.40    11.30    27.25    23.60     -3.7      5.0    0.000     6.40    -0.30    -0.20                              
 100120     17.702   64.788   264.80   171.90      0.3     11.4      1.0   1013.1   306.60    10.90    27.50    23.60     -0.2      1.0    0.000    -4.20    -0.70    -0.20                              
 100130     17.702   64.788   263.80   262.50     12.8     14.1      1.0   1013.5   203.20     2.30    27.88    23.70      3.2     -2.0    0.000    -0.70    -0.30    -0.10                              
 100140     17.702   64.790   263.90   263.30     32.1     32.6      1.0   1013.1   188.90     1.70    28.02    23.90     -0.4      1.0    0.000     0.40    -0.30    -0.20                              
 100150     17.700   64.793   264.20   263.70     49.3     48.4      2.0   1012.8   148.10     2.20    27.98    23.80     -1.9      4.0    0.000     1.20    -0.50     0.00                              
 100200     17.700   64.800   263.90   263.50     64.6     62.5      2.0   1013.0   127.20     3.00    28.08    23.90      0.2      2.0    0.000     1.90    -1.20     0.10                              
 100210     17.700   64.807   263.10   263.70     76.6     71.7      1.0   1014.7   102.60     5.10    28.11    23.90     13.0    -12.0    0.000     0.90     5.40     0.70                              
 100220     17.698   64.813   265.10   264.00     79.0     76.3     26.0   1009.0   119.70     3.50    28.03    23.90     -9.8     36.0    0.000     0.40     8.20     0.20                              
 100230     17.698   64.822   262.40   262.30     81.0     77.6     65.0   1004.4   123.40     4.70    27.90    23.60     -9.2     74.0    0.000     0.70     7.80    -1.60                              
 100240     17.697   64.828   262.90   262.50     84.0     80.8    102.0   1000.9   127.40     4.70    27.52    23.80     -1.7    104.0    0.000     1.70     6.30     1.20                              
 100250     17.697   64.837   263.60   263.10     86.4     82.9    134.0    997.1   123.50     4.70    27.33    23.30     -1.3    135.0    0.000     1.30     5.50    -0.10                              
 100300     17.695   64.845   263.70   263.70     89.9     86.2    163.0    994.5   123.40     5.00    27.12    23.30      5.7    157.0    0.000     1.30     5.90     0.70                              
 100310     17.695   64.853   264.60   264.50     95.2     91.8    183.0    992.5   128.90     5.00    26.91    23.20      8.8    174.0    0.000     0.70     4.00    -0.40                              
