"Facility name","TRI ID","Address","City","County","State","Zip Code","Year","Chemical","CAS","Federal (F) or Commercial (C)","Form Type (Form R or A)","Industry","Fugitive Air","Stack Air","Total Air","Surface Water Discharge","Underground Injection","Land Disposal","Total on-site release","Off-site release","Total on- and off-site releases","Transfer to recycling","Transfer to energy recovery","Transfer to treatment","Transfer to POTWs","Other off-site transfer","Total transfers off-site for waste management","Recycled on-site","Recycled off-site","Energy recovery on-site","Energy recovery off-site","Treated on-site","Treated off-site","Quantity released on- and off-site","Total production-related waste managed","Non production-related waste managed"
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1988 ,"CHLORINE",'007782505',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13000 ,. ,13000 ,. ,. ,. ,. ,. ,. ,. ,. ,.
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1988 ,"PHOSPHORIC ACID",'007664382',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,. ,0 ,. ,. ,. ,. ,. ,. ,. ,. ,.
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1988 ,"SODIUM HYDROXIDE (SOLUTION)",'001310732',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,62220 ,. ,62220 ,. ,. ,. ,. ,. ,. ,. ,. ,.
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1989 ,"CHLORINE",'007782505',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16000 ,. ,16000 ,. ,. ,. ,. ,. ,. ,. ,. ,.
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1989 ,"PHOSPHORIC ACID",'007664382',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,. ,0 ,. ,. ,. ,. ,. ,. ,. ,. ,.
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1990 ,"AMMONIA",'007664417',C ,R ,311/312 Food/Beverages/Tobacco ,13000 ,0 ,13000 ,0 ,0 ,0 ,13000 ,0 ,13000 ,0 ,0 ,0 ,0 ,0 ,0 ,. ,. ,. ,. ,. ,. ,. ,. ,.
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1990 ,"PHOSPHORIC ACID",'007664382',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,. ,0 ,. ,. ,. ,. ,. ,. ,. ,. ,.
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1991 ,"PHOSPHORIC ACID",'007664382',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,. ,0 ,. ,. ,. ,92000 ,. ,92000 ,0 ,0 ,0 ,0 ,92000 ,0 ,0 ,92000 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1992 ,"NITRIC ACID",'007697372',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,. ,0 ,. ,. ,. ,0 ,. ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1992 ,"PHOSPHORIC ACID",'007664382',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,. ,0 ,. ,. ,. ,0 ,. ,0 ,0 ,0 ,0 ,0 ,92000 ,0 ,0 ,92000 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1993 ,"NITRIC ACID",'007697372',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,. ,0 ,. ,. ,. ,0 ,. ,0 ,0 ,0 ,0 ,0 ,25610 ,0 ,0 ,25610 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1993 ,"PHOSPHORIC ACID",'007664382',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,. ,0 ,. ,. ,. ,0 ,. ,0 ,0 ,0 ,0 ,0 ,41043 ,0 ,0 ,41043 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1994 ,"NITRIC ACID",'007697372',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,. ,0 ,0 ,0 ,0 ,0 ,22897 ,0 ,0 ,22897 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1994 ,"PHOSPHORIC ACID",'007664382',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,. ,0 ,0 ,0 ,0 ,0 ,27238 ,0 ,0 ,27238 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1995 ,"AMMONIA",'007664417',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,. ,0 ,. ,. ,. ,0 ,. ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
