V_TRI_FORM_R_EZ.CHEM_NAME,V_TRI_FORM_R_EZ.CITY_NAME,V_TRI_FORM_R_EZ.FACILITY_NAME,V_TRI_FORM_R_EZ.POSTMARK_DATE,V_TRI_FORM_R_EZ.PRIMARY_NAICS_CODE,V_TRI_FORM_R_EZ.REPORTING_YEAR,V_TRI_FORM_R_EZ.STATE_ABBR,V_TRI_FORM_R_EZ.STREET_ADDRESS,V_TRI_FORM_R_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_EZ.ZIP_CODE
FORMALDEHYDE,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1999-07-01,311313,1998,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
FORMALDEHYDE,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1991-01-21,,1987,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
METHANOL,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1991-01-23,311313,1989,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
ISOPROPYL ALCOHOL (MANUFACTURING STRONG-ACID PROCESS ONLY NO SUPPLIER),NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1991-01-23,311313,1989,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
ISOPROPYL ALCOHOL (MANUFACTURING STRONG-ACID PROCESS ONLY NO SUPPLIER),NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1991-01-23,311313,1988,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
TRICHLOROFLUOROMETHANE,NAMPA,FLEETWOOD HOMES OF IDAHO INC 04-1,1992-06-23,321991,1991,ID,2611 E COMSTOCK AVE,83653FLTWD2611E,83653
ETHYLENE GLYCOL,NAMPA,MICRON TECHNOLOGY INC NAMPA,2007-06-25,334413,2006,ID,1401 N KINGS RD,83687MCRNT141NK,83687
N-METHYL-2-PYRROLIDONE,NAMPA,ZILOG INC,2003-06-27,334413,2002,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
SODIUM HYDROXIDE (SOLUTION),NAMPA,WESTERN IDAHO POTATOES  PROCESSING INC.,1989-05-22,311411,1988,ID,428 1ST ST. S.,83653WSTRN4281S,83651
SODIUM HYDROXIDE (SOLUTION),NAMPA,ZILOG INC,1989-06-28,334413,1988,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),NAMPA,SELKIRK METALBESTOS,2002-06-27,332322,2001,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
COBALT COMPOUNDS,NAMPA,SELKIRK METALBESTOS,,332322,2000,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
COPPER COMPOUNDS,NAMPA,SELKIRK METALBESTOS,2000-06-29,332322,1999,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
COPPER COMPOUNDS,NAMPA,SELKIRK METALBESTOS,,332322,2000,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
CERTAIN GLYCOL ETHERS,NAMPA,ZILOG INC,1991-06-11,334413,1990,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
LEAD COMPOUNDS,NAMPA,PLEXUS ELECTRONIC ASSEMBLY CORP (EA-BOI),2007-06-29,334418,2006,ID,16399 FRANKLIN BLVD,83687MCMSN16399,83687
LEAD COMPOUNDS,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,2003-07-01,311313,2002,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
NICKEL COMPOUNDS,NAMPA,SELKIRK METALBESTOS,2002-06-27,332322,2001,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
NITRATE COMPOUNDS,NAMPA,IDAHO CONCRETE NAMPA,2003-06-19,327320,2002,ID,2515 CHACARTEQUI LN,83687STKRP2515C,83687
POLYCYCLIC AROMATIC COMPOUNDS,NAMPA,TEN LANE,2007-06-28,324121,2006,ID,16625 TEN LN RD,83687TNLNX16625,83687
CHROMIUM,NAMPA,SELKIRK METALBESTOS,2007-07-02,332322,2006,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
COPPER,NAMPA,SELKIRK METALBESTOS,1998-11-25,332322,1997,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
COPPER,NAMPA,SELKIRK METALBESTOS,2005-06-30,332322,2004,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),NAMPA,SORRENTO LACTALIS INC.,1996-07-26,311513,1995,ID,4912 FRANKLIN RD,83653SMPLT4912E,83687
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1991-01-23,311313,1989,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1991-01-23,311313,1988,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
PHOSPHORIC ACID,NAMPA,SORRENTO LACTALIS INC.,1997-07-25,311513,1996,ID,4912 FRANKLIN RD,83653SMPLT4912E,83687
HYDROGEN FLUORIDE,NAMPA,ZILOG INC,1998-01-26,334413,1996,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
HYDROGEN FLUORIDE,NAMPA,ZILOG INC,1994-06-30,334413,1993,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
HYDROGEN FLUORIDE,NAMPA,ZILOG INC,1993-06-28,334413,1992,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
AMMONIA,NAMPA,J.R. SIMPLOT CO NAMPA POTATO FACILITY,1993-05-11,311411,1990,ID,3704  MIDDLETON RD,83651CRNTNMIDDL,83687
SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),NAMPA,ZILOG INC,1990-06-25,334413,1989,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
NITRIC ACID,NAMPA,BHS ACQUISITION LLC,1999-06-24,424690,1998,ID,1717 E FARGO AVE,83687GRTWS1717E,83687
NITRIC ACID,NAMPA,SORRENTO LACTALIS INC.,1998-10-14,311513,1997,ID,4912 FRANKLIN RD,83653SMPLT4912E,83687
NITRIC ACID,NAMPA,SORRENTO LACTALIS INC.,1995-06-16,311513,1994,ID,4912 FRANKLIN RD,83653SMPLT4912E,83687
PHOSPHORUS (YELLOW OR WHITE),NAMPA,SELKIRK METALBESTOS,2005-06-30,332322,2004,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
CHLORINE,NAMPA,XL FOUR STAR BEEF INC,1995-05-31,311611,1994,ID,3611 E AMITY AVE,83653RMRFRAMITY,83653
METHANOL,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1993-07-01,311313,1992,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
METHANOL,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1991-01-21,,1987,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
1 1 1-TRICHLOROETHANE,NAMPA,ZILOG INC,1993-06-28,334413,1992,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
FREON 113,NAMPA,ZILOG INC,1991-06-11,334413,1990,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
FREON 113,NAMPA,ZILOG INC,1990-06-25,334413,1989,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
METHYL ETHYL KETONE,NAMPA,ZILOG INC,1998-01-26,334413,1996,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
N-METHYL-2-PYRROLIDONE,NAMPA,ZILOG INC,2004-06-28,334413,2003,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
BENZO(G H I)PERYLENE,NAMPA,IDAHO ASPHALT SUPPLY INC NAMPA PLANT,2006-06-30,324121,2005,ID,800 N SUGAR AVE,83687DHSPH8NSUG,83687
BARIUM COMPOUNDS,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,2006-06-29,311313,2005,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
DIISOCYANATES,NAMPA,FLEETWOOD HOMES OF IDAHO INC 04-1,,321991,2000,ID,2611 E COMSTOCK AVE,83653FLTWD2611E,83653
NITRATE COMPOUNDS,NAMPA,SORRENTO LACTALIS INC.,2004-06-30,311513,2003,ID,4912 FRANKLIN RD,83653SMPLT4912E,83687
NITRATE COMPOUNDS,NAMPA,XL FOUR STAR BEEF INC,2001-06-29,311611,2000,ID,3611 E AMITY AVE,83653RMRFRAMITY,83653
NITRATE COMPOUNDS,NAMPA,J.R. SIMPLOT CO NAMPA POTATO FACILITY,1997-09-05,311411,1996,ID,3704  MIDDLETON RD,83651CRNTNMIDDL,83687
POLYCYCLIC AROMATIC COMPOUNDS,NAMPA,IDAHO ASPHALT SUPPLY INC NAMPA PLANT,2006-06-30,324121,2005,ID,800 N SUGAR AVE,83687DHSPH8NSUG,83687
LEAD,NAMPA,TEN LANE,2006-06-20,324121,2005,ID,16625 TEN LN RD,83687TNLNX16625,83687
LEAD,NAMPA,PLEXUS ELECTRONIC ASSEMBLY CORP (EA-BOI),1999-07-01,334418,1998,ID,16399 FRANKLIN BLVD,83687MCMSN16399,83687
