OS TB 12/05/95 C&D: Source x Nature-Inc.Rates '94




 Table R28.  Incidence rates(1) for  nonfatal occupational injuries and illnesses involving days away from work(2) per 10,000 full-time workers by source of injury or illness and selected natures of
 injury or illness, 1994
 __________________________________________________________________________________________________________________________________________________________________________________________________________
                                 |         |         |                                                                                                                                                     
                                 |         |         |                                                             Nature of injury or illness                                                             
                                 |         |         |_____________________________________________________________________________________________________________________________________________________
                                 |         |         |         |         |         |         |         |         |         |         |         |                             |                   |         
                                 |         |         |         |         |         |         |         |         |         |         |         | Multiple traumatic injuries |Back pain and pain,|         
                                 |         |         |         |         |         |         |         |         |         |         |         |        and disorders        |    except back    |         
              Source             |  Source |  Total  |         |         |         |         |         |         |         |         |         |_____________________________|___________________|   All   
                                 | code (3)|  cases  | Sprains,|         |  Cuts,  |         |   Heat  | Chemical| Amputa- |  Carpal | Tendon- |         |         |         |         |         |  other  
                                 |         |         | strains |Fractures|punctures| Bruises |  burns  |  burns  |  tions  |  tunnel |   itis  |         |   With  |   With  |         |   Back  | natures 
                                 |         |         |         |         |         |         |         |         |         | syndrome|         |         |fractures| sprains |         |  pain,  |   (4)   
                                 |         |         |         |         |         |         |         |         |         |         |         |  Total  |   and   |   and   |  Total  |   hurt  |         
                                 |         |         |         |         |         |         |         |         |         |         |         |         |  other  | bruises |         |back only|         
                                 |         |         |         |         |         |         |         |         |         |         |         |         | injuries|         |         |         |         
 ________________________________|_________|_________|_________|_________|_________|_________|_________|_________|_________|_________|_________|_________|_________|_________|_________|_________|_________
                                 |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
     Private industry  [2,236,639|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      cases].....................|         |  277.0  |  119.3  |   17.2  |   23.6  |   26.2  |    4.6  |    2.0  |    1.5  |    4.8  |    3.1  |    8.8  |    1.6  |    3.3  |   17.5  |    7.7  |   48.3  
                                 |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
 Chemicals and chemical products.|       0 |    5.3  |    0.1  |    -    |    -    |    -    |    0.3  |    2.0  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    2.8  
   Chemicals and chemical        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    products, unspecified........|      00 |    0.7  |    -    |    -    |    -    |    -    |    -    |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.4  
   Acids.........................|      01 |    0.3  |    -    |    -    |    -    |    -    |    -    |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Acids, unspecified..........|     010 |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Acid gases--halogen.........|     011 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Hydrogen chloride.........|    0112 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Inorganic acids--halogens...|     012 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Hydrochloric acid.........|    0123 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Hydrofluoric acid.........|    0124 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Inorganic acids--other......|     013 |    0.2  |    -    |    -    |    -    |    -    |    -    |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Chlorine-containing       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        oxyacids.................|    0131 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Nitric acid...............|    0132 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Phosphoric acid...........|    0133 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Sulfuric acid.............|    0134 |    0.1  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Inorganic acids, n.e.c. ..|    0139 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
