GID	UNIQID	NAME	GWEIGHT	Unmutated; CLL-49;lc9n027	Unmutated; CLL-58;lc9n030	Unmutated; CLL-61;lc9n033	Unmutated; CLL-68;lc9n037	Unmutated; CLL-21;lc9n046	Unmutated; CLL-16;lc9n045	Unmutated; CLL-24;lc9n044	Unmutated; CLL-45;lc9n115	Unmutated; CLL-62;lc9n100	Unmutated; CLL-55;lc9n093	Unmutated; CLL-48;lc9n026	Unmutated; CLL-25;lc9n047	Unmutated; CLL-50;lc9n129	Unmutated; CLL-52;lc9n108	Unmutated; CLL-15;lc9n005	Mutated_high; CLL-39;lc9n074	Mutated_high; CLL-57;lc9n029	Mutated_high; CLL-19;lc9n041	Mutated_high; CLL-53;lc9n040	Mutated_high; CLL-65;lc9n034	Mutated_high; CLL-66_SL106;lc9n035	Mutated_high; CLL-10;lc9n039	Mutated_high; CLL-69;lc9n038	Mutated_high; CLL-17;lc9n042	Mutated_high; CLL-59;lc9n031	Unmutated; CLL-60;lc9n032	Mutated_low; CLL-51;lc9n028	Mutated_low; CLL-22;lc9n043
AID				ARRY11X	ARRY7X	ARRY8X	ARRY14X	ARRY2X	ARRY1X	ARRY3X	ARRY10X	ARRY9X	ARRY6X	ARRY5X	ARRY4X	ARRY12X	ARRY13X	ARRY0X	ARRY22X	ARRY20X	ARRY18X	ARRY19X	ARRY21X	ARRY24X	ARRY16X	ARRY25X	ARRY17X	ARRY23X	ARRY15X	ARRY27X	ARRY26X
EWEIGHT				1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
GENE31X	14468	*Unknown  UG Hs.193736  hypothetical protein FLJ20706; Clone=1353413	1		-0.30	-0.74	-0.60	-0.63	0.01	0.03	-0.02	-0.81	0.24	-0.21	-0.23	-0.65	-0.76	-0.50	0.55	0.56	1.67		2.18	0.62	0.23	0.05	-0.01	0.20	2.09	0.60	-0.51
GENE8X	11350	*Unknown  UG Hs.193736  hypothetical protein FLJ20706; Clone=1288194	1	-0.03	-0.32	-0.92	-0.83	-0.77	0.01	-0.16	0.18	-0.06	0.41	-0.20	0.14	-0.53	-0.89	-0.34	0.78	0.60	1.44	1.65	1.94	0.20	0.68	-0.06	-0.01	0.28	1.63	0.54	-0.53
GENE25X	13684	*Unknown  UG Hs.193736  hypothetical protein FLJ20706; Clone=1337018	1	0.12	-0.31	-0.70	-0.71	-0.72	-0.26	0.16	0.27	-0.56	0.00	-0.17	-0.12	-0.26	-0.08	-0.35	0.67	0.17	1.18	0.86	1.31	0.04	0.37	-0.10	0.00	0.23	1.35	0.26	-0.53
GENE19X	13058	*Unknown  UG Hs.193736  hypothetical protein FLJ20706; Clone=1290032	1	-0.09	-0.43	-1.03	-0.56	-0.71	-0.14	0.17	0.36	-0.50	-0.15	-0.36	-0.28	-0.31	0.11	-0.77	1.36	0.62	1.43	1.08	1.57	0.52	0.36		0.00	0.06	1.75	0.36	-0.37
GENE146X	21250	*Unknown  UG Hs.193736  hypothetical protein FLJ20706; Clone=1306406	1	-0.07	-0.39	-1.01	-0.73	-1.24	-0.58	0.01	-0.01	0.11	0.25	-0.02	-0.86	-0.20	-0.04	-0.34	1.02	0.50	0.91	0.85	1.63	0.18	0.18	0.06	-0.19	0.06	1.60	0.14	-0.73
GENE21X	13144	*Unknown  UG Hs.193736  hypothetical protein FLJ20706; Clone=1318111	1	0.35	-0.12	-0.77	-0.41	-0.95	-0.26	-0.02	0.32	-0.08	0.39	0.02	-1.02	-0.08	-0.15	-0.52	0.63	0.48	1.28	1.35	2.22	0.61	0.83	0.29	-0.12	-0.13	1.91	0.38	-0.79
GENE151X	21498	*Unknown  UG Hs.61506  ESTs; Clone=1352048	1	0.41	-0.08	0.20	-0.01	-0.35	-0.66	-0.30	0.17	0.30	-0.05	-0.30	-0.46	-0.16	-0.75	-0.05	0.52	0.00	0.84	0.68	1.48	0.00	0.96	0.56		0.02	0.60	0.86	-0.16
GENE140X	21112	*Unknown  UG Hs.61506  ESTs; Clone=1286796	1	0.13	-0.40	0.08	-0.18	-0.56	-1.01	-0.47	0.05	-0.17	0.10	-0.43	-0.72	-0.29	-1.12	0.00	0.26	-0.07	0.72	0.49	1.36	-0.09	0.53	0.21		0.03	0.56	0.78	-0.53
GENE163X	22578	*Unknown  UG Hs.165702  EST; Clone=2073335	1	-0.93	-0.82		0.14	-0.80		-0.09	-0.50		-0.82	-0.26	-0.10		-0.48	0.09		0.15			0.64	0.63	0.99			0.81	1.76	0.84	
GENE150X	21435	*Unknown  UG Hs.20760  DKFZP564M182 protein; Clone=1339178	1	-0.05	-0.31	-0.51	-0.49	-0.90	-0.85	-0.18	-1.08	-0.72	0.11	0.00	-0.57		-0.49	-0.10	0.14	0.17	0.13	0.71	0.75	0.33	0.58	-0.03	0.94	0.36	0.90	0.31	1.76
