-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :     NCEP_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
IMPZ        49718.000    1995     1     1     0
IMPZ        52274.750    2001    12    31    18
IMPZ      4289656.535 -4680885.000  -606347.402
IMPZ           -5.492      -47.497      105.119
IMPZ     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.223570     0.247109    -0.165727
49718.25     0.251667     0.130627     0.551242
49718.50     0.129801     0.067539    -0.534380
49718.75     0.170377     0.270521     1.163182
49719.00     0.077383     0.206862     0.350067
49719.25     0.058092     0.032451     1.029689
49719.50     0.047135    -0.050444    -0.041966
49719.75     0.154734     0.058020     1.535334
49720.00     0.183699     0.062009     1.018169
49720.25     0.176203     0.008872     1.057361
49720.50     0.138352    -0.082620    -0.104287
49720.75     0.206762     0.021358     1.195544
49721.00     0.226050     0.057954     0.622191
49721.25     0.148316     0.012593     0.577457
49721.50     0.111546    -0.082956    -0.493813
49721.75     0.166804     0.048241     0.474705
49722.00     0.084921     0.080932    -0.764964
49722.25     0.074369    -0.067451    -0.687981
49722.50     0.006886    -0.128413    -1.307250
49722.75     0.076203     0.024144     0.014181
49723.00    -0.047117     0.067779    -0.870050
49723.25    -0.065803    -0.050797    -0.788527
49723.50    -0.110872    -0.124223    -2.038473
49723.75    -0.018982     0.017016    -0.823555
49724.00     0.032257     0.159047    -1.007562
49724.25     0.083424     0.059912    -0.557618
49724.50     0.132649     0.044534    -1.137326
49724.75     0.242575     0.176734     0.712461
49725.00     0.290182     0.240904     0.358266
49725.25     0.319210     0.135025     0.857418
49725.50     0.288084     0.055697     0.126732
49725.75     0.386908     0.183991     1.789960
49726.00     0.293824     0.233508     0.514225
49726.25     0.247431     0.092805     0.771631
49726.50     0.231008     0.020854    -0.040193
49726.75     0.330541     0.169251     1.529716
49727.00     0.292290     0.267375     0.453503
49727.25     0.254948     0.116031     0.655349
49727.50     0.249653     0.052319    -0.369964
49727.75     0.268163     0.173809     0.864756
49728.00     0.196001     0.210550    -0.104571
49728.25     0.160618     0.171166     0.340643
49728.50     0.059881     0.049073    -0.994710
49728.75     0.138246     0.170264     0.291164
49729.00     0.135847     0.213203    -0.307181
49729.25     0.136680     0.147671     0.372809
49729.50     0.035305    -0.007263    -1.177998
49729.75     0.143510     0.113513     0.459623
49730.00     0.175411     0.074979     0.017809
49730.25     0.117254    -0.000235     0.170862
49730.50     0.096378    -0.107150    -0.894022
49730.75     0.247956     0.072564     0.787531
49731.00     0.233367     0.127910    -0.037971
49731.25     0.235229    -0.006711    -0.076101
49731.50     0.186734    -0.100572    -1.177674
49731.75     0.276343     0.073729     0.052306
49732.00     0.300158     0.060851    -0.631063
49732.25     0.292322     0.019554    -0.420725
49732.50     0.297253    -0.031200    -1.229653
49732.75     0.382190     0.164750     0.192735
49733.00     0.408835     0.195432    -0.311179
49733.25     0.406309     0.100105     0.100464
49733.50     0.355887     0.033272    -0.753892
49733.75     0.431063     0.170835     0.333681
49734.00     0.414551     0.229165    -0.081620
49734.25     0.380275     0.117451     0.051556
49734.50     0.252989     0.000442    -1.035004
49734.75     0.350331     0.113837     0.321884
49735.00     0.353928     0.167090     0.174026
49735.25     0.308071     0.035684     0.359746
49735.50     0.281213    -0.024360    -0.312046
49735.75     0.306670     0.073218     1.229230
49736.00     0.275702     0.101421     0.775581
49736.25     0.319501    -0.045465     1.544585
49736.50     0.195486    -0.066177     0.312400
49736.75     0.241622     0.003491     1.600298
49737.00     0.215470     0.112426     0.483573
49737.25     0.161045    -0.088270     0.620349
49737.50     0.117850    -0.206957    -0.396398
49737.75     0.213471    -0.075118     1.089317
49738.00     0.270668     0.063561     0.835729
49738.25     0.251350    -0.030794     1.536818
49738.50     0.199244    -0.142698    -0.221904
49738.75     0.274613    -0.028237     1.229766
49739.00     0.404634     0.089103     0.791914
49739.25     0.351450     0.022944     1.625631
49739.50     0.263251    -0.060417    -0.151082
49739.75     0.293181     0.013199     1.342989
49740.00     0.359397     0.093635     0.536994
49740.25     0.372525     0.071734     1.026871
49740.50     0.268742     0.026540     0.300219
49740.75     0.357294     0.137140     1.528180
49741.00     0.313873     0.164458     0.431031
49741.25     0.378764     0.049242     1.087711
49741.50     0.288861    -0.069655    -0.311983
49741.75     0.450695     0.064692     1.286865
49742.00     0.384615     0.130403     0.081131
49742.25     0.362556     0.083924     0.609951
49742.50     0.284130    -0.036361    -0.664988
49742.75     0.475240     0.105856     0.994685
49743.00     0.431682     0.229057     0.250558
49743.25     0.404514     0.097502     0.467656
49743.50     0.393417     0.027651    -0.611268
49743.75     0.513450     0.151016     0.608574
49744.00     0.435818     0.230428    -0.109807
49744.25     0.459560     0.108139     0.377928
49744.50     0.388574     0.024998    -0.900559
49744.75     0.509657     0.155252     0.445403
49745.00     0.571821     0.254902     0.011576
49745.25     0.530656     0.112892     0.368439
49745.50     0.390588     0.037177    -1.026782
49745.75     0.538918     0.183533     0.568012
49746.00     0.458515     0.240734    -0.022978
49746.25     0.464513     0.153504     0.835583
49746.50     0.448773     0.119150    -0.451194
49746.75     0.579566     0.311901     1.403960
49747.00     0.554770     0.345056     0.177813
49747.25     0.572435     0.253461     0.046718
49747.50     0.524872     0.267819    -0.675673
49747.75     0.643907     0.375302     0.965659
49748.00     0.625252     0.463975    -0.003675
49748.25     0.634779     0.361206     0.370885
49748.50     0.572273     0.259904    -0.815485
49748.75     0.683666     0.433103     0.817873
49749.00     0.618543     0.420300    -0.296867
49749.25     0.569382     0.335965    -0.306257
49749.50     0.448508     0.177886    -1.327050
49749.75     0.498473     0.276163     0.072121
49750.00     0.463370     0.251736    -0.538854
49750.25     0.450629     0.163072    -0.225864
49750.50     0.373787     0.023749    -1.011852
49750.75     0.421484     0.115416     0.290323
49751.00     0.348109     0.147100    -0.470680
49751.25     0.266895     0.017525    -0.235693
49751.50     0.231518    -0.080322    -1.123782
49751.75     0.291925     0.163561     0.901820
49752.00     0.265989     0.157964    -0.333209
49752.25     0.216262     0.008009    -0.211445
49752.50     0.136748    -0.051295    -1.019204
49752.75     0.118328     0.037044     0.116032
49753.00     0.091586     0.123890    -0.889167
49753.25     0.013344    -0.043986    -0.467679
49753.50     0.005548    -0.103273    -1.714932
49753.75     0.080512     0.024990    -0.248157
49754.00     0.047884     0.098825    -1.146743
49754.25    -0.024306    -0.051116    -0.720439
49754.50    -0.111869    -0.086466    -1.676189
49754.75    -0.071590    -0.045749    -0.653812
49755.00    -0.104780     0.034601    -1.249541
49755.25    -0.148756    -0.113718    -1.470543
49755.50    -0.214492    -0.051144    -1.740207
49755.75    -0.044980    -0.023652    -0.721790
49756.00    -0.091461     0.015529    -1.259804
49756.25    -0.124156    -0.151303    -1.942693
49756.50    -0.098751    -0.185587    -2.394879
49756.75    -0.089967    -0.117453    -1.263669
49757.00    -0.056170    -0.040876    -2.098730
49757.25    -0.042919    -0.099026    -2.013337
49757.50    -0.079866    -0.185711    -2.992684
49757.75     0.039190    -0.099884    -1.989872
49758.00     0.047611     0.040633    -2.471564
49758.25     0.070912    -0.085564    -2.066813
49758.50    -0.011196    -0.127985    -2.789287
49758.75     0.148297     0.001087    -1.279599
49759.00     0.146002     0.129057    -1.770034
49759.25     0.168521    -0.015226    -1.407275
49759.50     0.108282    -0.036980    -1.948997
49759.75     0.227672     0.018177    -0.307149
49760.00     0.215593     0.141930    -0.625537
49760.25     0.215276    -0.033001    -1.025215
49760.50     0.242282    -0.056903    -1.520018
49760.75     0.357451     0.117725    -0.258427
49761.00     0.413393     0.144671    -0.366169
49761.25     0.356082     0.065882    -0.546695
49761.50     0.317013    -0.042648    -1.255979
49761.75     0.406204     0.050356     0.105446
49762.00     0.378427     0.085369    -0.818767
49762.25     0.387714    -0.016533    -0.499946
49762.50     0.343192    -0.080462    -1.258860
49762.75     0.427676     0.044395     0.161050
49763.00     0.369454     0.110206    -0.780069
49763.25     0.379683    -0.017731    -0.387441
49763.50     0.291626    -0.080057    -1.269661
49763.75     0.362914     0.031546    -0.118080
49764.00     0.305012     0.095811    -0.377807
49764.25     0.289228    -0.021356     0.184839
49764.50     0.266109    -0.021269    -0.351549
49764.75     0.361185     0.079726     1.046419
49765.00     0.328346     0.157664     0.769750
49765.25     0.208998    -0.008668     0.690821
49765.50     0.158774    -0.105621    -0.276500
49765.75     0.270772     0.003506     1.143692
49766.00     0.279292     0.042013     0.608096
49766.25     0.323149    -0.079066     0.707278
49766.50     0.254324    -0.101882     0.083362
49766.75     0.391649     0.006558     1.450585
49767.00     0.377991     0.052427     0.618405
49767.25     0.440700    -0.014855     0.910689
49767.50     0.376419     0.026149     0.438886
49767.75     0.431312     0.171879     1.962071
49768.00     0.466529     0.211199     1.128990
49768.25     0.499305     0.194436     1.573595
49768.50     0.384119     0.114987     0.646934
49768.75     0.396020     0.192083     1.467376
49769.00     0.388481     0.225659     0.881560
49769.25     0.373105     0.090094     1.088837
49769.50     0.227561     0.040668    -0.014643
49769.75     0.319382     0.134735     1.252254
49770.00     0.295835     0.148397     0.674383
49770.25     0.223935     0.053930     0.976032
49770.50     0.187903    -0.005299    -0.117939
49770.75     0.242077     0.080023     0.934326
49771.00     0.255213     0.105228     0.010650
49771.25     0.295078    -0.008150     0.247502
49771.50     0.174029    -0.057543    -0.518367
49771.75     0.201064     0.079254     0.857676
49772.00     0.259837     0.100219     0.466737
49772.25     0.206463     0.001679     0.543930
49772.50     0.094762    -0.084834    -0.794554
49772.75     0.147214     0.018199     0.833516
49773.00     0.190906     0.079119     0.091667
49773.25     0.142672    -0.039064     0.021300
49773.50     0.043511    -0.135619    -1.194852
49773.75     0.151791     0.000225     0.141523
49774.00     0.148566     0.060269    -0.306782
49774.25     0.133553    -0.046120     0.083565
49774.50     0.079224    -0.132573    -1.177726
49774.75     0.138532     0.019643     0.562331
49775.00     0.127520     0.071191     0.068979
49775.25     0.169364    -0.019714     0.621077
49775.50     0.097487    -0.112282    -0.144767
49775.75     0.170388     0.018199     1.520807
49776.00     0.197046     0.072423     1.218088
49776.25     0.223393    -0.047261     1.713772
49776.50     0.057316    -0.136072     0.358069
49776.75     0.184782     0.065180     1.906761
49777.00     0.180302     0.099368     1.111631
49777.25     0.159191    -0.005813     1.042878
49777.50     0.053854    -0.083677    -0.339625
49777.75     0.162875     0.051388     0.849308
49778.00     0.184159     0.112408     0.142038
49778.25     0.230370    -0.002765     0.643216
49778.50     0.178308    -0.031522    -0.588703
49778.75     0.299650     0.091690     0.797662
49779.00     0.285680     0.168925     0.424706
49779.25     0.231242     0.026930     0.394431
49779.50     0.099289    -0.083038    -0.397570
49779.75     0.163156     0.030028     1.105386
49780.00     0.156562     0.122226     0.973726
49780.25     0.116054    -0.045706     0.651173
49780.50     0.096164    -0.099963     0.402049
