"uscode","sic","empflag","emp","qp1","ap","est","f1_4","e1_4","q1_4","a1_4","n1_4","f5_9","e5_9","q5_9","a5_9","n5_9","f10_19","e10_19","q10_19","a10_19","n10_19","f20_49","e20_49","q20_49","a20_49","n20_49","f50_99","e50_99","q50_99","a50_99","n50_99","f100_249","e100_249","q100_249","a100_249","n100_249","f250_499","e250_499","q250_499","a250_499","n250_499","f500_999","e500_999","q500_999","a500_999","n500_999","f1000","e1000","q1000","a1000","n1000"
"98","----",,93476087,506640225,2104107477,6175563,,5852545,25639337,137517893,3345500,,8168423,34793650,149414335,1238541,,10352053,46565431,197704989,770301,,15384375,72313350,301711298,508596,,12029187,59688249,244870062,175375,,14615634,77910083,315729158,97742,,8309953,50331586,201942603,24334,,6551486,43872363,174198834,9592,,12212431,95526176,381018305,5582
"98","07--",,531010,1770827,8650036,84811,"D",0,0,0,55676,,107018,318946,1557412,16318,,110299,367002,1754428,8342,,97930,345400,1614361,3386,,48523,177592,763089,719,,42154,165016,692816,284,,20684,78145,325374,64,,12044,48917,204131,17,"D",0,0,0,5
"98","0700",,500048,1620665,7985961,81328,,82992,222048,1513166,53406,,103547,305521,1496924,15790,,105573,345993,1654541,7994,,91141,316403,1485559,3160,,44090,153225,670271,654,,36967,130716,566479,248,,17894,65862,270965,55,"D",0,0,0,16,"D",0,0,0,5
"98","0710",,3658,16361,77881,523,,589,1952,10713,327,,675,2775,13148,101,,848,3812,16912,61,,829,4020,17517,27,"D",0,0,0,5,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","0720",,36603,136611,640402,3265,,3230,12085,91037,1946,,3736,14731,76935,568,,4728,20363,103584,353,,7384,30786,135404,242,,6443,22071,83478,93,,7808,25957,111670,54,"D",0,0,0,8,"D",0,0,0,1,,0,0,0,0
"98","0740",,120886,409389,1884418,18214,,18950,53703,262292,8458,,39554,127840,585889,5929,,39895,141450,649896,3054,,19511,73603,331739,735,,2273,8555,37871,35,"D",0,0,0,1,"D",0,0,0,2,,0,0,0,0,,0,0,0,0
"98","0750",,33659,98205,428595,7352,,9357,20924,102140,5407,,7946,19632,82533,1236,,6455,18613,79224,494,,4719,15930,65968,171,,1705,6965,28625,26,,1972,9621,39766,13,,1505,6520,30339,5,,0,0,0,0,,0,0,0,0
"98","0760",,10763,30968,135753,775,,694,3528,23624,473,,793,3319,16017,123,,1062,4351,18430,77,,1687,6312,24486,57,"D",0,0,0,21,,2513,3930,14678,18,"D",0,0,0,5,"D",0,0,0,1,,0,0,0,0
"98","0761",,4054,9305,49200,195,,88,264,5751,105,,217,617,4817,34,,332,1223,5714,23,,432,1082,5504,15,"D",0,0,0,7,,1079,1963,7967,7,"D",0,0,0,4,,0,0,0,0,,0,0,0,0
"98","0762",,3549,15989,67052,405,,467,2525,12915,263,,398,2062,8980,62,,532,2561,11002,39,,824,4173,15450,27,,668,3456,13712,9,,660,1212,4993,5,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","0780",,274112,859077,4485151,46903,,45585,113560,920749,33596,,46540,122543,656377,7158,,49166,146147,733968,3693,,53337,173039,852261,1804,,30197,105823,478208,451,,22847,81318,358106,152,"D",0,0,0,30,,10269,43547,184758,14,"D",0,0,0,5
"98","0800",,17981,66506,287955,1798,,1565,5112,33281,1100,,1920,6683,31342,291,,2712,10126,42386,199,,4202,14020,62550,141,,2661,8197,31660,39,,3145,13832,54841,23,"D",0,0,0,4,"D",0,0,0,1,,0,0,0,0
"98","0900",,10555,62469,299401,1609,,1418,6298,50793,1145,,1449,5625,24684,223,,1823,8676,48069,134,,2253,12282,56654,73,,1486,12935,50658,22,,1220,12023,42368,9,,906,4630,26175,3,,0,0,0,0,,0,0,0,0
"98","098\",,2426,21187,76719,76,"D",0,0,0,25,,102,1117,4462,14,,191,2207,9432,15,,334,2695,9598,12,,286,3235,10500,4,,822,8445,29128,4,"D",0,0,0,2,,0,0,0,0,,0,0,0,0
"98","10--",,723190,6447526,26653197,30359,"D",0,0,0,14687,,33524,207287,906495,5049,,58778,381450,1649919,4295,,112993,833634,3499511,3709,,92301,753107,3080367,1344,,119254,1105075,4428729,788,,103034,1117974,4404901,306,,83286,864544,3487088,125,"D",0,0,0,56
"98","1000",,53033,453744,1862551,1060,,823,5886,36912,527,,850,6270,25040,129,,1731,12972,54303,127,,3562,30852,124094,115,,3433,29894,116311,50,,10984,95122,388479,67,,5811,50564,205525,18,,11838,104057,417810,18,,14001,118127,494077,9
"98","1010",,8774,76992,301138,52,,52,448,1487,25,,28,144,627,4,,81,537,1678,6,,168,562,2241,6,,0,0,0,0,"D",0,0,0,2,"D",0,0,0,2,,3167,29355,113149,4,"D",0,0,0,3
"98","1020",,12858,108747,443490,47,,16,105,774,8,,35,291,1553,6,"D",0,0,0,8,,183,2665,8771,5,"D",0,0,0,2,,987,8814,34645,5,"D",0,0,0,1,"D",0,0,0,9,"D",0,0,0,3
"98","1030",,2582,23010,92008,36,,18,79,404,11,,0,0,0,0,,84,887,3200,6,"D",0,0,0,2,"D",0,0,0,5,,1236,12280,46450,9,"D",0,0,0,3,,0,0,0,0,,0,0,0,0
"98","1040",,18721,164068,689973,316,,192,1237,12471,131,,239,1611,6338,36,,529,4297,18882,39,,1372,13410,51689,42,,1392,12775,50877,19,,5295,45999,191862,33,,2956,24682,102277,9,,2215,20974,83023,4,,4531,39083,172554,3
"98","1041",,16768,148673,631391,280,,161,1090,12003,115,"D",0,0,0,34,,447,3977,17807,34,,1181,11798,45994,36,,1392,12775,50877,19,,4472,38010,162446,28,"D",0,0,0,7,,2215,20974,83023,4,,4531,39083,172554,3
"98","1044",,1813,14481,55873,31,,31,147,432,14,"D",0,0,0,2,,57,272,895,3,,191,1612,5695,6,,0,0,0,0,,708,7123,26923,4,"D",0,0,0,2,,0,0,0,0,,0,0,0,0
"98","1060",,2143,17576,70292,45,,48,367,1504,26,,55,409,1644,8,,43,215,1218,3,"D",0,0,0,1,,0,0,0,0,"D",0,0,0,4,"D",0,0,0,2,"D",0,0,0,1,,0,0,0,0
"98","1080",,3395,28131,120402,218,,192,1916,10121,117,,172,1564,5896,25,,442,3041,12996,31,,786,6156,26184,27,,896,7651,29325,13,,907,7803,35880,5,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","1090",,3786,31201,126365,160,"D",0,0,0,69,"D",0,0,0,26,"D",0,0,0,24,,624,5740,26049,20,,659,5766,21276,11,,1441,11150,42923,9,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","1094",,1814,15731,63929,79,"D",0,0,0,26,,102,834,3193,16,,163,1629,6253,13,"D",0,0,0,11,"D",0,0,0,9,,604,4686,16854,4,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","1099",,1970,15444,62345,80,"D",0,0,0,42,"D",0,0,0,10,"D",0,0,0,11,"D",0,0,0,9,"D",0,0,0,2,,837,6464,26069,5,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","1200",,144182,1363228,5492347,3312,,1479,9512,109224,999,,2970,17204,74417,439,,8003,49472,198117,570,,22299,167579,681721,722,,18108,150457,616657,258,,28656,294306,1166260,179,,37403,407706,1587790,110,,21488,227570,899539,32,,3776,39422,158622,3
"98","1220",,130695,1267966,5071533,2468,,962,5757,68305,649,"D",0,0,0,312,,6178,39138,153144,438,,16753,128983,526601,540,,15295,129795,526185,217,,26991,278284,1104840,168,"D",0,0,0,109,,21488,227570,899539,32,,3776,39422,158622,3
"98","1221",,55123,517325,2105097,1226,"D",0,0,0,325,,1266,7791,31680,188,,2846,18318,75107,204,,7450,58472,244224,240,,9151,81841,328597,132,,13810,141734,571668,91,"D",0,0,0,38,,5276,53711,217308,7,"D",0,0,0,1
"98","1222",,73190,737850,2902410,1016,,321,2008,27087,211,,650,4273,17445,95,"D",0,0,0,193,,8189,64116,255725,263,,5848,46107,190809,80,,13053,136274,531793,76,,23477,265039,1018677,71,,16212,173859,682231,25,"D",0,0,0,2
"98","1230",,867,5752,23748,27,,22,107,501,11,,23,109,656,4,"D",0,0,0,1,,234,1540,6321,8,"D",0,0,0,1,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","1240",,4882,38938,168494,243,,188,941,10534,90,,306,1825,7876,45,,485,3060,13885,34,,1439,10694,42406,46,,1322,10405,46070,20,,1142,12013,47723,8,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","1300",,291970,2221138,9452601,19210,,19087,109050,595104,11079,,20649,128180,537779,3152,,30331,196650,833132,2233,,51251,366093,1539034,1688,,41381,293587,1229276,603,,45835,371020,1517238,310,,29753,259364,1091250,88,,27311,238740,1006078,40,,26372,258454,1103710,17
"98","1310",,101800,954614,3927615,7443,,8538,51625,238936,4708,,8096,56240,231204,1245,,9509,75044,296937,714,,14109,128526,510469,460,,10886,105024,425535,156,,15052,149247,577332,101,"D",0,0,0,36,,9640,99697,395430,14,"D",0,0,0,9
"98","1320",,10677,101323,405774,549,,320,3096,14858,145,"D",0,0,0,100,,1558,14646,57018,115,,4556,43042,171263,148,,2062,18949,74542,32,,1076,11168,45459,8,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","1380",,175778,1142978,5002940,10058,,9112,47435,291023,5254,"D",0,0,0,1697,,18561,102608,460328,1352,,32004,190564,838763,1061,,28041,168238,723664,410,,29504,209319,890025,199,,16840,124365,528362,51,,17671,139043,610648,26,"D",0,0,0,8
"98","1381",,50683,321028,1383102,1798,,1503,8372,59637,815,"D",0,0,0,261,,3326,17589,79433,236,,7479,42053,190617,242,,9613,57959,249574,135,,12067,78279,324008,79,,7227,50953,213296,21,,4513,30716,130052,7,"D",0,0,0,2
"98","1382",,13554,110195,465182,1401,,1576,9988,48497,991,,1133,8821,37968,171,,1574,12101,52331,116,,2275,20102,84487,74,,1761,11463,49218,26,,2151,19120,74038,14,,3084,28600,118643,9,,0,0,0,0,,0,0,0,0
"98","1389",,105052,679674,2972234,5643,"D",0,0,0,2591,,7126,38379,160887,1086,,12042,65401,295487,879,,20916,122989,540260,699,,16206,96811,416057,242,,14454,105462,460922,100,,6529,44812,196423,21,,13158,108327,480596,19,"D",0,0,0,6
"98","1400",,102737,677625,3039780,5409,"D",0,0,0,1778,,7622,39888,202677,1121,,15925,88867,428719,1162,,28055,174286,782406,939,,17730,119767,522279,265,,16330,114184,489981,113,,7851,70806,283005,24,,2836,26635,103071,5,"D",0,0,0,2
"98","1410",,1963,8697,41961,190,"D",0,0,0,93,,206,803,4076,31,,444,1785,7787,33,,738,3261,15552,27,,295,1632,7126,5,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0
"98","1420",,37956,241362,1117593,1749,,782,3869,27892,381,,1999,10414,55927,284,,6757,37456,180486,475,,13016,83612,371732,439,,8442,57230,252672,124,,5893,39722,183003,42,,1067,9059,45881,4,,0,0,0,0,,0,0,0,0
"98","1422",,25232,157942,742760,1180,"D",0,0,0,265,,1397,7287,39336,195,,4684,25700,127323,333,,7956,49769,228938,272,,5579,38045,166168,81,,4789,32226,151610,33,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","1423",,5589,37422,160798,206,"D",0,0,0,15,"D",0,0,0,19,,805,4738,20234,52,,2857,18407,78761,97,,1295,9327,38618,20,"D",0,0,0,2,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","1429",,7117,45933,213781,360,,216,1024,6558,100,"D",0,0,0,68,,1268,7018,32929,90,,2203,15436,64033,70,,1568,9858,47886,23,"D",0,0,0,7,"D",0,0,0,2,,0,0,0,0,,0,0,0,0
"98","1440",,29978,181265,873707,2331,"D",0,0,0,821,,3980,21230,107915,593,,6460,36644,185431,488,,9889,62732,289431,334,,4949,30961,142756,76,,2463,17883,78697,17,"D",0,0,0,2,,0,0,0,0,,0,0,0,0
